code,month_samples,spearman,rho_ci_low,rho_ci_high,cold_months,hot_months,cold_minus_hot,gap_ci_low,gap_ci_high,bootstrap_valid_gap,bootstrap_valid_rho,calendar_month_span,sample_count_divided_by_block_length,comparison,arm
000300,188,-0.166247663463853,-0.4777535740245895,0.08044187938336377,22,15,0.16457000130666544,0.02088139109469878,0.34800810293677165,997,1000,188,15.666666666666666,main,main
000300,188,-0.166247663463853,-0.4777535740245895,0.08044187938336377,22,15,0.16457000130666544,0.02088139109469878,0.34800810293677165,997,1000,188,15.666666666666666,valuation_only,main_on_common
000300,188,-0.23450934676844298,-0.522644840625333,0.07530376920127962,77,29,0.13258982755643034,-0.061062387666549506,0.37984058160576895,999,1000,188,15.666666666666666,valuation_only,valuation_only
000300,188,-0.166247663463853,-0.4777535740245895,0.08044187938336377,22,15,0.16457000130666544,0.02088139109469878,0.34800810293677165,997,1000,188,15.666666666666666,price_activity,main_on_common
000300,188,-0.10542094966606069,-0.3990948605614377,0.10072218572860595,21,27,0.13516456254146347,-0.15745292355403162,0.31791096764654364,1000,1000,188,15.666666666666666,price_activity,price_activity
000300,188,-0.166247663463853,-0.4777535740245895,0.08044187938336377,22,15,0.16457000130666544,0.02088139109469878,0.34800810293677165,997,1000,188,15.666666666666666,rank_48,main_on_common
000300,188,-0.14567337459536173,-0.4419053750706496,0.07854527304130814,16,15,0.2333828248264247,0.05802893515677965,0.3697273772698564,1000,1000,188,15.666666666666666,rank_48,rank_48
000300,188,-0.166247663463853,-0.4777535740245895,0.08044187938336377,22,15,0.16457000130666544,0.02088139109469878,0.34800810293677165,997,1000,188,15.666666666666666,rank_72,main_on_common
000300,188,-0.17947607700025356,-0.4831499817917407,0.07263965934620362,16,13,0.19347815090902232,0.07557545732805578,0.3697273772698564,995,1000,188,15.666666666666666,rank_72,rank_72
600519,162,0.24976941954002144,-0.15074994931739064,0.4863299551709288,18,18,-0.012207861421038357,-0.6289603521453234,0.48910040350240314,996,1000,163,13.5,main,main
600519,162,0.24976941954002144,-0.15074994931739064,0.4863299551709288,18,18,-0.012207861421038357,-0.6289603521453234,0.48910040350240314,996,1000,163,13.5,valuation_only,main_on_common
600519,162,0.36010773285845793,-0.15960323909500937,0.5924033920384145,62,34,-0.20064114655299164,-0.6703500921804398,0.2994166894981066,1000,1000,163,13.5,valuation_only,valuation_only
600519,162,0.24976941954002144,-0.15074994931739064,0.4863299551709288,18,18,-0.012207861421038357,-0.6289603521453234,0.48910040350240314,996,1000,163,13.5,price_activity,main_on_common
600519,162,0.05091748721938222,-0.26946689562449144,0.3479392437789121,17,21,-0.16985233792568222,-0.5991504712739945,0.7390178062678932,1000,1000,163,13.5,price_activity,price_activity
600519,162,0.24976941954002144,-0.15074994931739064,0.4863299551709288,18,18,-0.012207861421038357,-0.6289603521453234,0.48910040350240314,996,1000,163,13.5,rank_48,main_on_common
