code,name,source_first,excluded_early_quotes,quote_first,quote_last,quote_rows,heat_first,heat_rows,last_heat,last_valuation,last_price,last_activity,action_dates
000300,沪深300,2005-01-04,0,2005-01-04,2026-09-22,5277,2010-01-04,4062,36.94444444444444,50.0,57.5,3.3333333333333335,0
600519,贵州茅台,2001-08-27,1229,2007-01-04,2026-09-22,4781,2012-02-01,3557,5.555555555555556,1.6666666666666667,15.0,0.0,22
000651,格力电器,1996-11-18,2403,2007-01-04,2026-09-22,4613,2012-02-01,3401,36.388888888888886,28.333333333333332,47.5,33.333333333333336,24
300750,宁德时代,2018-06-11,0,2018-06-11,2026-09-22,2013,2023-07-03,785,27.5,0.0,25.833333333333336,56.666666666666664,10
300308,中际旭创,2012-04-10,0,2012-04-10,2026-09-22,3346,2018-02-01,2095,42.22222222222222,43.333333333333336,58.333333333333336,25.0,17
600036,招商银行,2002-04-09,1102,2007-01-04,2026-09-22,4765,2012-02-01,3548,41.111111111111114,48.333333333333336,63.333333333333336,11.666666666666666,23
601318,中国平安,2007-03-01,0,2007-03-01,2026-09-22,4692,2012-05-02,3498,23.61111111111111,0.0,47.5,23.333333333333332,39
