code,variant,sampling,months,bin,bin_label,signals,complete,unmatured,missing_execution,missing_terminal,median_return,p25_return,p75_return,loss_rate,median_mdd,years,first,last
000300,main,daily,12,0,0–20,405,405,0,0,0,0.015221666000767797,-0.07860493226294718,0.16845383364365096,0.4567901234567901,-0.1659651770983256,10,2010-07-01,2024-09-18
000300,main,daily,12,1,20–40,1298,1292,6,0,0,0.07181325738016209,-0.06932625226692446,0.2052478757943061,0.39164086687306504,-0.17338262874601496,15,2010-02-01,2025-06-30
000300,main,daily,12,2,40–60,1162,1143,19,0,0,0.053271444040694504,-0.11102551266004906,0.21750888130493773,0.42607174103237094,-0.16759154122425135,16,2010-01-04,2025-07-17
000300,main,daily,12,3,60–80,791,651,140,0,0,0.09380184546556047,-0.09521892387141107,0.19723808951676136,0.3901689708141321,-0.18150054412177374,12,2010-11-02,2025-08-29
000300,main,daily,12,4,80–100,406,328,78,0,0,-0.13455774215225763,-0.20522248616133915,0.0034279812742377125,0.7439024390243902,-0.26575338114815095,6,2015-01-05,2025-09-19
000300,main,month_end,12,0,0–20,22,22,0,0,0,0.016332465154851428,-0.09984339545824003,0.15294077085327318,0.4090909090909091,-0.19296686212548808,7,2011-05-31,2023-12-29
000300,main,month_end,12,1,20–40,65,65,0,0,0,0.0857708045848653,-0.06821842419266766,0.21869700158869532,0.36923076923076925,-0.17186896031435017,15,2010-02-26,2025-06-30
000300,main,month_end,12,2,40–60,54,53,1,0,0,0.08245362591634908,-0.09097004026281352,0.23081809625040695,0.3584905660377358,-0.16079451891481067,15,2010-01-29,2025-04-30
000300,main,month_end,12,3,60–80,39,33,6,0,0,0.04394143960959762,-0.1138251601338891,0.145795803639587,0.45454545454545453,-0.21172961571419147,10,2013-01-31,2025-08-29
000300,main,month_end,12,4,80–100,20,15,5,0,0,-0.148237536151814,-0.212368612048503,-0.1165220862573999,0.8666666666666667,-0.2913185764877413,5,2015-01-30,2021-03-31
000300,main,MA60_episode_first,12,0,0–20,383,383,0,0,0,0.024202610424410187,-0.06988682057583623,0.17130429437336103,0.43342036553524804,-0.1659651770983256,10,2010-07-01,2024-09-18
000300,main,MA60_episode_first,12,1,20–40,881,875,6,0,0,0.0936670881009749,-0.04992509469790313,0.22625970000893425,0.36457142857142855,-0.17186896031435017,15,2010-02-01,2025-06-04
000300,main,MA60_episode_first,12,2,40–60,522,503,19,0,0,0.010941286255883309,-0.10487158294620424,0.2105368314457492,0.47713717693836977,-0.19292372574260508,16,2010-01-04,2025-07-01
000300,main,MA60_episode_first,12,3,60–80,198,129,69,0,0,0.030499923559088815,-0.14002478506939986,0.16880117777318127,0.4883720930232558,-0.23047027787255647,12,2010-11-02,2025-07-18
000300,main,MA60_episode_first,12,4,80–100,71,61,10,0,0,-0.14960758959438958,-0.18631225545668262,-0.12214995632385439,0.8688524590163934,-0.26575338114815095,6,2015-01-05,2025-09-01
000300,main,MA60_episode_nonoverlap,12,0,0–20,8,8,0,0,0,0.09241645580570912,-0.031730990432793094,0.27193121735852516,0.375,-0.1616187559672233,8,2010-07-01,2023-09-25
000300,main,MA60_episode_nonoverlap,12,1,20–40,13,12,1,0,0,0.019789553466343257,-0.06050111587692422,0.2167784458128405,0.4166666666666667,-0.180730717541416,12,2010-02-01,2025-02-05
000300,main,MA60_episode_nonoverlap,12,2,40–60,15,14,1,0,0,-0.018759507897413263,-0.12801108332806377,0.17162784598817105,0.5,-0.20990160375237948,14,2010-01-04,2024-09-26
000300,main,MA60_episode_nonoverlap,12,3,60–80,11,10,1,0,0,-0.014272113411373466,-0.16016103791638636,0.1871712212736753,0.5,-0.23684752001504017,10,2010-11-02,2024-10-08
000300,main,MA60_episode_nonoverlap,12,4,80–100,4,4,0,0,0,0.01159728241741087,-0.030699513823778085,0.05308724263728526,0.5,-0.19104276869062126,4,2015-01-05,2025-09-01
000300,valuation_only,daily,12,0,0–20,1632,1632,0,0,0,0.06259703170143449,-0.07811985847616015,0.31397562304954696,0.39215686274509803,-0.18981793898495702,11,2008-11-03,2025-06-30
