security_code,security_name,ex_dividend_date,cash_per_share,share_ratio,plan,report_date,plan_notice_date,progress,rights_ratio,rights_price
000651,格力电器,1996-12-30,0.000000,1.000000,10送10.00,1995-12-31,1996-12-20,实施分配,,
000651,格力电器,1997-11-18,1.000000,0.000000,"10派10.00元(含税,扣税后8.1494元)",1996-12-31,1997-11-07,实施分配,,
000651,,1998-04-21,0.000000,0.000000,10配3股@22元（新浪）,,1998-04-04,配股实施,0.300000,22.0000
000651,格力电器,1998-09-11,0.000000,1.000000,10转10.00,1998-06-30,1998-09-04,实施分配,,
000651,格力电器,1999-06-21,0.400000,0.000000,"10派4.00元(含税,扣税后3.3134元)",1998-12-31,1999-06-15,实施分配,,
000651,格力电器,2000-06-13,0.400000,0.000000,"10派4.00元(含税,扣税后3.20元)",1999-12-31,2000-06-06,实施分配,,
000651,,2000-08-04,0.000000,0.000000,10配3股@14元（新浪）,,2000-07-20,配股实施,0.300000,14.0000
000651,格力电器,2001-06-05,0.400000,0.500000,"10转5.00派4.00元(含税,扣税后3.20元)",2000-12-31,2001-05-29,实施分配,,
000651,格力电器,2002-06-13,0.300000,0.000000,"10派3.00元(含税,扣税后2.40元)",2001-12-31,2002-06-06,实施分配,,
000651,格力电器,2003-06-27,0.320000,0.000000,"10派3.20元(含税,扣税后2.56元)",2002-12-31,2003-06-20,实施分配,,
000651,格力电器,2004-06-30,0.330000,0.000000,"10派3.30元(含税,扣税后2.64元)",2003-12-31,2004-04-23,实施分配,,
000651,格力电器,2005-04-08,0.380000,0.000000,"10派3.80元(含税,扣税后3.04元)",2004-12-31,2005-02-24,实施分配,,
000651,格力电器,2006-07-11,0.400000,0.500000,"10转5.00派4.00元(含税,扣税后3.60元)",2005-12-31,2006-04-11,实施分配,,
000651,格力电器,2008-07-14,0.300000,0.500000,"10转5.00派3.00元(含税,扣税后2.70元)",2007-12-31,2008-04-18,实施分配,,
000651,格力电器,2009-06-03,0.300000,0.500000,"10转5.00派3.00元(含税,扣税后2.70元)",2008-12-31,2009-04-21,实施分配,,
000651,格力电器,2010-07-13,0.500000,0.500000,"10送5.00派5.00元(含税,扣税后4.00元)",2009-12-31,2010-04-27,实施分配,,
000651,格力电器,2011-05-31,0.300000,0.000000,"10派3.00元(含税,扣税后2.70元)",2010-12-31,2011-03-24,实施分配,,
000651,格力电器,2012-07-06,0.500000,0.000000,"10派5.00元(含税,扣税后4.50元)",2011-12-31,2012-04-25,实施分配,,
000651,格力电器,2013-07-11,1.000000,0.000000,"10派10.00元(含税,扣税后9.00元)",2012-12-31,2013-04-27,实施分配,,
000651,格力电器,2014-06-06,1.500000,0.000000,"10派15.00元(含税,扣税后13.50元)",2013-12-31,2014-04-25,实施分配,,
000651,格力电器,2015-07-03,3.000000,1.000000,"10转10.00派30.00元(含税,扣税后27.00元)",2014-12-31,2015-04-28,实施分配,,
000651,格力电器,2016-07-07,1.500000,0.000000,"10派15.00元(含税,扣税后13.50元)",2015-12-31,2016-04-29,实施分配,,
000651,格力电器,2017-07-05,1.800000,0.000000,"10派18.00元(含税,扣税后16.20元)",2016-12-31,2017-04-27,实施分配,,
