code,date,cached,fresh
600519,2003-11-17,22.900,22.97
600519,2009-11-12,166.520,166.50
600519,2011-12-02,213.420,214.03
600519,2011-12-05,206.790,206.72
600519,2011-12-13,197.450,196.25
600519,2011-12-14,198.210,197.84
600519,2011-12-15,195.890,196.98
600519,2016-01-04,210.000,210.02
000651,2009-11-12,28.170,28.15
000651,2011-12-02,17.500,17.45
000651,2011-12-05,17.370,17.41
000651,2011-12-13,16.470,16.40
000651,2011-12-14,16.330,16.41
000651,2011-12-15,16.380,16.49
000651,2014-04-23,30.290,30.27
000651,2016-01-04,20.210,20.26
300308,2014-04-23,14.170,14.29
600036,2009-07-09,18.250,18.27
600036,2009-11-12,18.050,18.10
600036,2011-12-13,11.780,11.66
600036,2011-12-14,11.760,11.68
600036,2011-12-15,11.600,11.41
600036,2016-01-04,17.300,17.28
