security_code,security_name,effective_date,change_reason,total_shares,limited_shares,unlimited_shares,shares_delta,source,retrieved_at_utc
000651,格力电器,1996-11-18,首发A股上市,75000000,,21000000,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889711+00:00
000651,格力电器,1996-12-27,送股上市,150000000,,42000000,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889709+00:00
000651,格力电器,1998-04-21,配售A股上市,162600000,,54542800,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889706+00:00
000651,格力电器,1998-09-11,转增股上市,325200000,,109200000,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889703+00:00
000651,格力电器,2000-08-04,配售A股上市,357960000,,141811280,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889700+00:00
000651,格力电器,2001-06-05,转增股上市,536940000,,212727060,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889697+00:00
000651,格力电器,2006-03-08,送股上市,536940000,266615661,270324339,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889694+00:00
000651,格力电器,2006-06-30,定期报告,536940000,266615661,270324339,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889691+00:00
000651,格力电器,2006-07-11,转增股上市,805410000,399923491,405486509,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889689+00:00
000651,格力电器,2007-03-29,股改限售流通股上市,805410000,314616991,490793009,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889686+00:00
000651,格力电器,2007-04-18,股改限售流通股上市,805410000,301116991,504293009,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889683+00:00
000651,格力电器,2007-12-10,增发A股上市,834930000,316923442,518006558,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889680+00:00
000651,格力电器,2008-01-21,网下配售股份上市,834930000,299337442,535592558,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889677+00:00
000651,格力电器,2008-04-02,股改限售流通股上市,834930000,238906317,596023683,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889674+00:00
000651,格力电器,2008-06-30,定期报告,834930000,237478359,597451641,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889672+00:00
000651,格力电器,2008-07-14,转增股上市,1252395000,356220538,896174462,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889669+00:00
000651,格力电器,2008-12-31,定期报告,1252395000,356208539,896186461,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889666+00:00
000651,格力电器,2009-03-13,股改限售流通股上市,1252395000,16896914,1235498086,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889663+00:00
000651,格力电器,2009-05-26,股份性质变更,1252395000,18251664,1234143336,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889660+00:00
000651,格力电器,2009-06-03,转增股上市,1878592500,27377496,1851215004,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889658+00:00
000651,格力电器,2010-07-06,股份性质变更,1878592500,25249626,1853342874,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889655+00:00
000651,格力电器,2010-07-13,送股上市,2817888750,37874439,2780014311,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889652+00:00
000651,格力电器,2010-12-31,定期报告,2817888750,37894127,2779994623,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889649+00:00
000651,格力电器,2011-06-30,定期报告,2817888750,37815375,2780073375,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889646+00:00
000651,格力电器,2012-01-13,增发A股上市,3007865439,133970312,2873895127,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889644+00:00
000651,格力电器,2012-01-18,其他变动原因,3007865439,227792064,2780073375,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889641+00:00
000651,格力电器,2012-05-04,网下配售股份上市,3007865439,37815375,2970050064,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889638+00:00
000651,格力电器,2012-06-30,定期报告,3007865439,43202542,2964662897,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889635+00:00
000651,格力电器,2012-12-31,高管股份变动,3007865439,21653875,2986211564,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889632+00:00
000651,格力电器,2014-12-31,高管股份变动,3007865439,21396176,2986469263,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889630+00:00
000651,格力电器,2015-06-25,高管股份变动,3007865439,21274697,2986590742,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889627+00:00
000651,格力电器,2015-07-03,转增股上市,6015730878,42549394,5973181484,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889624+00:00
000651,格力电器,2015-12-31,高管股份变动,6015730878,43613644,5972117234,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889621+00:00
000651,格力电器,2016-06-30,高管股份变动,6015730878,43774924,5971955954,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889618+00:00
000651,格力电器,2016-12-31,高管股份变动,6015730878,45128499,5970602379,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889615+00:00
000651,格力电器,2017-06-30,高管股份变动,6015730878,45238999,5970491879,,eastmoney:RPT_F10_EH_EQUITY,2026-09-22T12:29:59.889612+00:00
