security_code,security_name,report_date,notice_date,parent_netprofit,total_operate_income,basic_eps,deduct_basic_eps,bps,weightavg_roe,gross_margin,op_cashflow_ps,netprofit_yoy,revenue_yoy,netprofit_qoq,revenue_qoq,source,retrieved_at_utc
000651,格力电器,1996-06-30,2000-05-29,131181703.51,1853619209.94,,0,6.178322700133,,24.5000605704,0,,,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:49:43+00:00
000651,格力电器,1996-12-31,1997-04-28,186336216.91,2841224249.44,,0,3.71,,28.4625395383,0,20.0835268491,10.8076678648,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:49:48+00:00
000651,格力电器,1997-06-30,1997-08-22,142931767.63,2061178854.53,,0,4.65,,,0,8.9570906655,11.1975341795,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:49:53+00:00
000651,格力电器,1997-12-31,1998-01-20,198358706.07,3451661951.11,,0,4.02,,27.0163239393,0,6.4520410253,21.4850236404,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:49:59+00:00
000651,格力电器,1998-06-30,1998-07-30,156709932.01,2457114964.98,,0,6.41,,37.636429006,2.55,9.6396795537,19.2092068857,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:50:06+00:00
000651,格力电器,1998-12-31,2000-03-15,215077377.94,3617840993.13,0.66,0,2.95,26.3,28.09169553,1.75,8.4285041989,4.8144645789,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:50:13+00:00
600519,贵州茅台,1998-12-31,2001-07-26,146891419.61,628184433.19,,0,,,87.7861713971,0,,,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:50:13+00:00
000651,格力电器,1999-06-30,2000-07-29,164793428.55,2762771732.08,,0,3.45,,33.5568698505,0,5.15825413,12.4396607996,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:50:21+00:00
000651,格力电器,1999-12-31,2001-03-10,229161235.93,4907939501.4,,0,3.25,,30.9291194249,1.08,6.5482749162,35.659347957,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:50:29+00:00
600036,招商银行,1999-12-31,2002-03-19,481785000,4111062000,,0,0.72,17.65,,0,,,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:50:29+00:00
600519,贵州茅台,1999-12-31,2001-07-26,215690128.65,890858185.64,1.17,0,1.54,,85.5046248268,0,46.8364382499,41.8147503459,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:50:29+00:00
000651,格力电器,2000-06-30,2001-08-08,116979548.58,2835598365.51,,0,3.61,,27.3456202963,0.5508622351,-29.0144336402,2.6359989349,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:50:37+00:00
000651,格力电器,2000-12-31,2002-03-16,249624577.9,6177717129.96,0.76,0,4.52,19.1,27.4893736737,2.42,8.9296699274,25.8719087348,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:50:48+00:00
600036,招商银行,2000-12-31,2002-03-19,803812000,5063184000,,0,0.88,28.28,,1.8,66.8403956122,23.1600009924,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:50:48+00:00
600519,贵州茅台,2000-12-31,2002-04-17,249558877.77,1114000813.26,1.36,0,2.4,68.86,82.3282495267,2.4,15.7025030918,25.0480526774,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:50:48+00:00
000651,格力电器,2001-06-30,2002-08-21,165266881.41,3435272489.32,0.308,0,3.312,9.59,21.317878758,-1.377,41.2784400488,21.1480628253,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:50:55+00:00
600036,招商银行,2001-06-30,2002-08-19,646808000,4194171000,,0,1.03,16.14,,3.42,,,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:50:55+00:00
600519,贵州茅台,2001-06-30,2002-08-14,223407942.67,873863478.94,1.21,0,3.0353,40.16,83.2372941106,-0.47,,,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:50:55+00:00
000651,格力电器,2001-12-31,2003-04-19,261289686.97,6587976827.62,0.51,0,3.21,15.6,21.8986055531,-0.06,4.6730611097,6.6409595815,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:04+00:00
600036,招商银行,2001-12-31,2003-04-18,1375310000,8648738000,,0,1.22,32.52,,5.21,71.0984658104,70.8161899706,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:04+00:00
600519,贵州茅台,2001-12-31,2003-03-26,328290723.14,1618046660.31,1.59,0,10.12,26.79,82.229284534,0.17,31.548404959,45.246452341,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:04+00:00
000651,格力电器,2002-03-31,2002-04-23,58881072.7,1008806263.69,,0,3.3217,,17.1291270673,0,,,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:12+00:00
600036,招商银行,2002-03-31,2002-04-30,336934000,2079995000,,0,3.690091655974,,,0,,,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:12+00:00
600519,贵州茅台,2002-03-31,2002-04-29,206448262.49,718014858.53,,0,10.9496,,83.9067606196,0,,,,,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:12+00:00
000651,格力电器,2002-06-30,2003-08-23,168968680.66,3472390120.16,0.31,0,3.5,9.35,15.1567739003,1.57,2.2398917547,1.0804857826,86.966,144.2078,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:19+00:00
600036,招商银行,2002-06-30,2003-08-26,842546000,4420692000,,0,2.82,8.72,,1.23,30.2621488912,5.4008527549,71.4276,15.9947,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:19+00:00
600519,贵州茅台,2002-06-30,2003-07-30,238275978.99,955654212.62,0.95,0,11.08,8.99,83.4282588578,-0.72,6.6551064131,9.3596695195,-84.5832,-66.9033,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:19+00:00
000651,格力电器,2002-09-30,2003-10-25,271211452.2,5414063455.64,,0,3.715,,19.5052859526,1.95382442353,,,-7.126,-21.185,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:26+00:00
600036,招商银行,2002-09-30,2003-10-27,1335489000,6665705000,,0,2.8951,,,0,,,-27.1194,-9.9332,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:26+00:00
600519,贵州茅台,2002-09-30,2003-10-30,309250570,1363886224.32,,0,10.33,,83.0780789105,0,,,122.9962,71.7864,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:26+00:00
000651,格力电器,2002-12-31,2004-04-23,297216557.72,7029690860.93,0.55,0,3.42,16.74,20.7873769686,1.37,13.7498234877,6.7048510471,-74.9636,-16.792,eastmoney RPT_LICO_FN_CPD,2026-08-08T11:51:33+00:00
