security_code,ex_dividend_date,cash_per_share,share_ratio,rights_ratio,rights_price,price_cash_per_share,price_share_ratio,price_rights_ratio,price_rights_price,notice_date,source_url,source_pages,source_sha256,note
300308,2023-06-06,0.2,0.0,0.0,0.0,0.195898,0,0,0,2023-05-30,https://pdf.dfcfw.com/pdf/H2_AN202305291587344325_1.pdf,1,3e9580d1ed9858f7172c98d30b72452dc39458cf381969dccc53a39931a847b1,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
300308,2024-06-06,0.45,0.4,0.0,0.0,0.4408015,0.3918236,0,0,2024-05-30,https://pdf.dfcfw.com/pdf/H2_AN202405301634964339_1.pdf,1;4,43776bd0a4bd26d2b5660fedd1724041103f4bee1505844dfc61de15a4658a1b,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
300750,2024-04-30,5.028,0.0,0.0,0.0,5.0147304,0,0,0,2024-04-23,https://pdf.dfcfw.com/pdf/H2_AN202404231631059060_1.pdf,1,7739837887d22cfea7f8768731cb60b59f28e0294a7241b2d2824633bd180fb5,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
300750,2025-04-22,4.553,0.0,0.0,0.0,4.5364651,0,0,0,2025-04-15,https://pdf.dfcfw.com/pdf/H2_AN202504151656919647_1.pdf,1;4,66ccd122ba52d7b6cbd00bc4465ca4cf5e7a65540783ea65688e53eae7dea781,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
300750,2026-04-22,6.957,0.0,0.0,0.0,6.9065252,0,0,0,2026-04-15,https://pdf.dfcfw.com/pdf/H2_AN202604151821244991_1.pdf,1;4,3fc437d1dd558cb4455616960a9866905567ee0fda414a0d45d56236c8fbb6e2,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
600519,2025-06-26,27.673,0.0,0.0,0.0,27.600,0,0,0,2025-06-20,https://pdf.dfcfw.com/pdf/H2_AN202506191693850858_1.pdf,3,8ff3e6e370c75cece700e5474337c8ecf1adb87b01a1a696bae02fd25982af3b,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
601318,2019-09-04,0.75,0.0,0.0,0.0,0.7476,0,0,0,2019-08-29,https://pdf.dfcfw.com/pdf/H2_AN201908281345264577_1.pdf,2,31b493f757ff64bdb936d70f2576d6182e716ef621b3f589b3c3114dbbbba2f6,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
601318,2020-05-08,1.3,0.0,0.0,0.0,1.2950,0,0,0,2020-04-29,https://pdf.dfcfw.com/pdf/H2_AN202004281378920823_1.pdf,2,bf2fda9e2b2d80da1df5524653f764c96a72714fe61d62edf16e94ac65909b81,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
601318,2020-09-16,0.8,0.0,0.0,0.0,0.7969,0,0,0,2020-09-10,https://pdf.dfcfw.com/pdf/H2_AN202009091409706626_1.pdf,2,340c8bf3a74a61881629370682d06351b8d644753efa39878f58fe84c974dbb8,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
601318,2021-04-22,1.4,0.0,0.0,0.0,1.3946,0,0,0,2021-04-15,https://pdf.dfcfw.com/pdf/H2_AN202104141484836297_1.pdf,2,93e44e430a7603abc3a28ffca388aa3772cb539aa382ae79a4b2a78dd54d93e0,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
601318,2021-10-25,0.88,0.0,0.0,0.0,0.8739,0,0,0,2021-10-16,https://pdf.dfcfw.com/pdf/H2_AN202110151522858676_1.pdf,2,e8a8451f3c6bdacc8f04decf9c4986ef6b43bbc39c294550df3c3a97e18cf881,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
601318,2022-06-20,1.5,0.0,0.0,0.0,1.4858,0,0,0,2022-06-11,https://pdf.dfcfw.com/pdf/H2_AN202206101571238295_1.pdf,2,c3c7aa1b51962b1441c6d9a2cdafe6c66264323b2f4c39a2e9b30a6c180d0bd3,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
601318,2022-10-20,0.92,0.0,0.0,0.0,0.9053,0,0,0,2022-10-13,https://pdf.dfcfw.com/pdf/H2_AN202210121579101458_1.pdf,2,63ba8885c1954203bd16dacb4368fd169e611b3b997756c9c702bf7a275782b8,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
601318,2023-06-14,1.5,0.0,0.0,0.0,1.4761,0,0,0,2023-06-07,https://pdf.dfcfw.com/pdf/H2_AN202306061590460391_1.pdf,2,180746b113c809754ca98ab00f93443f6259b4f3c2bcdb0934cf9885b5def9e9,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
601318,2023-10-25,0.93,0.0,0.0,0.0,0.9211,0,0,0,2023-10-18,https://pdf.dfcfw.com/pdf/H2_AN202310171601763071_1.pdf,2,061efc6fad99656444a63cda230d3f9521eaa1aedf0ee22279a212814d5a840e,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
601318,2024-07-26,1.5,0.0,0.0,0.0,1.4857,0,0,0,2024-07-19,https://pdf.dfcfw.com/pdf/H2_AN202407181638051922_1.pdf,2,38e27699e33f25a62eb153e8396f124a440d5ec4966042ed1760a7c9500bfac7,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
601318,2024-10-18,0.93,0.0,0.0,0.0,0.9211,0,0,0,2024-10-11,https://pdf.dfcfw.com/pdf/H2_AN202410101640247853_1.pdf,2,1fe8a80b0c920b71c5b12fd2bc43aabca2a19143dc2d256d9139108143c6aec3,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
601318,2025-06-30,1.62,0.0,0.0,0.0,1.6046,0,0,0,2025-06-20,https://pdf.dfcfw.com/pdf/H2_AN202506191693857121_1.pdf,2,48a1053e6c280b2728ac68383bd7efb202d2a561af4e9a55fe6671db8e034120,实施公告价格公式；实付金额按事件库既有精度核对；按日合计覆盖
