security_code,first_sig_year,trigger_year,last_sig_year,why,peak_revenue_yi
600961,2004,2006,2025,T2 营收3.0倍·毛利率10.5%≥首签9.6%,222.5
600829,2004,2006,2025,T1 滚动三年ROE中位21.6%(首签年3.3%)｜T2 营收3.2倍·毛利率47.4%≥首签40.6%,103.9
000912,2005,2006,2022,T1 滚动三年ROE中位21.4%(首签年15.2%),75.3
600533,2005,2006,2019,T1 滚动三年ROE中位23.3%(首签年17.9%),31.4
600153,2002,2007,2024,T2 营收4.0倍·毛利率6.3%≥首签5.8%,8328.3
002024,2004,2007,2025,T2 营收4.4倍·毛利率14.5%≥首签9.8%,2692.3
000651,2002,2007,2025,T1 滚动三年ROE中位22.4%(首签年16.7%),2050.2
600058,2002,2007,2025,T2 营收3.1倍·毛利率5.8%≥首签3.3%,2032.6
600309,2003,2007,2025,T2 营收5.8倍·毛利率40.4%≥首签35.9%,2032.3
000001,2002,2007,2025,T1 滚动三年ROE中位22.8%(首签年11.2%),1799.0
600031,2004,2007,2025,T2 营收3.4倍·毛利率34.6%≥首签32.1%,1068.7
000829,2005,2007,2024,T1 滚动三年ROE中位27.4%(首签年17.1%),948.2
600827,2002,2007,2025,T2 营收3.0倍·毛利率20.2%≥首签18.0%,519.6
000550,2003,2007,2025,T1 滚动三年ROE中位20.4%(首签年16.7%),391.7
600809,2002,2007,2025,T1 滚动三年ROE中位25.3%(首签年2.0%)｜T2 营收3.6倍·毛利率77.1%≥首签63.7%,387.2
000528,2004,2007,2025,T1 滚动三年ROE中位20.5%(首签年18.9%),331.4
600583,2002,2007,2025,T2 营收3.8倍·毛利率20.8%≥首签15.6%,307.5
600582,2006,2007,2025,T1 滚动三年ROE中位28.4%(首签年18.2%),305.3
600183,2006,2007,2025,T1 滚动三年ROE中位25.6%(首签年17.9%),284.3
600685,2006,2007,2025,T1 滚动三年ROE中位30.8%(首签年12.9%),255.2
600675,2004,2007,2025,T1 滚动三年ROE中位20.8%(首签年11.6%),192.9
600739,2004,2007,2024,T1 滚动三年ROE中位32.8%(首签年5.3%),192.8
600067,2006,2007,2025,T1 滚动三年ROE中位20.3%(首签年19.8%),123.9
000612,2004,2007,2025,T1 滚动三年ROE中位28.1%(首签年15.1%),64.9
000869,2002,2007,2025,T1 滚动三年ROE中位22.1%(首签年13.0%),60.3
600269,2003,2007,2017,T2 营收4.2倍·毛利率68.1%≥首签63.9%,43.3
000623,2002,2007,2025,T1 滚动三年ROE中位24.6%(首签年7.1%),34.5
600840,2006,2007,2010,T1 滚动三年ROE中位43.8%(首签年17.9%),14.1
600048,2006,2008,2025,T2 营收3.8倍·毛利率40.8%≥首签35.8%,3468.9
600383,2004,2008,2023,T2 营收3.1倍·毛利率43.1%≥首签27.0%,1202.1
000425,2003,2008,2025,T1 滚动三年ROE中位28.5%(首签年10.4%)｜T2 营收4.5倍·毛利率18.7%≥首签14.2%,1168.0
600547,2005,2008,2025,T1 滚动三年ROE中位23.2%(首签年11.8%),1042.9
600089,2004,2008,2025,T1 滚动三年ROE中位26.0%(首签年10.1%)｜T2 营收3.4倍·毛利率20.5%≥首签19.5%,982.1
000527,2006,2008,2014,T1 滚动三年ROE中位21.0%(首签年13.3%),931.1
000761,2003,2008,2021,T2 营收3.5倍·毛利率11.1%≥首签8.7%,779.1
000028,2007,2008,2025,T1 滚动三年ROE中位24.5%(首签年17.1%),754.8
600886,2005,2008,2025,T2 营收3.6倍·毛利率33.9%≥首签32.5%,578.2
600511,2007,2008,2025,T1 滚动三年ROE中位21.1%(首签年16.1%),524.7
600970,2005,2008,2025,T2 营收3.4倍·毛利率13.2%≥首签11.0%,496.0
000963,2007,2008,2025,T1 滚动三年ROE中位28.0%(首签年17.8%),436.1
000568,2002,2008,2025,T1 滚动三年ROE中位31.7%(首签年6.4%)｜T2 营收3.6倍·毛利率66.1%≥首签57.9%,312.0
000402,2004,2008,2022,T2 营收3.2倍·毛利率50.0%≥首签39.8%,261.8
600997,2004,2008,2024,T1 滚动三年ROE中位21.9%(首签年19.9%),260.0
600352,2003,2008,2025,T2 营收3.7倍·毛利率25.6%≥首签23.8%,213.6
600845,2005,2008,2025,T1 滚动三年ROE中位23.2%(首签年15.6%),136.4
600550,2007,2008,2011,T1 滚动三年ROE中位20.4%(首签年14.1%),76.3
600570,2007,2008,2025,T1 滚动三年ROE中位20.6%(首签年11.6%),72.8
000726,2006,2008,2019,T1 滚动三年ROE中位20.8%(首签年18.4%),68.8
600161,2007,2008,2025,T1 滚动三年ROE中位20.4%(首签年15.5%),61.7
600162,2007,2008,2020,T1 滚动三年ROE中位21.4%(首签年8.1%),54.1
600895,2005,2008,2025,T2 营收3.3倍·毛利率62.9%≥首签42.0%,41.8
600033,2002,2008,2025,T2 营收3.1倍·毛利率76.8%≥首签72.7%,30.5
600690,2002,2009,2025,T2 营收3.9倍·毛利率27.7%≥首签12.9%,3023.5
601607,2002,2009,2025,T2 营收4.3倍·毛利率19.0%≥首签14.1%,2835.8
600887,2002,2009,2025,T2 营收6.1倍·毛利率35.1%≥首签33.3%,1261.8
600166,2002,2009,2025,T1 滚动三年ROE中位22.6%(首签年11.8%)｜T2 营收5.9倍·毛利率11.2%≥首签9.7%,612.5
600066,2003,2009,2025,T1 滚动三年ROE中位27.7%(首签年11.6%),414.3
600729,2002,2009,2025,T1 滚动三年ROE中位20.8%(首签年15.1%)｜T2 营收5.8倍·毛利率14.6%≥首签12.2%,364.9
002032,2004,2009,2025,T2 营收4.1倍·毛利率31.0%≥首签27.7%,227.7
600415,2005,2009,2025,T1 滚动三年ROE中位20.3%(首签年18.6%),199.3
002075,2006,2009,2025,T2 营收4.1倍·毛利率6.7%≥首签5.3%,184.9
600177,2002,2009,2025,T1 滚动三年ROE中位21.5%(首签年19.9%),159.0
000513,2002,2009,2025,T1 滚动三年ROE中位24.9%(首签年5.6%),126.3
600395,2008,2009,2024,T1 滚动三年ROE中位22.4%(首签年7.9%),118.4
600216,2008,2009,2024,T1 滚动三年ROE中位54.5%(首签年8.0%),93.8
600588,2004,2009,2022,T1 滚动三年ROE中位22.3%(首签年--),92.6
000423,2002,2009,2025,T1 滚动三年ROE中位21.0%(首签年14.0%),73.7
600779,2004,2009,2025,T1 滚动三年ROE中位22.6%(首签年1.3%),52.2
600993,2006,2009,2025,T1 滚动三年ROE中位20.3%(首签年12.2%),38.7
600052,2002,2009,2013,T1 滚动三年ROE中位25.7%(首签年--),19.2
600880,2005,2009,2024,T1 滚动三年ROE中位22.6%(首签年18.6%),16.9
000506,2008,2009,2025,T1 滚动三年ROE中位56.1%(首签年--),13.3
600097,2007,2009,2008,T1 滚动三年ROE中位29.0%(首签年3.9%),10.3
600755,2004,2010,2025,T2 营收3.4倍·毛利率5.5%≥首签5.1%,5219.4
600029,2003,2010,2025,T2 营收4.5倍·毛利率19.6%≥首签16.8%,1822.6
601111,2006,2010,2019,T1 滚动三年ROE中位22.5%(首签年12.5%),1367.7
000800,2005,2010,2025,T1 滚动三年ROE中位22.9%(首签年6.5%),1136.8
600839,2002,2010,2025,T2 营收3.3倍·毛利率16.3%≥首签14.9%,1088.2
000858,2002,2010,2025,T1 滚动三年ROE中位24.9%(首签年--),891.8
600489,2006,2010,2025,T2 营收4.0倍·毛利率16.1%≥首签13.5%,790.7
600820,2002,2010,2025,T2 营收3.4倍·毛利率11.7%≥首签10.1%,742.2
600143,2004,2010,2025,T2 营收4.3倍·毛利率14.8%≥首签10.4%,654.0
000024,2002,2010,2016,T2 营收3.6倍·毛利率39.8%≥首签14.6%,433.9
000411,2009,2010,2025,T1 滚动三年ROE中位20.6%(首签年15.1%),336.8
000999,2002,2010,2025,T1 滚动三年ROE中位21.1%(首签年6.1%),316.0
