security_code,basis,from_period,from_notice,to_period,to_notice
000333,fin,2013-12-31,2014-03-29,9999,
000778,fin,2002-12-31,2003-04-30,2008-12-31,2009-04-30
000792,fin,2004-12-31,2005-04-30,2015-12-31,2016-04-30
000887,fin,2011-12-31,2012-04-24,2020-12-31,2021-04-30
000933,fin,2004-12-31,2005-04-30,2014-12-31,2015-03-25
000933,fin,2022-12-31,2023-03-28,9999,
001389,fin,2024-12-31,2025-04-01,9999,
002022,fin,2009-12-31,2010-04-30,2017-12-31,2018-04-19
002063,fin,2011-12-31,2012-04-07,2016-12-31,2017-04-20
002142,qual,2007-12-31,2008-04-30,9999,
002152,fin,2008-12-31,2009-04-30,2018-12-31,2019-04-27
002153,fin,2012-12-31,2013-03-30,2018-12-31,2019-04-23
002223,fin,2011-12-31,2012-04-05,2018-12-31,2019-04-18
002236,fin,2012-12-31,2013-03-18,2025-12-31,2026-04-18
002252,fin,2011-12-31,2012-04-30,2016-12-31,2017-04-12
002275,fin,2009-12-31,2010-04-30,2021-12-31,2022-04-27
002304,fin,2009-12-31,2010-04-30,9999,
002415,fin,2010-12-31,2011-03-19,9999,
002739,fin,2015-12-31,2016-03-31,2018-12-31,2019-04-26
002807,qual,2016-12-31,2017-03-15,2018-12-31,2019-03-15
002807,qual,2023-12-31,2024-03-30,9999,
002833,fin,2017-12-31,2018-04-18,9999,
002839,qual,2022-12-31,2023-03-28,9999,
002841,fin,2017-12-31,2018-04-16,2025-12-31,2026-03-25
002936,qual,2018-12-31,2019-03-29,2021-12-31,2022-03-31
002948,qual,2019-12-31,2020-03-21,9999,
002958,qual,2019-12-31,2020-04-27,2024-12-31,2025-04-25
002966,qual,2019-12-31,2020-03-31,2021-12-31,2022-03-29
002966,qual,2024-12-31,2025-04-29,9999,
300357,fin,2018-12-31,2019-03-28,2025-12-31,2026-04-24
300595,fin,2019-12-31,2020-04-10,9999,
300628,fin,2017-12-31,2018-04-25,9999,
300760,fin,2019-12-31,2020-04-02,9999,
301004,fin,2022-12-31,2023-04-26,9999,
600000,qual,2002-12-31,2003-04-30,2023-12-31,2024-04-30
600006,fin,2002-12-31,2003-04-30,2006-12-31,2007-04-30
600009,qual,2002-12-31,2003-04-30,2010-12-31,2011-02-26
600009,qual,2013-12-31,2014-03-29,2022-12-31,2023-03-25
600015,qual,2005-12-31,2006-04-30,2022-12-31,2023-04-28
600016,qual,2002-12-31,2003-04-30,2022-12-31,2023-03-28
600028,qual,2003-12-31,2004-04-30,2016-12-31,2017-03-27
600036,qual,2002-12-31,2003-04-30,9999,
600085,fin,2002-12-31,2003-04-30,2007-12-31,2008-04-30
600188,fin,2002-12-31,2003-04-30,2015-12-31,2016-03-30
600188,fin,2022-12-31,2023-03-25,9999,
600276,fin,2002-12-31,2003-04-30,9999,
600436,fin,2011-12-31,2012-04-14,9999,
600519,fin,2002-12-31,2003-04-30,9999,
600585,fin,2003-12-31,2004-04-30,2025-12-31,2026-03-25
600660,fin,2003-12-31,2004-04-30,2021-12-31,2022-03-18
600717,fin,2002-12-31,2003-04-30,2005-12-31,2006-04-30
600897,qual,2008-12-31,2009-04-30,2022-12-31,2023-04-28
600900,fin,2005-12-31,2006-04-30,2010-12-31,2011-04-30
600901,qual,2018-12-31,2019-04-25,9999,
600908,qual,2016-12-31,2017-03-30,9999,
600919,qual,2016-12-31,2017-03-20,9999,
600925,qual,2023-12-31,2024-04-10,9999,
600926,qual,2016-12-31,2017-04-19,9999,
600928,qual,2019-12-31,2020-04-22,2024-12-31,2025-04-30
600938,qual,2022-12-31,2023-03-30,9999,
601001,qual,2007-12-31,2008-04-30,2013-12-31,2014-04-29
601001,qual,2019-12-31,2020-04-29,9999,
601009,qual,2007-12-31,2008-04-30,9999,
601077,qual,2019-12-31,2020-03-27,2022-12-31,2023-03-31
601088,qual,2008-12-31,2009-04-30,2017-12-31,2018-03-24
601088,qual,2019-12-31,2020-03-28,9999,
601128,qual,2016-12-31,2017-03-31,9999,
601166,qual,2007-12-31,2008-04-30,9999,
601169,qual,2007-12-31,2008-04-30,2024-12-31,2025-04-15
601187,qual,2020-12-31,2021-04-27,9999,
601229,qual,2016-12-31,2017-04-24,9999,
601288,qual,2011-12-31,2012-03-23,9999,
601318,qual,2007-12-31,2008-04-30,9999,
601319,qual,2018-12-31,2019-03-23,9999,
601328,qual,2007-12-31,2008-04-30,2025-12-31,2026-03-28
601398,qual,2007-12-31,2008-04-30,9999,
601515,fin,2012-12-31,2013-04-09,2021-12-31,2022-04-15
601528,qual,2021-12-31,2022-03-31,9999,
601577,qual,2018-12-31,2019-03-25,9999,
601628,qual,2007-12-31,2008-04-30,2013-12-31,2014-03-26
601628,qual,2015-12-31,2016-03-24,9999,
601658,qual,2019-12-31,2020-03-26,9999,
601665,qual,2021-12-31,2022-04-29,9999,
601818,qual,2010-12-31,2011-04-12,2025-12-31,2026-03-31
601825,qual,2021-12-31,2022-04-30,9999,
601838,qual,2018-12-31,2019-04-25,9999,
601857,qual,2007-12-31,2008-04-30,2016-12-31,2017-03-31
601857,qual,2024-12-31,2025-03-31,9999,
601860,qual,2019-12-31,2020-03-25,2023-12-31,2024-04-26
601916,qual,2019-12-31,2020-03-30,2023-12-31,2024-03-29
601939,qual,2007-12-31,2008-04-30,9999,
601963,qual,2021-12-31,2022-04-01,9999,
601988,qual,2006-12-31,2007-04-30,9999,
601997,qual,2016-12-31,2017-04-15,2025-12-31,2026-04-23
601998,qual,2007-12-31,2008-04-30,9999,
603195,fin,2021-12-31,2022-04-12,9999,
603288,fin,2014-12-31,2015-03-10,9999,
603323,qual,2018-12-31,2019-01-17,9999,
603868,fin,2016-12-31,2017-03-30,9999,
605499,fin,2022-12-31,2023-04-22,9999,
