security_code,security_name_current,year,signals,evidence,is_delisted,resolution,original_source,detected_at_utc,in_judgment_queue
000003,PT金田A,2001,A,年报营收0.37亿<三季报累计1.68亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000003,PT金田A,2016,B,H1 加权ROE -193.36 与归母净利 16.17亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000005,ST星源,2004,A,年报营收0.49亿<三季报累计0.58亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000005,ST星源,2006,A+B,年报营收3.31亿<三季报累计3.44亿；FY 加权ROE 7.98 与归母净利 -0.65亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000005,ST星源,2019,A,年报营收5.53亿<三季报累计5.69亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000006,深振业A,2002,B,FY 加权ROE 5.56 与归母净利 -0.07亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000009,中国宝安,2004,B,FY 加权ROE 1.44 与归母净利 -1.15亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000010,*ST美丽,2005,A,年报营收1.83亿<三季报累计2.25亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000013,*ST石化A,2003,A,年报营收0.00亿<三季报累计3.80亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000014,沙河股份,2000,B,FY 加权ROE 577.2931 与归母净利 -0.33亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000018,神城A退,2010,B,Q1 加权ROE 2.8 与归母净利 -0.04亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000018,神城A退,2021,A,年报营收0.20亿<三季报累计0.75亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000018,神城A退,2022,A,年报营收-0.01亿<三季报累计0.00亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000019,深粮控股,2018,B,Q3 加权ROE -3.22 与归母净利 2.90亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000030,富奥股份,2002,A,年报营收0.07亿<三季报累计0.08亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000030,富奥股份,2005,A,年报营收0.82亿<三季报累计0.91亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000030,富奥股份,2011,B,H1 加权ROE -105.79 与归母净利 14.57亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000030,富奥股份,2012,B,FY 加权ROE -1871.88 与归母净利 4.67亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000033,新都退,2015,B,FY 加权ROE -44.36 与归母净利 0.70亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,N
000035,中国天楹,2007,A,年报营收0.11亿<三季报累计0.12亿,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000037,深南电A,2013,B,FY 加权ROE -4.88 与归母净利 0.53亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000040,*ST旭蓝,2006,B,FY 加权ROE 1.4 与归母净利 -0.05亿 符号矛盾,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000040,*ST旭蓝,2023,A,年报营收14.89亿<三季报累计15.26亿,Y,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000048,京基智农,2006,B,H1 加权ROE 6.01 与归母净利 -0.32亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000048,京基智农,2018,B,Q3 加权ROE 8.47 与归母净利 -0.58亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
000050,深天马A,2012,B,FY 加权ROE -17.73 与归母净利 0.54亿 符号矛盾,N,overridden,sina vFD_FinancialGuideLine,2026-08-11T16:35:39+00:00,Y
