as_of_year,security_code,security_name,listed_on,years_listed,roe_avg5,roe_min5,roe_years,gross_margin,net_margin,revenue_yi,profit_yi,revenue_cagr,profit_cagr,today_class,today_in_pool
2005,001696,宗申动力,1997-03-06,8,0.4298,0.2448,5,0.1219,0.0561,16.49,0.92,0.8198,0.7755,boundary_pending,0
2005,002041,登海种业,2005-04-18,0,0.4234,0.1653,4,0.4603,0.2081,4.14,0.86,0.3036,0.0850,boundary_pending,0
2005,002017,东信和平,2004-07-13,1,0.4072,0.0289,5,0.1574,0.0179,6.48,0.12,-0.0059,-0.3613,boundary_pending,0
2005,002024,ST易购,2004-07-21,1,0.3991,0.3283,5,0.0968,0.0220,159.36,3.51,0.7592,0.9303,boundary_pending,0
2005,600410,华胜天成,2004-04-27,1,0.3299,0.1579,5,0.2133,0.0900,11.28,1.02,0.2201,0.1934,boundary_pending,0
2005,002008,大族激光,2004-06-25,1,0.3143,0.1439,5,0.3972,0.1087,5.56,0.60,0.5143,0.2402,worth_attention,1
2005,002005,德豪润达,2004-06-25,1,0.3132,0.0085,5,0.1165,0.0030,20.70,0.06,0.4847,-0.3964,boundary_pending,0
2005,600594,益佰制药,2004-03-23,1,0.3116,0.1290,5,0.7164,0.0939,7.39,0.69,0.2787,0.1949,boundary_pending,0
2005,002022,科华生物,2004-07-21,1,0.3032,0.1731,5,0.5563,0.1877,3.01,0.56,0.2287,0.2117,boundary_pending,0
2005,000402,金融街,1996-06-26,9,0.3021,0.1950,5,0.3925,0.2045,20.00,4.09,0.2358,0.2827,boundary_pending,0
2005,600022,山东钢铁,2004-06-29,1,0.3011,0.2314,5,0.0921,0.0345,240.17,8.29,0.4761,0.3526,boundary_pending,0
2005,600521,华海药业,2003-03-04,2,0.2960,0.1384,5,0.5518,0.3046,4.23,1.29,0.2421,0.3189,boundary_pending,0
2005,002028,思源电气,2004-08-05,1,0.2960,0.2099,5,0.4554,0.1515,5.56,0.84,0.5712,0.4026,boundary_pending,0
2005,002010,传化智联,2004-06-29,1,0.2907,0.1784,5,0.2481,0.0878,8.15,0.72,0.2812,0.3533,boundary_pending,0
2005,600031,三一重工,2003-07-03,2,0.2902,0.1042,5,0.3501,0.0852,25.37,2.16,0.4653,0.2408,worth_attention,1
2005,600971,恒源煤电,2004-08-17,1,0.2878,0.2254,5,0.3747,0.1778,11.39,2.03,0.4166,0.4757,boundary_pending,0
2005,002032,苏泊尔,2004-08-17,1,0.2865,0.1006,5,0.2487,0.0471,14.70,0.69,0.3302,0.2982,worth_attention,1
2005,600271,航天信息,2003-07-11,2,0.2846,0.1270,5,0.2557,0.1003,25.25,2.53,0.4768,0.3351,boundary_pending,0
2005,002020,京新药业,2004-07-15,1,0.2838,0.0660,5,0.3223,0.0611,3.02,0.18,0.0738,0.1663,boundary_pending,0
2005,600477,杭萧钢构,2003-11-10,2,0.2807,0.0790,5,0.1643,0.0269,15.16,0.41,0.4876,0.2500,boundary_pending,0
2005,600309,万华化学,2001-01-05,4,0.2802,0.1546,5,0.3742,0.1866,33.10,6.18,0.5514,0.5736,worth_attention,1
2005,002021,中捷资源,2004-07-15,1,0.2788,0.1321,5,0.2488,0.0807,6.85,0.55,0.3196,0.2383,boundary_pending,0
2005,600114,东睦股份,2004-05-11,1,0.2653,0.0722,5,0.2365,0.0994,4.45,0.44,0.2646,0.1923,boundary_pending,0
2005,600143,金发科技,2004-06-23,1,0.2627,0.1841,5,0.1035,0.0473,34.55,1.64,0.5334,0.5424,boundary_pending,0
2005,000039,中集集团,1994-04-08,11,0.2617,0.1786,5,0.1636,0.0862,309.59,26.69,0.4626,0.4890,boundary_pending,0
2005,600660,福耀玻璃,1993-06-10,12,0.2614,0.1950,5,0.3051,0.1346,29.11,3.92,0.3272,0.2667,worth_attention,1
2005,000088,盐田港,1997-07-28,8,0.2537,0.1983,5,0.5145,1.0636,6.44,6.84,0.1382,0.1614,boundary_pending,0
2005,002027,分众传媒,2004-08-04,1,0.2495,0.1442,5,0.0742,0.0342,23.96,0.82,0.2956,0.4234,worth_attention,1
2005,000617,中油资本,1996-10-22,9,0.2475,0.1239,5,0.2568,0.1545,8.03,1.24,0.3659,0.6408,boundary_pending,0
2005,600256,广汇能源,2000-05-26,5,0.2466,0.1143,5,0.1717,0.0855,22.65,1.94,0.0450,-0.0820,boundary_pending,0
2005,002047,宝鹰股份,2005-05-31,0,0.2440,0.0980,4,0.1770,0.0395,13.52,0.53,0.1518,0.0272,garbage,0
2005,002014,永新股份,2004-07-08,1,0.2436,0.1302,5,0.1712,0.0722,6.11,0.44,0.2539,0.2000,boundary_pending,0
2005,002050,三花智控,2005-06-07,0,0.2429,0.1802,4,0.2326,0.0907,4.94,0.45,0.5464,0.3957,worth_attention,1
2005,002035,华帝股份,2004-09-01,1,0.2426,0.1040,5,0.2744,0.0336,9.78,0.33,0.2325,0.2700,boundary_pending,0
