security_code,security_name,verdict,rule,reason
600519,贵州茅台,worth_attention,锚3,毛利92%净利率46%，传承品牌+产区+基酒，资本无法复制
000858,五粮液,worth_attention,锚3,毛利69%，明代古窖池+国家名酒+基酒规模
000568,泸州老窖,worth_attention,锚3,1573国宝窖池群不可复制；2013-14白酒寒冬中最低ROE仍有9%，锚1所要求的穿越下行验证已完成
002304,洋河股份,worth_attention,锚3,毛利62%ROE36%，双沟+洋河双国家名酒，已穿越2013-14行业下行
600809,山西汾酒,worth_attention,锚3,毛利67%，清香鼻祖+杏花村产区，已穿越下行
000596,古井贡酒,worth_attention,锚3,毛利71%，古井贡酒明代古窖+国家名酒+徽酒深度分销，锚3五要件齐备【今日不在池】
603288,海天味业,worth_attention,§5.4.1-4,酱油全国第一营收113亿ROE37%，经销商网络密度与成本曲线双壁垒
600887,伊利股份,worth_attention,§5.4.1-4,乳业双寡头，上游奶源+全国冷链+品牌，营收604亿规模难复制
000895,双汇发展,worth_attention,§5.4.1-4,肉制品全国第一，冷链与经销网络
000651,格力电器,worth_attention,§5.4.1-4,空调双寡头，自建渠道+压缩机自制，资本复制测试长期实证通过
000333,美的集团,worth_attention,§5.4.1-4,白电全品类双寡头，T+3改革后周转与成本优势成型，营收1394亿
600690,海尔智家,worth_attention,§5.4.1-4,白电三强，日日顺渠道下沉与卡萨帝高端品牌
002032,苏泊尔,worth_attention,锚12,炊具品类第一+SEB技术与出口通道
002508,老板电器,worth_attention,锚12,油烟机毛利58%，与方太构成高端双寡头，厨电品牌+橱柜渠道【今日不在池】
603899,晨光股份,worth_attention,§5.4.1-4,书写工具份额第一，八万家零售终端网络为难复制渠道资产【今日不在池】
600276,恒瑞医药,worth_attention,§5.4.1-4,毛利85%，创新药管线与销售队伍双壁垒，营收93亿
000538,云南白药,worth_attention,锚12,国家保密配方，法律意义上不可复制
000423,东阿阿胶,worth_attention,锚12,毛利65%最低ROE 25%，阿胶品类垄断+驴皮资源+提价能力持续兑现
