security_code,security_name,quality_tier,n_fwd3,spearman_fwd3,fair_pv_fwd3,median_pv,share_below_buy
002063,,NA,69,-0.195,1.624,2.076,0.000
002128,电投能源,L2,162,-0.777,0.659,0.684,0.766
002130,沃尔核材,L2,0,,,2.077,0.000
002138,顺络电子,L2,0,,,2.041,0.000
002152,,NA,115,-0.898,1.535,1.544,0.076
002153,,NA,104,-0.825,4.333,3.309,0.000
002158,汉钟精机,L2,0,,,1.156,0.034
002179,中航光电,L2,88,-0.298,2.809,2.163,0.000
002222,福晶科技,L2,16,-0.309,,4.284,0.000
002223,鱼跃医疗,L2,135,-0.377,2.668,2.232,0.000
002236,,NA,160,0.222,,1.580,0.115
002252,,NA,55,-0.855,8.519,7.744,0.000
002262,恩华药业,L2,88,-0.818,1.790,1.609,0.000
002270,华明装备,L2,16,-0.224,,2.616,0.000
002273,水晶光电,L2,0,,,2.909,0.000
002275,,NA,150,-0.543,1.430,2.125,0.000
002287,奇正藏药,L2,88,-0.269,1.359,2.561,0.000
002294,,NA,149,-0.365,2.033,1.884,0.000
002304,,NA,160,-0.676,1.592,2.005,0.150
002311,海大集团,L2,41,-0.349,,2.188,0.000
002352,顺丰控股,L2,64,-0.725,1.849,1.941,0.000
002371,北方华创,L1,29,-0.959,16.037,5.006,0.000
002372,伟星新材,L2,101,-0.699,2.560,2.372,0.000
002379,宏桥控股,L2,0,,,19.310,0.118
002409,雅克科技,L2,4,,,5.552,0.000
002410,,NA,122,-0.538,4.550,4.385,0.000
002414,,NA,28,-0.814,4.893,5.440,0.000
002415,海康威视,L2,154,-0.197,4.355,1.975,0.000
002460,,NA,52,-0.715,3.097,3.416,0.131
002463,沪电股份,L2,0,,,5.327,0.000
002466,天齐锂业,L2,88,-0.701,1.094,0.760,0.540
002475,立讯精密,L2,41,-0.920,2.366,2.072,0.000
002484,江海股份,L2,0,,,5.092,0.000
002507,,NA,73,0.360,,2.691,0.000
002508,,NA,97,0.034,,1.888,0.010
002532,天山铝业,L2,4,,,0.801,0.775
002568,百润股份,L2,16,-0.241,,2.805,0.000
002594,比亚迪,L2,16,-0.244,,3.174,0.000
002595,豪迈科技,L2,88,-0.622,1.936,1.682,0.000
002607,,NA,37,-0.041,,19.235,0.000
002648,卫星化学,L2,4,,,0.884,0.725
002677,,NA,52,-0.083,,2.149,0.000
002683,广东宏大,L2,0,,,1.643,0.000
002690,美亚光电,L2,113,-0.520,3.865,3.963,0.000
002714,牧原股份,L2,101,-0.057,26.379,2.053,0.044
002807,,NA,24,-0.905,1.987,0.926,0.547
002812,,NA,28,-0.889,,2.736,0.216
002833,,NA,63,-0.406,1.274,1.642,0.119
002837,英维克,L2,0,,,10.485,0.000
002839,,NA,5,,,0.868,0.786
002841,,NA,76,0.197,,3.239,0.037
002901,,NA,40,-0.901,1.335,1.932,0.000
002906,华阳集团,L2,0,,,1.811,0.000
002916,深南电路,L2,0,,,4.405,0.000
002920,德赛西威,L2,16,-0.403,,2.499,0.000
002936,,NA,26,-0.374,,1.804,0.000
002938,鹏鼎控股,L2,0,,,2.459,0.000
002948,,NA,41,-0.874,1.085,1.095,0.179
002958,,NA,37,-0.432,0.771,1.373,0.000
002966,,NA,24,-0.833,1.513,1.375,0.415
300015,爱尔眼科,L2,101,-0.419,9.194,6.156,0.000
300033,同花顺,L2,136,-0.790,7.938,4.053,0.000
300034,钢研高纳,L3,0,,,2.767,0.000
300054,鼎龙股份,L2,0,,,6.384,0.000
300059,东方财富,L2,29,-0.779,1.480,1.278,0.246
300124,汇川技术,L2,135,-0.560,5.956,3.230,0.000
300144,,NA,84,-0.169,,2.807,0.000
300146,,NA,63,-0.566,2.943,2.875,0.000
300274,阳光电源,L2,16,-0.059,,2.373,0.038
300308,中际旭创,L2,16,-0.674,,4.438,0.000
300316,晶盛机电,L2,16,-0.609,,1.706,0.096
300346,南大光电,L2,0,,,4.857,0.000
300357,我武生物,L2,53,-0.492,2.064,4.828,0.000
300360,炬华科技,L3,0,,,0.916,0.588
300394,天孚通信,L2,29,-0.102,,5.319,0.000
300395,菲利华,L3,29,-0.523,4.053,3.869,0.000
300408,三环集团,L2,88,-0.420,2.948,2.663,0.000
300415,伊之密,L2,0,,,1.202,0.000
300435,中泰股份,L2,0,,,1.054,0.345
300470,中密控股,L2,16,-0.894,,1.752,0.000
300476,胜宏科技,L2,0,,,9.344,0.000
300487,蓝晓科技,L2,16,-0.509,,3.367,0.000
300502,新易盛,L2,4,,,4.441,0.000
300529,健帆生物,L2,53,-0.539,,2.428,0.000
300573,兴齐眼药,L2,0,,,4.250,0.000
300595,,NA,40,-0.187,,3.525,0.000
300604,长川科技,L2,0,,,6.007,0.000
300627,华测导航,L2,29,-0.484,3.461,2.740,0.000
300628,亿联网络,L2,77,-0.691,3.507,2.630,0.000
300661,圣邦股份,L2,29,-0.940,5.965,7.236,0.000
300685,艾德生物,L2,16,-0.168,,2.010,0.000
300699,光威复材,L2,53,-0.823,3.077,3.451,0.000
300750,宁德时代,L1,53,-0.891,5.969,2.728,0.000
300759,康龙化成,L3,29,-0.954,1.458,2.469,0.000
300760,迈瑞医疗,L2,53,-0.158,2.586,4.681,0.000
300776,帝尔激光,L2,16,-0.862,,2.669,0.000
300782,,NA,40,-0.277,,2.393,0.000
300811,铂科新材,L2,0,,,3.843,0.000
300832,新产业,L2,16,-0.782,,2.596,0.000
300866,安克创新,L2,29,-0.836,2.519,2.115,0.000
300896,爱美客,L2,29,0.301,,4.400,0.000
300910,瑞丰新材,L2,4,,,1.721,0.050
301498,乖宝宠物,L3,0,,,3.132,0.000
301589,诺瓦星云,L2,0,,,1.491,0.000
600000,,NA,162,-0.326,1.217,1.329,0.227
600009,,NA,181,-0.577,1.497,1.796,0.039
600015,,NA,160,-0.552,1.257,1.688,0.150
600016,,NA,158,0.294,,1.655,0.253
600031,三一重工,L2,124,0.014,,1.323,0.256
600066,宇通客车,L2,136,-0.411,1.319,1.047,0.448
600085,同仁堂,L2,224,-0.359,2.481,2.207,0.000
600132,重庆啤酒,L2,4,,,1.542,0.000
600160,巨化股份,L1,4,,,4.125,0.000
600176,中国巨石,L2,41,-0.836,0.988,0.919,0.506
600183,生益科技,L2,0,,,5.311,0.000
600188,,NA,135,-0.133,0.735,1.093,0.430
600271,,NA,122,-0.300,1.186,1.529,0.078
600276,恒瑞医药,L2,224,-0.676,5.329,3.647,0.000
600285,羚锐制药,L2,16,-0.912,,1.922,0.000
