
### 分档条件校准（面板 panel_moat_bank_v6b.csv，自 2005-01-01，月末观测；分档 = 2026 年人工分档，含后视）


**前向 3 年 含分红再投年化**

| 分档 | 只数 | n | Spearman | 公允 P/V(前向=10%) | [0,0.8) | [0.8,0.9407) | [0.9407,1.2) | [1.2,1.6) | [1.6,2) | [2,2.5236) | [2.5236,4) | [4,99) |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| L1 | 18 | 1626 | -0.35 | 3.8 | +20% (158) | +25% (61) | +22% (118) | +18% (233) | +13% (176) | +11% (156) | +10% (330) | -2% (394) |
| L2 | 164 | 7764 | -0.27 | 3.34 | +22% (692) | +16% (280) | +13% (501) | +16% (899) | +13% (1023) | +12% (1131) | +6% (1760) | -1% (1478) |
| L3 | 13 | 197 | -0.10 | — | — | +11% (8) | +6% (31) | -1% (15) | +21% (6) | +3% (11) | +1% (41) | +1% (85) |
| NA | 85 | 6984 | -0.32 | 1.05 | +16% (563) | +12% (467) | +7% (871) | +2% (1185) | +1% (973) | -0% (802) | -0% (1247) | -11% (876) |

**前向 5 年 含分红再投年化**

| 分档 | 只数 | n | Spearman | 公允 P/V(前向=10%) | [0,0.8) | [0.8,0.9407) | [0.9407,1.2) | [1.2,1.6) | [1.6,2) | [2,2.5236) | [2.5236,4) | [4,99) |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| L1 | 18 | 1275 | -0.25 | 5.7 | +12% (142) | +19% (54) | +25% (112) | +13% (210) | +15% (137) | +15% (135) | +11% (255) | +2% (230) |
| L2 | 164 | 5608 | -0.23 | 4.13 | +19% (560) | +16% (207) | +17% (354) | +13% (635) | +11% (760) | +11% (822) | +8% (1236) | +5% (1034) |
| L3 | 13 | 59 | -0.51 | 1.18 | — | — | +6% (20) | — | — | — | — | -3% (24) |
| NA | 85 | 5650 | -0.26 | 0.79 | +12% (350) | +10% (314) | +8% (658) | +4% (963) | +2% (831) | -0% (698) | +4% (1125) | -3% (711) |

逐票统计已写入 data/processed/experiments/exp_oi128_minority/tier_forward_percode_adopted.csv

**L1 逐票：样本数、Spearman(P/V, 前向3年)、公允 P/V（前向 3 年 = 要求回报）、P/V 中位**

| 代码 | 名称 | n | Spearman | 公允 P/V | P/V 中位 | P/V<0.9407 占比 |
| --- | --- | ---: | ---: | ---: | ---: | ---: |
| 601088 | 中国神华 | 155 | -0.48 | 0.64 | 0.76 | 67% |
| 600862 | 中航高科 | 41 | -0.20 | — | 3.12 | 0% |
| 000538 | 云南白药 | 137 | +0.06 | — | 2.17 | 0% |
| 002371 | 北方华创 | 29 | -0.96 | 16.04 | 5.01 | 0% |
| 688120 | 华海清科 | 0 | — | — | 2.84 | 0% |
| 600406 | 国电南瑞 | 161 | -0.37 | 3.75 | 2.19 | 0% |
| 300750 | 宁德时代 | 53 | -0.89 | 5.97 | 2.73 | 0% |
| 600415 | 小商品城 | 173 | -0.80 | 2.22 | 1.82 | 1% |
| 600809 | 山西汾酒 | 126 | -0.59 | 3.09 | 2.98 | 2% |
| 600160 | 巨化股份 | 4 | — | — | 4.13 | 0% |
| 688008 | 澜起科技 | 28 | -0.74 | 4.67 | 4.29 | 0% |
| 600436 | 片仔癀 | 151 | -0.42 | 6.36 | 4.27 | 0% |
| 600660 | 福耀玻璃 | 223 | -0.58 | 1.75 | 1.15 | 29% |
| 688122 | 西部超导 | 3 | — | — | 2.32 | 0% |
| 600519 | 贵州茅台 | 223 | -0.70 | 4.25 | 2.63 | 7% |
| 688111 | 金山办公 | 15 | -0.96 | — | 7.16 | 0% |
| 603505 | 金石资源 | 28 | -0.94 | 4.05 | 4.25 | 0% |
| 600900 | 长江电力 | 76 | -0.11 | 3.41 | 1.59 | 0% |
