security_code,security_name,quality_tier,industry,industry_n,fy_years,roe_median,roe_min,roe_years_ge15,roe_latest_fy,roe_2026h1,roe_pctl_median,roe_pctl_min,roe_pctl_years_ge80,gm_first5_avg,gm_last5_avg,gm_latest_fy,rev_cagr,ni_cagr,ni_negative_years,ocf_to_ni_median,roe_series,pctl_series
300476,胜宏科技,L2,制造业,3511,11,13.95,0.15,3,35.56,11.8,67.0,10.0,2,26.2,23.4,35.2234799653,31.1,42.3,0,1.32,2015:13.8 2016:17.4 2017:14.7 2018:13.6 2019:14.0 2020:0.1 2021:16.2 2022:12.1 2023:9.3 2024:13.9 2025:35.6,60 69 62 60 60 10 71 67 68 87 99
300487,蓝晓科技,L2,制造业,3511,11,16.43,8.78,7,21.59,9.09,72.0,40.0,5,41.3,47.6,51.457399814,25.2,33.2,0,0.92,2015:9.6 2016:8.8 2017:12.2 2018:16.3 2019:22.8 2020:14.9 2021:16.4 2022:22.6 2023:23.1 2024:21.3 2025:21.6,44 40 53 68 81 64 72 90 95 96 96
300502,新易盛,L2,制造业,3511,11,17.85,2.81,7,72.75,34.86,76.0,18.0,4,26.4,38.5,47.8056285949,44.8,58.6,0,0.44,2015:19.7 2016:12.4 2017:10.7 2018:2.8 2019:17.2 2020:31.7 2021:17.9 2022:20.7 2023:5.2 2024:21.7 2025:72.8,76 52 47 18 70 92 76 88 47 96 100
300529,健帆生物,L2,制造业,3511,11,26.3,13.09,10,15.91,10.6,92.0,81.0,11,84.7,81.3,78.700615133,14.7,10.3,0,1.06,2015:39.6 2016:24.1 2017:22.2 2018:26.3 2019:30.2 2020:35.7 2021:38.1 2022:26.2 2023:13.1 2024:26.4 2025:15.9,95 83 81 86 91 94 97 94 81 98 92
300573,兴齐眼药,L2,制造业,3511,11,14.49,2.5,3,38.55,19.99,62.0,17.0,4,73.0,78.7,81.1568960224,24.0,41.3,0,1.46,2015:5.8 2016:13.0 2017:7.4 2018:2.5 2019:6.5 2020:14.5 2021:25.5 2022:14.9 2023:14.8 2024:20.6 2025:38.5,30 55 33 17 33 62 89 76 85 95 100
300604,长川科技,L2,制造业,3511,11,14.66,1.72,5,33.05,18.52,70.0,15.0,3,57.2,55.0,55.0546315574,48.5,48.9,0,0.41,2015:18.6 2016:20.4 2017:14.7 2018:8.2 2019:1.7 2020:8.1 2021:15.9 2022:22.8 2023:1.8 2024:14.7 2025:33.0,73 75 62 40 15 38 70 90 27 89 99
300627,华测导航,L2,制造业,3511,11,17.74,12.88,9,17.71,7.63,79.0,58.0,5,54.7,57.5,60.9757098381,26.2,29.2,0,1.06,2015:27.8 2016:37.2 2017:20.8 2018:12.9 2019:14.8 2020:18.5 2021:17.8 2022:15.3 2023:16.3 2024:17.7 2025:17.7,88 94 79 58 63 73 76 77 88 93 94
300628,亿联网络,L2,制造业,3511,11,28.38,25.64,11,28.38,15.11,96.0,87.0,11,62.3,63.8,63.3195585426,24.7,26.5,0,0.95,2015:74.5 2016:71.4 2017:26.7 2018:26.9 2019:31.5 2020:26.9 2021:28.3 2022:30.9 2023:25.6 2024:30.7 2025:28.4,99 99 87 87 92 88 91 96 97 99 99
300661,圣邦股份,L2,制造业,3511,11,18.25,7.63,7,11.24,7.61,82.0,57.0,7,43.4,53.3,50.9413048695,25.7,22.8,0,1.17,2015:35.4 2016:34.5 2017:17.2 2018:12.8 2019:18.2 2020:22.7 2021:36.9 2022:29.9 2023:7.6 2024:11.9 2025:11.2,93 93 71 57 73 82 96 95 59 82 82
300685,艾德生物,L2,制造业,3511,11,17.84,10.55,9,18.55,8.17,79.0,48.0,5,91.5,83.6,82.5909502198,21.1,32.9,0,1.1,2015:10.6 2016:24.4 2017:20.5 2018:17.8 2019:16.3 2020:17.8 2021:19.2 2022:18.4 2023:16.3 2024:14.4 2025:18.6,48 84 78 71 67 72 79 84 88 88 95
