security_code,security_name,quality_tier,industry,industry_n,fy_years,roe_median,roe_min,roe_years_ge15,roe_latest_fy,roe_2026h1,roe_pctl_median,roe_pctl_min,roe_pctl_years_ge80,gm_first5_avg,gm_last5_avg,gm_latest_fy,rev_cagr,ni_cagr,ni_negative_years,ocf_to_ni_median,roe_series,pctl_series
600919,江苏银行,L2,金融业,120,11,13.59,11.91,1,13.14,7.86,79.0,40.0,5,,,,12.1,13.8,0,1.22,2015:15.7 2016:14.5 2017:13.7 2018:12.4 2019:12.7 2020:11.9 2021:12.6 2022:14.8 2023:14.5 2024:13.6 2025:13.1,40 75 75 76 78 79 83 92 93 88 89
600938,中国海油,L2,采矿业,85,8,15.5,5.66,5,15.64,10.21,77.0,46.0,3,43.7,51.7,51.4687860981,8.3,12.8,0,1.65,2018:13.1 2019:14.1 2020:5.7 2021:15.4 2022:26.0 2023:19.6 2024:19.4 2025:15.6,77 76 46 62 81 84 89 75
600970,中材国际,L2,建筑业,95,11,13.47,7.73,4,13.1,4.07,82.0,34.0,7,15.0,18.4,18.5036079138,8.2,15.7,0,0.76,2015:13.0 2016:7.7 2017:13.5 2018:17.0 2019:19.0 2020:12.0 2021:13.2 2022:15.2 2023:16.3 2024:15.0 2025:13.1,59 34 69 82 82 69 83 88 95 97 95
600988,赤峰黄金,L2,采矿业,85,11,13.96,-1.78,4,27.14,12.31,65.0,11.0,5,27.2,38.2,52.4595028819,23.0,29.6,1,1.55,2015:15.6 2016:14.0 2017:10.5 2018:-1.8 2019:6.6 2020:22.8 2021:13.3 2022:9.4 2023:14.6 2024:25.1 2025:27.1,89 91 65 11 48 95 56 38 65 98 96
600989,宝丰能源,L2,制造业,3511,11,19.3,15.55,11,24.84,18.61,87.0,68.0,7,41.9,34.9,35.9159217556,21.1,22.3,0,1.05,2015:18.2 2016:17.2 2017:27.4 2018:30.3 2019:19.3 2020:19.0 2021:25.3 2022:19.6 2023:15.7 2024:15.6 2025:24.8,73 68 88 90 75 74 89 86 87 90 98
600993,马应龙,L2,制造业,3511,11,13.77,7.87,3,13.77,7.95,65.0,39.0,2,42.4,44.1,49.1856252569,8.0,10.0,0,1.03,2015:13.2 2016:13.5 2017:15.4 2018:7.9 2019:15.0 2020:15.5 2021:15.4 2022:14.3 2023:12.3 2024:13.6 2025:13.8,58 56 65 39 64 65 69 75 79 86 88
601088,中国神华,L1,采矿业,85,11,13.55,5.48,1,12.76,5.83,67.0,58.0,1,40.2,35.4,35.0781239404,5.2,12.6,0,1.88,2015:5.5 2016:7.5 2017:14.7 2018:13.9 2019:12.7 2020:11.0 2021:13.6 2022:18.1 2023:14.5 2024:13.6 2025:12.8,65 74 82 78 72 77 58 64 64 67 65
601100,恒立液压,L2,制造业,3511,11,18.69,1.84,8,16.63,7.99,90.0,13.0,7,30.1,42.1,41.5779190361,26.0,45.7,0,0.95,2015:1.8 2016:2.0 2017:10.4 2018:19.9 2019:24.3 2020:34.7 2021:32.8 2022:22.6 2023:18.7 2024:16.8 2025:16.6,15 13 46 76 84 94 95 90 91 92 93
601138,工业富联,L2,制造业,3511,11,18.87,15.63,11,21.65,13.36,82.0,73.0,6,9.7,7.6,6.9760196885,12.7,9.4,0,0.51,2015:27.7 2016:20.9 2017:18.9 2018:33.7 2019:23.0 2020:18.1 2021:18.0 2022:16.2 2023:15.6 2024:15.8 2025:21.6,88 76 75 92 82 73 76 79 87 90 97
601225,陕西煤业,L2,采矿业,85,11,21.27,-9.1,9,17.88,10.9,88.0,15.0,9,44.1,36.2,29.0587175782,17.1,,1,1.81,2015:-9.1 2016:8.3 2017:26.6 2018:22.9 2019:21.3 2020:19.4 2021:21.5 2022:32.5 2023:20.6 2024:21.3 2025:17.9,15 80 96 93 89 92 80 88 87 94 84
601288,农业银行,L3,金融业,120,11,11.57,10.16,2,10.16,5.07,76.0,46.0,2,,,,3.1,4.9,0,4.0,2015:16.8 2016:15.1 2017:14.6 2018:13.7 2019:12.4 2020:11.3 2021:11.6 2022:11.3 2023:10.9 2024:10.5 2025:10.2,46 79 81 88 77 75 74 73 78 76 72
601318,中国平安,L2,金融业,120,11,17.1,9.7,6,14.0,9.0,91.0,54.0,9,,,,5.4,9.5,0,2.5,2015:17.1 2016:17.4 2017:20.7 2018:20.9 2019:24.4 2020:20.0 2021:13.0 2022:13.2 2023:9.7 2024:13.8 2025:14.0,54 91 94 98 98 98 85 87 69 91 91
601398,工商银行,L3,金融业,120,11,12.15,9.45,2,9.45,4.315,79.0,54.0,3,,,,1.9,2.9,0,2.74,2015:17.1 2016:15.2 2017:14.3 2018:13.8 2019:13.1 2020:11.9 2021:12.2 2022:11.4 2023:10.7 2024:9.9 2025:9.4,54 80 79 88 83 80 79 75 74 72 64
601717,中创智领,L3,制造业,3511,11,9.79,0.45,4,18.88,7.02,46.0,7.0,3,20.1,22.1,22.6580698226,24.8,58.8,0,1.49,2015:0.5 2016:0.6 2017:2.7 2018:7.5 2019:8.8 2020:9.8 2021:14.1 2022:15.7 2023:17.1 2024:18.3 2025:18.9,9 7 14 37 42 46 64 78 89 94 95
601838,成都银行,L2,金融业,120,11,16.63,12.24,9,15.39,7.49,94.0,34.0,9,,,,10.2,16.8,0,0.96,2015:14.7 2016:12.2 2017:16.8 2018:16.0 2019:16.6 2020:15.9 2021:17.6 2022:19.5 2023:18.8 2024:17.8 2025:15.4,34 61 86 93 93 95 97 98 98 97 94
601872,招商轮船,L3,交通运输、仓储和邮政业,75,11,10.38,1.62,1,14.55,15.61,76.0,8.0,4,27.1,24.3,26.4742449015,16.4,17.9,0,1.88,2015:10.0 2016:10.3 2017:4.8 2018:1.6 2019:8.5 2020:10.4 2021:12.5 2022:17.1 2023:13.2 2024:13.2 2025:14.6,50 56 17 8 47 77 76 84 88 84 93
601899,紫金矿业,L2,采矿业,85,11,12.19,6.01,5,33.04,19.6,80.0,68.0,5,11.6,19.0,27.7273101047,16.7,41.1,0,2.25,2015:6.0 2016:6.7 2017:11.1 2018:11.7 2019:11.4 2020:12.2 2021:24.0 2022:25.3 2023:21.4 2024:25.9 2025:33.0,68 71 71 71 71 80 87 80 89 99 99
601939,建设银行,L3,金融业,120,11,12.55,10.04,2,10.04,4.76,82.0,56.0,8,,,,2.3,4.0,0,2.19,2015:17.3 2016:15.4 2017:14.8 2018:14.0 2019:13.2 2020:12.1 2021:12.6 2022:12.3 2023:11.6 2024:10.7 2025:10.0,56 81 82 89 85 83 82 82 84 78 71
601958,金钼股份,L2,采矿业,85,11,4.08,0.26,3,17.38,8.79,29.0,13.0,3,10.9,37.3,41.1292131094,3.8,57.3,0,1.88,2015:0.3 2016:0.4 2017:0.8 2018:3.0 2019:4.3 2020:1.4 2021:4.1 2022:10.6 2023:21.7 2024:18.5 2025:17.4,27 13 13 29 31 27 25 45 91 88 81
601965,中国汽研,L2,科学研究和技术服务业,39,11,11.58,8.35,0,14.31,5.33,34.0,22.0,2,31.1,42.1,45.8797304551,15.2,13.0,0,1.15,2015:8.3 2016:8.6 2017:9.1 2018:9.3 2019:10.2 2020:11.6 2021:13.6 2022:12.4 2023:13.3 2024:13.3 2025:14.3,27 22 31 29 28 34 56 64 79 87 90
603067,振华股份,L2,制造业,3511,11,12.46,9.26,4,19.14,7.71,56.0,41.0,4,27.9,25.7,26.9199738259,19.3,26.6,0,1.01,2015:9.9 2016:10.2 2017:9.3 2018:12.5 2019:10.5 2020:10.6 2021:15.7 2022:17.9 2023:14.0 2024:15.9 2025:19.1,46 45 41 56 49 49 69 83 83 90 95
603129,春风动力,L2,制造业,3511,11,21.67,12.9,10,24.49,13.36,85.0,58.0,7,31.5,27.3,26.9370812644,32.3,39.7,0,2.02,2015:55.8 2016:25.4 2017:16.9 2018:12.9 2019:18.2 2020:28.9 2021:19.3 2022:17.9 2023:21.7 2024:26.2 2025:24.5,98 85 70 58 73 90 79 83 94 98 98
603156,养元饮品,L3,制造业,3511,11,17.56,12.51,7,13.29,9.17,87.0,58.0,8,49.4,45.8,42.8256477858,-5.2,-7.1,0,0.96,2015:57.8 2016:46.7 2017:38.8 2018:27.0 2019:22.9 2020:13.1 2021:17.6 2022:12.5 2023:13.2 2024:16.4 2025:13.3,98 97 95 87 82 58 75 69 81 91 87
603195,公牛集团,L2,制造业,3511,11,29.2,24.91,11,24.91,12.46,98.0,88.0,11,40.5,40.9,43.1360981245,13.6,15.1,0,1.16,2015:75.4 2016:71.7 2017:59.8 2018:69.6 2019:52.4 2020:26.9 2021:28.3 2022:27.9 2023:29.2 2024:28.6 2025:24.9,99 99 98 99 98 88 91 95 98 98 98
603259,药明康德,L2,科学研究和技术服务业,39,11,18.99,10.57,7,28.56,13.19,88.0,31.0,7,39.1,40.8,47.6387104971,25.0,49.3,0,1.38,2015:14.4 2016:29.1 2017:21.1 2018:24.0 2019:10.6 2020:12.9 2021:14.1 2022:20.6 2023:19.0 2024:16.8 2025:28.6,41 87 88 88 31 45 59 95 92 95 97
603279,景津装备,L2,制造业,3511,11,17.05,10.17,6,11.86,4.63,73.0,45.0,5,34.2,28.7,22.1677549296,13.9,13.8,0,1.2,2015:12.1 2016:10.2 2017:12.1 2018:13.0 2019:17.1 2020:18.2 2021:20.6 2022:22.8 2023:23.5 2024:18.8 2025:11.9,54 45 53 58 69 73 81 90 96 94 83
603288,海天味业,L2,制造业,3511,11,31.63,19.59,11,19.59,10.07,93.0,91.0,11,44.7,37.3,40.2228721327,9.8,10.9,0,1.31,2015:32.1 2016:31.6 2017:31.1 2018:32.7 2019:33.7 2020:36.1 2021:31.6 2022:25.5 2023:20.7 2024:21.8 2025:19.6,91 91 91 91 93 94 94 93 93 96 95
603338,浙江鼎力,L2,制造业,3511,11,19.32,16.78,11,17.78,8.39,82.0,69.0,7,41.3,33.3,34.2569168817,33.4,31.2,0,1.18,2015:16.8 2016:17.5 2017:22.1 2018:20.1 2019:24.0 2020:19.2 2021:20.9 2022:19.3 2023:23.4 2024:17.2 2025:17.8,69 69 81 76 84 75 82 85 95 92 94
603369,今世缘,L2,制造业,3511,11,20.36,16.39,11,16.39,11.83,80.0,69.0,6,71.7,75.7,74.2481880721,15.4,14.3,0,0.97,2015:17.9 2016:17.4 2017:18.1 2018:20.4 2019:21.9 2020:20.2 2021:22.6 2022:24.7 2023:25.9 2024:23.7 2025:16.4,72 69 73 77 80 77 85 92 97 97 92
603501,豪威集团,L2,制造业,3511,11,14.83,2.98,5,15.39,3.73,73.0,27.0,4,22.3,29.4,30.6348699345,30.7,42.7,0,1.01,2015:19.9 2016:19.5 2017:13.4 2018:4.9 2019:10.2 2020:29.1 2021:33.1 2022:5.8 2023:3.0 2024:14.8 2025:15.4,76 73 57 27 47 90 95 39 33 89 91
603505,金石资源,L1,采矿业,85,11,17.56,8.65,8,18.78,4.77,86.0,61.0,7,46.9,33.1,17.835088473,33.3,25.1,0,1.08,2015:8.7 2016:11.3 2017:12.3 2018:17.6 2019:24.3 2020:23.6 2021:20.6 2022:17.2 2023:23.4 2024:15.7 2025:18.8,83 87 77 87 92 96 79 61 94 76 86
603508,思维列控,L2,制造业,3511,11,9.3,-13.98,2,12.4,7.75,51.0,5.0,3,61.1,63.5,66.4887213555,7.5,7.5,1,0.83,2015:30.5 2016:7.9 2017:5.3 2018:7.2 2019:19.8 2020:-14.0 2021:9.6 2022:8.1 2023:9.3 2024:11.8 2025:12.4,90 37 24 36 76 5 46 51 67 82 85
603529,爱玛科技,L2,制造业,3511,11,28.17,17.46,11,21.18,6.48,96.0,75.0,10,14.5,16.1,18.2909245707,15.6,18.4,0,2.66,2015:41.2 2016:47.9 2017:28.2 2018:33.2 2019:29.4 2020:25.6 2021:17.5 2022:31.1 2023:25.4 2024:23.8 2025:21.2,96 97 89 92 90 86 75 96 97 97 96
603556,海兴电力,L2,制造业,3511,11,12.64,6.9,4,10.08,4.25,69.0,35.0,4,43.8,39.0,38.3340843883,9.1,5.3,0,0.86,2015:29.5 2016:25.4 2017:12.6 2018:6.9 2019:10.0 2020:8.8 2021:15.7 2022:11.7 2023:15.7 2024:14.7 2025:10.1,90 85 55 35 47 41 69 66 87 89 78
603596,伯特利,L2,制造业,3511,11,19.06,16.21,11,18.03,7.74,90.0,71.0,7,24.4,21.9,19.6467986235,23.4,22.9,0,1.02,2015:42.8 2016:39.6 2017:29.0 2018:19.1 2019:19.2 2020:18.7 2021:16.2 2022:18.1 2023:18.9 2024:19.2 2025:18.0,96 95 90 74 75 74 71 83 92 94 94
603605,珀莱雅,L2,制造业,3511,11,25.95,18.28,11,25.8,17.61,91.0,72.0,9,63.1,70.1,73.2648096979,20.5,26.4,0,1.23,2015:43.1 2016:31.8 2017:27.9 2018:18.3 2019:21.2 2020:21.8 2021:22.2 2022:25.9 2023:29.9 2024:32.5 2025:25.8,96 91 89 72 79 80 84 93 98 99 98
603606,东方电缆,L3,制造业,3511,11,16.29,5.77,7,16.83,6.65,82.0,26.0,6,15.5,22.8,22.1055104063,19.5,38.1,0,1.19,2015:6.4 2016:6.2 2017:5.8 2018:10.4 2019:23.5 2020:34.2 2021:32.2 2022:16.3 2023:17.0 2024:15.3 2025:16.8,33 30 26 48 82 93 94 79 89 90 93
603806,福斯特,L2,制造业,3511,11,14.31,4.72,5,4.72,5.04,67.0,51.0,1,24.8,16.2,10.9568471114,16.6,1.7,0,0.35,2015:16.1 2016:18.8 2017:12.0 2018:14.3 2019:16.2 2020:20.9 2021:21.1 2022:12.3 2023:12.5 2024:8.2 2025:4.7,67 72 52 62 67 78 82 68 80 67 51
603855,华荣股份,L2,制造业,3511,11,17.48,10.44,7,17.48,8.35,72.0,48.0,5,53.0,49.7,51.1504403686,9.3,11.0,0,1.32,2015:18.1 2016:14.9 2017:11.1 2018:10.4 2019:12.7 2020:16.3 2021:22.9 2022:19.9 2023:24.6 2024:23.2 2025:17.5,72 61 48 48 56 68 85 86 96 97 94
603979,金诚信,L2,采矿业,85,11,8.34,4.74,3,23.29,13.67,58.0,40.0,3,26.2,29.9,33.8176988735,18.2,27.6,0,1.28,2015:7.7 2016:4.7 2017:5.5 2018:7.4 2019:7.4 2020:8.3 2021:9.4 2022:10.7 2023:15.4 2024:19.4 2025:23.3,80 55 40 58 54 64 48 46 67 91 93
603993,洛阳钼业,L2,采矿业,85,11,11.72,4.54,3,26.61,18.29,64.0,34.0,2,30.0,13.8,23.9275189268,47.7,38.9,0,2.08,2015:4.8 2016:5.5 2017:9.9 2018:11.7 2019:4.5 2020:5.8 2021:12.9 2022:13.4 2023:15.0 2024:21.0 2025:26.6,61 66 64 73 34 48 55 54 66 92 95
605117,德业股份,L2,制造业,3511,10,38.92,29.29,10,32.66,24.31,98.0,92.0,10,21.6,35.5,38.1273030877,33.1,48.5,0,1.55,2016:36.2 2017:41.9 2018:36.9 2019:59.7 2020:55.3 2021:29.3 2022:45.5 2023:38.6 2024:39.2 2025:32.7,93 96 94 99 98 92 98 99 99 99
605305,中际联合,L2,制造业,3511,11,18.31,7.37,7,19.11,8.63,73.0,47.0,4,55.4,45.8,47.2744697302,27.3,27.7,0,0.67,2015:25.3 2016:19.4 2017:18.3 2018:15.1 2019:19.8 2020:21.9 2021:14.0 2022:7.4 2023:9.2 2024:12.9 2025:19.1,85 73 73 65 76 81 64 47 67 85 95
605499,东鹏饮料,L2,制造业,3511,9,43.14,22.05,9,51.61,19.03,97.0,80.0,9,46.9,43.9,44.9050336342,28.3,40.2,0,1.66,2017:43.3 2018:22.1 2019:43.1 2020:45.8 2021:36.5 2022:31.6 2023:35.8 2024:46.9 2025:51.6,96 80 97 97 96 96 99 100 100
688008,澜起科技,L1,制造业,3511,10,14.29,4.44,4,18.25,10.72,73.0,41.0,4,62.3,54.8,62.2279796046,23.0,42.4,0,0.9,2016:11.3 2017:33.5 2018:37.1 2019:17.7 2020:14.4 2021:9.9 2022:14.2 2023:4.4 2024:13.4 2025:18.2,49 93 94 71 62 48 74 41 86 94
688012,中微公司,L2,制造业,3511,8,9.32,6.71,0,9.97,11.56,54.0,34.0,0,35.2,42.6,39.1654495476,33.5,56.7,0,0.92,2018:7.5 2019:6.7 2020:12.1 2021:11.1 2022:7.9 2023:10.7 2024:8.7 2025:10.0,37 34 55 53 50 73 70 77
688018,乐鑫科技,L2,信息传输、软件和信息技术服务业,156,10,14.29,0.52,5,17.33,7.26,67.0,5.0,3,50.0,42.1,46.6261016431,40.2,117.9,0,0.75,2016:0.5 2017:20.8 2018:36.0 2019:18.3 2020:6.5 2021:11.5 2022:5.4 2023:7.1 2024:17.1 2025:17.3,5 69 88 64 36 61 55 74 96 97
688019,安集科技,L2,制造业,3511,10,18.7,11.11,6,25.18,12.56,78.0,52.0,5,53.1,55.3,56.7236786223,32.7,40.3,0,0.91,2016:29.3 2017:14.1 2018:13.9 2019:11.4 2020:15.9 2021:11.1 2022:22.2 2023:21.5 2024:22.2 2025:25.2,89 60 61 52 67 53 90 94 96 98
688041,海光信息,L2,制造业,3511,8,6.76,-6.73,0,11.87,7.56,42.0,7.0,1,60.6,57.9,57.828432155,125.7,,3,0.65,2018:-6.7 2019:-4.0 2020:-1.2 2021:6.4 2022:8.5 2023:7.1 2024:9.9 2025:11.9,7 8 9 32 53 56 76 83
688072,拓荆科技,L2,制造业,3511,8,9.53,-13.86,2,15.77,18.11,50.0,5.0,3,31.8,43.4,34.9522590568,90.9,,3,0.91,2018:-13.9 2019:-2.8 2020:-1.1 2021:5.9 2022:13.1 2023:16.1 2024:14.1 2025:15.8,5 8 9 30 71 88 87 91
688082,盛美上海,L2,制造业,3511,9,18.09,12.98,7,14.82,7.06,87.0,70.0,6,44.7,47.9,48.3179881345,50.8,83.5,0,-0.4,2017:26.4 2018:137.7 2019:34.2 2020:21.2 2021:18.1 2022:13.0 2023:15.2 2024:16.6 2025:14.8,87 100 93 79 77 70 86 91 90
688100,威胜信息,L2,制造业,3511,10,14.56,9.27,4,19.71,5.66,64.0,42.0,3,32.4,38.5,40.1663489132,17.8,26.5,0,0.78,2016:9.3 2017:14.1 2018:14.3 2019:15.1 2020:12.5 2021:13.8 2022:14.9 2023:18.9 2024:20.4 2025:19.7,42 60 62 64 56 63 76 92 95 96
688111,金山办公,L1,信息传输、软件和信息技术服务业,156,11,15.2,-48.9,6,15.2,17.76,75.0,2.0,4,88.4,85.7,85.9476244927,31.2,,1,1.4,2015:-48.9 2016:19.8 2017:23.2 2018:26.8 2019:22.6 2020:13.6 2021:14.3 2022:13.6 2023:14.2 2024:15.5 2025:15.2,2 60 75 77 74 60 70 84 92 94 94
688120,华海清科,L1,制造业,3511,7,16.23,-50.02,5,15.52,7.24,84.0,1.0,4,17.5,44.2,41.8136869445,98.6,,1,1.44,2017:-50.0 2020:21.4 2021:28.0 2022:16.2 2023:14.1 2024:17.0 2025:15.5,1 80 91 79 84 92 91
688122,西部超导,L1,制造业,3511,11,12.37,7.11,3,12.16,4.73,69.0,34.0,4,38.5,36.0,34.5075011895,19.4,19.8,0,0.21,2015:16.8 2016:14.1 2017:7.6 2018:7.1 2019:7.3 2020:13.8 2021:24.1 2022:19.2 2023:12.4 2024:12.2 2025:12.2,69 58 34 36 36 60 87 85 79 83 84
688188,柏楚电子,L2,信息传输、软件和信息技术服务业,156,10,19.8,12.48,9,19.26,12.33,94.0,65.0,7,81.6,79.4,77.6584597943,37.8,34.9,0,1.13,2016:76.6 2017:78.8 2018:54.2 2019:25.9 2020:15.9 2021:20.3 2022:12.5 2023:15.8 2024:17.0 2025:19.3,95 98 98 77 65 79 80 92 96 97
688190,云路股份,L2,制造业,3511,8,17.83,11.39,6,11.39,4.74,85.0,66.0,7,25.4,27.8,27.7379389393,14.4,24.1,0,0.41,2018:26.1 2019:25.9 2020:23.8 2021:20.1 2022:11.8 2023:15.6 2024:15.2 2025:11.4,86 86 83 81 66 87 90 82
688200,华峰测控,L2,制造业,3511,10,18.52,7.8,6,14.08,7.26,86.0,51.0,6,81.2,75.1,73.7939988186,31.8,33.0,0,0.89,2016:34.6 2017:34.3 2018:42.1 2019:28.6 2020:11.2 2021:18.6 2022:18.5 2023:7.8 2024:9.7 2025:14.1,93 93 96 90 51 78 84 60 75 89
688208,道通科技,L2,制造业,3511,10,18.04,-12.55,6,25.96,10.81,74.0,2.0,4,60.9,56.1,56.0665642188,26.5,,1,0.63,2016:-12.6 2017:14.0 2018:38.7 2019:30.2 2020:19.8 2021:16.6 2022:3.5 2023:5.7 2024:19.5 2025:26.0,2 60 95 91 76 72 28 49 94 98
688235,百济神州,L2,制造业,3511,8,-41.83,-73.7,0,5.33,9.9,2.0,1.0,0,84.4,84.6,87.6137289108,61.9,,7,8.64,2018:-52.2 2019:-73.7 2020:-53.7 2021:-44.8 2022:-38.8 2023:-23.9 2024:-20.2 2025:5.3,2 1 1 2 2 4 6 54
688256,寒武纪,L2,信息传输、软件和信息技术服务业,156,8,-13.02,-39.28,1,26.96,18.05,8.0,6.0,1,84.0,61.8,55.1516822736,77.5,,7,-0.24,2018:-12.5 2019:-39.3 2020:-8.4 2021:-13.5 2022:-23.4 2023:-15.3 2024:-8.2 2025:27.0,8 6 7 7 6 10 20 99
688271,联影医疗,L2,制造业,3511,8,9.89,-5.37,3,9.0,4.12,74.0,7.0,3,40.4,48.1,47.011238454,31.5,,2,0.52,2018:-5.4 2019:-3.2 2020:32.2 2021:32.8 2022:17.5 2023:10.8 2024:6.5 2025:9.0,7 8 92 95 82 74 60 74
688278,特宝生物,L2,制造业,3511,10,14.74,1.08,5,34.83,13.22,65.0,8.0,4,88.2,91.5,92.9647998334,33.2,48.5,0,1.09,2016:8.4 2017:1.1 2018:3.3 2019:12.1 2020:12.7 2021:16.8 2022:22.4 2023:34.0 2024:37.7 2025:34.8,39 8 20 54 57 73 90 99 99 99
688281,华秦科技,L3,制造业,3511,8,10.45,-254.0,3,6.62,3.58,67.0,0.0,2,60.2,54.3,43.3933628423,59.4,62.5,1,0.92,2018:16.8 2019:-254.0 2020:72.8 2021:55.6 2022:11.5 2023:8.4 2024:9.4 2025:6.6,69 0 99 99 65 63 74 61
688300,联瑞新材,L2,制造业,3511,11,17.83,11.97,9,18.38,8.26,81.0,54.0,6,42.9,40.4,40.6598530917,24.7,32.0,0,0.87,2015:17.8 2016:23.8 2017:23.9 2018:22.4 2019:19.2 2020:12.0 2021:16.9 2022:16.3 2023:13.6 2024:17.8 2025:18.4,72 82 84 81 75 54 73 79 83 93 95
688301,奕瑞科技,L2,制造业,3511,11,19.25,10.49,7,13.12,6.37,85.0,63.0,6,49.4,54.2,51.3573939792,26.6,42.4,0,0.78,2015:14.8 2016:27.4 2017:25.5 2018:20.9 2019:25.5 2020:21.5 2021:17.1 2022:19.2 2023:15.0 2024:10.5 2025:13.1,63 87 86 78 86 80 74 85 86 78 86
688516,奥特维,L2,制造业,3511,11,19.03,-736.14,7,11.21,7.67,82.0,0.0,6,39.2,35.4,32.0446236325,39.2,20.9,1,0.77,2015:117.3 2016:-736.1 2017:11.6 2018:14.4 2019:17.8 2020:19.0 2021:29.8 2022:37.8 2023:41.8 2024:31.4 2025:11.2,100 0 50 63 72 74 92 98 99 99 82
688563,航材股份,L3,制造业,3511,7,18.6,4.99,4,4.99,2.25,84.0,52.0,4,40.1,32.1,30.5515517083,13.7,8.3,0,0.39,2019:56.5 2020:38.6 2021:24.6 2022:18.6 2023:10.0 2024:5.8 2025:5.0,99 95 87 84 71 55 52
688617,惠泰医疗,L2,制造业,3511,9,27.35,13.05,8,28.77,15.96,88.0,61.0,6,69.5,71.4,72.876870732,42.4,48.6,0,1.18,2017:17.0 2018:20.4 2019:27.4 2020:27.4 2021:13.1 2022:20.1 2023:30.2 2024:30.4 2025:28.8,70 77 88 88 61 87 98 99 99
688630,芯碁微装,L2,制造业,3511,9,13.64,-16.8,3,13.28,11.62,74.0,2.0,3,49.0,40.9,40.1621679777,68.0,,1,-0.29,2017:-16.8 2018:28.1 2019:29.0 2020:19.1 2021:13.7 2022:13.6 2023:12.2 2024:7.9 2025:13.3,2 88 90 74 63 72 79 66 87
688692,达梦数据,L2,信息传输、软件和信息技术服务业,156,7,25.64,14.85,6,14.85,5.79,96.0,93.0,7,80.3,93.2,96.1219820391,27.7,34.0,0,1.04,2019:71.8 2020:39.5 2021:63.5 2022:25.6 2023:23.4 2024:15.3 2025:14.8,97 93 99 97 96 94 94
688708,佳驰科技,L2,制造业,3511,7,30.11,13.34,6,13.34,1.91,94.0,87.0,7,77.0,77.0,66.6788917944,38.8,34.5,0,0.73,2019:28.4 2020:36.4 2021:30.1 2022:53.9 2023:40.0 2024:25.5 2025:13.3,89 94 93 99 99 98 87
688775,影石创新,L3,制造业,3511,8,33.62,15.34,8,20.59,0.53,95.0,65.0,6,52.9,51.2,45.741178804,68.0,75.3,0,1.15,2018:34.4 2019:15.3 2020:19.9 2021:32.8 2022:35.4 2023:46.7 2024:37.1 2025:20.6,93 65 76 94 97 99 99 96
688777,中控技术,L3,信息传输、软件和信息技术服务业,156,10,15.12,4.33,5,4.33,1.55,75.0,23.0,4,45.4,34.6,31.2160341211,20.7,27.1,0,1.05,2016:6.2 2017:17.6 2018:28.1 2019:25.8 2020:19.2 2021:13.8 2022:16.4 2023:13.7 2024:11.1 2025:4.3,23 63 81 77 74 68 89 90 90 72
688981,中芯国际,L3,制造业,3511,9,4.26,2.0,0,3.4,2.9,36.0,15.0,0,22.9,25.9,21.6241514514,15.4,19.1,0,4.61,2017:4.3 2018:2.0 2019:4.3 2020:6.5 2021:10.3 2022:10.0 2023:3.5 2024:2.5 2025:3.4,20 15 24 32 50 59 36 36 43
689009,九号公司,L2,制造业,3511,7,10.31,0.0,2,26.08,13.12,59.0,9.0,2,27.4,26.4,29.6296364581,29.1,,1,3.28,2019:0.0 2020:2.9 2021:10.3 2022:9.8 2023:11.5 2024:19.1 2025:26.1,9 19 50 59 77 94 98
920394,民士达,L2,纺织业,2,11,10.79,4.51,3,16.76,6.87,,,0,26.8,34.4,40.2412483431,19.1,23.8,0,0.66,2015:7.6 2016:4.5 2017:5.5 2018:7.6 2019:8.9 2020:10.8 2021:13.7 2022:20.8 2023:15.8 2024:14.8 2025:16.8,
920599,同力股份,L2,专用设备制造业,42,11,24.98,-6.33,9,24.98,10.78,76.0,0.0,4,21.3,20.2,22.9921221507,40.7,,1,1.47,2015:-6.3 2016:1.6 2017:15.3 2018:29.2 2019:36.4 2020:36.2 2021:23.5 2022:24.6 2023:27.8 2024:28.9 2025:25.0,0 7 40 77 90 76 70 67 86 90 90
920982,锦波生物,L2,医药制造业,17,11,19.39,10.95,10,37.92,13.97,69.0,24.0,5,84.7,87.8,89.2113213343,47.6,45.0,0,1.22,2015:41.0 2016:19.4 2017:16.8 2018:18.7 2019:16.8 2020:10.9 2021:17.7 2022:28.3 2023:44.0 2024:58.4 2025:37.9,93 69 53 62 44 24 61 89 94 94 94
