signal,H,N,mean,median,win,p_ge_2,p_ge_5,mean_excess,excess_win,mkt_mean,mfe_ge_2,mfe_ge_3,mfe_ge_5,mfe_ge_10,mfe_mean
"vol_down(r=-0.05,k=2)",3,71756,-5.803290696348995e-05,-0.005028277635574341,0.45314677518256313,0.31710240258654326,0.18253525837560622,-0.004621727857738733,0.405108980433692,0.004563694819808006,0.620714644071576,0.5105217682145047,0.3511483360276493,0.14765315792407605,0.04897249862551689
"vol_down(r=-0.05,k=2)",5,71756,0.004064624197781086,-0.004155278205871582,0.46765427281342326,0.35609565750599254,0.229834438931936,-0.004327990580350161,0.4056942973409889,0.008392615243792534,0.6863119460393556,0.5908216734489102,0.44114777858297566,0.21883884274485757,0.0656435564160347
"vol_down(r=-0.05,k=2)",10,71756,0.010522386059165001,0.0,0.49371481130497796,0.4048720664474051,0.2918083505212108,-0.00646465877071023,0.39848932493450023,0.016987044364213943,0.7747366073917163,0.7006940186186521,0.5676180389096382,0.3374212609398517,0.09848370403051376
"vol_down(r=-0.05,k=2)",20,71756,0.023368345573544502,0.005357801914215088,0.514744411617147,0.4542198561792742,0.3650983889848933,-0.008510478772222996,0.39297062266570043,0.03187882527709007,0.8383828530018396,0.7842967835442333,0.6842075923964547,0.4767545571102068,0.14371585845947266
"vol_down(r=-0.05,k=2)",60,71756,0.03010999783873558,-0.011572271585464478,0.47409275879368973,0.43426333686381624,0.3802051396398907,-0.014605346135795116,0.3815011985060483,0.04471534490585327,0.8951028485422822,0.8656697697753498,0.8062461675678689,0.6706198784770612,0.26278331875801086
"drawdown_rebound(n=5,dd=-0.08,up=0.02)",3,306421,0.00513842748478055,0.005025148391723633,0.5339027024910172,0.3877834743702292,0.20860841783037062,0.0017982780700549483,0.46197551734378517,0.00334014929831028,0.7012998456372116,0.5840069708016096,0.3873494310115821,0.13723928842997052,0.051005586981773376
"drawdown_rebound(n=5,dd=-0.08,up=0.02)",5,306421,0.005299308802932501,0.004476308822631836,0.5233485955597038,0.40793875093417226,0.25558626856514405,0.001134095131419599,0.4528899781672927,0.00416521355509758,0.7678912346085941,0.6717098371195186,0.49681647145593805,0.2217243596228718,0.06789646297693253
"drawdown_rebound(n=5,dd=-0.08,up=0.02)",10,306421,0.010987245477735996,0.008510708808898926,0.5316672160197897,0.45486438592655204,0.34403647269606197,0.0021340609528124332,0.4555236096742717,0.008853184059262276,0.8338560346712529,0.7650846384549361,0.632822162971859,0.377588350667872,0.10103793442249298
"drawdown_rebound(n=5,dd=-0.08,up=0.02)",20,306421,0.029796885326504707,0.018599867820739746,0.5498154499854775,0.496127876353122,0.4152848531921768,0.004476900678128004,0.4532881232030442,0.025319984182715416,0.8734975735997207,0.8262292727978826,0.7339607925044301,0.533863540684222,0.15275068581104279
"drawdown_rebound(n=5,dd=-0.08,up=0.02)",60,306421,0.05280803516507149,0.015127897262573242,0.5260670776480725,0.49121633308422075,0.43872972152691886,0.0006857870612293482,0.41972645477953535,0.052122246474027634,0.9022162319162198,0.8779946544133724,0.8273160129364502,0.7032187741701776,0.2853444218635559
"oversold_ma(ma=20,dev=-0.1)",3,798963,0.005350638180971146,0.006928443908691406,0.5462706032694881,0.4029460688417361,0.22022922212918494,0.002344211097806692,0.47793827749219925,0.0030064270831644535,0.7086711149327316,0.5917733361870324,0.39994592991164796,0.1440029137769834,0.052187688648700714
"oversold_ma(ma=20,dev=-0.1)",5,798963,0.009400050155818462,0.009554147720336914,0.552886679358118,0.43788260532715534,0.2787250473426179,0.0037349339108914137,0.47954911554102003,0.005665116012096405,0.777184925960276,0.6830504040862969,0.5135506900820188,0.23447018197338299,0.06985664367675781
"oversold_ma(ma=20,dev=-0.1)",10,798963,0.019034167751669884,0.014794588088989258,0.5583525144468517,0.4785766049241329,0.3616875875353427,0.006433437578380108,0.4824065695157348,0.012600730173289776,0.8401127461471933,0.7738067970606899,0.6441487277883957,0.38119036801453887,0.10238443315029144
"oversold_ma(ma=20,dev=-0.1)",20,798963,0.04674813151359558,0.03551602363586426,0.6016073335060572,0.5456435404392944,0.4581250946539452,0.012513206340372562,0.4895270494378338,0.03423492610454559,0.8739866552018053,0.8313301116572357,0.7444675160176378,0.5426822018040885,0.15484562516212463
