signal,H,N,mean,median,win,p_ge_2,p_ge_5,mean_excess,excess_win,mkt_mean,mfe_ge_2,mfe_ge_3,mfe_ge_5,mfe_ge_10,mfe_mean
any,3,14243884,0.0017092846101149917,0.0,0.4909128015925993,0.2988947396651082,0.1292343436663764,6.088728410347244e-10,0.4413960405743265,0.0017092840280383825,0.579174051122573,0.4443545033082269,0.2632841576075739,0.08022734529430316,0.03837156295776367
any,5,14243884,0.0030687530525028706,0.0,0.49533420800113226,0.3435065183063833,0.1818716720804522,1.3280512245472664e-09,0.4376237548691073,0.0030687516555190086,0.6664498250617599,0.5481855931991583,0.36812782243944137,0.14169611322305067,0.051821570843458176
any,10,14243884,0.006354828830808401,0.00043463706970214844,0.5003810056302059,0.3919491340985366,0.25539192821283857,1.0187606314104869e-09,0.43306369245916354,0.0063548278994858265,0.7614420336475641,0.6708101526241017,0.515014935533033,0.2620548580710149,0.07785603404045105
any,20,14243884,0.013079488649964333,0.0003370046615600586,0.5001810601658929,0.4268468487948933,0.325024972121368,-6.518568462787755e-10,0.4274606560963288,0.013079489581286907,0.8269534489328894,0.7613942236541662,0.6419388138796974,0.411042311212307,0.11796803772449493
any,60,14243884,0.03803515434265137,-0.0024184584617614746,0.4924990262487395,0.4481684911222248,0.385617434121199,1.11999398644258e-09,0.41240647564947874,0.03803515434265137,0.8912131691047189,0.8548766614499248,0.7847890364734788,0.6264707013901546,0.23443248867988586
"vol_up(r=0.05,k=2)",3,236634,-0.0041284263134002686,-0.00858372449874878,0.42798583466450296,0.29729455615000383,0.16545804913917694,-0.006086507346481085,0.3884057236069204,0.0019580810330808163,0.6525182349112976,0.5475882586610546,0.3791128916385642,0.1514110398336672,0.05118127539753914
"vol_up(r=0.05,k=2)",5,236634,-0.004899123217910528,-0.010958969593048096,0.4281379683392919,0.32075694955078304,0.1980653667689343,-0.008868365548551083,0.377033731416449,0.003969242330640554,0.712306769103341,0.6219435922141366,0.466826407025195,0.2219672574524371,0.06713838130235672
"vol_up(r=0.05,k=2)",10,236634,-0.0013096360489726067,-0.012110799551010132,0.4419525511972075,0.36082304318060804,0.25880896236381923,-0.011406916193664074,0.3705807280441526,0.010097280144691467,0.7814430724240811,0.712543421486346,0.5859513003203259,0.34567729066828945,0.0969509407877922
"vol_up(r=0.05,k=2)",20,236634,0.004350752104073763,-0.016077131032943726,0.44680392504880956,0.3892847181723674,0.31198390763795564,-0.01550375111401081,0.36149496691092575,0.019854502752423286,0.8338277677763973,0.7820008958983071,0.6841282317841054,0.4784773109527794,0.14125868678092957
"vol_up(r=0.05,k=2)",60,236634,0.023152604699134827,-0.03429156541824341,0.4319708917568904,0.3974365475798068,0.3496243143419796,-0.02284374088048935,0.3484537302331871,0.045996345579624176,0.8873576916250412,0.854703888705765,0.7918811328887649,0.648947319489169,0.2629806101322174
"vol_up(r=0.03,k=1.5)",3,681661,-2.9599619665532373e-05,-0.0044136643409729,0.45482578583782846,0.3058309042177857,0.16082774282231196,-0.003408231306821108,0.4046087424687638,0.003378631779924035,0.6471002448431111,0.5310014802079039,0.3534689530426414,0.13493364003514943,0.04892279580235481
"vol_up(r=0.03,k=1.5)",5,681661,0.0001483100204495713,-0.005337953567504883,0.45826297822524686,0.3367142905344445,0.20073907704856225,-0.005307781044393778,0.3958155153368023,0.005456090904772282,0.7152367525793613,0.6156725997233229,0.44955043636059566,0.20595134531680703,0.0647335946559906
"vol_up(r=0.03,k=1.5)",10,681661,0.0048695337027311325,-0.004178225994110107,0.47614870148064803,0.3870032171416584,0.27313429989393556,-0.006546313408762217,0.3946903226090388,0.011415846645832062,0.7927063452361217,0.7185419145293629,0.5835554623192467,0.3361274885903697,0.09474314004182816
"vol_up(r=0.03,k=1.5)",20,681661,0.012217375449836254,-0.0053310394287109375,0.48008760953025037,0.4194460296246961,0.3342262502915672,-0.009088735096156597,0.3875914860905934,0.02130611054599285,0.8458324592429375,0.7920153859469736,0.691022370357113,0.48043382267725454,0.1398646980524063
"vol_up(r=0.03,k=1.5)",60,681661,0.03243790566921234,-0.020795106887817383,0.45676076524841525,0.4203365015748297,0.3691732400709444,-0.013753888197243214,0.37182705186302284,0.04619179293513298,0.8954949747748514,0.8630991064473397,0.8007880750108926,0.6578607254925836,0.2630249857902527
"vol_up_trend(r=0.05,k=2)",3,108487,-0.005750921554863453,-0.010833382606506348,0.4175338980707366,0.2973351645819315,0.1724354070072912,-0.0069246478378772736,0.38788057555283123,0.0011737262830138206,0.6674440255514485,0.5664826200374239,0.40131075612746225,0.16778968908717173,0.05425051227211952
"vol_up_trend(r=0.05,k=2)",5,108487,-0.00652936240658164,-0.014035046100616455,0.4172389318535861,0.31754035045673673,0.2037663498852397,-0.0099391620606184,0.37552886520965645,0.0034097996540367603,0.7237088314728953,0.6369426751592356,0.48719201378967064,0.24117175329763013,0.07104890793561935
"vol_up_trend(r=0.05,k=2)",10,108487,-0.004812524653971195,-0.018623650074005127,0.41815148358789533,0.3434881598716897,0.2514587001207518,-0.013254440389573574,0.3628084470950437,0.008441915735602379,0.7863246287573626,0.7192751205213528,0.5970761473724963,0.3625687870436089,0.10255281627178192
"vol_up_trend(r=0.05,k=2)",20,108487,-0.0016336303669959307,-0.026254892349243164,0.41869532755076644,0.3656198438522588,0.29503074101044363,-0.017324529588222504,0.35418068524339325,0.015690898522734642,0.837187865827242,0.7854397301059113,0.6888936001548572,0.4866205167439417,0.14780616760253906
"vol_up_trend(r=0.05,k=2)",60,108487,0.01529318280518055,-0.04897242784500122,0.4060117802132974,0.3734364486067455,0.32821444043986836,-0.02447008155286312,0.34057536847732905,0.03976326435804367,0.8887424299685677,0.8550517573534157,0.7906753804603317,0.646519859522339,0.2693324089050293
