security_code,security_name,ex_dividend_date,cash_per_share,share_ratio,plan,report_date,plan_notice_date,progress,rights_ratio,rights_price,expected_cash_per_share,expected_share_ratio,expected_rights_ratio,expected_rights_price,source_url,source_sha256,source_pages,reason,accounting_cash_per_share,company_cash_total,company_shares_before
002352,顺丰控股,2024-11-07,1.4,0.000000,按实施公告每股实派1.4元（含税；普通公众股东）,2024-06-30,2024-10-11,实施分配,0,0,0.400000,0.000000,0,0,https://pdf.dfcfw.com/pdf/H2_AN202410301640607006_1.pdf,338b6f3fe077d74966638cf0caf937e0d5e53aa86d06ed518b23e15c94cdc871,1;2,实施公告合计实付包括普通分红及特别分红,,,
300750,宁德时代,2024-04-30,5.028,0.000000,按实施公告每股实派5.028元（含税）,2023-12-31,2024-03-16,实施分配,0,0,2.011000,0.000000,0,0,https://pdf.dfcfw.com/pdf/H2_AN202404231631059060_1.pdf,7739837887d22cfea7f8768731cb60b59f28e0294a7241b2d2824633bd180fb5,1;2,实施公告实付总额包含源端漏计的特别分红；报告期归属保留,,,
600803,新奥股份,2024-08-01,.91,0.000000,按实施公告每股实派.91元（含税）,2023-12-31,2024-03-23,实施分配,0,0,0.660000,0.000000,0,0,https://pdf.dfcfw.com/pdf/H2_AN202407251638304211_1.pdf,c610a0242cc13bbde06917cfaad3549365afc16e10a5bf278b4751f5be497917,1;2,实施公告实付总额包含源端漏计的特别分红；报告期归属保留,,,
600803,新奥股份,2025-07-22,1.03,0.000000,按实施公告每股实派1.03元（含税）,2024-12-31,2025-03-27,实施分配,0,0,0.810000,0.000000,0,0,https://pdf.dfcfw.com/pdf/H2_AN202507151709372546_1.pdf,a47a387e531faaf13584f3b88a6d2af998427e034298e1503ada7146b6921f99,1;2,实施公告实付总额包含源端漏计的特别分红；报告期归属保留,,,
600989,宝丰能源,2019-09-27,0.320910,0.000000,"10派2.7545元(含税,扣税后2.47905元)",2019-06-30,2019-08-09,实施分配,,,0.320910,0.000000,,,https://pdf.dfcfw.com/pdf/H2_AN201909221363765456_1.pdf,bbcb897f303105ec71ed3cc539c94eab457b13a6eb204c26faeb4759a4e977e3,2,公众股东实付保持不变；公司权益桥改用实施公告全公司分派总额,0.2799961487776408085788778950,2053312557.60,7333360000
600989,宝丰能源,2020-06-04,0.320910,0.000000,"10派2.7545元(含税,扣税后2.47905元)",2019-12-31,2020-03-16,实施分配,,,0.320910,0.000000,,,https://pdf.dfcfw.com/pdf/H2_AN202005281380413497_1.pdf,c57baa032be861e871985022dd8b5f8a8dc48e8a83bd0b7981b1acd98b53de8b,2,公众股东实付保持不变；公司权益桥改用实施公告全公司分派总额,0.2799961487776408085788778950,2053312557.60,7333360000
600989,宝丰能源,2021-05-20,.32091,0.000000,按实施公告每股实派.32091元（含税；普通公众股东）,2020-12-31,2021-03-11,实施分配,0,0,0.264720,0.000000,0,0,https://pdf.dfcfw.com/pdf/H2_AN202105111491094056_1.pdf,18570ede629e1cadef96c4ce83a8a44b8121a5b01f0c09b9679c10540718d40b,1;2,实施公告普通公众股东实付，不能沿用大股东/全公司加权金额,0.2794633835976960083781513522,2049405598.74,7333360000
600989,宝丰能源,2022-05-12,.3210,0.000000,按实施公告每股实派.3210元（含税；普通公众股东）,2021-12-31,2022-03-10,实施分配,0,0,0.264800,0.000000,0,0,https://pdf.dfcfw.com/pdf/H2_AN202205041563491509_1.pdf,77c7945236346f652800a271f942a9610c3960538e011146aedd9860afb39bc8,1;2,实施公告普通公众股东实付，不能沿用大股东/全公司加权金额,0.2792278351260540870760469962,2047678237,7333360000
600989,宝丰能源,2022-12-27,.1841,0.000000,按实施公告每股实派.1841元（含税；普通公众股东）,2022-09-30,2022-11-10,实施分配,0,0,0.121600,0.000000,0,0,https://pdf.dfcfw.com/pdf/H2_AN202212201581238778_1.pdf,d0ce17862db32ba2dde975b62dcc2286d16188ee59e287589f1969edaad909d0,1;2,实施公告普通公众股东实付，不能沿用大股东/全公司加权金额,0.1396282525336271504467256483,1023944242,7333360000
600989,宝丰能源,2024-07-24,.3158,0.000000,按实施公告每股实派.3158元（含税；普通公众股东）,2023-12-31,2024-03-22,实施分配,0,0,0.280000,0.000000,0,0,https://pdf.dfcfw.com/pdf/H2_AN202407171638009021_1.pdf,d47db5c0b7d2c9bfc37dbc71cfdd2e34ed299948baaad08e7fadedb6fa2dde86,1;2,实施公告普通公众股东实付，不能沿用大股东/全公司加权金额,0.2800521464649219457383791332,2053723208.80,7333360000
600989,宝丰能源,2025-05-13,.4598,0.000000,按实施公告每股实派.4598元（含税；普通公众股东）,2024-12-31,2025-03-12,实施分配,0,0,0.409993,0.000000,0,0,https://pdf.dfcfw.com/pdf/H2_AN202505061668387199_1.pdf,1a9e10e1bd1ba1e5ea3493a8c8dab9e1a70e2211de015c60c4ec97312a968f60,1;2,实施公告普通公众股东实付，不能沿用大股东/全公司加权金额,0.4099932079169712110137781317,3006627791.21,7333360000
600989,宝丰能源,2026-04-28,.4921,0.000000,按实施公告每股实派.4921元（含税；普通公众股东）,2025-12-31,2026-03-13,实施分配,0,0,0.420000,0.000000,0,0,https://pdf.dfcfw.com/pdf/H2_AN202604211821382258_1.pdf,8ebf1cd4b3dcb2f36ad60ffc5307f32faf43c16ab3f4f580d8b6e3bbef5d6c9b,1;2,实施公告普通公众股东实付，不能沿用大股东/全公司加权金额,0.4165291217068301569812473409,3054557999.96,7333360000
603259,药明康德,2025-05-21,1.33169,0.000000,按实施公告每股实派1.33169元（含税；普通公众股东）,2024-12-31,2025-03-18,实施分配,0,0,0.981690,0.000000,0,0,https://pdf.dfcfw.com/pdf/H2_AN202505141672758204_1.pdf,903021b449b18291b6b4604495141085c7fc98336161ed556b73d0a22b6dd895,1;2,实施公告合计实付包括普通分红及特别分红,,,
