observed_on,index_code,pe_ttm,bond_yield,bond_observed_on,pe_source,bond_source
2005-04-29,000300,13.99,0.04066499999999999,2005-04-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2005-05-31,000300,12.58,0.038469,2005-05-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2005-06-30,000300,12.76,0.03653,2005-06-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2005-07-29,000300,12.94,0.033874,2005-07-29,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2005-08-31,000300,12.88,0.035608,2005-08-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2005-09-30,000300,12.63,0.032404,2005-09-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2005-10-31,000300,11.78,0.030613,2005-10-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2005-11-30,000300,11.85,0.033255,2005-11-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2005-12-30,000300,12.61,0.032236,2005-12-30,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2006-01-25,000300,13.56,0.029588999999999997,2006-01-25,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2006-02-28,000300,14.08,0.029266,2006-02-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2006-03-31,000300,14.03,0.0294,2006-03-31,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
2006-04-28,000300,15.8,0.0301,2006-04-28,https://legulegu.com/stockdata/hs300-ttm-lyr,eastmoney RPTA_WEB_TREASURYYIELD EMM00166466
