security_code,security_name,fiscal_year,report_date,line,line_label,statement_amount,notes_total,cash_like_amount,items,unit,status,announcement_date,title,url,extracted_at_utc
000022,深赤湾A,2008,2008-12-31,OTHER_NONCURRENT_ASSET,其他非流动资产,58772833.00,,0.00,,,section_not_found,2009-04-11,2008年年度报告,http://static.cninfo.com.cn/finalpage/2009-04-11/51167749.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2009,2009-12-31,OTHER_NONCURRENT_ASSET,其他非流动资产,58772833.00,,0.00,,,no_total,2010-04-10,2009年年度报告,http://static.cninfo.com.cn/finalpage/2010-04-10/57794170.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2010,2010-12-31,OTHER_NONCURRENT_ASSET,其他非流动资产,72292214.00,,0.00,,,no_total,2011-03-29,2010年年度报告,http://static.cninfo.com.cn/finalpage/2011-03-29/59189932.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2011,2011-12-31,OTHER_CURRENT_ASSET,其他流动资产,1003913.00,,0.00,,,section_not_found,2012-03-28,2011年年度报告,http://static.cninfo.com.cn/finalpage/2012-03-28/60740471.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2011,2011-12-31,OTHER_NONCURRENT_ASSET,其他非流动资产,142108284.00,142108284.00,0.00,,1.0,ok,2012-03-28,2011年年度报告,http://static.cninfo.com.cn/finalpage/2012-03-28/60740471.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2012,2012-12-31,OTHER_CURRENT_ASSET,其他流动资产,8956589.43,,0.00,,,section_not_found,2013-03-27,2012年年度报告,http://static.cninfo.com.cn/finalpage/2013-03-27/62279917.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2012,2012-12-31,OTHER_NONCURRENT_ASSET,其他非流动资产,123309396.98,,0.00,,,section_not_found,2013-03-27,2012年年度报告,http://static.cninfo.com.cn/finalpage/2013-03-27/62279917.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2013,2013-12-31,OTHER_CURRENT_ASSET,其他流动资产,15672486.73,1120000.00,0.00,,,total_mismatch,2014-03-29,2013年年度报告,http://static.cninfo.com.cn/finalpage/2014-03-29/63753086.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2013,2013-12-31,OTHER_NONCURRENT_ASSET,其他非流动资产,174669665.62,174669665.62,0.00,,1.0,ok,2014-03-29,2013年年度报告,http://static.cninfo.com.cn/finalpage/2014-03-29/63753086.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2014,2014-12-31,OTHER_CURRENT_ASSET,其他流动资产,16893412.98,24337500.00,0.00,,,total_mismatch,2015-03-27,2014年年度报告,http://static.cninfo.com.cn/finalpage/2015-03-27/1200746734.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2014,2014-12-31,OTHER_NONCURRENT_ASSET,其他非流动资产,234667393.59,234667393.59,0.00,,1.0,ok,2015-03-27,2014年年度报告,http://static.cninfo.com.cn/finalpage/2015-03-27/1200746734.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2015,2015-12-31,OTHER_CURRENT_ASSET,其他流动资产,12889208.71,25787500.00,0.00,,,total_mismatch,2016-03-28,2015年年度报告,http://static.cninfo.com.cn/finalpage/2016-03-28/1202081771.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2015,2015-12-31,OTHER_NONCURRENT_ASSET,其他非流动资产,132334704.86,132334704.86,0.00,,1.0,ok,2016-03-28,2015年年度报告,http://static.cninfo.com.cn/finalpage/2016-03-28/1202081771.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2016,2016-12-31,OTHER_CURRENT_ASSET,其他流动资产,18310220.71,25587500.00,0.00,,,total_mismatch,2017-03-28,2016年年度报告,http://static.cninfo.com.cn/finalpage/2017-03-28/1203208801.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2016,2016-12-31,OTHER_NONCURRENT_ASSET,其他非流动资产,132369704.86,89444597.10,0.00,,,total_mismatch,2017-03-28,2016年年度报告,http://static.cninfo.com.cn/finalpage/2017-03-28/1203208801.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2017,2017-12-31,OTHER_CURRENT_ASSET,其他流动资产,1200476091.74,26887500.00,0.00,,,total_mismatch,2018-03-07,2017年年度报告,http://static.cninfo.com.cn/finalpage/2018-03-07/1204455645.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2017,2017-12-31,OTHER_NONCURRENT_ASSET,其他非流动资产,227749831.65,132334704.86,0.00,,,total_mismatch,2018-03-07,2017年年度报告,http://static.cninfo.com.cn/finalpage/2018-03-07/1204455645.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2018,2018-12-31,NONCURRENT_ASSET_1YEAR,一年内到期的非流动资产,25952956.76,,0.00,,,section_not_found,2019-03-30,2018年年度报告,http://static.cninfo.com.cn/finalpage/2019-03-30/1205967798.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2018,2018-12-31,OTHER_CURRENT_ASSET,其他流动资产,1195421189.12,1196450667.17,0.00,,1.0,ok,2019-03-30,2018年年度报告,http://static.cninfo.com.cn/finalpage/2019-03-30/1205967798.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2018,2018-12-31,OTHER_NONCURRENT_ASSET,其他非流动资产,395191485.98,395191485.98,0.00,,1.0,ok,2019-03-30,2018年年度报告,http://static.cninfo.com.cn/finalpage/2019-03-30/1205967798.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2019,2019-12-31,NONCURRENT_ASSET_1YEAR,一年内到期的非流动资产,808893013.06,809702715.78,0.00,其他流动资产（1）其他流动资产分类人民币元项目本年年末余额上年年末余额结构性存款:2000298176.18,1.0,rows_mismatch,2020-04-16,2019年年度报告,http://static.cninfo.com.cn/finalpage/2020-04-16/1207507992.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2019,2019-12-31,OTHER_CURRENT_ASSET,其他流动资产,2298792661.70,2298792661.70,2000298176.18,（1）其他流动资产分类人民币元项目本年年末余额上年年末余额结构性存款:2000298176.18,1.0,ok,2020-04-16,2019年年度报告,http://static.cninfo.com.cn/finalpage/2020-04-16/1207507992.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2019,2019-12-31,OTHER_NONCURRENT_ASSET,其他非流动资产,2082965467.04,2082965467.04,0.00,,1.0,ok,2020-04-16,2019年年度报告,http://static.cninfo.com.cn/finalpage/2020-04-16/1207507992.PDF,2026-09-23T16:05:29+00:00
000022,深赤湾A,2020,2020-12-31,NONCURRENT_ASSET_1YEAR,一年内到期的非流动资产,67692473.44,433666201.42,0.00,,,total_mismatch,2021-03-31,2020年年度报告,http://static.cninfo.com.cn/finalpage/2021-03-31/1209490547.PDF,2026-09-23T16:05:29+00:00
