date,security_code,action,shares,price,amount,pv_ratio,intrinsic_value,reason,security_name
2012-03-13,000338,买入,4300,35.500,152650,0.6665,52.021,定投加仓,潍柴动力
2012-03-13,000651,买入,1800,21.290,38322,0.6945,30.626,定投加仓,格力电器
2012-03-14,600585,卖出,2500,16.720,41800,,,换仓：让位给空间更大的002128,
2012-03-20,000338,卖出,27300,33.000,900900,,,跌破建仓日MA60止损,潍柴动力
2012-03-20,000651,买入,6900,20.450,141105,0.6668,30.626,定投加仓,格力电器
2012-03-20,600660,买入,16600,8.530,141598,0.7574,11.526,定投加仓,福耀玻璃
2012-03-20,601088,买入,5400,26.020,140508,0.8054,32.632,定投加仓,中国神华
2012-03-20,600897,买入,10500,13.460,141330,0.9614,14.126,首次建仓,
2012-03-21,000651,买入,6900,20.460,141174,0.6677,30.626,定投加仓,格力电器
2012-03-21,600660,买入,6200,8.420,52204,0.7401,11.526,定投加仓,福耀玻璃
2012-03-22,600660,买入,200,8.430,1686,0.7306,11.526,定投加仓,福耀玻璃
2012-03-23,601088,卖出,57900,25.910,1500189,,,跌破建仓日MA60止损,中国神华
2012-03-23,000651,买入,6800,20.450,139060,0.6736,30.626,定投加仓,格力电器
2012-03-23,600660,买入,10100,8.420,85042,0.7314,11.526,定投加仓,福耀玻璃
2012-03-23,002128,买入,8700,16.090,139983,0.8287,19.874,首次建仓,电投能源
2012-03-23,600897,买入,10500,13.320,139860,0.9543,14.126,定投加仓,
2012-03-26,000651,买入,4300,20.780,89354,0.6677,30.626,定投加仓,格力电器
2012-03-26,600660,买入,500,8.340,4170,0.7306,11.526,定投加仓,福耀玻璃
2012-03-26,002128,买入,8900,15.670,139463,0.8096,19.874,定投加仓,电投能源
2012-03-26,600897,买入,10500,13.280,139440,0.9429,14.126,定投加仓,
2012-03-27,002128,买入,8800,15.690,138072,0.7885,19.874,定投加仓,电投能源
2012-03-27,600897,买入,10500,13.190,138495,0.9401,14.126,定投加仓,
2012-03-28,600660,卖出,200300,8.090,1620427,,,跌破建仓日MA60止损,福耀玻璃
2012-03-28,002128,买入,8700,15.050,130935,0.7895,19.874,定投加仓,电投能源
2012-03-28,600897,买入,10200,12.930,131886,0.9337,14.126,定投加仓,
2012-03-29,002128,卖出,35100,14.620,513162,,,跌破建仓日MA60止损,电投能源
2012-03-29,600897,买入,10300,12.740,131222,0.9153,14.126,定投加仓,
2012-03-30,600897,卖出,62500,12.680,792500,,,跌破建仓日MA60止损,
2012-04-16,002128,买入,8900,15.520,138128,0.7844,19.874,首次建仓,电投能源
2012-04-18,002128,买入,8700,15.730,136851,0.7648,19.874,定投加仓,电投能源
2012-04-19,002128,买入,8700,15.670,136329,0.7915,19.874,定投加仓,电投能源
2012-04-19,600897,买入,10400,13.200,137280,1.0527,12.502,首次建仓,
