group,arm,reference,年化,最大回撤,平均仓位,年均换手,滚动5年窗口年化
full,P20,F100,0.0007876428782263023,-0.006548627585219402,0.07632134364297294,1.0640394702536495,-0.010469763269999995
full,P20,F120,-0.021694791908495104,-0.02092755026195392,-0.10894158108295754,0.45188008059965323,-0.04528883470000003
full,P20,F140,-0.06490756044828738,-0.08540603383582313,-0.2866405593864973,-1.2555928515709749,-0.08055506575
full,P24,F100,0.12030452852633633,0.05438022500149964,0.3516533311905862,3.304850443728606,0.10151876810000002
full,P24,F120,0.06947256680212033,0.05147087989275689,0.16443475162156596,2.6863206236937867,0.049162146100000026
full,P24,F140,0.04041005009070309,-0.03185978494172703,-0.008783089231431118,1.1083036078352348,0.03155091185
full,P28,F100,0.15543371610001,0.11333950942147053,0.5585351071079665,3.2109248740903524,0.13225937805
full,P28,F120,0.10711575753099434,0.09733793594324402,0.3771770662871061,2.710752914404199,0.08912383865000001
full,P28,F140,0.0726893803996429,0.026077570000212713,0.19513845676289487,1.0672211241528156,0.07121588710000001
full,V25,F100,0.04359179681169989,-0.01654172457817732,0.10169321100190526,1.706263559743113,0.07049607775
full,V25,F120,0.009278986491336405,-0.02463889571443828,-0.079661454259565,1.350122050476597,0.013159747400000005
full,V25,F140,-0.024940794861005533,-0.0989400729205624,-0.261220951453472,-0.6528106787976471,-0.00819113779999997
full,V30,F100,0.04422596886953534,0.00835657205047624,0.16774786514422158,2.4699931107104947,0.04005830369999999
full,V30,F120,-0.006017274694071761,0.017481856362547954,-0.016168274801976024,1.7708607525024103,-0.0005024205199999823
full,V30,F140,-0.029918626956468852,-0.08093662337752633,-0.19698601823134632,-0.23868063087981062,-0.016805222500000022
full,V35,F100,0.06447664392912911,0.051924745569102204,0.2550978390582049,3.230752087263141,0.060856511999999974
full,V35,F120,0.029456203940828374,0.050877628342539616,0.06643979434243596,2.6349174254654897,0.018417149899999985
full,V35,F140,-0.000888378515328081,-0.038074539916901184,-0.11277550682228754,0.8208646826020694,-0.0024929022450000202
full,V30L60,F100,0.06500103243965782,0.01955774326881332,0.2273389987201827,2.073682510036023,0.0407888995
full,V30L60,F120,0.028156066779500666,0.01840755116173226,0.04168639514639938,1.4562075878680831,0.011998366300000007
full,V30L60,F140,0.00014608914485736424,-0.06657565421455497,-0.1366778904880962,-0.31742098413722886,0.0019032417000000024
full,V30F080,F100,0.005406837030318412,0.006277780565675184,0.09573729772937456,3.854766656267671,-0.00541378079999999
full,V30F080,F120,-0.02244453133046853,0.008099244689043328,-0.08437792735616234,3.1925183394309538,-0.0381616764
