group,arm,start,peak,trough,base_drawdown,peak_to_trough_loss,delta_fixed_loss,worst_loss_from_fixed_peak,base_recovery,recovered_after_base_trough
full,BASE,2009-11-01,2011-07-13,2013-06-25,0.4628639095528936,0.4628639095528936,0.0,0.4628639095528936,2014-12-01,2014-12-01
full,BASE,2009-11-01,2015-04-27,2016-06-13,0.45686121249193146,0.45686121249193146,0.0,0.45686121249193146,2017-03-21,2017-03-21
full,BASE,2009-11-01,2021-09-22,2021-11-16,0.43124862676552644,0.43124862676552644,0.0,0.43124862676552644,2022-03-29,2022-03-29
full,BASE,2009-11-01,2020-01-02,2020-03-23,0.42888642908002894,0.42888642908002894,0.0,0.42888642908002894,2020-07-09,2020-07-09
full,BASE,2009-11-01,2024-05-29,2024-09-11,0.37707672643905554,0.37707672643905554,0.0,0.37707672643905554,2024-11-07,2024-11-07
full,BASE,2009-11-01,2026-03-12,2026-06-30,0.35015631575165473,0.35015631575165473,0.0,0.35015631575165473,,
full,BASE,2009-11-01,2018-06-12,2019-01-03,0.3374349157937221,0.3374349157937221,0.0,0.3374349157937221,2019-02-25,2019-02-25
full,BASE,2011-11-01,2024-05-29,2024-09-11,0.47500191750839327,0.47500191750839327,0.0,0.47500191750839327,2024-11-07,2024-11-07
full,BASE,2011-11-01,2013-02-08,2013-06-25,0.4715720592151237,0.4715720592151237,0.0,0.4715720592151237,2014-12-02,2014-12-02
full,BASE,2011-11-01,2015-04-27,2016-06-13,0.4554295822333855,0.4554295822333855,0.0,0.4554295822333855,2017-05-25,2017-05-25
full,BASE,2011-11-01,2021-09-22,2021-11-16,0.37464206800329114,0.37464206800329114,0.0,0.37464206800329114,2022-02-11,2022-02-11
full,BASE,2011-11-01,2020-01-03,2020-03-23,0.3416339103091852,0.3416339103091852,0.0,0.3416339103091852,2020-07-06,2020-07-06
full,BASE,2011-11-01,2020-07-20,2021-02-05,0.3414694386498105,0.3414694386498105,0.0,0.3414694386498105,2021-08-31,2021-08-31
full,BASE,2011-11-01,2018-06-12,2019-01-03,0.33863528247023,0.33863528247023,0.0,0.33863528247023,2019-02-25,2019-02-25
full,P20,2009-11-01,2011-07-13,2013-06-25,0.4628639095528936,0.19847788968682856,-0.264386019866065,0.26150334411958687,2014-12-01,2013-10-30
full,P20,2009-11-01,2015-04-27,2016-06-13,0.45686121249193146,0.27915315857940615,-0.1777080539125253,0.2943185820580214,2017-03-21,2016-11-28
full,P20,2009-11-01,2021-09-22,2021-11-16,0.43124862676552644,0.3174526852794639,-0.11379594148606254,0.3174526852794639,2022-03-29,2022-04-14
full,P20,2009-11-01,2020-01-02,2020-03-23,0.42888642908002894,0.25183709942684573,-0.1770493296531832,0.25183709942684573,2020-07-09,2020-07-08
full,P20,2009-11-01,2024-05-29,2024-09-11,0.37707672643905554,0.3555510148037482,-0.021525711635307365,0.3555510148037482,2024-11-07,2025-09-12
full,P20,2009-11-01,2026-03-12,2026-06-30,0.35015631575165473,0.2291198765734873,-0.12103643917816742,0.2291198765734873,,
full,P20,2009-11-01,2018-06-12,2019-01-03,0.3374349157937221,0.20536189204167765,-0.13207302375204444,0.20536189204167765,2019-02-25,2019-02-18
full,P20,2011-11-01,2024-05-29,2024-09-11,0.47500191750839327,0.3410033908511161,-0.13399852665727718,0.3410033908511161,2024-11-07,2025-07-10
full,P20,2011-11-01,2013-02-08,2013-06-25,0.4715720592151237,0.25466291626156823,-0.21690914295355546,0.25466291626156823,2014-12-02,2013-12-10
full,P20,2011-11-01,2015-04-27,2016-06-13,0.4554295822333855,0.2943720090200256,-0.1610575732133599,0.30615014895554626,2017-05-25,2016-11-28
full,P20,2011-11-01,2021-09-22,2021-11-16,0.37464206800329114,0.30595477574102226,-0.06868729226226888,0.30595477574102226,2022-02-11,2022-04-14
full,P20,2011-11-01,2020-01-03,2020-03-23,0.3416339103091852,0.24909416419563513,-0.09253974611355009,0.24909416419563513,2020-07-06,2020-07-08
full,P20,2011-11-01,2020-07-20,2021-02-05,0.3414694386498105,0.222340005667638,-0.11912943298217249,0.22773033000251275,2021-08-31,2021-05-07
full,P20,2011-11-01,2018-06-12,2019-01-03,0.33863528247023,0.20548737596038547,-0.13314790650984454,0.20548737596038547,2019-02-25,2019-02-18
full,P24,2009-11-01,2011-07-13,2013-06-25,0.4628639095528936,0.3637951413002791,-0.09906876825261446,0.36442650528710996,2014-12-01,2014-12-03
full,P24,2009-11-01,2015-04-27,2016-06-13,0.45686121249193146,0.3579123776099301,-0.09894883488200135,0.3579123776099301,2017-03-21,2016-12-01
full,P24,2009-11-01,2021-09-22,2021-11-16,0.43124862676552644,0.3425415778696749,-0.08870704889585157,0.3425415778696749,2022-03-29,2024-01-09
full,P24,2009-11-01,2020-01-02,2020-03-23,0.42888642908002894,0.3407566672502055,-0.08812976182982346,0.3407566672502055,2020-07-09,2020-07-08
full,P24,2009-11-01,2024-05-29,2024-09-11,0.37707672643905554,0.42114528628395975,0.04406855984490421,0.42114528628395975,2024-11-07,2025-09-05
full,P24,2009-11-01,2026-03-12,2026-06-30,0.35015631575165473,0.2765792965818401,-0.07357701916981463,0.2765792965818401,,
full,P24,2009-11-01,2018-06-12,2019-01-03,0.3374349157937221,0.2564218139396782,-0.08101310185404387,0.2564218139396782,2019-02-25,2019-02-25
full,P24,2011-11-01,2024-05-29,2024-09-11,0.47500191750839327,0.4214896751680499,-0.05351224234034335,0.4214896751680499,2024-11-07,2025-07-24
