group,bp,arm,metric,key,level,delta,better_count,unit
full,0,V30,Sharpe,Sharpe,0.9257194768408576,-0.09119549813019762,0,ratio
full,0,V30,5年块中位,互不重叠5年块中位,0.3712586930851417,-0.23142322830230833,0,fraction
full,0,V30,滚3中位,滚动3年年化中位,0.33592571805932114,-0.133361646353083,0,fraction
full,0,V30,滚3回撤,滚动3年回撤中位,0.3344789605214817,-0.09655824051202477,14,fraction
full,0,V30,逐年中位,逐年收益中位,0.32197904310010705,-0.09232714804648473,0,fraction
full,0,V30,逐年最差,逐年最差,-0.07095125645382933,0.09187672806420472,14,fraction
full,0,V30,换手,年均换手,5.926123140235138,-0.18157457649063824,9,ratio
full,0,V30,仓位,平均仓位,1.1008838416829398,-0.4678523583455254,14,fraction
full,0,V30,top1,单票权重中位,0.5346159650640729,-0.09652445857717573,,descriptive
full,0,V30,top1_p90,单票权重P90,0.6194306674111753,-0.11418757373623545,,descriptive
full,0,V30,top1_max,单票权重最大,0.664355300315203,-0.25167762798670984,,descriptive
full,0,V30,top1_over60,单票超60%天数占比,0.24365581554168353,-0.4699342899509225,,descriptive
full,0,V30,top3,前三权重中位,0.9689736141174246,-0.4583980856019929,,descriptive
full,0,V30,positions,持仓数中位,6.0,-1.0,,descriptive
full,0,V30,rolling10_cagr,滚动10年年化中位,0.3416749327331613,-0.1173710336682775,,descriptive
full,0,V35,滚5中位,滚动5年年化中位,0.35001172269405145,-0.1067753522806496,0,fraction
full,0,V35,滚5P25,滚动5年年化P25,0.30355486535937026,-0.08591305088744805,0,fraction
full,0,V35,滚5最差,滚动5年年化最差,0.19242511564975484,-0.03949661874546928,3,fraction
full,0,V35,滚5回撤,滚动5年回撤中位,0.30494229279780755,-0.145611768420235,14,fraction
full,0,V35,滚5Calmar,滚动5年Calmar中位,1.0926749710710846,0.035694827219112824,10,ratio
full,0,V35,滚5Sharpe,滚动5年Sharpe中位,1.0106223169152506,-0.010929268019960414,6,ratio
full,0,V35,负窗%,滚动5年为负的窗口占比,0.0,0.0,0,fraction
full,0,V35,年化,年化,0.3332227607541749,-0.11626092072505145,0,fraction
full,0,V35,最大回撤,最大回撤,0.41006386046773285,-0.04963990089263404,14,fraction
full,0,V35,Calmar,Calmar,0.8110158033681449,-0.1991573428469876,0,ratio
full,0,V35,Sharpe,Sharpe,0.9876237250298832,-0.04929658093942774,3,ratio
full,0,V35,5年块中位,互不重叠5年块中位,0.40205562735228756,-0.17583558242454395,0,fraction
full,0,V35,滚3中位,滚动3年年化中位,0.3559902391234889,-0.10959207326842346,0,fraction
full,0,V35,滚3回撤,滚动3年回撤中位,0.30489416658719726,-0.12799025889039672,14,fraction
full,0,V35,逐年中位,逐年收益中位,0.3334022034964007,-0.08020717951242395,1,fraction
full,0,V35,逐年最差,逐年最差,-0.0874416508033885,0.07369294803027909,14,fraction
full,0,V35,换手,年均换手,6.91304686062151,0.6468025974087146,2,ratio
full,0,V35,仓位,平均仓位,1.1891678670633212,-0.3828676249245898,14,fraction
full,0,V35,top1,单票权重中位,0.5305881564518603,-0.09913964425100597,,descriptive
full,0,V35,top1_p90,单票权重P90,0.623134655302489,-0.10754530740066814,,descriptive
full,0,V35,top1_max,单票权重最大,0.6695378838181371,-0.24369771695231834,,descriptive
full,0,V35,top1_over60,单票超60%天数占比,0.2633386498969866,-0.4498590708865983,,descriptive
full,0,V35,top3,前三权重中位,0.9991230537550508,-0.4328466069876524,,descriptive
full,0,V35,positions,持仓数中位,6.0,-0.5,,descriptive
full,0,V35,rolling10_cagr,滚动10年年化中位,0.33800570245132333,-0.10718886843514641,,descriptive
full,0,V30L60,滚5中位,滚动5年年化中位,0.35112069844260096,-0.11130179924304417,0,fraction
full,0,V30L60,滚5P25,滚动5年年化P25,0.3027204680526331,-0.08868476126192659,0,fraction
full,0,V30L60,滚5最差,滚动5年年化最差,0.22489107053570867,-0.0232752800313355,4,fraction
full,0,V30L60,滚5回撤,滚动5年回撤中位,0.32862164596172494,-0.11550705584846371,14,fraction
full,0,V30L60,滚5Calmar,滚动5年Calmar中位,1.018829139244902,-0.012383373640635742,6,ratio
full,0,V30L60,滚5Sharpe,滚动5年Sharpe中位,1.002842505184883,-0.0014851390513985763,6,ratio
full,0,V30L60,负窗%,滚动5年为负的窗口占比,0.0,0.0,0,fraction
full,0,V30L60,年化,年化,0.34106134078088124,-0.11505300476348279,0,fraction
full,0,V30L60,最大回撤,最大回撤,0.38138366546890845,-0.08132597303219857,14,fraction
full,0,V30L60,Calmar,Calmar,0.8920594128978467,-0.09845759649414915,1,ratio
full,0,V30L60,Sharpe,Sharpe,1.0118998764345903,-0.011888112362599956,3,ratio
full,0,V30L60,5年块中位,互不重叠5年块中位,0.40592705620087444,-0.17453598841216045,0,fraction
full,0,V30L60,滚3中位,滚动3年年化中位,0.34317295002759596,-0.11256841120557903,0,fraction
full,0,V30L60,滚3回撤,滚动3年回撤中位,0.3281776980958386,-0.10323884583684162,14,fraction
full,0,V30L60,逐年中位,逐年收益中位,0.325938209326589,-0.09906378140781125,0,fraction
full,0,V30L60,逐年最差,逐年最差,-0.06284490519457087,0.08872075782814143,14,fraction
full,0,V30L60,换手,年均换手,5.674257866198015,-0.6963505729844068,12,ratio
full,0,V30L60,仓位,平均仓位,1.1611376488934289,-0.40586251094439296,14,fraction
full,0,V30L60,top1,单票权重中位,0.5365566529078236,-0.09399525505106393,,descriptive
full,0,V30L60,top1_p90,单票权重P90,0.6318953415666744,-0.10414098674184169,,descriptive
full,0,V30L60,top1_max,单票权重最大,0.7154807259620036,-0.2279925771137002,,descriptive
full,0,V30L60,top1_over60,单票超60%天数占比,0.2750224287456005,-0.45376408280910685,,descriptive
full,0,V30L60,top3,前三权重中位,0.9733142617530056,-0.4537176469508005,,descriptive
full,0,V30L60,positions,持仓数中位,6.0,-1.0,,descriptive
full,0,V30L60,rolling10_cagr,滚动10年年化中位,0.34616557375629864,-0.10366255401037205,,descriptive
full,0,V30F080,滚5中位,滚动5年年化中位,0.29721931661572076,-0.17258034588031268,0,fraction
full,0,V30F080,滚5P25,滚动5年年化P25,0.2528221702247133,-0.148177929629564,0,fraction
full,0,V30F080,滚5最差,滚动5年年化最差,0.17822454341394178,-0.07193817662883617,3,fraction
full,0,V30F080,滚5回撤,滚动5年回撤中位,0.30221205601951545,-0.14748080724952606,14,fraction
full,0,V30F080,滚5Calmar,滚动5年Calmar中位,0.9218126824877967,-0.13199400394280741,0,ratio
full,0,V30F080,滚5Sharpe,滚动5年Sharpe中位,0.9612986647540684,-0.06290324536879227,2,ratio
full,0,V30F080,负窗%,滚动5年为负的窗口占比,0.0,0.0,0,fraction
full,0,V30F080,年化,年化,0.2859525540508787,-0.16970315565680683,0,fraction
full,0,V30F080,最大回撤,最大回撤,0.3691672577271368,-0.09760047234766328,14,fraction
full,0,V30F080,Calmar,Calmar,0.7840644466683413,-0.23234252524680432,0,ratio
full,0,V30F080,Sharpe,Sharpe,0.9537504192344104,-0.09379213884946563,0,ratio
full,0,V30F080,5年块中位,互不重叠5年块中位,0.33744645600937506,-0.2506691833400952,0,fraction
full,0,V30F080,滚3中位,滚动3年年化中位,0.2934546193901223,-0.17284594809060727,0,fraction
full,0,V30F080,滚3回撤,滚动3年回撤中位,0.3019849049367996,-0.1304872773148495,14,fraction
full,0,V30F080,逐年中位,逐年收益中位,0.3004853259920054,-0.1376038571926661,0,fraction
full,0,V30F080,逐年最差,逐年最差,-0.0590755430506521,0.10375036490105877,14,fraction
full,0,V30F080,换手,年均换手,7.6945766780071665,1.0888515905713128,1,ratio
full,0,V30F080,仓位,平均仓位,1.0312857712020258,-0.533184531948405,14,fraction
full,0,V30F080,top1,单票权重中位,0.4735718923695086,-0.1583564506768712,,descriptive
full,0,V30F080,top1_p90,单票权重P90,0.6150605514175496,-0.12326968206489697,,descriptive
full,0,V30F080,top1_max,单票权重最大,0.6657267762911039,-0.2558438904124121,,descriptive
full,0,V30F080,top1_over60,单票超60%天数占比,0.17085737156903102,-0.5393699517044517,,descriptive
full,0,V30F080,top3,前三权重中位,0.7999827768912835,-0.6222335337626537,,descriptive
full,0,V30F080,positions,持仓数中位,6.0,-1.0,,descriptive
full,0,V30F080,rolling10_cagr,滚动10年年化中位,0.2926931424667225,-0.161583993125212,,descriptive
full,0,F100,滚5中位,滚动5年年化中位,0.287174120780996,-0.18607737308643135,0,fraction
full,0,F100,滚5P25,滚动5年年化P25,0.24285410676054275,-0.1651507674631416,0,fraction
full,0,F100,滚5最差,滚动5年年化最差,0.13340166665950193,-0.11208336288369591,5,fraction
full,0,F100,滚5回撤,滚动5年回撤中位,0.3467106071590918,-0.10751062343303086,14,fraction
full,0,F100,滚5Calmar,滚动5年Calmar中位,0.8533559500917469,-0.20769480032696214,2,ratio
full,0,F100,滚5Sharpe,滚动5年Sharpe中位,0.8921945084584342,-0.1384549941628999,1,ratio
full,0,F100,负窗%,滚动5年为负的窗口占比,0.0,0.0,0,fraction
full,0,F100,年化,年化,0.2533131124096798,-0.1909451700697976,0,fraction
full,0,F100,最大回撤,最大回撤,0.36767245739099985,-0.11196603781204517,14,fraction
full,0,F100,Calmar,Calmar,0.7011508059477308,-0.21565851798625346,1,ratio
full,0,F100,Sharpe,Sharpe,0.8406063875488848,-0.14776528128584476,0,ratio
full,0,F100,5年块中位,互不重叠5年块中位,0.3246721609890291,-0.26974406471630397,0,fraction
full,0,F100,滚3中位,滚动3年年化中位,0.27767832902457845,-0.1942202182942382,0,fraction
full,0,F100,滚3回撤,滚动3年回撤中位,0.29420819134213166,-0.13193898184230163,14,fraction
full,0,F100,逐年中位,逐年收益中位,0.2218934424421728,-0.1897446918779383,0,fraction
full,0,F100,逐年最差,逐年最差,-0.14237927412315082,0.03541211577030656,11,fraction
full,0,F100,换手,年均换手,3.6728506947791724,-2.6775811279546833,14,ratio
full,0,F100,仓位,平均仓位,0.938748322599728,-0.6353936188578615,14,fraction
full,0,F100,top1,单票权重中位,0.588973935771764,-0.040576452199361734,,descriptive
