group,arm,start,days,active_days,active_fraction,missing_days,mean_exposure,stress_overshoot_days,min_risk_cap,first_active
A,P24V30,2010-05-01,3965,3401,0.8577553593947037,448,1.0102031408447159,20,1.0,2010-07-01
A,P24V30,2010-11-01,3847,3368,0.8754873927735898,448,1.004100573257586,27,1.0,2011-06-01
A,P24V30,2011-05-01,3725,3408,0.9148993288590604,448,1.0327530619977285,20,1.0,2011-06-01
A,P24V30,2011-11-01,3602,3208,0.8906163242642976,379,1.093247977129955,28,1.0,2011-11-02
A,P24V30,2012-05-01,3483,3177,0.9121447028423773,373,1.1039146991892739,18,1.0,2012-05-03
A,P24V30,2012-11-01,3358,3053,0.9091721262656343,349,1.1195111302260095,22,1.0,2012-11-02
A,P24V30,2013-05-01,3241,2964,0.9145325516815798,219,1.115458971931122,19,1.0,2013-05-03
A,P24V30,2013-11-01,3120,2796,0.8961538461538462,336,1.1050599482376542,28,1.0,2013-11-04
A,P24V30,2014-05-01,2998,2683,0.8949299533022015,297,1.1247035507375933,20,1.0,2014-05-06
A,P24V30,2014-11-01,2875,2513,0.8740869565217392,140,1.1244422504715659,17,1.0,2014-11-04
A,P24V30,2015-05-01,2754,2434,0.8838053740014524,212,1.12163797964691,25,1.0,2015-08-03
A,P24V30,2015-11-01,2632,2409,0.915273556231003,212,1.1533116725108712,21,1.0,2015-11-03
A,P24V30,2016-05-01,2509,2268,0.903945795137505,212,1.1767956079617232,13,1.0,2016-05-04
