group,bp,arm,max_mdd,mdd_start,mdd_peak,mdd_trough,min_rolling5_cagr,worst_window_start,worst_window_end,min_margin,margin_start,margin_date,min_buffer,buffer_start,buffer_date,min_cash,cash_start,cash_date,negative_cash_days,forced_liquidations,liquidation_starts,negative_window_starts,min_rf_coverage,data_end
full,0,BASE,0.5103950402387067,2010-11-01,2011-07-13,2013-06-25,0.02045285386685669,2010-11-01,2016-06-30,1.8224611980935101,2012-05-01,2013-06-17,0.2866789145579947,2012-05-01,2013-06-17,-9.313225746154785e-10,2011-11-01,2025-12-17,0.0,0.0,0,0,0.9845890410958904,2026-08-28
full,0,P20,0.4028726149485339,2014-11-01,2015-06-09,2016-05-18,0.04817260702480186,2010-11-01,2016-01-29,2.280237222237028,2013-11-01,2025-04-07,0.4298846996619356,2013-11-01,2025-04-07,0.0,2009-11-01,2010-09-06,0.0,0.0,0,0,0.9845890410958904,2026-08-28
full,0,P24,0.46715314366725313,2015-11-01,2024-05-29,2025-04-07,0.020395757197205322,2010-11-01,2016-06-30,2.096247382463953,2014-11-01,2015-01-19,0.379844186866931,2014-11-01,2015-01-19,-4.656612873077393e-10,2016-05-01,2024-09-11,0.0,0.0,0,0,0.9845890410958904,2026-08-28
full,0,P28,0.4908804173963852,2015-11-01,2024-05-29,2024-09-11,-0.0028863232556185503,2010-11-01,2016-06-30,1.8519683751115459,2014-11-01,2020-03-23,0.2980441688580671,2014-11-01,2020-03-23,-2.3283064365386963e-10,2009-11-01,2025-05-19,0.0,0.0,0,1,0.9845890410958904,2026-08-28
full,0,V25,0.3864520946954123,2014-11-01,2015-06-09,2016-05-18,0.05004479129058592,2010-11-01,2016-02-29,2.333032448108335,2013-11-01,2024-01-22,0.4427852895684912,2013-11-01,2024-01-22,0.0,2009-11-01,2012-03-07,0.0,0.0,0,0,0.9845890410958904,2026-08-28
full,0,V30,0.40498844488004304,2010-11-01,2011-07-13,2014-03-20,0.018419133967347845,2010-11-01,2016-02-29,2.281163121845798,2013-05-01,2025-04-07,0.43011528305432717,2013-05-01,2025-04-07,-1.1641532182693481e-10,2010-11-01,2021-08-04,0.0,0.0,0,0,0.9845890410958904,2026-08-28
full,0,V35,0.443031207526689,2010-11-01,2011-07-13,2014-03-28,0.0068441068464715205,2010-11-01,2016-06-30,2.2251101128693014,2010-11-01,2024-09-06,0.41575925052821894,2010-11-01,2024-09-06,-1.1641532182693481e-10,2013-11-01,2020-06-18,0.0,0.0,0,0,0.9845890410958904,2026-08-28
full,0,V30L60,0.4151125614535861,2010-11-01,2011-07-13,2014-03-20,0.01852979277799549,2010-11-01,2016-06-30,2.1846378260319628,2009-11-01,2024-09-09,0.40493569025066395,2009-11-01,2024-09-09,-2.3283064365386963e-10,2010-11-01,2021-08-04,0.0,0.0,0,0,0.9845890410958904,2026-08-28
full,0,V30F080,0.3968253620981783,2010-11-01,2011-07-13,2012-09-26,0.01706984398287359,2010-11-01,2016-02-29,2.2348894072099275,2011-11-01,2024-09-06,0.41831573597955285,2011-11-01,2024-09-06,-2.9103830456733704e-11,2013-11-01,2016-10-24,0.0,0.0,0,0,0.9845890410958904,2026-08-28
full,0,F100,0.3914294781680442,2015-05-01,2020-01-03,2020-03-23,0.044447614755317666,2010-11-01,2016-06-30,30.51637631498059,2015-11-01,2019-12-26,0.9573999223701464,2015-11-01,2019-12-26,0.10355169948945786,2014-11-01,2026-04-22,0.0,0.0,0,0,0.9845890410958904,2026-08-28
full,0,F120,0.42600094563699387,2014-11-01,2015-06-09,2016-05-18,0.016454802933996593,2010-11-01,2016-06-30,5.4002534212011994,2014-11-01,2015-01-19,0.7592705566564253,2014-11-01,2015-01-19,-3.637978807091713e-12,2012-05-01,2015-04-30,0.0,0.0,0,0,0.9845890410958904,2026-08-28
full,0,F140,0.4574648923407203,2009-11-01,2024-05-29,2025-04-07,-0.0035195107919027135,2010-11-01,2016-06-30,3.149916174488842,2014-11-01,2015-01-19,0.5872906045790378,2014-11-01,2015-01-19,0.0,2009-11-01,2010-09-06,0.0,0.0,0,1,0.9845890410958904,2026-08-28
full,0,P24V30,0.3873846957248208,2010-11-01,2011-07-13,2014-03-20,0.008266233505707765,2010-11-01,2016-06-30,2.283122952095741,2015-05-01,2025-04-07,0.43060720409675063,2015-05-01,2025-04-07,-2.3283064365386963e-10,2012-11-01,2021-08-09,0.0,0.0,0,0,0.9845890410958904,2026-08-28
A,0,BASE,0.5025272939500507,2011-05-01,2018-07-30,2019-01-03,0.03405267766830433,2009-11-01,2014-11-28,1.8636407881045858,2012-11-01,2020-03-23,0.3024406804692423,2012-11-01,2020-03-23,-9.313225746154785e-10,2012-11-01,2025-07-10,0.0,0.0,0,0,0.9845890410958904,2026-08-28
A,0,P20,0.4053746986914004,2010-05-01,2011-03-28,2014-03-10,-0.007417513779229723,2010-05-01,2016-06-30,2.187666388858282,2016-05-01,2024-09-11,0.4057594857146134,2016-05-01,2024-09-11,0.0,2009-11-01,2012-03-07,0.0,0.0,0,1,0.9845890410958904,2026-08-28
A,0,P24,0.4586962950370007,2009-11-01,2015-04-22,2016-05-26,0.03892214063340571,2009-11-01,2016-02-29,2.173585998393142,2009-11-01,2015-02-02,0.40191002290176425,2009-11-01,2015-02-02,-2.3283064365386963e-10,2011-11-01,2024-05-29,0.0,0.0,0,0,0.9845890410958904,2026-08-28
A,0,P28,0.4947658269182541,2009-11-01,2015-04-22,2016-05-13,0.0656199900555674,2009-11-01,2016-06-30,2.1354858870373614,2014-11-01,2016-01-11,0.3912392454142892,2014-11-01,2016-01-11,-2.3283064365386963e-10,2011-11-01,2021-04-28,0.0,0.0,0,0,0.9845890410958904,2026-08-28
A,0,V25,0.41355030989850483,2010-11-01,2015-06-15,2016-05-13,0.010559522140893174,2010-05-01,2016-06-30,2.3292960580496658,2014-05-01,2025-04-07,0.44189146952470343,2014-05-01,2025-04-07,-1.862645149230957e-09,2010-05-01,2026-07-14,0.0,0.0,0,0,0.9845890410958904,2026-08-28
A,0,V30,0.41146809602183043,2012-11-01,2015-06-15,2016-05-13,0.0035425537662081563,2010-05-01,2016-06-30,2.3103565182213277,2010-05-01,2025-04-07,0.43731628008614437,2010-05-01,2025-04-07,-5.820766091346741e-11,2011-05-01,2017-08-07,0.0,0.0,0,0,0.9845890410958904,2026-08-28
A,0,V35,0.4111749976480369,2009-11-01,2011-03-28,2012-11-15,0.01396439544001371,2010-05-01,2016-02-29,2.201924096812374,2014-11-01,2016-12-28,0.40960726035836054,2014-11-01,2016-12-28,-1.1641532182693481e-10,2012-11-01,2022-11-25,0.0,0.0,0,0,0.9845890410958904,2026-08-28
A,0,V30L60,0.40294548928076457,2010-11-01,2015-06-15,2016-05-13,0.031701572337095474,2009-11-01,2014-11-28,2.2289155920987325,2012-11-01,2022-03-15,0.41675673829535703,2012-11-01,2022-03-15,-1.1641532182693481e-10,2011-11-01,2024-05-29,0.0,0.0,0,0,0.9845890410958904,2026-08-28
A,0,V30F080,0.3938007827691691,2010-05-01,2011-03-28,2012-11-15,-0.0009643957427476479,2009-11-01,2016-06-30,2.2946610064539703,2012-05-01,2025-04-07,0.4334675159670138,2012-05-01,2025-04-07,-5.820766091346741e-11,2012-11-01,2017-08-07,0.0,0.0,0,1,0.9845890410958904,2026-08-28
A,0,F100,0.4090866615258494,2010-05-01,2011-03-28,2013-07-29,-0.010066370365873767,2009-11-01,2016-06-30,254.11389750251607,2013-11-01,2019-12-26,0.9948841837743756,2013-11-01,2019-12-26,0.028033995447913185,2009-11-01,2013-10-23,0.0,0.0,0,2,0.9845890410958904,2026-08-28
A,0,F120,0.43969562877174007,2012-05-01,2015-06-15,2016-05-13,0.007265198231343195,2009-11-01,2016-06-30,5.436854378077607,2014-11-01,2015-01-19,0.7608911496247097,2014-11-01,2015-01-19,-1.1368683772161603e-13,2011-11-01,2024-07-05,0.0,0.0,0,0,0.9845890410958904,2026-08-28
A,0,F140,0.4785318923703793,2011-11-01,2015-04-22,2016-05-13,0.018526478889669296,2010-05-01,2016-06-30,3.1762146683645804,2014-11-01,2015-01-19,0.590707765143165,2014-11-01,2015-01-19,-1.1641532182693481e-10,2014-11-01,2025-07-18,0.0,0.0,0,0,0.9845890410958904,2026-08-28
A,0,P24V30,0.4114102423791598,2014-05-01,2015-06-15,2016-05-13,0.0212641162156042,2009-11-01,2016-06-30,2.286342169534131,2012-05-01,2024-09-06,0.431406192247729,2012-05-01,2024-09-06,-2.3283064365386963e-10,2012-05-01,2021-02-08,0.0,0.0,0,0,0.9845890410958904,2026-08-28
U1,0,BASE,0.4819751940180256,2015-05-01,2015-12-25,2016-05-13,0.053286102239639366,2010-05-01,2016-02-29,1.783756063584337,2014-11-01,2020-03-23,0.27120079559099686,2014-11-01,2020-03-23,-9.313225746154785e-10,2014-05-01,2026-01-15,0.0,0.0,0,0,0.9845890410958904,2026-08-28
U1,0,P20,0.3944374892772209,2009-11-01,2011-03-28,2012-11-29,0.03882172041943366,2010-05-01,2016-02-29,2.1864392107001223,2014-11-01,2015-01-19,0.40542595758528976,2014-11-01,2015-01-19,-4.656612873077393e-10,2010-11-01,2026-04-24,0.0,0.0,0,0,0.9845890410958904,2026-08-28
U1,0,V25,0.40688739914788596,2011-05-01,2015-06-12,2016-05-13,0.04562273364439795,2009-11-01,2016-06-30,2.3188932389921235,2011-05-01,2025-04-07,0.43938773112080487,2011-05-01,2025-04-07,-9.313225746154785e-10,2016-05-01,2026-07-14,0.0,0.0,0,0,0.9845890410958904,2026-08-28
U1,0,V30,0.40901112062775513,2009-11-01,2011-03-28,2012-11-29,0.03878914719496818,2009-11-01,2016-02-29,2.2915817681101998,2013-05-01,2016-12-16,0.4327062563985784,2013-05-01,2016-12-16,-1.4551915228366852e-11,2016-05-01,2022-07-01,0.0,0.0,0,0,0.9845890410958904,2026-08-28
U1,0,V35,0.42658209265858804,2009-11-01,2011-03-28,2012-11-29,0.023818233579796955,2009-11-01,2016-06-30,2.236968553086591,2013-11-01,2016-12-28,0.4188563812368987,2013-11-01,2016-12-28,-5.820766091346741e-11,2016-05-01,2022-11-22,0.0,0.0,0,0,0.9845890410958904,2026-08-28
U1,0,V30F080,0.4047205894885696,2010-05-01,2011-03-28,2012-11-29,0.04716812034253781,2009-11-01,2014-11-28,2.2433875801115652,2010-05-01,2016-12-28,0.4205192132090924,2010-05-01,2016-12-28,-1.1641532182693481e-10,2010-11-01,2020-09-28,0.0,0.0,0,0,0.9845890410958904,2026-08-28
U1,0,F120,0.4179404186606077,2015-05-01,2015-12-25,2016-05-13,0.05840259045964147,2009-11-01,2016-02-29,5.458331655741333,2014-11-01,2015-01-19,0.7618319878689309,2014-11-01,2015-01-19,-2.9103830456733704e-11,2015-11-01,2017-07-20,0.0,0.0,0,0,0.9845890410958904,2026-08-28
U1,0,F140,0.44484272555554316,2015-05-01,2015-12-25,2016-05-13,0.07219728864965869,2010-05-01,2016-02-29,3.190647153773388,2013-05-01,2020-02-03,0.5925595178545786,2013-05-01,2020-02-03,-3.637978807091713e-12,2009-11-01,2014-08-11,0.0,0.0,0,0,0.9845890410958904,2026-08-28
