group,bp,arm,max_mdd,mdd_start,mdd_peak,mdd_trough,min_rolling5_cagr,worst_window_start,worst_window_end,min_margin,margin_start,margin_date,min_buffer,buffer_start,buffer_date,min_cash,cash_start,cash_date,negative_cash_days,forced_liquidations,liquidation_starts,negative_window_starts,min_rf_coverage,data_end
U1,0,P24V30,0.41505336790264924,2013-05-01,2015-06-12,2016-05-13,0.04646472693850767,2010-05-01,2016-06-30,2.2899919955408152,2015-11-01,2024-09-06,0.43231242618689325,2015-11-01,2024-09-06,-1.1641532182693481e-10,2013-05-01,2021-02-18,0.0,0.0,0,0,0.9845890410958904,2026-08-28
U2,0,BASE,0.5025272939500507,2011-05-01,2018-07-30,2019-01-03,0.03405267766830433,2009-11-01,2014-11-28,1.8636407881045858,2012-11-01,2020-03-23,0.3024406804692423,2012-11-01,2020-03-23,-9.313225746154785e-10,2012-11-01,2025-07-10,0.0,0.0,0,0,0.9845890410958904,2026-08-28
U2,0,P24,0.4586962950370007,2009-11-01,2015-04-22,2016-05-26,0.03892214063340571,2009-11-01,2016-02-29,2.173585998393142,2009-11-01,2015-02-02,0.40191002290176425,2009-11-01,2015-02-02,-2.3283064365386963e-10,2011-11-01,2024-05-29,0.0,0.0,0,0,0.9845890410958904,2026-08-28
U2,0,P28,0.4947658269182541,2009-11-01,2015-04-22,2016-05-13,0.0656199900555674,2009-11-01,2016-06-30,2.1354858870373614,2014-11-01,2016-01-11,0.3912392454142892,2014-11-01,2016-01-11,-2.3283064365386963e-10,2011-11-01,2021-04-28,0.0,0.0,0,0,0.9845890410958904,2026-08-28
U2,0,V30L60,0.40294548928076457,2010-11-01,2015-06-15,2016-05-13,0.031701572337095474,2009-11-01,2014-11-28,2.2289155920987325,2012-11-01,2022-03-15,0.41675673829535703,2012-11-01,2022-03-15,-1.1641532182693481e-10,2011-11-01,2024-05-29,0.0,0.0,0,0,0.9845890410958904,2026-08-28
U2,0,F100,0.4090866615258494,2010-05-01,2011-03-28,2013-07-29,-0.010066370365873767,2009-11-01,2016-06-30,254.11389750251607,2013-11-01,2019-12-26,0.9948841837743756,2013-11-01,2019-12-26,0.028033995447913185,2009-11-01,2013-10-23,0.0,0.0,0,2,0.9845890410958904,2026-08-28
full,30,BASE,0.5345524787099135,2010-11-01,2010-12-21,2013-06-25,0.012671083343437806,2010-11-01,2016-06-30,1.8227691015267642,2012-05-01,2013-06-17,0.2867994092553407,2012-05-01,2013-06-17,-9.313225746154785e-10,2013-05-01,2026-03-05,0.0,0.0,0,0,0.9845890410958904,2026-08-28
full,30,P24,0.4529881377033529,2014-11-01,2024-05-29,2024-09-11,-0.014627429341014797,2010-11-01,2016-06-30,2.095902094410533,2014-11-01,2015-01-19,0.37974201969313753,2014-11-01,2015-01-19,-1.8189894035458565e-12,2009-11-01,2012-05-21,0.0,0.0,0,1,0.9845890410958904,2026-08-28
full,30,V30,0.4469917024520207,2010-11-01,2010-12-21,2014-03-20,-0.012528840819590381,2010-11-01,2016-06-30,2.262066967464042,2009-11-01,2024-09-06,0.4253043704283415,2009-11-01,2024-09-06,-2.3283064365386963e-10,2014-05-01,2021-08-09,0.0,0.0,0,1,0.9845890410958904,2026-08-28
A,30,BASE,0.5170842572511063,2013-11-01,2015-04-22,2016-05-30,0.009749054390387313,2010-05-01,2016-02-29,1.865647992147631,2011-11-01,2020-03-23,0.30319116710569194,2011-11-01,2020-03-23,-1.862645149230957e-09,2010-05-01,2026-07-14,0.0,0.0,0,0,0.9845890410958904,2026-08-28
A,30,P24,0.5114947369676579,2011-05-01,2015-04-22,2016-05-26,0.012333590894292756,2009-11-01,2016-05-31,2.1655809053897355,2011-05-01,2015-02-02,0.39969917689773793,2011-05-01,2015-02-02,-2.3283064365386963e-10,2016-05-01,2026-01-15,0.0,0.0,0,0,0.9845890410958904,2026-08-28
A,30,V30,0.4211604560008183,2009-11-01,2011-03-28,2012-11-29,-0.017055842120061504,2010-05-01,2016-06-30,2.3120205283536404,2011-11-01,2024-09-04,0.43772125547444296,2011-11-01,2024-09-04,-5.820766091346741e-11,2012-05-01,2017-08-22,0.0,0.0,0,2,0.9845890410958904,2026-08-28
