nav_tag,arm,bp,nav_rows,negative_cash_days,min_cash,risk_rows,causal_rows,cap_overshoot_days,max_cap_overshoot,unresolved_days,active_sells,stress_overshoot_days,max_stress_overshoot,risk_dominant_days,missing_days
RBBASEfullS00020091101,BASE,0,4089,0,-1.1641532182693481e-10,0,0,0,0.0,0,552,0,0.0,0,0
RBBASEfullS00020100501,BASE,0,3966,0,-5.820766091346741e-11,0,0,0,0.0,0,463,0,0.0,0,0
RBBASEfullS00020101101,BASE,0,3848,0,0.0,0,0,0,0.0,0,276,0,0.0,0,0
RBBASEfullS00020110501,BASE,0,3726,0,0.0,0,0,0,0.0,0,231,0,0.0,0,0
RBBASEfullS00020111101,BASE,0,3603,0,-9.313225746154785e-10,0,0,0,0.0,0,245,0,0.0,0,0
RBBASEfullS00020120501,BASE,0,3484,0,0.0,0,0,0,0.0,0,231,0,0.0,0,0
RBBASEfullS00020121101,BASE,0,3359,0,0.0,0,0,0,0.0,0,212,0,0.0,0,0
RBBASEfullS00020130501,BASE,0,3242,0,0.0,0,0,0,0.0,0,177,0,0.0,0,0
RBBASEfullS00020131101,BASE,0,3121,0,0.0,0,0,0,0.0,0,192,0,0.0,0,0
RBBASEfullS00020140501,BASE,0,2999,0,-7.275957614183426e-12,0,0,0,0.0,0,219,0,0.0,0,0
RBBASEfullS00020141101,BASE,0,2876,0,0.0,0,0,0,0.0,0,252,0,0.0,0,0
RBBASEfullS00020150501,BASE,0,2755,0,-7.275957614183426e-12,0,0,0,0.0,0,131,0,0.0,0,0
RBBASEfullS00020151101,BASE,0,2633,0,0.0,0,0,0,0.0,0,85,0,0.0,0,0
RBBASEfullS00020160501,BASE,0,2510,0,0.0,0,0,0,0.0,0,71,0,0.0,0,0
RBP20fullS00020091101,P20,0,4089,0,0.0,4088,4088,0,0.0,0,2559,54,0.02085400748083005,3648,0
RBP20fullS00020100501,P20,0,3966,0,0.0,3965,3965,0,0.0,0,3834,37,0.020698157551365642,3652,0
RBP20fullS00020101101,P20,0,3848,0,0.0,3847,3847,0,0.0,0,2213,48,0.02700401022969212,3602,0
RBP20fullS00020110501,P20,0,3726,0,0.0,3725,3725,0,0.0,0,3322,71,0.03060319808678344,3460,0
RBP20fullS00020111101,P20,0,3603,0,0.0,3602,3602,0,0.0,0,3627,54,0.01999306487069505,3427,0
RBP20fullS00020120501,P20,0,3484,0,0.0,3483,3483,0,0.0,0,3963,54,0.021059047185511465,3295,0
RBP20fullS00020121101,P20,0,3359,0,0.0,3358,3358,0,0.0,0,2494,48,0.029142219232857702,3235,0
RBP20fullS00020130501,P20,0,3242,0,0.0,3241,3241,0,0.0,0,3317,53,0.025611134451070106,3030,0
RBP20fullS00020131101,P20,0,3121,0,0.0,3120,3120,0,0.0,0,2100,44,0.01951908766324656,2904,0
RBP20fullS00020140501,P20,0,2999,0,0.0,2998,2998,0,0.0,0,3730,55,0.016479017220163678,2788,0
RBP20fullS00020141101,P20,0,2876,0,0.0,2875,2875,0,0.0,0,3720,70,0.02259272822636782,2758,0
RBP20fullS00020150501,P20,0,2755,0,0.0,2754,2754,0,0.0,0,4031,46,0.015910867883272867,2537,0
RBP20fullS00020151101,P20,0,2633,0,0.0,2632,2632,0,0.0,0,3391,61,0.02711555451174974,2584,0
RBP20fullS00020160501,P20,0,2510,0,0.0,2509,2509,0,0.0,0,1824,28,0.022899909961284937,2456,0
RBP24fullS00020091101,P24,0,4089,0,-1.1641532182693481e-10,4088,4088,0,0.0,0,7675,110,0.029577803840255046,3157,0
RBP24fullS00020100501,P24,0,3966,0,0.0,3965,3965,0,0.0,0,7394,129,0.026859691426383392,3047,0
RBP24fullS00020101101,P24,0,3848,0,0.0,3847,3847,0,0.0,0,7355,120,0.026709062345100676,3086,0
RBP24fullS00020110501,P24,0,3726,0,0.0,3725,3725,0,0.0,0,6966,124,0.02600343302852559,3065,0
RBP24fullS00020111101,P24,0,3603,0,0.0,3602,3602,0,0.0,0,7159,107,0.026518803732124674,2977,0
RBP24fullS00020120501,P24,0,3484,0,0.0,3483,3483,0,0.0,0,6665,89,0.02654091013549459,2849,0
RBP24fullS00020121101,P24,0,3359,0,0.0,3358,3358,0,0.0,0,7316,119,0.025184386691834426,2745,0
RBP24fullS00020130501,P24,0,3242,0,0.0,3241,3241,0,0.0,0,6900,123,0.03132076564545749,2689,0
RBP24fullS00020131101,P24,0,3121,0,0.0,3120,3120,0,0.0,0,6447,79,0.03490317357061251,2544,0
RBP24fullS00020140501,P24,0,2999,0,0.0,2998,2998,0,0.0,0,5968,85,0.02846719655256419,2221,0
RBP24fullS00020141101,P24,0,2876,0,0.0,2875,2875,0,0.0,0,6261,56,0.02446335252484222,2411,0
RBP24fullS00020150501,P24,0,2755,0,0.0,2754,2754,0,0.0,0,5897,60,0.02845779974318985,2498,0
RBP24fullS00020151101,P24,0,2633,0,0.0,2632,2632,0,0.0,0,5022,117,0.025795808824258026,2107,0
RBP24fullS00020160501,P24,0,2510,0,-4.656612873077393e-10,2509,2509,0,0.0,0,5038,75,0.024773302562344834,1943,0
RBP28fullS00020091101,P28,0,4089,0,-2.3283064365386963e-10,4088,4088,0,0.0,0,3507,186,0.02833470751007311,1523,0
RBP28fullS00020100501,P28,0,3966,0,-3.637978807091713e-12,3965,3965,0,0.0,0,3801,145,0.022847401998453254,1689,0
RBP28fullS00020101101,P28,0,3848,0,0.0,3847,3847,0,0.0,0,3428,195,0.026272377580192796,1659,0
RBP28fullS00020110501,P28,0,3726,0,0.0,3725,3725,0,0.0,0,3190,153,0.04729228153892495,1484,0
RBP28fullS00020111101,P28,0,3603,0,0.0,3602,3602,0,0.0,0,3645,72,0.01884429202633675,1539,0
RBP28fullS00020120501,P28,0,3484,0,0.0,3483,3483,0,0.0,0,2919,191,0.06163089232438551,1454,0
RBP28fullS00020121101,P28,0,3359,0,-2.2737367544323206e-13,3358,3358,0,0.0,0,3965,161,0.0232318742080459,1567,0
RBP28fullS00020130501,P28,0,3242,0,-1.1641532182693481e-10,3241,3241,0,0.0,0,3821,121,0.03946540909624896,1360,0
RBP28fullS00020131101,P28,0,3121,0,0.0,3120,3120,0,0.0,0,2617,233,0.05764490698766589,1213,0
RBP28fullS00020140501,P28,0,2999,0,0.0,2998,2998,0,0.0,0,2907,283,0.02186239741660223,1170,0
RBP28fullS00020141101,P28,0,2876,0,0.0,2875,2875,0,0.0,0,2375,176,0.06295144185757584,997,0
RBP28fullS00020150501,P28,0,2755,0,0.0,2754,2754,0,0.0,0,2140,210,0.06322364941448716,969,0
RBP28fullS00020151101,P28,0,2633,0,0.0,2632,2632,0,0.0,0,1949,250,0.06357852539784642,933,0
RBP28fullS00020160501,P28,0,2510,0,0.0,2509,2509,0,0.0,0,2774,96,0.030197788425777305,970,0
RBV25fullS00020091101,V25,0,4089,0,0.0,4088,4088,0,0.0,0,2550,0,0.0,3283,264
