group,arm,start,rank,peak,trough,drawdown,recovery,peak_to_recovery_calendar_days
full,V30L60,2010-05-01,3,2020-01-03,2020-03-23,0.32872526652379996,2020-07-07,186
full,V30L60,2010-11-01,1,2011-07-13,2014-03-20,0.4151125614535861,2014-12-04,1240
full,V30L60,2010-11-01,2,2024-05-29,2024-09-11,0.36535169101968656,2025-03-07,282
full,V30L60,2010-11-01,3,2020-01-03,2020-03-23,0.32831181121832276,2020-07-07,186
full,V30L60,2011-05-01,1,2024-05-29,2024-09-11,0.39045330248828114,2025-08-15,443
full,V30L60,2011-05-01,2,2011-05-20,2014-03-20,0.34925534420694615,2014-12-02,1292
full,V30L60,2011-05-01,3,2020-01-03,2020-03-23,0.3312743273263272,2020-07-07,186
full,V30L60,2011-11-01,1,2024-05-29,2024-09-11,0.3829416324552076,2025-08-15,443
full,V30L60,2011-11-01,2,2013-02-08,2014-03-27,0.3404842675620373,2014-12-01,661
full,V30L60,2011-11-01,3,2020-01-03,2020-03-23,0.327599637297482,2020-07-07,186
full,V30L60,2012-05-01,1,2024-05-29,2024-09-11,0.3739873478189941,2025-08-13,441
full,V30L60,2012-05-01,2,2013-02-08,2014-03-20,0.3649828844968027,2014-12-03,663
full,V30L60,2012-05-01,3,2020-01-03,2020-03-23,0.3315061227274778,2020-07-08,187
full,V30L60,2012-11-01,1,2024-05-29,2024-09-11,0.37550043378355114,2025-07-22,419
full,V30L60,2012-11-01,2,2013-02-08,2014-03-10,0.3420931763300701,2014-12-01,661
full,V30L60,2012-11-01,3,2020-01-03,2020-03-23,0.3274242876900816,2020-07-07,186
full,V30L60,2013-05-01,1,2024-05-29,2024-09-11,0.3840435613186761,2025-08-15,443
full,V30L60,2013-05-01,2,2020-01-03,2020-03-23,0.33510514080223663,2020-07-08,187
full,V30L60,2013-05-01,3,2021-09-22,2021-11-16,0.2956097163343747,2022-03-31,190
full,V30L60,2013-11-01,1,2024-05-29,2024-09-11,0.37720855222503336,2025-08-15,443
full,V30L60,2013-11-01,2,2020-01-03,2020-03-23,0.32726957435140036,2020-07-07,186
full,V30L60,2013-11-01,3,2021-09-22,2021-11-16,0.29776204797451045,2022-04-14,204
full,V30L60,2014-05-01,1,2024-05-29,2024-09-11,0.3829827831710497,2025-09-02,461
full,V30L60,2014-05-01,2,2020-01-03,2020-03-23,0.32794350498427616,2020-07-07,186
full,V30L60,2014-05-01,3,2015-06-09,2016-05-19,0.2919261996008956,2016-10-25,504
full,V30L60,2014-11-01,1,2015-06-09,2016-05-18,0.38450167577893823,2017-02-22,624
full,V30L60,2014-11-01,2,2024-05-29,2024-09-11,0.37231939220576427,2025-08-15,443
full,V30L60,2014-11-01,3,2020-01-03,2020-03-23,0.3477749117508724,2020-07-09,188
full,V30L60,2015-05-01,1,2024-05-29,2024-09-11,0.38107401589758527,2025-03-05,280
full,V30L60,2015-05-01,2,2015-12-25,2016-05-18,0.3614090445243363,2016-12-01,342
full,V30L60,2015-05-01,3,2020-01-03,2020-03-23,0.33503477986150076,2020-07-08,187
full,V30L60,2015-11-01,1,2024-05-29,2024-09-11,0.3645032962755429,2025-08-15,443
full,V30L60,2015-11-01,2,2015-12-25,2016-05-18,0.36446181353052354,2017-01-24,396
full,V30L60,2015-11-01,3,2020-01-03,2020-03-23,0.3285180253996499,2020-07-07,186
full,V30L60,2016-05-01,1,2024-05-29,2024-09-11,0.38169331504023163,2025-08-15,443
full,V30L60,2016-05-01,2,2020-01-03,2020-03-23,0.3326638176074501,2020-07-07,186
full,V30L60,2016-05-01,3,2021-09-22,2021-11-16,0.2946462120864317,2022-04-14,204
full,V30F080,2009-11-01,1,2024-05-29,2024-09-11,0.35953386760271755,2025-10-09,498
full,V30F080,2009-11-01,2,2011-07-13,2012-09-26,0.3489386148719603,2014-12-01,1237
full,V30F080,2009-11-01,3,2020-02-25,2020-03-23,0.3023309323379457,2020-07-09,135
full,V30F080,2010-05-01,1,2024-05-29,2024-09-11,0.3738516950956856,2025-10-09,498
full,V30F080,2010-05-01,2,2011-07-13,2014-03-28,0.3544131422476654,2014-12-03,1239
full,V30F080,2010-05-01,3,2020-02-25,2020-03-23,0.3016406760747188,2020-07-14,140
full,V30F080,2010-11-01,1,2011-07-13,2012-09-26,0.3968253620981783,2014-12-04,1240
full,V30F080,2010-11-01,2,2024-05-29,2024-09-11,0.3725498885135139,2025-10-09,498
full,V30F080,2010-11-01,3,2020-02-25,2020-03-23,0.3021222521020105,2020-07-09,135
full,V30F080,2011-05-01,1,2024-05-29,2024-09-11,0.3728519287555493,2025-10-09,498
full,V30F080,2011-05-01,2,2011-05-20,2014-03-28,0.3349213537580644,2014-12-01,1291
full,V30F080,2011-05-01,3,2020-02-25,2020-03-23,0.3018505194631309,2020-07-09,135
full,V30F080,2011-11-01,1,2024-05-29,2024-09-11,0.3692470194442886,2025-10-21,510
full,V30F080,2011-11-01,2,2013-02-08,2014-03-28,0.32110845732759663,2014-12-01,661
full,V30F080,2011-11-01,3,2020-02-25,2020-03-23,0.3023708828924504,2020-07-14,140
full,V30F080,2012-05-01,1,2013-02-08,2014-03-28,0.35619229718613454,2014-12-03,663
full,V30F080,2012-05-01,2,2024-05-29,2024-09-11,0.3552732962333557,2025-03-07,282
full,V30F080,2012-05-01,3,2020-02-25,2020-03-23,0.30251510834285666,2020-07-14,140
full,V30F080,2012-11-01,1,2024-05-29,2024-09-11,0.37423709394962146,2025-09-12,471
full,V30F080,2012-11-01,2,2013-02-08,2014-03-28,0.3338367033200119,2014-12-01,661
full,V30F080,2012-11-01,3,2020-02-25,2020-03-23,0.30226339767649146,2020-07-14,140
full,V30F080,2013-05-01,1,2024-05-29,2024-09-11,0.34599780410823067,2025-09-17,476
full,V30F080,2013-05-01,2,2020-02-25,2020-03-23,0.3016225813390986,2020-07-14,140
full,V30F080,2013-05-01,3,2015-06-09,2016-05-19,0.28123901285821906,2016-10-25,504
full,V30F080,2013-11-01,1,2024-05-29,2024-09-11,0.3709939401071245,2025-10-23,512
full,V30F080,2013-11-01,2,2020-02-25,2020-03-23,0.30216071436253944,2020-07-09,135
full,V30F080,2013-11-01,3,2015-06-09,2016-05-19,0.27795837668174406,2016-10-24,503
full,V30F080,2014-05-01,1,2024-05-29,2024-09-11,0.3692605368829017,2025-10-15,504
full,V30F080,2014-05-01,2,2020-02-25,2020-03-23,0.30240509415061434,2020-07-14,140
full,V30F080,2014-05-01,3,2015-06-09,2016-02-01,0.2555745291874091,2016-11-28,538
full,V30F080,2014-11-01,1,2024-05-29,2024-09-11,0.369087496009985,2025-10-09,498
full,V30F080,2014-11-01,2,2020-02-25,2020-03-23,0.30231720217918445,2020-07-09,135
full,V30F080,2014-11-01,3,2015-06-09,2016-01-28,0.28592638588588615,2016-11-28,538
full,V30F080,2015-05-01,1,2024-05-29,2024-09-11,0.36872829192459955,2025-10-09,498
full,V30F080,2015-05-01,2,2020-02-25,2020-03-23,0.30108150308738946,2020-07-09,135
full,V30F080,2015-05-01,3,2015-12-25,2016-05-18,0.2867293627277525,2016-10-25,305
full,V30F080,2015-11-01,1,2024-05-29,2024-09-11,0.3673680050509813,2025-10-15,504
full,V30F080,2015-11-01,2,2020-02-25,2020-03-23,0.30211929041046826,2020-07-09,135
full,V30F080,2015-11-01,3,2015-12-25,2016-01-28,0.24221668349375125,2016-11-23,334
full,V30F080,2016-05-01,1,2024-05-29,2024-09-11,0.3610241504204639,2025-03-07,282
full,V30F080,2016-05-01,2,2020-02-25,2020-03-23,0.30266959157943674,2020-07-13,139
full,V30F080,2016-05-01,3,2026-03-12,2026-06-30,0.25079570172205123,,
full,F100,2009-11-01,1,2024-05-29,2024-09-11,0.27256859930765065,2025-09-12,471
full,F100,2009-11-01,2,2011-07-13,2011-12-14,0.2620531345917727,2013-01-21,558
full,F100,2009-11-01,3,2015-06-09,2016-02-01,0.2599216289439409,2016-11-07,517
full,F100,2010-05-01,1,2020-01-03,2020-03-23,0.36772272641391557,2020-07-09,188
full,F100,2010-05-01,2,2024-05-20,2024-09-11,0.3357846983313322,2025-07-24,430
full,F100,2010-05-01,3,2021-09-22,2021-11-16,0.2942389613972255,2022-02-10,141
full,F100,2010-11-01,1,2020-01-03,2020-03-23,0.36768364781232854,2020-07-09,188
full,F100,2010-11-01,2,2024-05-20,2024-09-11,0.3466580016754731,2025-08-11,448
full,F100,2010-11-01,3,2011-07-13,2012-09-26,0.31357427746217137,2014-11-25,1231
full,F100,2011-05-01,1,2020-01-03,2020-03-23,0.36766126696967116,2020-07-09,188
full,F100,2011-05-01,2,2024-05-20,2024-09-11,0.3490284720983192,2025-08-15,452
full,F100,2011-05-01,3,2021-09-22,2021-11-16,0.29420149601919576,2022-02-10,141
full,F100,2011-11-01,1,2020-01-03,2020-03-23,0.36787671145229595,2020-07-09,188
full,F100,2011-11-01,2,2024-05-20,2024-09-11,0.3467632126427105,2025-08-15,452
full,F100,2011-11-01,3,2021-09-22,2021-11-16,0.2941759134752786,2022-02-10,141
full,F100,2012-05-01,1,2013-02-08,2014-03-27,0.3420853607420826,2014-12-22,682
full,F100,2012-05-01,2,2024-05-29,2024-09-11,0.3079463595971996,2025-09-05,464
full,F100,2012-05-01,3,2021-09-22,2021-11-16,0.26420615315703544,2022-02-10,141
full,F100,2012-11-01,1,2020-01-03,2020-03-23,0.36781050150004113,2020-07-09,188
full,F100,2012-11-01,2,2024-05-20,2024-09-11,0.33497076614774945,2025-07-22,428
full,F100,2012-11-01,3,2013-02-08,2014-03-27,0.32071965085723164,2014-12-04,664
full,F100,2013-05-01,1,2020-01-03,2020-03-23,0.36772011029965945,2020-07-09,188
full,F100,2013-05-01,2,2024-05-20,2024-09-11,0.34677383507649207,2025-08-26,463
full,F100,2013-05-01,3,2021-09-22,2021-11-16,0.29421488666506757,2022-02-10,141
full,F100,2013-11-01,1,2024-05-20,2024-09-11,0.3429055216965843,2025-08-15,452
full,F100,2013-11-01,2,2020-01-03,2020-03-23,0.34239501753232016,2020-07-09,188
full,F100,2013-11-01,3,2021-09-22,2021-11-16,0.3013136046568977,2022-02-11,142
full,F100,2014-05-01,1,2024-05-20,2024-09-11,0.3547521101576697,2025-07-24,430
full,F100,2014-05-01,2,2020-01-03,2020-03-23,0.34930954392816793,2020-07-08,187
full,F100,2014-05-01,3,2021-09-22,2021-11-16,0.29605546817220785,2022-03-03,162
full,F100,2014-11-01,1,2015-06-09,2016-01-28,0.301372550237896,2016-11-25,535
full,F100,2014-11-01,2,2024-05-29,2024-09-11,0.26944493491344557,2025-09-15,474
full,F100,2014-11-01,3,2026-03-12,2026-06-30,0.2567329824684744,,
full,F100,2015-05-01,1,2020-01-03,2020-03-23,0.3914294781680442,2020-07-20,199
full,F100,2015-05-01,2,2015-12-25,2016-05-18,0.3614090445243363,2017-06-01,524
full,F100,2015-05-01,3,2024-05-22,2024-09-11,0.31261418112674944,2025-08-12,447
full,F100,2015-11-01,1,2015-12-25,2016-05-18,0.36446181353052354,2017-05-26,518
full,F100,2015-11-01,2,2024-07-09,2025-04-07,0.30688890660072743,2025-10-09,457
full,F100,2015-11-01,3,2020-02-17,2020-03-23,0.27693918062096756,2020-07-08,142
full,F100,2016-05-01,1,2020-01-03,2020-03-23,0.3912663107987835,2020-07-20,199
full,F100,2016-05-01,2,2024-05-20,2024-09-11,0.3263694532675625,2025-08-15,452
full,F100,2016-05-01,3,2021-09-22,2021-11-16,0.30555610004974043,2022-03-03,162
full,F120,2009-11-01,1,2024-05-29,2024-09-11,0.34735631513640575,2025-09-12,471
full,F120,2009-11-01,2,2011-07-13,2012-09-26,0.33978214554081043,2014-11-27,1233
full,F120,2009-11-01,3,2015-06-09,2016-06-13,0.3362936881172819,2017-03-20,650
full,F120,2010-05-01,1,2024-05-29,2025-04-07,0.39296782540951225,2025-11-06,526
full,F120,2010-05-01,2,2011-07-13,2012-09-26,0.33990662207033695,2014-11-26,1232
full,F120,2010-05-01,3,2015-06-09,2016-06-13,0.3367056612733652,2017-03-20,650
full,F120,2010-11-01,1,2011-07-13,2012-09-26,0.38812444854217565,2014-12-03,1239
full,F120,2010-11-01,2,2024-05-29,2024-09-11,0.37575795137370704,2025-10-09,498
full,F120,2010-11-01,3,2021-09-22,2021-11-16,0.3409570602523535,2022-04-13,203
full,F120,2011-05-01,1,2024-05-29,2025-04-07,0.3897704578727126,2025-11-03,523
full,F120,2011-05-01,2,2015-06-09,2016-06-13,0.33891030695990165,2017-03-20,650
full,F120,2011-05-01,3,2021-09-22,2021-11-16,0.33699204301959607,2022-04-14,204
full,F120,2011-11-01,1,2024-05-29,2024-09-11,0.36778022465024274,2025-09-12,471
full,F120,2011-11-01,2,2015-06-09,2016-06-13,0.3447539211420778,2017-03-21,651
full,F120,2011-11-01,3,2021-09-22,2021-11-16,0.32940143205361294,2022-03-28,187
full,F120,2012-05-01,1,2024-05-29,2025-04-07,0.3862572427619456,2025-11-03,523
full,F120,2012-05-01,2,2013-02-08,2013-06-24,0.3755165426436048,2014-12-04,664
full,F120,2012-05-01,3,2015-06-09,2016-06-13,0.3395626465565412,2017-03-21,651
full,F120,2012-11-01,1,2013-02-08,2013-06-24,0.35752868225266854,2014-12-03,663
full,F120,2012-11-01,2,2024-05-29,2024-09-13,0.3440382581879833,2025-10-23,512
full,F120,2012-11-01,3,2021-09-22,2021-11-16,0.3392482925048834,2022-04-14,204
full,F120,2013-05-01,1,2021-09-22,2021-11-16,0.3385002282861467,2022-04-13,203
full,F120,2013-05-01,2,2015-06-09,2016-06-13,0.33129481315319553,2017-03-20,650
full,F120,2013-05-01,3,2013-05-20,2014-03-27,0.3243857859682706,2014-12-04,563
full,F120,2013-11-01,1,2024-05-29,2024-09-11,0.35836520143245143,2025-09-12,471
full,F120,2013-11-01,2,2021-09-22,2021-11-16,0.3303888477224196,2022-03-28,187
full,F120,2013-11-01,3,2015-06-09,2016-06-13,0.32645323298543805,2017-02-13,615
full,F120,2014-05-01,1,2024-05-29,2024-09-11,0.3476889469801828,2025-09-12,471
full,F120,2014-05-01,2,2015-06-09,2016-06-13,0.3312508889583443,2017-03-20,650
full,F120,2014-05-01,3,2021-09-22,2021-11-16,0.3284989032456641,2022-03-28,187
full,F120,2014-11-01,1,2015-06-09,2016-05-18,0.42600094563699387,2017-06-12,734
full,F120,2014-11-01,2,2024-05-29,2025-04-07,0.3461856175901208,2025-10-29,518
full,F120,2014-11-01,3,2021-09-22,2021-11-16,0.3387213883929845,2022-04-14,204
full,F120,2015-05-01,1,2015-12-25,2016-05-18,0.40444745630101375,2017-05-25,517
full,F120,2015-05-01,2,2024-05-29,2024-09-11,0.3655784857645188,2025-10-09,498
full,F120,2015-05-01,3,2021-09-22,2021-11-16,0.3300036037577845,2022-03-28,187
full,F120,2015-11-01,1,2015-12-25,2016-05-18,0.3437458500979138,2016-11-28,339
full,F120,2015-11-01,2,2021-09-22,2021-11-16,0.33867412121162566,2022-04-14,204
full,F120,2015-11-01,3,2024-05-29,2024-09-11,0.30966595777610995,2024-11-07,162
full,F120,2016-05-01,1,2021-09-22,2021-11-16,0.33869710018057053,2022-04-14,204
full,F120,2016-05-01,2,2024-05-29,2024-09-11,0.32711904718018314,2024-11-07,162
full,F120,2016-05-01,3,2020-01-02,2020-03-23,0.2803932771682145,2020-07-07,187
full,F140,2009-11-01,1,2024-05-29,2025-04-07,0.4574648923407203,2025-10-30,519
full,F140,2009-11-01,2,2011-07-13,2013-06-24,0.40901407302044224,2014-12-03,1239
full,F140,2009-11-01,3,2015-04-27,2016-06-13,0.38612548190586193,2017-03-20,693
full,F140,2010-05-01,1,2024-05-29,2024-09-11,0.43393608488290214,2025-09-05,464
full,F140,2010-05-01,2,2011-07-13,2013-06-24,0.4099771790686264,2014-12-04,1240
full,F140,2010-05-01,3,2015-04-27,2016-06-13,0.3896029086575711,2017-03-21,694
full,F140,2010-11-01,1,2011-07-13,2013-06-24,0.44647848041194627,2014-12-04,1240
full,F140,2010-11-01,2,2024-05-29,2024-09-11,0.42858914216757327,2025-09-12,471
full,F140,2010-11-01,3,2015-04-27,2016-06-13,0.38731209637864206,2017-03-21,694
full,F140,2011-05-01,1,2024-05-29,2024-09-11,0.4517329307474137,2025-09-12,471
full,F140,2011-05-01,2,2015-04-27,2016-06-13,0.387831313305359,2017-03-21,694
full,F140,2011-05-01,3,2013-02-08,2013-06-24,0.38625475014637034,2014-12-03,663
full,F140,2011-11-01,1,2024-05-29,2024-09-11,0.45179248969982577,2025-09-12,471
full,F140,2011-11-01,2,2015-04-27,2016-06-13,0.3899221624404292,2017-03-21,694
full,F140,2011-11-01,3,2013-02-08,2013-06-24,0.3848224999676195,2014-12-03,663
full,F140,2012-05-01,1,2024-05-29,2024-09-11,0.4517963580617428,2025-09-12,471
full,F140,2012-05-01,2,2013-02-08,2013-06-24,0.4227783739283987,2014-12-04,664
full,F140,2012-05-01,3,2015-04-27,2016-06-13,0.3888222965436444,2017-03-21,694
full,F140,2012-11-01,1,2024-05-29,2024-09-11,0.4517986485975476,2025-09-12,471
full,F140,2012-11-01,2,2013-02-08,2013-06-24,0.4040443273811106,2014-12-04,664
full,F140,2012-11-01,3,2015-04-27,2016-06-13,0.3873291737812231,2017-03-21,694
full,F140,2013-05-01,1,2024-05-29,2024-09-11,0.4461385724575253,2025-09-12,471
full,F140,2013-05-01,2,2015-04-27,2016-06-13,0.3909294458983017,2017-03-21,694
full,F140,2013-05-01,3,2021-09-22,2021-11-16,0.3606968999159865,2022-04-14,204
full,F140,2013-11-01,1,2024-05-29,2024-09-11,0.43345545506972594,2025-09-12,471
full,F140,2013-11-01,2,2015-04-27,2016-06-13,0.38977920094355745,2017-03-21,694
full,F140,2013-11-01,3,2021-09-22,2021-11-16,0.3630890755847733,2022-04-14,204
full,F140,2014-05-01,1,2024-05-29,2024-09-11,0.44895773933126015,2025-09-12,471
full,F140,2014-05-01,2,2015-06-09,2016-06-13,0.38662325565503464,2017-03-20,650
full,F140,2014-05-01,3,2020-01-03,2020-03-23,0.3570950594884603,2020-07-08,187
full,F140,2014-11-01,1,2024-05-29,2024-09-11,0.44860607256606644,2025-09-12,471
full,F140,2014-11-01,2,2015-04-27,2016-05-18,0.4166464190368566,2017-03-20,693
full,F140,2014-11-01,3,2020-01-03,2020-03-23,0.36263795344228,2020-07-08,187
full,F140,2015-05-01,1,2024-05-29,2024-09-11,0.44888257512817453,2025-09-08,467
full,F140,2015-05-01,2,2015-12-25,2016-05-18,0.3993160466194674,2016-12-01,342
full,F140,2015-05-01,3,2020-01-03,2020-03-23,0.35687837102709996,2020-07-07,186
full,F140,2015-11-01,1,2024-05-29,2024-09-11,0.4485876319739902,2025-09-12,471
full,F140,2015-11-01,2,2015-12-25,2016-05-18,0.3872511841774129,2016-11-28,339
full,F140,2015-11-01,3,2020-01-03,2020-03-23,0.3632244547380822,2020-07-08,187
full,F140,2016-05-01,1,2024-05-29,2024-09-11,0.44886966730913114,2025-09-12,471
full,F140,2016-05-01,2,2020-01-03,2020-03-23,0.3604719468208899,2020-07-08,187
full,F140,2016-05-01,3,2021-09-22,2021-11-16,0.35710863057778663,2022-03-29,188
full,P24V30,2009-11-01,1,2024-05-29,2024-09-11,0.3615222943607196,2025-10-09,498
full,P24V30,2009-11-01,2,2011-07-13,2012-09-26,0.32612213843044424,2014-12-01,1237
full,P24V30,2009-11-01,3,2020-02-17,2020-03-23,0.31777108726218084,2020-07-20,154
full,P24V30,2010-05-01,1,2024-05-29,2024-09-11,0.3652337863142757,2025-10-09,498
full,P24V30,2010-05-01,2,2020-02-17,2020-03-23,0.3298346117342933,2020-07-20,154
full,P24V30,2010-05-01,3,2011-07-13,2012-09-26,0.32624301284175994,2014-12-01,1237
full,P24V30,2010-11-01,1,2011-07-13,2014-03-20,0.3873846957248208,2014-12-04,1240
full,P24V30,2010-11-01,2,2024-05-29,2024-09-11,0.36705706901172763,2025-09-17,476
full,P24V30,2010-11-01,3,2020-02-17,2020-03-23,0.318334644171527,2020-07-20,154
full,P24V30,2011-05-01,1,2024-05-29,2024-09-11,0.3477933161852843,2025-10-09,498
full,P24V30,2011-05-01,2,2020-02-17,2020-03-23,0.33043504349535824,2020-07-20,154
full,P24V30,2011-05-01,3,2013-02-08,2014-03-20,0.32314678731001745,2014-12-03,663
full,P24V30,2011-11-01,1,2024-05-29,2024-09-11,0.3639775797519701,2025-10-09,498
full,P24V30,2011-11-01,2,2020-02-17,2020-03-23,0.3300762033493113,2020-07-20,154
full,P24V30,2011-11-01,3,2013-02-08,2013-06-24,0.3118963580937759,2014-12-01,661
full,P24V30,2012-05-01,1,2024-05-29,2024-09-11,0.3610265937725101,2025-10-09,498
full,P24V30,2012-05-01,2,2013-02-08,2014-02-27,0.3319621324830798,2014-12-03,663
full,P24V30,2012-05-01,3,2020-02-17,2020-03-23,0.33035579035191664,2020-07-20,154
full,P24V30,2012-11-01,1,2024-05-29,2024-09-11,0.35155022374221023,2025-03-07,282
full,P24V30,2012-11-01,2,2013-02-08,2014-03-20,0.3373265460726911,2014-12-02,662
full,P24V30,2012-11-01,3,2020-02-17,2020-03-23,0.3231507126431772,2020-07-20,154
full,P24V30,2013-05-01,1,2024-05-29,2024-09-11,0.36545147957649793,2025-09-12,471
full,P24V30,2013-05-01,2,2020-02-17,2020-03-23,0.3305320861548414,2020-07-20,154
full,P24V30,2013-05-01,3,2021-09-22,2021-11-16,0.2907401204346918,2022-02-11,142
full,P24V30,2013-11-01,1,2024-05-29,2024-09-11,0.36931631381796537,2025-10-21,510
full,P24V30,2013-11-01,2,2020-02-17,2020-03-23,0.3208606214224198,2020-07-20,154
full,P24V30,2013-11-01,3,2021-09-22,2021-11-16,0.2860405735329691,2022-03-29,188
full,P24V30,2014-05-01,1,2024-05-29,2024-09-11,0.3737296372970246,2025-10-15,504
full,P24V30,2014-05-01,2,2020-02-17,2020-03-23,0.32303489656009254,2020-07-20,154
full,P24V30,2014-05-01,3,2021-09-22,2021-11-16,0.29065026802059,2022-04-14,204
full,P24V30,2014-11-01,1,2024-05-29,2024-09-11,0.36465830597425364,2025-10-09,498
full,P24V30,2014-11-01,2,2020-02-17,2020-03-23,0.3299160252556024,2020-07-20,154
full,P24V30,2014-11-01,3,2015-06-09,2016-01-28,0.3134445326904204,2016-11-28,538
full,P24V30,2015-05-01,1,2024-05-29,2024-09-11,0.3629875732843154,2025-10-09,498
full,P24V30,2015-05-01,2,2015-12-25,2016-05-18,0.3614090445243363,2017-03-20,451
full,P24V30,2015-05-01,3,2020-02-17,2020-03-23,0.3200874946545127,2020-07-20,154
full,P24V30,2015-11-01,1,2024-05-29,2024-09-11,0.36598022265369823,2025-10-09,498
full,P24V30,2015-11-01,2,2015-12-25,2016-05-18,0.36446181353052354,2017-03-20,451
full,P24V30,2015-11-01,3,2020-02-17,2020-03-23,0.33195090503628755,2020-07-20,154
full,P24V30,2016-05-01,1,2024-05-29,2024-09-11,0.37319972132867396,2025-10-09,498
full,P24V30,2016-05-01,2,2020-02-17,2020-03-23,0.3310351879206921,2020-07-20,154
full,P24V30,2016-05-01,3,2026-03-12,2026-06-30,0.2950048444057456,,
A,BASE,2009-11-01,1,2018-07-30,2019-01-03,0.49071422682846266,2019-04-04,248
A,BASE,2009-11-01,2,2015-04-22,2016-05-26,0.4768718767891782,2017-06-13,783
A,BASE,2009-11-01,3,2011-03-28,2012-11-15,0.45711640312714785,2014-12-03,1346
A,BASE,2010-05-01,1,2018-07-30,2019-01-03,0.4916173668010051,2019-04-04,248
A,BASE,2010-05-01,2,2015-04-22,2016-05-26,0.46524686447509356,2017-04-06,715
A,BASE,2010-05-01,3,2011-03-28,2012-11-15,0.4570864527157569,2014-12-03,1346
A,BASE,2010-11-01,1,2015-12-25,2016-05-26,0.4932545226406241,2017-06-26,549
A,BASE,2010-11-01,2,2018-07-30,2019-01-03,0.48995321769656774,2019-04-04,248
A,BASE,2010-11-01,3,2020-03-05,2020-03-23,0.4239399176518368,2020-07-20,137
A,BASE,2011-05-01,1,2018-07-30,2019-01-03,0.5025272939500507,2019-04-04,248
A,BASE,2011-05-01,2,2015-04-22,2016-05-13,0.4850231703964353,2017-06-12,782
A,BASE,2011-05-01,3,2020-03-05,2020-03-23,0.410295472571351,2020-07-20,137
A,BASE,2011-11-01,1,2018-07-30,2019-01-03,0.4910206159542475,2019-04-04,248
A,BASE,2011-11-01,2,2015-12-25,2016-05-26,0.45677413897356434,2017-03-16,447
A,BASE,2011-11-01,3,2020-03-05,2020-03-23,0.4239766686612507,2020-07-20,137
A,BASE,2012-05-01,1,2018-07-30,2019-01-03,0.4905744705094801,2019-04-04,248
A,BASE,2012-05-01,2,2015-12-25,2016-05-26,0.48289149103425655,2017-06-26,549
A,BASE,2012-05-01,3,2020-03-05,2020-03-23,0.42394362256133233,2020-07-20,137
A,BASE,2012-11-01,1,2018-07-30,2019-01-03,0.49302806826405543,2019-04-04,248
A,BASE,2012-11-01,2,2015-12-25,2016-05-26,0.4820892382237829,2017-06-26,549
A,BASE,2012-11-01,3,2020-03-05,2020-03-23,0.42406008558237873,2020-07-20,137
A,BASE,2013-05-01,1,2018-07-30,2019-01-03,0.5000196627066354,2019-04-04,248
A,BASE,2013-05-01,2,2015-12-25,2016-05-13,0.49767630295085485,2017-06-28,551
A,BASE,2013-05-01,3,2013-09-24,2014-05-23,0.4276434737860827,2014-12-10,442
A,BASE,2013-11-01,1,2018-07-30,2019-01-03,0.5000049030157856,2019-04-04,248
A,BASE,2013-11-01,2,2015-12-25,2016-05-13,0.49731442857180164,2017-06-28,551
A,BASE,2013-11-01,3,2020-03-05,2020-03-23,0.4105393612363486,2020-07-20,137
A,BASE,2014-05-01,1,2018-07-30,2019-01-03,0.49787707646760504,2019-04-04,248
A,BASE,2014-05-01,2,2015-04-22,2016-05-10,0.4828384208829778,2017-06-13,783
A,BASE,2014-05-01,3,2020-03-05,2020-03-23,0.41105605795666844,2020-07-20,137
A,BASE,2014-11-01,1,2018-07-30,2019-01-03,0.4890759590725968,2019-04-04,248
A,BASE,2014-11-01,2,2015-04-22,2016-01-28,0.43365103279610095,2017-03-15,693
A,BASE,2014-11-01,3,2020-03-05,2020-03-23,0.41077268488490803,2020-07-20,137
A,BASE,2015-05-01,1,2018-07-30,2019-01-03,0.4999761102602259,2019-04-04,248
A,BASE,2015-05-01,2,2015-12-25,2016-05-13,0.47151804775807193,2017-06-23,546
A,BASE,2015-05-01,3,2020-03-05,2020-03-23,0.41032183895004404,2020-07-20,137
A,BASE,2015-11-01,1,2018-07-30,2019-01-03,0.499873280688674,2019-04-04,248
A,BASE,2015-11-01,2,2015-12-25,2016-05-13,0.461267037322696,2017-06-12,535
A,BASE,2015-11-01,3,2020-03-05,2020-03-23,0.41059298671655986,2020-07-20,137
A,BASE,2016-05-01,1,2018-07-30,2019-01-03,0.4983782951871072,2019-04-04,248
A,BASE,2016-05-01,2,2020-03-05,2020-03-23,0.4108728302246317,2020-07-13,130
A,BASE,2016-05-01,3,2019-04-08,2019-06-05,0.27741001521627817,2019-11-25,231
A,P20,2009-11-01,1,2011-03-28,2012-11-15,0.38273449685922833,2014-12-10,1353
A,P20,2009-11-01,2,2015-04-22,2016-02-29,0.34221979096200716,2017-02-10,660
A,P20,2009-11-01,3,2018-07-30,2019-01-03,0.32819902867107165,2019-04-02,246
A,P20,2010-05-01,1,2011-03-28,2014-03-10,0.4053746986914004,2014-12-23,1366
A,P20,2010-05-01,2,2015-04-22,2016-05-13,0.37578155317764206,2017-07-07,807
A,P20,2010-05-01,3,2018-07-30,2019-01-03,0.31563037408440486,2019-04-01,245
A,P20,2010-11-01,1,2015-04-22,2016-02-29,0.34983772763811594,2017-02-20,670
A,P20,2010-11-01,2,2011-03-30,2013-07-29,0.3295775646685529,2014-12-03,1344
