group,arm,start,rank,peak,trough,drawdown,recovery,peak_to_recovery_calendar_days
full,P20,2015-11-01,2,2015-12-25,2016-01-28,0.31053065421417403,2016-11-25,336
full,P20,2015-11-01,3,2021-09-22,2021-11-16,0.27341665437499973,2022-04-14,204
full,P20,2016-05-01,1,2020-01-03,2020-03-23,0.38449133979680805,2020-07-14,193
full,P20,2016-05-01,2,2024-05-20,2024-09-11,0.3271406895197255,2024-11-07,171
full,P20,2016-05-01,3,2021-09-22,2021-11-16,0.30278330780968965,2022-02-11,142
full,P24,2009-11-01,1,2024-05-29,2024-09-11,0.42114528628395975,2025-09-05,464
full,P24,2009-11-01,2,2011-07-13,2013-06-24,0.36442650528710996,2014-12-03,1239
full,P24,2009-11-01,3,2015-06-09,2016-06-13,0.36212380978942627,2016-12-01,541
full,P24,2010-05-01,1,2024-05-29,2024-09-11,0.4228702127011609,2025-07-22,419
full,P24,2010-05-01,2,2011-07-13,2014-02-27,0.36728180751861994,2014-12-04,1240
full,P24,2010-05-01,3,2015-06-09,2016-06-13,0.35516917462351527,2016-11-25,535
full,P24,2010-11-01,1,2011-07-13,2013-06-24,0.4100860660789273,2014-12-04,1240
full,P24,2010-11-01,2,2024-05-29,2024-09-11,0.4079253060010891,2024-11-07,162
full,P24,2010-11-01,3,2020-02-17,2020-03-23,0.35510620987073693,2020-07-09,143
full,P24,2011-05-01,1,2024-05-29,2024-09-11,0.4364678471638752,2025-09-30,489
full,P24,2011-05-01,2,2015-06-09,2016-02-01,0.3650622191702554,2017-02-16,618
full,P24,2011-05-01,3,2020-02-17,2020-03-23,0.3638262915234435,2020-07-08,142
full,P24,2011-11-01,1,2024-05-29,2024-09-11,0.4214896751680499,2025-07-24,421
full,P24,2011-11-01,2,2015-06-09,2016-02-01,0.35004022208908314,2016-11-28,538
full,P24,2011-11-01,3,2020-02-17,2020-03-23,0.3492820435989946,2020-07-08,142
full,P24,2012-05-01,1,2024-05-29,2024-09-11,0.4279738922694505,2025-10-21,510
full,P24,2012-05-01,2,2015-06-09,2016-06-13,0.3919600147920115,2017-03-20,650
full,P24,2012-05-01,3,2013-02-08,2014-03-20,0.38706330385260657,2014-12-04,664
full,P24,2012-11-01,1,2024-05-29,2024-09-11,0.4213063720358813,2024-11-07,162
full,P24,2012-11-01,2,2020-02-17,2020-03-23,0.38173432959981435,2020-07-09,143
full,P24,2012-11-01,3,2013-02-08,2013-06-24,0.3644733811854276,2014-12-04,664
full,P24,2013-05-01,1,2024-05-29,2024-09-11,0.41291127913573755,2025-07-22,419
full,P24,2013-05-01,2,2015-06-09,2016-06-13,0.36681192913310945,2017-02-13,615
full,P24,2013-05-01,3,2020-02-17,2020-03-23,0.3639053316549502,2020-07-08,142
full,P24,2013-11-01,1,2024-05-29,2024-09-11,0.40759751070015804,2024-11-07,162
