group,arm,bp,year,days,active_days,missing_days
A,F120,0,2009,43,0,0
A,F120,0,2010,448,114,0
A,F120,0,2011,941,627,0
A,F120,0,2012,1424,1424,0
A,F120,0,2013,1871,1871,0
A,F120,0,2014,2412,2412,0
A,F120,0,2015,2892,2125,0
A,F120,0,2016,3336,3336,0
A,F120,0,2017,3416,3416,0
A,F120,0,2018,3402,2884,0
A,F120,0,2019,3416,3416,0
A,F120,0,2020,3402,3402,0
A,F120,0,2021,3402,3402,0
A,F120,0,2022,3388,3388,0
A,F120,0,2023,3388,3388,0
A,F120,0,2024,3388,3388,0
A,F120,0,2025,3402,3402,0
A,F120,0,2026,2226,2226,0
A,F140,0,2009,43,0,0
A,F140,0,2010,448,114,0
A,F140,0,2011,941,627,0
A,F140,0,2012,1424,1424,0
A,F140,0,2013,1871,1871,0
A,F140,0,2014,2412,2412,0
A,F140,0,2015,2892,2125,0
A,F140,0,2016,3336,3336,0
A,F140,0,2017,3416,3416,0
A,F140,0,2018,3402,2884,0
A,F140,0,2019,3416,3416,0
A,F140,0,2020,3402,3402,0
A,F140,0,2021,3402,3402,0
A,F140,0,2022,3388,3388,0
A,F140,0,2023,3388,3388,0
A,F140,0,2024,3388,3388,0
A,F140,0,2025,3402,3402,0
A,F140,0,2026,2226,2226,0
A,P20,0,2009,43,0,0
A,P20,0,2010,448,114,0
A,P20,0,2011,941,627,0
A,P20,0,2012,1424,1424,0
A,P20,0,2013,1871,1871,0
A,P20,0,2014,2412,2377,0
A,P20,0,2015,2892,2047,0
A,P20,0,2016,3336,3289,0
A,P20,0,2017,3416,3416,0
A,P20,0,2018,3402,2884,0
A,P20,0,2019,3416,3416,0
A,P20,0,2020,3402,3402,0
A,P20,0,2021,3402,3402,0
A,P20,0,2022,3388,3388,0
A,P20,0,2023,3388,3388,0
A,P20,0,2024,3388,2747,0
A,P20,0,2025,3402,2166,0
A,P20,0,2026,2226,2207,0
A,P24,30,2009,43,0,0
A,P24,30,2010,448,114,0
A,P24,30,2011,941,627,0
A,P24,30,2012,1424,1424,0
A,P24,30,2013,1871,1806,0
A,P24,30,2014,2412,1877,0
A,P24,30,2015,2892,1643,0
A,P24,30,2016,3336,2210,0
A,P24,30,2017,3416,1835,0
A,P24,30,2018,3402,2851,0
A,P24,30,2019,3416,3416,0
A,P24,30,2020,3402,3369,0
A,P24,30,2021,3402,3208,0
A,P24,30,2022,3388,3272,0
A,P24,30,2023,3388,2854,0
A,P24,30,2024,3388,806,0
A,P24,30,2025,3402,389,0
A,P24,30,2026,2226,1237,0
A,P24V30,0,2009,43,0,0
A,P24V30,0,2010,448,114,0
A,P24V30,0,2011,941,627,0
A,P24V30,0,2012,1424,1424,0
A,P24V30,0,2013,1871,1856,0
A,P24V30,0,2014,2412,2367,826
A,P24V30,0,2015,2892,2125,809
A,P24V30,0,2016,3336,3251,267
A,P24V30,0,2017,3416,3371,176
A,P24V30,0,2018,3402,2884,2026
A,P24V30,0,2019,3416,3416,98
A,P24V30,0,2020,3402,3402,196
A,P24V30,0,2021,3402,3402,0
A,P24V30,0,2022,3388,3218,0
A,P24V30,0,2023,3388,3070,48
A,P24V30,0,2024,3388,2298,0
A,P24V30,0,2025,3402,2094,0
A,P24V30,0,2026,2226,2166,0
A,V25,0,2009,43,0,0
A,V25,0,2010,448,74,0
A,V25,0,2011,941,334,0
A,V25,0,2012,1424,1262,0
A,V25,0,2013,1871,1869,0
A,V25,0,2014,2412,2410,311
A,V25,0,2015,2892,1903,805
A,V25,0,2016,3336,3199,61
A,V25,0,2017,3416,3416,16
A,V25,0,2018,3402,2884,223
A,V25,0,2019,3416,3416,98
A,V25,0,2020,3402,3402,196
A,V25,0,2021,3402,3402,0
A,V25,0,2022,3388,1880,0
A,V25,0,2023,3388,1134,12
A,V25,0,2024,3388,2649,0
A,V25,0,2025,3402,2831,0
A,V25,0,2026,2226,2039,0
A,V30,0,2009,43,0,0
A,V30,0,2010,448,74,0
A,V30,0,2011,941,328,0
A,V30,0,2012,1424,1240,0
A,V30,0,2013,1871,1846,0
A,V30,0,2014,2412,2272,824
A,V30,0,2015,2892,2035,868
A,V30,0,2016,3336,2987,344
A,V30,0,2017,3416,2126,192
A,V30,0,2018,3402,2884,2060
A,V30,0,2019,3416,2769,98
A,V30,0,2020,3402,3402,196
A,V30,0,2021,3402,2557,0
A,V30,0,2022,3388,890,0
A,V30,0,2023,3388,896,20
A,V30,0,2024,3388,1805,0
A,V30,0,2025,3402,2021,0
A,V30,0,2026,2226,1633,0
A,V30,30,2009,43,0,0
A,V30,30,2010,448,74,0
A,V30,30,2011,941,328,0
A,V30,30,2012,1424,1240,0
A,V30,30,2013,1871,1838,0
A,V30,30,2014,2412,2265,852
A,V30,30,2015,2892,2035,896
A,V30,30,2016,3336,2888,244
A,V30,30,2017,3416,1970,160
A,V30,30,2018,3402,2884,1847
A,V30,30,2019,3416,2764,98
A,V30,30,2020,3402,3402,196
A,V30,30,2021,3402,2550,0
A,V30,30,2022,3388,879,0
A,V30,30,2023,3388,896,20
A,V30,30,2024,3388,1785,0
A,V30,30,2025,3402,2026,0
A,V30,30,2026,2226,1644,0
A,V30F080,0,2009,43,0,0
A,V30F080,0,2010,448,74,0
A,V30F080,0,2011,941,332,0
A,V30F080,0,2012,1424,1240,0
A,V30F080,0,2013,1871,1849,0
A,V30F080,0,2014,2412,2372,843
A,V30F080,0,2015,2892,1882,776
A,V30F080,0,2016,3336,2919,122
A,V30F080,0,2017,3416,2046,224
A,V30F080,0,2018,3402,2884,2394
A,V30F080,0,2019,3416,2731,98
A,V30F080,0,2020,3402,3402,196
A,V30F080,0,2021,3402,2640,0
A,V30F080,0,2022,3388,1172,0
A,V30F080,0,2023,3388,898,8
A,V30F080,0,2024,3388,1752,0
A,V30F080,0,2025,3402,1833,0
A,V30F080,0,2026,2226,1664,0
A,V35,0,2009,43,0,0
A,V35,0,2010,448,74,0
A,V35,0,2011,941,297,0
A,V35,0,2012,1424,1194,0
A,V35,0,2013,1871,1727,0
A,V35,0,2014,2412,1766,892
A,V35,0,2015,2892,2068,1104
A,V35,0,2016,3336,2714,490
A,V35,0,2017,3416,1350,224
A,V35,0,2018,3402,2884,2394
A,V35,0,2019,3416,2226,98
A,V35,0,2020,3402,3402,196
A,V35,0,2021,3402,2348,0
A,V35,0,2022,3388,756,0
A,V35,0,2023,3388,842,44
A,V35,0,2024,3388,1289,0
A,V35,0,2025,3402,1434,0
A,V35,0,2026,2226,1227,0
U1,F120,0,2009,43,0,0
U1,F120,0,2010,448,114,0
U1,F120,0,2011,941,627,0
U1,F120,0,2012,1424,1424,0
U1,F120,0,2013,1871,1871,0
U1,F120,0,2014,2412,2412,0
U1,F120,0,2015,2892,2125,0
U1,F120,0,2016,3336,3336,0
U1,F120,0,2017,3416,3416,0
U1,F120,0,2018,3402,2884,0
U1,F120,0,2019,3416,3416,0
U1,F120,0,2020,3402,3402,0
U1,F120,0,2021,3402,3402,0
U1,F120,0,2022,3388,3388,0
U1,F120,0,2023,3388,3388,0
