group,arm,start,year,complete_year,return_
full,BASE,2009-11-01,2009,False,0.011998127513333179
full,BASE,2009-11-01,2010,True,0.4837040194655575
full,BASE,2009-11-01,2011,True,-0.26389988949244203
full,BASE,2009-11-01,2012,True,0.1696310007927695
full,BASE,2009-11-01,2013,True,0.05252920153452334
full,BASE,2009-11-01,2014,True,0.6467951535162997
full,BASE,2009-11-01,2015,True,0.2811376094687845
full,BASE,2009-11-01,2016,True,-0.19215010192015336
full,BASE,2009-11-01,2017,True,1.3575122656158585
full,BASE,2009-11-01,2018,True,-0.06633055447805336
full,BASE,2009-11-01,2019,True,2.012814666786075
full,BASE,2009-11-01,2020,True,0.12424761352696945
full,BASE,2009-11-01,2021,True,0.549440888958918
full,BASE,2009-11-01,2022,True,0.11544096921199243
full,BASE,2009-11-01,2023,True,0.38303907931199377
full,BASE,2009-11-01,2024,True,0.5204882343354418
full,BASE,2009-11-01,2025,True,1.0544716008599382
full,BASE,2009-11-01,2026,False,0.6093970001273452
full,BASE,2010-05-01,2010,False,0.5334015658484585
full,BASE,2010-05-01,2011,True,-0.2560613989652112
full,BASE,2010-05-01,2012,True,0.16727846682061798
full,BASE,2010-05-01,2013,True,0.049366373290364196
full,BASE,2010-05-01,2014,True,0.6237300251808844
full,BASE,2010-05-01,2015,True,0.2647180244940126
full,BASE,2010-05-01,2016,True,-0.17545185142458364
full,BASE,2010-05-01,2017,True,1.362017030407562
full,BASE,2010-05-01,2018,True,-0.0662504729877319
full,BASE,2010-05-01,2019,True,2.013267162822449
full,BASE,2010-05-01,2020,True,0.18294503153607589
full,BASE,2010-05-01,2021,True,0.5838149568794608
full,BASE,2010-05-01,2022,True,0.14223083133480086
full,BASE,2010-05-01,2023,True,0.3869473400198806
full,BASE,2010-05-01,2024,True,0.5586164136258767
full,BASE,2010-05-01,2025,True,1.0247621053564124
full,BASE,2010-05-01,2026,False,0.5795090688635829
full,BASE,2010-11-01,2010,False,0.009322805713333437
full,BASE,2010-11-01,2011,True,-0.23672510579746697
full,BASE,2010-11-01,2012,True,-0.0140438523485934
full,BASE,2010-11-01,2013,True,-0.03079551471962949
full,BASE,2010-11-01,2014,True,0.6126542391179759
full,BASE,2010-11-01,2015,True,0.42063475331399336
full,BASE,2010-11-01,2016,True,-0.17320474818531506
full,BASE,2010-11-01,2017,True,1.2001913434014315
full,BASE,2010-11-01,2018,True,-0.09440164603491386
full,BASE,2010-11-01,2019,True,1.893096963467546
full,BASE,2010-11-01,2020,True,0.07706680032988755
full,BASE,2010-11-01,2021,True,0.5618698203088437
full,BASE,2010-11-01,2022,True,0.18496826999508542
full,BASE,2010-11-01,2023,True,0.43331025952905033
full,BASE,2010-11-01,2024,True,0.35904462743221166
full,BASE,2010-11-01,2025,True,0.8791333202293903
full,BASE,2010-11-01,2026,False,0.5447659293160985
full,BASE,2011-05-01,2011,False,-0.15367009921381058
full,BASE,2011-05-01,2012,True,-0.013584752506893616
full,BASE,2011-05-01,2013,True,-0.02889556802494686
full,BASE,2011-05-01,2014,True,0.6140518745383705
full,BASE,2011-05-01,2015,True,0.4322597413639613
full,BASE,2011-05-01,2016,True,-0.1766085800841991
full,BASE,2011-05-01,2017,True,1.1968741430461804
full,BASE,2011-05-01,2018,True,-0.09704327684738001
