date,security_code,action,shares,price,amount,pv_ratio,intrinsic_value,reason,security_name
2024-11-06,000933,买入,124200,19.710,2447982,0.3732,51.279,定投加仓,神火股份
2024-11-07,000933,买入,76700,20.120,1543204,0.3844,51.279,定投加仓,神火股份
2024-11-07,000338,买入,100,14.290,1429,0.6280,21.944,首次建仓,潍柴动力
2024-11-08,300059,卖出,108800,28.240,3072512,,,涨幅≥110%·减一档,东方财富
2024-11-08,000933,买入,94500,19.660,1857870,0.3924,51.279,定投加仓,神火股份
2024-11-08,000338,买入,100,14.140,1414,0.6512,21.944,定投加仓,潍柴动力
2024-11-11,300059,卖出,80200,28.700,2301740,,,涨幅≥110%清空,东方财富
2024-11-11,000933,买入,55100,19.090,1051859,0.3834,51.279,定投加仓,神火股份
2024-11-11,600970,买入,100,10.950,1095,0.6995,15.841,首次建仓,中材国际
2024-11-12,601988,卖出,100,4.790,479,,,换仓：让位给空间更大的002236,
2024-11-13,601288,卖出,430800,4.660,2007528,,,换仓：让位给空间更大的002236,农业银行
2024-11-13,000933,买入,100200,18.610,1864722,0.3662,51.279,定投加仓,神火股份
2024-11-13,002532,买入,100,8.760,876,0.7330,11.937,首次建仓,天山铝业
2024-11-14,601328,卖出,410000,7.130,2923300,,,换仓·减一档：让位给002236,
2024-11-14,000933,买入,127500,18.050,2301375,0.3629,51.279,定投加仓,神火股份
2024-11-14,601187,买入,100,5.360,536,0.7496,7.164,首次建仓,
2024-11-15,601825,卖出,370900,7.860,2915274,,,换仓·减一档：让位给002236,
2024-11-15,000933,买入,154600,18.100,2798260,0.3520,51.279,定投加仓,神火股份
2024-11-15,600970,买入,100,10.860,1086,0.6868,15.841,定投加仓,中材国际
2024-11-18,601825,卖出,365600,8.020,2932112,,,换仓·减一档：让位给002236,
2024-11-18,000933,买入,172200,17.030,2932566,0.3530,51.279,定投加仓,神火股份
2024-11-18,002466,买入,5600,37.450,209720,0.4073,92.820,定投加仓,天齐锂业
2024-11-18,000792,买入,100,18.310,1831,0.4917,37.481,定投加仓,盐湖股份
2024-11-18,000338,买入,100,13.720,1372,0.6339,21.944,定投加仓,潍柴动力
2024-11-18,002807,买入,100,4.220,422,0.9383,4.391,首次建仓,
2024-11-20,000933,买入,5600,17.100,95760,0.3284,51.279,定投加仓,神火股份
2024-11-20,600970,买入,100,10.680,1068,0.6692,15.841,定投加仓,中材国际
2024-11-21,601328,卖出,349900,7.210,2522779,,,换仓：让位给空间更大的002236,
2024-11-21,000933,买入,152000,16.780,2550560,0.3335,51.279,定投加仓,神火股份
2024-11-22,000933,卖出,1224100,15.890,19450949,,,跌破建仓日MA60止损,神火股份
2024-11-22,002466,买入,70200,39.810,2794662,0.4471,92.820,定投加仓,天齐锂业
2024-11-22,000792,买入,152500,18.330,2795325,0.5064,37.481,定投加仓,盐湖股份
2024-11-22,000338,买入,207000,13.510,2796570,0.6421,21.944,定投加仓,潍柴动力
2024-11-22,600970,买入,268600,10.410,2796126,0.6761,15.841,定投加仓,中材国际
2024-11-22,002128,买入,136100,20.540,2795494,0.6895,30.994,定投加仓,电投能源
2024-11-22,000661,买入,25500,109.600,2794800,0.6918,163.353,首次建仓,
2024-11-22,000001,买入,63500,11.280,716280,0.7080,16.370,首次建仓,
2024-11-25,002466,买入,100,40.350,4035,0.4289,92.820,定投加仓,天齐锂业
2024-11-25,600970,买入,100,10.260,1026,0.6572,15.841,定投加仓,中材国际
2024-11-27,002466,买入,21800,38.680,843224,0.4112,92.820,定投加仓,天齐锂业
2024-11-27,000792,买入,100,18.030,1803,0.4754,37.481,定投加仓,盐湖股份
2024-11-27,000338,买入,100,13.280,1328,0.5970,21.944,定投加仓,潍柴动力
2024-11-28,002466,买入,200,37.840,7568,0.4167,92.820,定投加仓,天齐锂业
2024-11-28,000792,买入,100,17.660,1766,0.4810,37.481,定投加仓,盐湖股份
2024-11-29,002466,买入,13100,38.180,500158,0.4077,92.820,定投加仓,天齐锂业
2024-11-29,000792,买入,100,17.860,1786,0.4712,37.481,定投加仓,盐湖股份
2024-11-29,601818,买入,100,3.600,360,0.9054,3.998,首次建仓,
2024-12-03,002466,买入,14400,37.670,542448,0.4114,92.820,定投加仓,天齐锂业
2024-12-03,000792,买入,100,17.620,1762,0.4757,37.481,定投加仓,盐湖股份
2024-12-03,600970,买入,100,10.670,1067,0.6641,15.841,定投加仓,中材国际
2024-12-04,002466,买入,1900,37.000,70300,0.4058,92.820,定投加仓,天齐锂业
2024-12-04,000792,买入,100,17.440,1744,0.4701,37.481,定投加仓,盐湖股份
