signal_date,exec_date,source_code,close,ma,ma_prev,weak_run,cross_count,hold_pv,trigger_code,trigger_pv,block_reason,next_source,shares_held
2014-06-04,2014-06-05,600660,8.0500,8.0985,8.0350,0,0,0.6566,000333,0.4408,chop:repeat;gap=-0.00599;run=2;slope=0.007902924704418446;cross=2,,169300
2014-08-13,2014-08-14,000651,29.5300,29.6345,29.1865,0,0,0.7517,600031,0.5513,chop:repeat;gap=-0.00353;run=2;slope=0.015349562297637842;cross=2,,41100
2015-11-19,2015-11-20,002304,64.9800,65.0185,63.7715,0,0,1.2115,000651,0.7736,chop:repeat;gap=-0.00059;run=2;slope=0.01955418956744004;cross=1,,3400
2015-12-29,2015-12-30,600660,15.2400,15.2495,14.9120,0,0,1.1084,000651,0.9531,chop:repeat;gap=-0.00062;run=2;slope=0.02263277896995719;cross=1,,11900
2015-12-31,2016-01-04,600660,15.1900,15.2745,15.0695,0,0,1.1048,000651,0.9221,chop:repeat;gap=-0.00553;run=1;slope=0.013603636484289527;cross=3,,11900
2016-07-29,2016-08-01,002128,7.9600,8.0630,7.9365,0,0,0.8172,600585,0.6365,chop:repeat;gap=-0.01277;run=1;slope=0.015939015939016032;cross=3,,95900
2020-06-04,2020-06-05,603156,22.0100,22.0255,21.5982,0,0,0.9433,601169,0.7575,chop:repeat;gap=-0.00070;run=2;slope=0.019785629953159578;cross=1,,26060
2020-08-13,2020-08-14,600309,65.9500,66.1020,63.4840,0,0,1.1805,600897,0.8091,chop:repeat;gap=-0.00230;run=2;slope=0.04123873731963967;cross=1,,35100
2022-04-22,2022-04-25,601225,16.5700,16.6640,16.1230,0,0,0.9746,601998,0.8070,chop:repeat;gap=-0.00564;run=2;slope=0.03355454940147595;cross=1,,351200
2023-08-09,2023-08-10,601328,5.6200,5.6255,5.5619,0,0,0.7364,000933,0.5491,chop:repeat;gap=-0.00098;run=2;slope=0.011434941297038925;cross=1,601169,4626700
2024-10-29,2024-10-30,000651,46.5900,47.3545,45.8295,0,0,0.8621,000661,0.6602,chop:repeat;gap=-0.01614;run=2;slope=0.03327551031540832;cross=1,,82200
2026-03-26,2026-03-27,600938,40.9300,41.3030,39.8800,0,0,1.9086,600919,0.8215,chop:repeat;gap=-0.00903;run=2;slope=0.03568204613841508;cross=1,000792,195300
