trade_date,security_code,security_name,exchange,quality_tier,quality_tier_label,quality_score,pool_layer,valuation_tier,valuation_tier_effective,valuation_tier_changed,fair_price_low,fair_price_high,band_position,margin_of_safety,model_intrinsic_value,model_band_source,model_pv,strategy_tag,total_market_cap_bn,signal_state,review_frozen,note,gap_trading_days,gap_return,gap_max_vol_ratio,gap_max_vol_day,close,high,low,pct_chg,amount,ma20,ma60,amount_ma20,data_source,screened_at_utc
2026-08-21,688111,金山办公,SSE,L1,L1,81.2,core,高估,高估,False,52.80,64.53,越带顶+273%,,58.6648,模型带·2026-06-30,4.0996,N-订阅/递延收入型,111.5950,ok,False,,,,,,240.5,243.14,237.3,-0.4718,122526693250.0,257.4245,235.601,336018155798.95,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh688111,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:28+00:00
2026-08-21,600036,招商银行,SSE,L2,L2,69.9,core,较低估,较低估,False,48.89,59.75,低于带底-20%,0.3964,54.3191,股利折现,0.7161,J-金融资本型,981.0520,ok,False,,,,,,38.9,39.1,38.76,0.1029,2000311910.0,39.098,37.7445,3370247292.85,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600036,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:27+00:00
2026-08-21,300059,东方财富,SZSE,L2,L2,72.6,core,较低估,较低估,False,22.27,27.21,低于带底-15%,0.3083,24.7406,模型带·2026-06-30,0.7643,J-金融资本型,299.1980,ok,False,,,,,,18.91,18.99,18.63,0.5851,3000031789.0,19.687,19.6667,4536696868.5,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz300059,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:27+00:00
2026-08-21,300124,汇川技术,SZSE,L2,L2,77.1,core,高估,高估,False,19.13,23.38,越带顶+152%,,21.2538,模型带·2026-03-31,2.7774,C-GARP成长型,159.8300,ok,False,,,,,,59.03,59.52,58.3,-0.1522,844530404.0,62.185,65.5308,1597868497.65,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz300124,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:30+00:00
2026-08-21,600660,福耀玻璃,SSE,L1,L1,79.9,core,中性,中性,False,48.41,59.17,带内78%,,53.7931,模型带·2026-06-30,1.0552,A-现金流复利型,148.1290,ok,False,,,,,,56.76,58.52,56.69,-1.8333,434554560.0,56.811,53.7163,774127399.2,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600660,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:29+00:00
2026-08-21,600406,国电南瑞,SSE,L1,L1,74.5,core,高估,高估,False,13.69,16.73,越带顶+38%,,15.2061,模型带·2026-03-31,1.5237,A-现金流复利型,186.0960,ok,False,,,,,,23.17,23.2,22.93,0.4335,576914464.0,23.944,23.247,1318609648.75,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600406,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:30+00:00
2026-08-21,300750,宁德时代,SZSE,L1,L1,78.1,core,较高估,较高估,False,302.92,370.24,越带顶+6%,,336.5793,模型带·2026-06-30,1.1621,D-产业链爆发/关键瓶颈型,1809.7160,ok,False,,,,,,391.15,397.83,383.05,1.5974,7998861040.0,393.5735,389.1177,10932799402.5,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz300750,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:29+00:00
2026-08-21,300760,迈瑞医疗,SZSE,L2,L2,79.3,core,高估,高估,False,91.46,111.78,越带顶+38%,,101.6211,模型带·2026-03-31,1.5199,A-现金流复利型,187.1620,ok,False,,,,,,154.45,159.0,153.89,-2.2901,1231136395.0,153.552,146.8978,1513048750.7,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz300760,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:29+00:00
2026-08-21,600276,恒瑞医药,SSE,L2,L2,73.5,core,高估,高估,False,19.27,23.55,越带顶+103%,,21.4058,模型带·2026-06-30,2.2302,M-管线/研发资产型,316.8600,ok,False,,,,,,47.74,48.8,47.55,-3.5556,6082806422.0,53.0615,51.9722,4721993813.95,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600276,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:30+00:00
2026-08-21,600309,万华化学,SSE,L2,L2,72.7,core,中性,中性,False,61.60,75.29,带内90%,,68.4419,模型带·2026-06-30,1.0809,H-成本曲线周期型,231.5920,ok,False,,,,,,73.98,75.0,73.52,-1.57,1705742064.0,74.6145,72.3332,2498113839.2,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600309,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:31+00:00
