security_code,security_name,quality_tier,report_date,notice_date,available_at,status,reason,eps_ttm,roe_ttm,roe_source,bps,eps0,roe0,roe_anchor,roe_trend,roe0_normalized,roe0_mode,growth_confirmed,roe_window,roe_efficiency,incremental_roe,payout,g_trailing,g_sustainable,g0,g0_capped,r_mode,rf,erp,beta,r,g_terminal,roe_terminal,intrinsic_value,band_low,band_high,mos,max_buy_price,implied_pe,pe_on_ttm_eps,terminal_share,min_payout
000333,美的集团,L2,2004-12-31,2008-02-19,2008-02-19,unavailable,归一化 ROE 不可算：无已披露年报 ROE,,,,1.7721,,,,,,,,,,,,,,,,market,0.0419,0.0514,1.00,0.0934,0.0300,0.1234,,,,0.20,,,,,
000333,美的集团,L2,2005-12-31,2008-02-19,2008-02-19,unavailable,归一化 ROE 不可算：无已披露年报 ROE,,,,2.2816,,,,,,,,,,,,,,,,market,0.0419,0.0514,1.00,0.0934,0.0300,0.1234,,,,0.20,,,,,
000333,美的集团,L2,2006-12-31,2008-02-19,2008-02-19,unavailable,归一化 ROE 不可算：无已披露年报 ROE,,,,3.9147,,,,,,,,,,,,,,,,market,0.0419,0.0514,1.00,0.0934,0.0300,0.1234,,,,0.20,,,,,
000333,美的集团,L2,2007-06-30,2008-02-19,2008-02-19,unavailable,归一化 ROE 不可算：无已披露年报 ROE,,,,5.4482,,,,,,,,,,,,,,,,market,0.0419,0.0514,1.00,0.0934,0.0300,0.1234,,,,0.20,,,,,
000333,美的集团,L2,2007-12-31,2008-04-09,2008-04-09,unavailable,归一化 ROE 不可算：无已披露年报 ROE,,,,4.0467,,,,,,,,,,,,,,,,market,0.0405,0.0514,1.00,0.0919,0.0300,0.1219,,,,0.20,,,,,
000333,美的集团,L2,2008-03-31,2008-04-16,2008-04-16,unavailable,归一化 ROE 不可算：无已披露年报 ROE,,,,4.2527,,,,,,,,,,,,,,,,market,0.0405,0.0514,1.00,0.0919,0.0300,0.1219,,,,0.20,,,,,
000333,美的集团,L2,2008-06-30,2008-08-29,2008-08-29,unavailable,归一化 ROE 不可算：无已披露年报 ROE,,,,4.6982,,,,,,,,,,,,,,,,market,0.0422,0.0514,1.00,0.0937,0.0300,0.1237,,,,0.20,,,,,
000333,美的集团,L2,2008-09-30,2008-10-31,2008-10-31,unavailable,归一化 ROE 不可算：无已披露年报 ROE,,,,4.8684,,,,,,,,,,,,,,,,market,0.0308,0.0514,1.00,0.0822,0.0300,0.1122,,,,0.20,,,,,
000333,美的集团,L2,2008-12-31,2009-09-27,2009-09-27,unavailable,归一化 ROE 不可算：无已披露年报 ROE,0.0000,0.0000,eps_over_bps,5.1770,,,,,,,,,,,,,,,,market,0.0348,0.0514,1.00,0.0862,0.0300,0.1162,,,,0.20,,,,,
000333,美的集团,L2,2009-03-31,2009-09-27,2009-09-27,unavailable,归一化 ROE 不可算：无已披露年报 ROE,0.0000,0.0000,eps_over_bps,5.5767,,,,,,,,,,,,,,,,market,0.0348,0.0514,1.00,0.0862,0.0300,0.1162,,,,0.20,,,,,
000333,美的集团,L2,2009-06-30,2009-09-27,2009-09-27,unavailable,归一化 ROE 不可算：无已披露年报 ROE,0.0000,0.0000,eps_over_bps,6.1083,,,,,,,,,,,,,,,,market,0.0348,0.0514,1.00,0.0862,0.0300,0.1162,,,,0.20,,,,,
000333,美的集团,L2,2009-09-30,2009-10-30,2009-10-30,unavailable,归一化 ROE 不可算：无已披露年报 ROE,0.0000,0.0000,eps_over_bps,7.3038,,,,,,,,,,,,,,,,market,0.0369,0.0514,1.00,0.0883,0.0300,0.1183,,,,0.20,,,,,
000333,美的集团,L2,2009-12-31,2010-04-30,2010-04-30,unavailable,归一化 ROE 不可算：无已披露年报 ROE,0.0000,0.0000,eps_over_bps,7.7495,,,,,,,,,,,,,,,,market,0.0336,0.0514,1.00,0.0850,0.0300,0.1150,,,,0.20,,,,,
000333,美的集团,L2,2010-03-31,2010-04-30,2010-04-30,unavailable,归一化 ROE 不可算：无已披露年报 ROE,0.0000,0.0000,eps_over_bps,8.0817,,,,,,,,,,,,,,,,market,0.0336,0.0514,1.00,0.0850,0.0300,0.1150,,,,0.20,,,,,
000333,美的集团,L2,2010-06-30,2010-08-31,2010-08-31,unavailable,归一化 ROE 不可算：无已披露年报 ROE,0.0000,0.0000,eps_over_bps,9.2875,,,,,,,,,,,,,,,,market,0.0323,0.0514,1.00,0.0837,0.0300,0.1137,,,,0.20,,,,,
000333,美的集团,L2,2010-09-30,2010-10-29,2010-10-29,unavailable,归一化 ROE 不可算：无已披露年报 ROE,0.0000,0.0000,eps_over_bps,10.3072,,,,,,,,,,,,,,,,market,0.0368,0.0514,1.00,0.0882,0.0300,0.1182,,,,0.20,,,,,
000333,美的集团,L2,2010-12-31,2011-04-28,2011-04-28,unavailable,归一化 ROE 不可算：无已披露年报 ROE,0.0000,0.0000,eps_over_bps,11.0329,,,,,,,,,,,,0.3708,,,,market,0.0391,0.0514,1.00,0.0905,0.0300,0.1205,,,,0.20,,,,,
000333,美的集团,L2,2011-03-31,2011-04-29,2011-04-29,unavailable,归一化 ROE 不可算：无已披露年报 ROE,0.0000,0.0000,eps_over_bps,12.7912,,,,,,,,,,,,,,,,market,0.0387,0.0514,1.00,0.0901,0.0300,0.1201,,,,0.20,,,,,
000333,美的集团,L2,2011-06-30,2011-08-31,2011-08-31,unavailable,归一化 ROE 不可算：无已披露年报 ROE,,,,12.4895,,,,,,,,,,,,0.3293,,,,market,0.0411,0.0514,1.00,0.0925,0.0300,0.1225,,,,0.20,,,,,
000333,美的集团,L2,2011-09-30,2011-10-31,2011-10-31,unavailable,归一化 ROE 不可算：无已披露年报 ROE,,,,12.8342,,,,,,,,,,,,,,,,market,0.0376,0.0514,1.00,0.0890,0.0300,0.1190,,,,0.20,,,,,
000333,美的集团,L2,2011-12-31,2013-04-09,2013-04-09,unavailable,已披露年报 ROE 仅 2 年 < 要求 3 年,,0.2912,weightavg_ttm,12.4943,,,0.2652,,,,,5,1.0000,0.3568,,0.3238,,,,market,0.0354,0.0514,1.00,0.0868,0.0300,0.1168,,,,0.20,,,,,
000333,美的集团,L2,2012-03-31,2012-04-26,2012-04-26,unavailable,归一化 ROE 不可算：无已披露年报 ROE,,,,11.8521,,,,,,,,,,,,0.2857,,,,market,0.0350,0.0514,1.00,0.0864,0.0300,0.1164,,,,0.20,,,,,
000333,美的集团,L2,2012-06-30,2013-09-12,2013-09-12,unavailable,已披露年报 ROE 仅 2 年 < 要求 3 年,,,,12.9130,,,0.2652,,,,,5,1.0000,0.3568,,0.3043,,,,market,0.0404,0.0514,1.00,0.0918,0.0300,0.1218,,,,0.20,,,,,
000333,美的集团,L2,2012-09-30,2013-10-31,2013-10-31,unavailable,已披露年报 ROE 仅 2 年 < 要求 3 年,,,,13.7924,,,0.2652,,,,,5,1.0000,0.3568,,0.3350,,,,market,0.0418,0.0514,1.00,0.0932,0.0300,0.1232,,,,0.20,,,,,
000333,美的集团,L2,2012-12-31,2013-04-09,2013-04-09,unavailable,已披露年报 ROE 仅 2 年 < 要求 3 年,3.2600,0.2392,weightavg_ttm,14.3135,,,0.2652,,,,,5,1.0000,0.3568,,0.2646,,,,market,0.0354,0.0514,1.00,0.0868,0.0300,0.1168,,,,0.20,,,,,
000333,美的集团,L2,2013-03-31,2014-04-29,2014-04-29,ok,,,,,15.2723,3.7982,0.2487,0.2487,,0.248700,normalized,,5,0.6911,0.1475,0.5000,0.3158,0.1244,0.1244,,market,0.0450,0.0514,1.00,0.0964,0.0300,0.1264,44.3250,39.8925,48.7575,0.20,35.4600,11.67,,0.8097,0.0653
