security_code,security_name,quality_tier,close,model_intrinsic_value,model_pv,model_band_source,lots,shares,amount,cooldown_skips
603529,爱玛科技,L2,20.53,34.9213,0.5879,模型带·2026-03-31,28,2800,57484.0,0
000596,古井贡酒,L2,99.36,145.1552,0.6845,模型带·2026-03-31,5,500,49680.0,0
600690,海尔智家,L2,21.76,30.9337,0.7034,模型带·2026-03-31,26,2600,56576.0,0
002648,卫星化学,L2,25.26,33.0193,0.765,模型带·2026-03-31,23,2300,58098.0,0
600919,江苏银行,L2,11.66,15.1991,0.7671,股利折现,49,4900,57134.0,0
601225,陕西煤业,L2,25.37,30.7719,0.8245,模型带·2026-03-31,22,2200,55814.0,0
601899,紫金矿业,L2,32.53,38.7614,0.8392,模型带·2026-03-31,17,1700,55301.0,0
603369,今世缘,L2,29.76,34.8044,0.8551,模型带·2026-03-31,19,1900,56544.0,0
600938,中国海油,L2,32.67,37.9862,0.86,模型带·2026-03-31,17,1700,55539.0,0
603556,海兴电力,L2,25.89,29.1511,0.8881,模型带·2026-03-31,22,2200,56958.0,0
600989,宝丰能源,L2,22.89,25.3062,0.9045,模型带·2026-03-31,25,2500,57225.0,0
002532,天山铝业,L2,13.13,14.231,0.9226,模型带·2026-03-31,44,4400,57772.0,0
