security_code,security_name,quality_tier,report_date,notice_date,available_at,status,reason,eps_ttm,roe_ttm,roe_source,bps,eps0,roe0,roe_anchor,roe_trend,roe0_normalized,roe0_mode,growth_confirmed,roe_window,roe_efficiency,incremental_roe,incremental_roe_basis,cash_roe0,owner_earnings0,v_zero_growth,incremental_roe_used,ame_path,nopat_ps,roic0,incremental_roic,reinvestment_rate,wacc,cost_of_debt,tax_rate,net_debt_ps,fin_net_debt_ps,minority_book_ps,ev_ps,owner_earnings_true_ps,roic_path,minority_share,minority_share_basis,roic_nopat_mode,roic_g_source,payout,g_trailing,g_sustainable,g0,g0_capped,r_mode,rf,erp,beta,r,g_terminal,roe_terminal,intrinsic_value,band_low,band_high,mos,max_buy_price,implied_pe,pe_on_ttm_eps,terminal_share,min_payout,v_bear,v_bull,valuation_quality_score,valuation_quality_notes,bps_operating,external_equity_ps,external_equity_cum_ps,shares_est,bps_basis_date,equity_anchor_mode,peak_weight,growth_trust,trough_weight,ttm_factor,growth_damp,maintenance_ratio,maintenance_raw_ratio,maintenance_status,maintenance_intervals,maintenance_positive_intervals,maintenance_net_reinvestment,maintenance_growth_allowance,maintenance_nopat_total,cash_blocked,wc_aggregation,wc_first_period,wc_last_period,wc_start,wc_end,wc_change,wc_financing_start,wc_financing_end,wc_conflict_years,minority_claim_status,minority_claim_event,minority_fixed_claim_ps,minority_dividend_floor_ps,model_evaluated_at,model_evaluated_report_date,forecast_overlay,forecast_notice_date,forecast_report_date,forecast_profit_yi,forecast_source,pre_overlay_iv,pre_overlay_report_date,pre_overlay_notice_date,bps_scale,overlay_note,exright_factor,exright_cash,exright_note
000333,美的集团,L2,2026-06-30,2026-08-29,2026-08-29,ok,,5.9100,0.1974,weightavg_ttm,27.8168,6.4570,0.2221,0.2221,,0.222100,normalized,,5,0.7964,0.1416,n/a,,,81.5041,,,4.5977,1.0263,,-0.1492,0.0835,0.0325,0.1613,-26.4639,-29.4268,1.7164,34.2246,5.7209,growth,0.0086,earnings,"blend(λ=0.5,w=0.00,v=0.00)",none,,0.1176,,0.0000,,tier,,,,0.1000,0.0300,0.1035,60.6885,54.6196,66.7573,0.20,48.5508,13.20,10.27,0.5071,0.0000,48.2939,77.8819,62,hist12/cv5/term20/path20/legs5,25.5090,-1.2465,3.5543,7597145000,2026-08-29,shares_ref,0.000,0.50,0.000,1.0098,1.0000,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,-41795968000.0000,-62088139000.0000,-20292171000.0000,10273552000.0000,14935344000.0000,0,,,0.0000,0.0000,2026-08-29,2026-06-30,,,,,,,,,,,,,
000338,潍柴动力,L2,2026-06-30,2026-08-28,2026-08-28,ok,,1.5100,0.1379,weightavg_ttm,11.0944,1.8999,0.1694,0.1694,,0.169400,normalized,,9,0.3005,0.0575,n/a,,,22.8176,,,1.7723,0.1942,,-0.8277,0.0905,0.0703,0.1563,-3.7673,-9.1210,4.5880,16.9658,1.8273,growth,0.2010,earnings,"blend(λ=0.5,w=0.00,v=0.00)",none,,0.2652,,0.0000,,tier,,,,0.1000,0.0300,0.1105,20.7331,18.6598,22.8064,0.20,16.5865,11.70,13.73,0.6408,0.0921,16.1090,26.7059,61,hist12/cv12/term12/path20/legs5,9.6769,-0.1102,1.5277,8713581296,2026-08-28,shares_ref,0.000,0.50,0.000,1.1883,0.9345,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,-25190709735.3900,-38426385225.8600,-13235675490.4700,6963497132.7400,15521610222.5000,0,,,0.0000,0.0000,2026-08-28,2026-06-30,,,,,,,,,,,,,
000408,藏格矿业,L2,2026-06-30,2026-08-11,2026-08-11,ok,,3.6300,0.3363,weightavg_ttm,10.9609,5.4466,0.4877,0.1849,,0.184900,lift2(孰高),,9,0.0630,0.3118,n/a,,,27.7769,,,2.6318,0.2875,0.4503,-0.1395,0.0998,0.0945,0.0538,-0.4182,-1.6190,-0.0194,20.8579,1.1324,growth,0.0000,earnings,cyclical_median,none,,0.0250,,0.0000,,tier,,,,0.1000,0.0300,0.1198,21.2761,19.0485,23.5037,0.20,17.8209,8.46,6.14,0.6139,0.0000,16.5080,29.2118,44,hist12/cv5/term12/path10/legs5,11.0459,-0.2008,0.1158,1570225745,2026-08-11,shares_ref,1.000,1.00,0.000,1.4771,1.0000,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,827809531.1700,-209454938.8600,-1037264470.0300,1153595482.9000,81901412.5300,0,,,0.0000,0.0000,2026-08-11,2026-06-30,,,,,,,,,,,1.000000,1.0000,除权归一化至 2026-09-23 现价口径：2026-09-04 现金1/送转0
000423,东阿阿胶,L2,2026-06-30,2026-08-21,2026-08-21,ok,,2.7702,0.1705,weightavg_ttm,15.8770,3.6640,0.2297,0.1113,,0.111300,lift2(孰高),,9,0.1220,2.5189,n/a,,,37.7380,,,2.4096,0.3552,,-0.5773,0.0999,0.1039,0.1560,-12.2807,-13.7406,0.0416,18.1921,3.2856,growth,0.0000,earnings,"blend(λ=1.0,w=0.18,v=0.00)",none,,0.2111,,0.0000,,tier,,,,0.1000,0.0300,0.1199,30.4728,27.2911,33.6545,0.20,25.4534,13.20,11.49,0.6021,0.0000,26.5356,38.3074,54,hist12/cv5/term12/path20/legs5,15.9513,-0.0743,0.0000,643976824,2026-08-21,shares_ref,0.182,1.00,0.000,1.0245,1.0000,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,1905892274.4200,-460480475.8100,-2366372750.2300,860392069.2400,267606964.4500,0,,,0.0000,0.0000,2026-08-21,2026-06-30,,,,,,,,,,,1.000000,1.3440,除权归一化至 2026-09-23 现价口径：2026-08-31 现金1.344/送转0
000426,兴业银锡,L2,2026-06-30,2026-08-29,2026-08-29,ok,,1.7862,0.3134,weightavg_ttm,6.4985,3.7745,0.5799,0.0469,,0.046900,lift2(孰高),,9,0.1579,0.3406,n/a,,,10.2768,,,1.0767,0.1440,0.2975,0.0158,0.0885,0.0692,0.1869,1.8906,1.4196,0.4607,11.7214,1.2662,growth,0.0000,earnings,cyclical_median,capital,,1.6129,,0.0047,,tier,,,,0.1000,0.0300,0.1085,9.8308,8.8477,10.8139,0.20,7.8647,9.13,5.50,0.6026,0.4314,6.9145,13.8340,51,hist12/cv5/term12/path10/legs12,6.5088,-0.0103,0.0000,1775635739,2026-08-29,shares_ref,1.000,0.50,0.000,1.8610,1.0000,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,-694283581.3500,-884839682.6100,-190556101.2600,0.0000,95832500.0000,0,,,0.0000,0.0000,2026-08-29,2026-06-30,,,,,,,,,,,,,
000538,云南白药,L2,2026-06-30,2026-08-29,2026-08-29,ok,,2.9200,0.1297,weightavg_ttm,22.9636,3.5848,0.1563,0.1031,,0.103100,lift2(孰高),,9,0.2704,1.1346,raw,,,35.8026,,,2.8426,0.1767,0.1447,0.0682,0.0992,0.0341,0.1412,-7.1414,-7.2366,0.0592,26.3882,2.3953,growth,0.0037,earnings,"blend(λ=1.0,w=0.09,v=0.00)",capital,,0.0645,,0.0099,,tier,,,,0.1000,0.0300,0.1192,33.5296,30.1766,36.8826,0.20,26.8237,11.80,11.48,0.5738,0.3613,27.2880,41.4587,84,hist12/cv20/term20/path20/legs12,23.7006,0.0294,-0.7663,1784262603,2026-08-29,shares_ref,0.090,1.00,0.000,1.0132,1.0000,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,7913146701.3900,8456830884.8800,543684183.4900,1158166844.3900,1681985583.9300,0,,,0.0000,0.0000,2026-08-29,2026-06-30,,,,,,,,,,,,,
000568,泸州老窖,L2,2026-06-30,2026-08-26,2026-08-26,ok,,5.1000,0.1586,weightavg_ttm,31.0706,8.7617,0.2827,0.2827,,0.282700,normalized,,9,0.0868,0.1315,n/a,,,109.0506,,,8.7490,0.5194,0.2835,0.2228,0.0915,0.0385,0.2589,-9.0898,-13.6725,0.0702,77.0350,3.9035,growth,0.0027,earnings,"blend(λ=0.0,w=0.00,v=0.74)",capital,,-0.1429,,0.0632,,tier,,,,0.1000,0.0300,0.1115,86.1248,77.0707,95.1790,0.20,72.4336,10.35,17.75,0.6584,0.0000,59.6072,141.3471,76,hist12/cv20/term12/path20/legs12,27.8228,0.0783,3.1695,1471941963,2026-08-26,shares_ref,0.000,0.00,0.743,0.6931,0.5511,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,2462872343.2700,10136712677.4600,7673840334.1900,4757631778.6400,1466494973.9600,0,,,0.0000,0.0000,2026-08-26,2026-06-30,,,,,,,,,,,1.000000,4.4171,除权归一化至 2026-09-23 现价口径：2026-08-28 现金4.41712/送转0
000596,古井贡酒,L2,2026-06-30,2026-08-29,2026-08-29,ok,,3.8700,0.0888,weightavg_ttm,47.0883,10.0049,0.2125,0.2125,,0.212500,normalized,,9,0.1454,0.1403,n/a,,,108.6410,,,8.5669,0.7090,0.1105,0.5906,0.0981,0.0209,0.2839,-21.9211,-24.9623,1.9775,69.6270,2.1548,growth,0.0322,earnings,trough_median,capital,,-0.1997,,0.0652,,tier,,,,0.1000,0.0300,0.1181,91.5481,82.3933,100.7029,0.20,73.2385,10.69,23.66,0.5816,0.0000,64.0893,133.1657,76,hist12/cv12/term20/path20/legs12,37.7117,0.0040,9.3726,528600000,2026-08-29,shares_ref,0.000,0.00,1.000,0.5781,0.3465,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,898295412.5300,4626826868.9900,3728531456.4600,545204103.4200,895658760.5600,0,,,0.0000,0.0000,2026-08-29,2026-06-30,,,,,,,,,,,,,
000651,格力电器,L2,2026-06-30,2026-08-27,2026-08-27,ok,,4.9800,0.1889,weightavg_ttm,26.5126,6.3941,0.2419,0.2419,,0.241900,normalized,,5,0.5284,0.1360,n/a,,,100.7941,,,5.2198,,,-0.2078,0.0744,0.0356,0.1669,-30.6275,-31.2361,0.6986,,7.4759,zero_growth,0.0000,earnings,median3,,,0.0272,,0.0000,,tier,,,,0.1000,0.0300,0.1200,100.7941,90.7147,110.8735,0.20,80.6353,19.31,20.24,1.0000,,92.4798,111.6909,37,hist12/cv5/term5/path10/legs5,28.3658,0.0900,-1.9431,5601405741,2026-08-27,shares_ref,0.000,0.00,0.000,0.9609,1.0000,0.000000,,off,0,0,,,,,operating,2021-12-31,2025-12-31,-9860007383.6300,-25936577690.9200,-16076570307.2900,25612056693.0700,6496151873.0300,0,,,0.0000,0.0000,2026-08-27,2026-06-30,,,,,,,,,,,,,
000725,京东方A,L2,2016-12-31,2017-04-25,2017-04-25,ok,,0.0540,0.0240,weightavg_ttm,2.2388,0.0598,0.0267,0.0213,,0.021300,lift2(孰高),,9,0.3149,0.1079,n/a,,,0.8489,,,0.1023,0.0413,0.0526,5.3945,0.0664,0.0261,0.1860,1.3283,0.3125,0.3788,1.5402,-0.0085,zero_growth,0.0566,earnings,"blend(λ=1.0,w=0.18,v=0.00)",,,-0.0717,,0.0000,,tier,,,,0.1000,0.0300,0.1200,0.2119,0.1270,0.2968,0.20,0.6791,8.30,15.72,1.0000,,0.6473,1.1220,44,hist12/cv12/term5/path10/legs5,1.6156,0.0000,0.6232,35153067743,2017-04-25,annual_row|book_break,0.183,1.00,0.000,1.0000,1.0000,0.000000,,off,0,0,,,,,operating,2012-12-31,2016-12-31,2103488674.0000,8879253272.0000,6775764598.0000,0.0000,0.0000,0,,,0.0000,0.0000,2026-08-29,2026-06-30,,,,,,,,,,,1.000000,0.6370,除权归一化至 2026-09-23 现价口径：2017-07-14 现金0.03/送转0；2018-06-26 现金0.05/送转0；2019-05-31 现金0.03/送转0；2020-07-06 现金0.02/送转0；2021-06-04 现金0.1/送转0；2022-05-30 现金0.21/送转0；2023-06-07 现金0.061/送转0；2024-06-19 现金0.03/送转0；2025-06-25 现金0.05/送转0；2026-06-18 现金0.056/送转0
