security_code,security_name,quality_tier,report_date,notice_date,available_at,status,reason,eps_ttm,roe_ttm,roe_source,bps,eps0,roe0,roe_anchor,roe_trend,roe0_normalized,roe0_mode,growth_confirmed,roe_window,roe_efficiency,incremental_roe,payout,g_trailing,g_sustainable,g0,g0_capped,r_mode,rf,erp,beta,r,g_terminal,roe_terminal,intrinsic_value,band_low,band_high,mos,max_buy_price,implied_pe,pe_on_ttm_eps,terminal_share,min_payout
000001,平安银行,L1,2002-03-31,2003-04-24,2003-04-24,unavailable,已披露年报 ROE 仅 2 年 < 要求 3 年,,,,1.9590,,,0.2074,,,,,5,1.0000,,,,,,,tier,,,,0.0800,0.0300,0.1500,,,,0.10,,,,,
000001,平安银行,L1,2002-06-30,2003-08-20,2003-08-20,unavailable,已披露年报 ROE 仅 2 年 < 要求 3 年,,0.1393,weightavg_ttm,2.0300,,,0.2074,,,,,5,1.0000,,,-0.0508,,,,tier,,,,0.0800,0.0300,0.1500,,,,0.10,,,,,
000001,平安银行,L1,2002-09-30,2003-10-29,2003-10-29,unavailable,已披露年报 ROE 仅 2 年 < 要求 3 年,,,,2.0900,,,0.2074,,,,,5,1.0000,,,,,,,tier,,,,0.0800,0.0300,0.1500,,,,0.10,,,,,
000001,平安银行,L1,2002-12-31,2004-04-15,2004-04-15,unavailable,g0（sustainable）不可算：近三年无正 EPS 财年可算派息率,,0.1124,weightavg_ttm,1.9400,0.2181,0.1124,0.1124,,0.112400,normalized,,5,0.9585,,,0.1184,,,,tier,,,,0.0800,0.0300,0.1124,,,,0.10,,,,,
000001,平安银行,L1,2003-03-31,2004-04-15,2004-04-15,unavailable,g0（sustainable）不可算：近三年无正 EPS 财年可算派息率,,,,2.0200,0.2270,0.1124,0.1124,,0.112400,normalized,,5,0.9585,,,,,,,tier,,,,0.0800,0.0300,0.1124,,,,0.10,,,,,
000001,平安银行,L1,2003-06-30,2004-08-31,2004-08-31,unavailable,g0（sustainable）不可算：近三年无正 EPS 财年可算派息率,,0.0997,weightavg_ttm,2.2300,0.2507,0.1124,0.1124,,0.112400,normalized,,5,0.9585,,,0.2999,,,,tier,,,,0.0800,0.0300,0.1124,,,,0.10,,,,,
000001,平安银行,L1,2003-09-30,2004-10-23,2004-10-23,unavailable,g0（sustainable）不可算：近三年无正 EPS 财年可算派息率,,,,2.0464,0.2300,0.1124,0.1124,,0.112400,normalized,,5,0.9585,,,,,,,tier,,,,0.0800,0.0300,0.1124,,,,0.10,,,,,
000001,平安银行,L1,2003-12-31,2005-04-26,2005-04-26,ok,,0.2200,0.0786,weightavg_ttm,1.9700,0.1677,0.0851,0.1082,down,0.085112,normalized,,5,0.9665,,0.0000,-0.0281,0.0851,0.0851,,tier,,,,0.0800,0.0300,0.0851,2.2918,2.0626,2.5210,0.10,2.0626,13.67,10.42,0.7698,0.0648
000001,平安银行,L1,2004-03-31,2005-04-26,2005-04-26,ok,,,,,2.1500,0.1830,0.0851,0.1082,down,0.085112,normalized,,5,0.9665,,0.0000,,0.0851,0.0851,,tier,,,,0.0800,0.0300,0.0851,2.5012,2.2511,2.7513,0.10,2.2511,13.67,,0.7698,0.0648
000001,平安银行,L1,2004-06-30,2005-08-19,2005-08-19,ok,,,0.0838,weightavg_ttm,2.1800,0.1855,0.0851,0.1082,down,0.085112,normalized,,5,0.9665,,0.0000,-0.1204,0.0851,0.0851,,tier,,,,0.0800,0.0300,0.0851,2.5361,2.2825,2.7897,0.10,2.2825,13.67,,0.7698,0.0648
