security_code,security_name,ex_dividend_date,cash_per_share,share_ratio,rights_ratio,rights_price,subscribed,shares_before,shares_after,cost_before,cost_after,stop_before,stop_after,source,applied_at_utc,note
600809,山西汾酒,2026-07-31,0.656000,0.000000,,,,0,13400,,123.321,,113.54,事件库（东财）,2026-08-24T20:16:25+00:00,不适用（除息日 07-31 未持仓，用户 2026-08-25 确认；持仓于其后建立，锚与均价均为除息后数值）——登记仅为消除跟踪器近 30 日漏调提示
689009,九号公司,2026-08-07,1.238520,0.000000,,,,31263,31263,44.663,44.663,37.78,37.78,事件库（东财）,2026-08-24T20:16:25+00:00,补登记（未改持仓表）：锚 37.78 于 08-17 按建仓日前复权 MA60 设定、均价 44.663 于 08-22 补填，均为除息后数值，无需折算
601899,紫金矿业,2026-08-21,0.420000,0.000000,,,,4200,4200,32.34,32.34,29.60,29.60,事件库（东财）,2026-08-24T20:16:25+00:00,补登记（未改持仓表）：已于 08-20 预调，成本 32.76→32.34、锚 30.02→29.60（commit e3bc53c8）
000651,格力电器,2026-08-27,2,0,0,0,,13400,13400,41.4795,39.4795,39.24,37.2400,corporate_actions.csv,2026-08-27T17:15:47+00:00,"10派20 除息日 08-27；成本 41.4795→39.4795、锚 39.24→37.24，随后再叠加当日买入 3,300@39.27"
