security_code,security_name,quality_tier,report_date,notice_date,available_at,status,reason,eps_ttm,roe_ttm,roe_source,bps,eps0,roe0,roe_anchor,roe_trend,roe0_normalized,roe0_mode,growth_confirmed,roe_window,roe_efficiency,incremental_roe,payout,g_trailing,g_sustainable,g0,g0_capped,r_mode,rf,erp,beta,r,g_terminal,roe_terminal,intrinsic_value,band_low,band_high,mos,max_buy_price,implied_pe,pe_on_ttm_eps,terminal_share,min_payout
000408,藏格矿业,L2,2025-09-30,2025-10-17,2025-10-17,ok,,2.2072,0.2372,weightavg_ttm,9.6231,2.7859,0.2895,0.1849,,0.184900,lift2(孰高),,9,0.0224,0.3186,0.2120,-0.1011,0.2281,0.2281,,tier,,,,0.1000,0.0300,0.1200,33.4328,30.0895,36.7760,0.20,26.7462,12.00,15.15,0.9937,0.0000
000408,藏格矿业,L2,2025-12-31,2026-03-14,2026-03-14,ok,,2.4600,0.2471,weightavg_ttm,10.3447,3.1996,0.3093,0.1849,,0.184900,lift2(孰高),,9,0.0630,0.3118,0.3256,-0.1201,0.2086,0.2086,,tier,,,,0.1000,0.0300,0.1200,37.1315,33.4183,40.8446,0.20,29.7052,11.60,15.09,0.9433,0.0000
000408,藏格矿业,L2,2026-03-31,2026-04-18,2026-04-18,ok,,2.9800,0.2868,weightavg_ttm,11.2363,4.3676,0.3887,0.1849,,0.184900,lift2(孰高),,9,0.0630,0.3118,0.3256,-0.0670,0.2621,0.2500,Y,tier,,,,0.1000,0.0300,0.1200,54.3310,48.8979,59.7641,0.20,43.4648,12.44,18.23,0.9295,0.0000
000408,藏格矿业,L2,2026-06-30,2026-08-11,2026-08-11,ok,,3.6274,0.3363,weightavg_ttm,10.9609,5.3456,0.4877,0.1849,,0.184900,lift2(孰高),,9,0.0630,0.3118,0.3256,0.0250,0.3289,0.2500,Y,tier,,,,0.1000,0.0300,0.1200,67.0366,60.3329,73.7403,0.20,53.6293,12.54,18.48,0.8520,0.0000
000423,东阿阿胶,L2,2025-03-31,2025-04-28,2025-04-28,ok,,2.5319,0.1534,weightavg_ttm,16.6701,3.2590,0.1955,0.1113,,0.111300,lift2(孰高),,9,0.2025,2.0621,0.8321,0.4887,0.0328,0.0328,,tier,,,,0.1000,0.0300,0.1200,30.3391,27.3052,33.3730,0.20,24.2713,9.31,11.98,0.6218,0.2567
000423,东阿阿胶,L2,2025-06-30,2025-08-22,2025-08-22,ok,,2.5409,0.1559,weightavg_ttm,16.0103,3.2101,0.2005,0.1113,,0.111300,lift2(孰高),,9,0.2025,2.0621,0.8321,0.3979,0.0337,0.0337,,tier,,,,0.1000,0.0300,0.1200,29.7259,26.7533,32.6985,0.20,23.7808,9.26,11.70,0.6274,0.2261
000423,东阿阿胶,L2,2025-09-30,2025-10-25,2025-10-25,ok,,2.6048,0.1613,weightavg_ttm,15.4476,3.2641,0.2113,0.1113,,0.111300,lift2(孰高),,9,0.2025,2.0621,0.8321,0.3705,0.0355,0.0355,,tier,,,,0.1000,0.0300,0.1200,29.9236,26.9312,32.9160,0.20,23.9389,9.17,11.49,0.6388,0.1608
000423,东阿阿胶,L2,2025-12-31,2026-03-20,2026-03-20,ok,,2.7000,0.1666,weightavg_ttm,16.0507,3.5617,0.2219,0.1113,,0.111300,lift2(孰高),,9,0.1220,2.5189,0.6848,0.3063,0.0699,0.0699,,tier,,,,0.1000,0.0300,0.1200,34.0905,30.6814,37.4995,0.20,27.2724,9.57,12.63,0.7098,0.0977
000423,东阿阿胶,L2,2026-03-31,2026-04-25,2026-04-25,ok,,2.7473,0.1694,weightavg_ttm,16.7596,3.8128,0.2275,0.1113,,0.111300,lift2(孰高),,9,0.1220,2.5189,0.6848,0.2547,0.0717,0.0717,,tier,,,,0.1000,0.0300,0.1200,36.4324,32.7892,40.0756,0.20,29.1459,9.56,13.26,0.7164,0.0649
000425,徐工机械,L2,2025-03-31,2025-04-29,2025-04-29,ok,,0.5470,0.1093,weightavg_ttm,5.2014,0.6257,0.1203,0.0983,,0.098300,lift2(孰高),,9,0.3097,0.0601,0.3899,-0.0887,0.0734,0.0734,,tier,,,,0.1000,0.0300,0.1200,7.1987,6.4788,7.9186,0.20,5.7590,11.50,13.16,0.5993,0.4237
000425,徐工机械,L2,2025-06-30,2025-08-30,2025-08-30,ok,,0.5600,0.1109,weightavg_ttm,5.1414,0.6350,0.1235,0.0983,,0.098300,lift2(孰高),,9,0.3097,0.0601,0.3899,-0.0624,0.0754,0.0754,,tier,,,,0.1000,0.0300,0.1200,7.2405,6.5165,7.9646,0.20,5.7924,11.40,12.93,0.6097,0.4019
000425,徐工机械,L2,2025-09-30,2025-10-31,2025-10-31,ok,,0.5700,0.1110,weightavg_ttm,5.0939,0.6301,0.1237,0.0983,,0.098300,lift2(孰高),,9,0.3097,0.0601,0.3899,0.0310,0.0755,0.0755,,tier,,,,0.1000,0.0300,0.1200,7.1815,6.4633,7.8996,0.20,5.7452,11.40,12.60,0.6103,0.4007
000425,徐工机械,L2,2025-12-31,2026-04-29,2026-04-29,ok,,0.5700,0.1100,weightavg_ttm,5.1443,0.6225,0.1210,0.0990,,0.099000,lift2(孰高),,9,0.2320,,0.3679,0.1508,0.0765,0.0765,,tier,,,,0.1000,0.0300,0.1200,7.1651,6.4486,7.8816,0.20,5.7321,11.51,12.57,0.6069,0.3990
000425,徐工机械,L2,2026-03-31,2026-04-29,2026-04-29,ok,,0.5730,0.1097,weightavg_ttm,5.3336,0.6422,0.1204,0.0990,,0.099000,lift2(孰高),,9,0.2320,,0.3679,0.2050,0.0761,0.0761,,tier,,,,0.1000,0.0300,0.1200,7.4044,6.6639,8.1448,0.20,5.9235,11.53,12.92,0.6049,0.4033
