trade_date,security_code,security_name,rule,condition,close,ma20,ma60,model_pv,hold_pv,cost_basis,gain_pct,entry_stop_price,stop_line,current_shares,sell_shares,amount,swap_for,cooldown_skips,note
2026-09-04,600919,江苏银行,出名单,已移出 worth_attention，每日减一档直至清空,12.28,11.968,11.5225,0.8136,0.8136,12.012,0.0223,11.33,,34600.0,11300,138764.0,,0,
2026-09-04,920599,同力股份,出名单,已移出 worth_attention，每日减一档直至清空,18.26,17.4225,17.0238,,,17.994,0.0148,16.94,,7800.0,7600,138776.0,,0,
