date,net_equity,cash,positions,cash_ratio,debt,margin_ratio,top1_weight,top3_weight
2012-05-02,3000000.00,3000000.00,0,1.0000,0.00,,0.0000,0.0000
2012-05-03,3005800.87,2553270.87,3,0.8494,0.00,,0.0506,0.1506
2012-05-04,3000979.62,2105496.62,3,0.7016,0.00,,0.0999,0.2984
2012-05-07,3004979.57,1950363.57,3,0.6490,0.00,,0.1505,0.3510
2012-05-08,2991545.46,1503810.46,3,0.5027,0.00,,0.2001,0.4973
2012-05-09,2961315.84,1061769.84,3,0.3585,0.00,,0.2495,0.6415
2012-05-10,2974863.77,470205.77,4,0.1581,0.00,,0.2984,0.7921
2012-05-11,2945859.13,610484.13,3,0.2072,0.00,,0.3474,0.7928
2012-05-14,2925104.26,320704.26,3,0.1096,0.00,,0.3934,0.8904
2012-05-15,2942741.08,28117.08,3,0.0096,0.00,,0.4519,0.9904
2012-05-16,2883779.85,0.00,3,0.0000,401313.15,8.1859,0.5029,1.1392
2012-05-17,2941720.13,0.00,3,0.0000,839927.87,4.5023,0.5484,1.2855
2012-05-18,2871192.15,0.00,4,0.0000,1380420.85,3.0799,0.5959,1.4318
2012-05-21,2920484.20,0.00,5,0.0000,1944258.80,2.5021,0.6027,1.5185
2012-05-22,2987796.31,0.00,5,0.0000,1989233.69,2.5020,0.6054,1.5160
2012-05-23,2948379.56,0.00,5,0.0000,1989424.44,2.4820,0.6134,1.5246
2012-05-24,2939193.80,0.00,5,0.0000,1989615.20,2.4773,0.6092,1.5268
2012-05-25,2877235.99,8.71,4,0.0000,1916373.72,2.5014,0.6223,1.6161
2012-05-28,2952026.21,-2.67,4,-0.0000,1966053.12,2.5015,0.6135,1.5997
2012-05-29,3042549.09,0.00,4,0.0000,2025716.91,2.5020,0.6064,1.5845
2012-05-30,3043306.84,0.00,4,0.0000,2026796.16,2.5015,0.6096,1.5850
2012-05-31,3116391.01,0.00,4,0.0000,2074844.99,2.5020,0.6116,1.5761
2012-06-01,3068954.05,0.00,4,0.0000,2075043.95,2.4790,0.6151,1.5853
2012-06-04,2938983.64,370.80,5,0.0001,1952303.16,2.5054,0.6380,1.5628
2012-06-05,2874133.78,1405.25,4,0.0005,1914239.47,2.5014,0.6431,1.5769
2012-06-06,2823720.97,1149134.02,3,0.4070,1881213.05,2.5010,0.6522,1.2593
2012-06-07,2763939.36,844404.10,3,0.3055,1840803.74,2.5015,0.6473,1.3605
2012-06-08,2741183.01,557800.76,3,0.2035,1825647.75,2.5015,0.6429,1.4625
2012-06-11,2824191.93,322394.87,3,0.1142,1826172.94,2.5465,0.6344,1.5325
2012-06-12,2838763.30,181337.35,3,0.0639,1826348.05,2.5543,0.6393,1.5795
2012-06-13,2919669.09,18800.27,3,0.0064,1826523.18,2.5985,0.6285,1.6192
2012-06-14,2867526.79,0.00,3,0.0000,1909335.21,2.5018,0.6283,1.6658
2012-06-15,2901710.48,0.00,3,0.0000,1931523.52,2.5023,0.6301,1.6656
2012-06-18,2892464.84,0.00,3,0.0000,1932079.16,2.4971,0.6344,1.6680
2012-06-19,2858382.57,0.00,3,0.0000,1932264.43,2.4793,0.6332,1.6760
2012-06-20,2844428.29,0.00,3,0.0000,1932449.71,2.4719,0.6334,1.6794
2012-06-21,2798952.98,0.00,3,0.0000,1932635.02,2.4483,0.6478,1.6905
2012-06-25,2670942.86,1364195.35,2,0.5108,1779528.49,2.5009,0.6651,1.1555
2012-06-26,2649929.84,1218619.69,2,0.4599,1764862.85,2.5015,0.6682,1.2061
2012-06-27,2597136.49,1054997.80,2,0.4062,1729702.30,2.5015,0.6631,1.2598
2012-06-28,2620339.42,1034202.59,2,0.3947,1729868.16,2.5148,0.6633,1.2655
2012-06-29,2650990.44,1023632.48,2,0.3861,1730034.04,2.5323,0.6575,1.2665
2012-07-02,2655336.76,1023632.48,2,0.3855,1730531.72,2.5344,0.6542,1.2662
2012-07-03,2701566.82,1023632.48,2,0.3789,1730697.66,2.5610,0.6684,1.2617
2012-07-04,2605989.25,2547812.87,1,0.9777,1730863.62,2.5056,0.6865,0.6865
2012-07-05,2614183.27,2547812.87,1,0.9746,1731029.59,2.5102,0.6876,0.6876
2012-07-06,2650801.28,2589612.87,1,0.9769,1731195.58,2.5312,0.6762,0.6762
2012-07-09,2644451.27,2589612.87,1,0.9793,1731693.60,2.5271,0.6756,0.6756
2012-07-10,2650137.22,2589612.87,1,0.9772,1731859.65,2.5302,0.6763,0.6763
2012-07-11,2658331.15,2589612.87,1,0.9741,1732025.72,2.5348,0.6774,0.6774
2012-07-12,2655718.47,2456978.28,2,0.9252,1732191.81,2.5332,0.6784,0.7271
2012-07-13,2705621.79,2324343.69,2,0.8591,1732357.91,2.5618,0.6832,0.7812
2012-07-16,2667793.01,2193211.27,2,0.8221,1732856.26,2.5395,0.6825,0.8274
