group,start,windows,BASE_roll5_median,EBDS03_roll5_median,current_delta_pp,matched_window_median_pp,matched_window_mean_pp,matched_window_win_fraction,BASE_cagr,EBDS03_cagr,cagr_delta_pp,final_wealth_ratio
full,2009-11-01,141,0.36073123221410053,0.5077152543942869,14.698402218018636,11.648791458560215,13.088260764026671,0.9432624113475178,0.3171902906642554,0.4108717880712409,9.36814974069855,3.1757858193530244
full,2010-05-01,135,0.49136714094226663,0.4433425350138651,-4.802460592840152,-4.013501115268547,-4.947821100241744,0.3111111111111111,0.42150631552147355,0.38016345060906076,-4.134286491241279,0.6177840566632069
full,2010-11-01,129,0.45853666606529053,0.4507307834548939,-0.7805882610396608,1.7822165522944466,1.7292910465312132,0.7441860465116279,0.34762338931737813,0.36747118166764325,1.9847792350265125,1.2602720342124585
full,2011-05-01,123,0.3887489228219414,0.3989649434644851,1.0216020642543677,0.9584135713848418,2.7500270108206837,0.6341463414634146,0.31325227361749697,0.33663419303306186,2.338191941556489,1.3104681056769827
full,2011-11-01,117,0.3956040082304788,0.4076711535317721,1.206714530129327,1.9840719441277521,2.802914638842343,0.6153846153846154,0.3323652934000796,0.35960541298762627,2.7240119587546685,1.3498497366328515
full,2012-05-01,111,0.5013701848779584,0.4804055554930948,-2.0964629384863542,3.5004645881347773,2.349309733631327,0.6306306306306306,0.39847921911522177,0.4306724210795234,3.2193201964301643,1.3853463074933678
full,2012-11-01,105,0.5456418216939838,0.4740604527066812,-7.158136898730261,-7.1127100003904875,-6.9306988544090515,0.02857142857142857,0.5003010251284332,0.45656371847347854,-4.373730665495468,0.6643842572824146
full,2013-05-01,99,0.5872234633195077,0.5720710898581258,-1.5152373461381874,1.2627786932053464,2.3805198521911204,0.5757575757575758,0.4931181239971951,0.5220198773467293,2.8901753349534154,1.2909940655282794
full,2013-11-01,93,0.48695444398255705,0.5617988560610057,7.484441207844861,8.754683644565041,10.216923125278836,0.989247311827957,0.41697297508389597,0.5231567631714864,10.618378808759044,2.5256493277476904
full,2014-05-01,87,0.5385375391343579,0.5757204775361495,3.7182938401791654,2.933359240987432,8.143026060526122,0.7011494252873564,0.4929665032489996,0.5941796767241498,10.121317347515024,2.242930053818439
full,2014-11-01,81,0.6482658520546172,0.6042593297202234,-4.400652233439373,-2.828739538110314,-2.054225752291493,0.16049382716049382,0.5279156947520107,0.5384305666492817,1.051487189727096,1.0844155406026013
full,2015-05-01,75,0.6068814392070729,0.6396522497503916,3.277081054331865,3.1976229641165643,2.9416052054343855,0.9466666666666667,0.4970778116275161,0.5436478765416399,4.657006491412385,1.414414883968024
full,2015-11-01,69,0.6638673145067513,0.6560613204608181,-0.7805994045933184,-1.9020900393582174,-1.2608672504964606,0.17391304347826086,0.5936193389038193,0.6001996456155549,0.6580306711735595,1.045594319559667
full,2016-05-01,63,0.6661908081745294,0.5841203215417459,-8.20704866327835,-5.155154538844164,-6.1832426504792695,0.0,0.7061667460063654,0.6665252578758019,-3.9641488130563562,0.7845991435844459
A,2009-11-01,141,0.3987877403029503,0.43596235364737757,3.7174613344427287,4.534281285588748,4.290735228281826,0.9290780141843972,0.32484186578832164,0.3734443581179159,4.860249232959424,1.8329952716183542
A,2010-05-01,135,0.4421513650284694,0.43191585269441113,-1.0235512334058283,0.40958782091891077,0.7875625124290327,0.5777777777777777,0.3577877601083479,0.39124072837025325,3.345296826190536,1.487590369479602
A,2010-11-01,129,0.435209954561687,0.44264497533447456,0.7435020772787571,0.6604140715392726,0.2840175953931641,0.7131782945736435,0.39384145779326096,0.3976336177916131,0.37921599983521403,1.0439252013840592
A,2011-05-01,123,0.5474533792571239,0.44924085510064304,-9.821252415648086,-7.7439068251072385,-6.573349879344087,0.13008130081300814,0.4595414701476832,0.4241685525465313,-3.537291760115191,0.6866791805289844
A,2011-11-01,117,0.45655978937266806,0.47228290745382107,1.572311808115301,-1.4618401079527832,-1.19810108940843,0.38461538461538464,0.4343883464327476,0.42814389985797097,-0.624444657477663,0.9373768280396216
A,2012-05-01,111,0.44200670575856194,0.48905476916110246,4.704806340254053,3.99734763027102,3.066662937730659,0.7477477477477478,0.44367740634309305,0.47354600686215,2.986860051905693,1.3408203436218984
A,2012-11-01,105,0.4696447321012087,0.5286030525028791,5.895832040167037,4.672478874294361,5.039783055292428,0.9047619047619048,0.5076581123683039,0.5638840053100587,5.622589294175473,1.6587148476855689
A,2013-05-01,99,0.5994302051571967,0.5366374034311094,-6.2792801726087255,-4.47071012508562,-4.038651701758103,0.3434343434343434,0.5273589932880105,0.49925730995230855,-2.8101683335701955,0.7808284646390461
A,2013-11-01,93,0.5773907333508597,0.5461425345104232,-3.1248198840436503,-1.5177466527205308,-0.9590461584263378,0.3655913978494624,0.5092937156190205,0.5268924417408762,1.7598726121855757,1.160249636080369
