group,arm,start,P_pp,CAGR_pp,P25_pp,DD5_pp,MDD_pp,negative_flip
full,PV055,2009-11-01,0.35230404000000104,-1.4583037250466946,-0.06265587422997765,-0.07761101389027747,1.2486991633627764,False
full,PV055,2010-05-01,0.3593226679999999,-1.5170532044487262,0.12687185829274306,-0.07761101389027747,1.2486991633627764,False
full,PV055,2010-11-01,5.064945809999999,1.7267756619098407,4.7416555873177835,0.30186067512033565,4.022937794420745,False
full,PV055,2011-05-01,8.057018320000003,3.1043904549694634,8.005128490268199,-0.8518879063986406,7.028512200549553,False
full,PV055,2011-11-01,-7.839024839999997,-7.21287538266393,-4.614916073571762,6.077684746695599,2.6385177395339077,False
full,PV055,2012-05-01,1.2880431599999964,-2.2742710127684695,0.6849161575695373,-0.017127075367706635,0.23045085431971923,False
full,PV055,2012-11-01,2.526353810000004,-0.5720460358045187,2.7492150044867714,1.9661398429600796,0.6917905835049365,False
full,PV055,2013-05-01,7.897496040000007,4.376657669689288,5.454751756359433,0.9681034634065111,5.1197591364423145,False
full,PV055,2013-11-01,1.3971079799999953,0.9065808382526575,-1.9190529964947745,0.45780249107214566,6.856881876841358,False
full,PV055,2014-05-01,-7.4720526500000055,-8.371157801863284,-6.979020269921921,2.936354181266365,7.091863979366342,False
full,PV055,2014-11-01,0.1265546800000017,-2.8912421696574597,-0.14134883418592814,0.26733516130684754,7.746454371540645,False
full,PV055,2015-05-01,-3.3433284499999996,-7.253830517715887,-4.216979060063264,1.253896360290152,6.371753884000897,False
full,PV055,2015-11-01,0.2287981400000083,-7.143823965112306,-1.751541899300424,0.25749501104905814,7.4854578085490235,False
full,PV055,2016-05-01,-3.3562378299999973,-9.03708417325706,-4.897462439209477,1.0556927273607575,8.230129187638092,False
full,PV060,2009-11-01,0.04957078000000226,-1.477163424412642,-0.5818499311657233,0.35357646862552716,7.198775703316662,False
full,PV060,2010-05-01,0.015446679999997492,-1.536669391421941,-0.7023930073725593,0.35357646862552716,7.198775703316662,False
full,PV060,2010-11-01,-1.3058563099999976,-2.9909920182874083,-2.48395356174389,-0.2085376783717896,0.9160717839689192,False
full,PV060,2011-05-01,-1.853437149999998,-3.1140792158572683,-2.608198105195836,0.5474715447223999,6.8646383537505855,False
full,PV060,2011-11-01,-12.899342790000007,-8.669488678885351,-7.864907254203302,4.727573698442889,4.217408027829839,False
full,PV060,2012-05-01,-3.0751666999999983,-4.987040423974554,-3.3042916080370244,-0.5286414273502626,4.731239145215227,False
full,PV060,2012-11-01,6.046063100000004,0.2314813228054602,-0.09131881356387872,1.418836645482846,3.033049913620345,False
full,PV060,2013-05-01,-12.208682589999997,-9.631084249488486,-9.660211628877335,5.1466557656172025,6.86161833145208,False
full,PV060,2013-11-01,-4.1492362799999905,-0.07306231299673005,-6.475680187463828,4.318840585422068,7.291544621791046,False
full,PV060,2014-05-01,-9.03178819,-8.539360465994683,-8.378900659792698,4.545444007218835,4.0064970670538935,False
full,PV060,2014-11-01,-14.160577080000003,-9.000000916903561,-12.71865385021027,0.5551713656411827,7.016439868998248,False
full,PV060,2015-05-01,-9.65578775,-10.192648383894154,-10.301824428448025,4.445745317258821,7.784641113246138,False
full,PV060,2015-11-01,-20.321134840000006,-15.825013573277014,-21.3120825008547,0.37308906044329904,8.183803327352557,False
full,PV060,2016-05-01,-5.835379639999999,-8.374514248896281,-5.3988522495532765,3.9133647742308653,10.020326398564716,False
full,PV065,2009-11-01,0.6303302100000019,-2.5845992042806465,0.9911621481786703,-0.5081692706100815,6.989507315566845,False
full,PV065,2010-05-01,0.4551475600000021,-2.688377334974512,-1.11125667213674,-0.5081692706100815,6.989507315566845,False
full,PV065,2010-11-01,-0.28817603999999886,0.5052342019646661,0.18609191952176918,0.869742267512752,0.5275566748985994,False
full,PV065,2011-05-01,9.862673401,5.521795714750377,0.8785339453946106,-2.060534944494008,3.268929423299649,False
full,PV065,2011-11-01,-10.098124310000001,-5.644589081086204,-7.796487209678116,4.7805955598528405,3.2026712124446854,False
full,PV065,2012-05-01,-4.437276100000004,-4.788849228282777,-3.1754541240362366,0.12821742174109474,1.2828640169577854,False
full,PV065,2012-11-01,-1.5608914899999993,-4.632685437355821,-3.1727243137728456,0.678609162768018,1.447257427796167,False
full,PV065,2013-05-01,-9.74825439,-6.089701347675391,-8.833055524947376,1.3763722107488774,3.0484866560266832,False
full,PV065,2013-11-01,-14.377530490000002,-9.647430100341236,-13.243670834763744,0.8366689964414364,4.429615665063357,False
full,PV065,2014-05-01,-14.34546919,-11.789456597681669,-13.641742209114028,0.48758482461748187,4.761942100370731,False
full,PV065,2014-11-01,-11.693285949999998,-8.916172683296741,-10.713609001487523,0.3512647699962512,1.539476286555297,False
full,PV065,2015-05-01,-15.306098340000007,-14.458118423328825,-14.5503118848624,1.8336786018862905,1.6886811284225756,False
full,PV065,2015-11-01,-15.037245570000001,-13.68484948446309,-15.476560695970075,0.07468957818101973,4.529783174949442,False
full,PV065,2016-05-01,-14.98968174,-15.640967713635767,-14.154909678143923,1.244269158817346,7.126277886956622,False
A,PV055,2009-11-01,0.0,1.2373130297685497,0.0,0.0,0.0,False
A,PV055,2010-05-01,0.0,1.2885495862509977,-0.47427440283103195,0.0,0.0,False
A,PV055,2010-11-01,0.0,0.08680314774207609,0.0,0.0,0.0,False
A,PV055,2011-05-01,0.0,0.10957542089409245,0.0,0.0,0.0,False
A,PV055,2011-11-01,-1.7107766100000088,-0.2466152619559958,-3.15245141090732,-0.22683129413757497,0.0027041261715821108,False
A,PV055,2012-05-01,0.0,0.8883166142549914,0.0,0.0,0.0,False
A,PV055,2012-11-01,-6.838036819999998,-2.1518462935621985,-1.4431007846134936,0.0012721726009301548,0.019085517156947063,False
A,PV055,2013-05-01,-0.30985982000000245,0.3402684922115595,0.11693522455014094,-0.003598700575935254,-0.003598700575935254,False
A,PV055,2013-11-01,-1.9333274700000014,-1.0364330865550109,-1.8808342452583338,-1.0202322261909536,-0.9124669226456716,False
A,PV055,2014-05-01,-1.8944744999999985,1.2690303835045436,0.05047517545950786,0.23477936532401156,0.23477936532401156,False
A,PV055,2014-11-01,-0.502418970000007,1.6016016550636225,-0.4601549716629405,0.0,0.0,False
A,PV055,2015-05-01,-1.6470236899999935,1.5200667730141948,-1.6470236874214006,0.0,0.0,False
A,PV055,2015-11-01,-1.1204741499999948,-1.3736211215470862,-2.3630619013994325,-0.0022134813742025194,0.002356441369455453,False
A,PV055,2016-05-01,-0.7174008600000059,0.9006106284612736,-2.2876415875010325,0.0,0.0,False
A,PV060,2009-11-01,2.4559309699999976,3.476639227761935,0.7451032458992701,-1.5916009202800896,-1.7853009966701028,False
A,PV060,2010-05-01,2.5583074100000047,3.6214884913674084,0.7694771443399251,-1.5916009202800896,-1.7853009966701028,False
A,PV060,2010-11-01,-0.6874609000000032,-0.4996611967978737,0.9542936690644099,-0.0654868918203877,0.02790457509507238,False
A,PV060,2011-05-01,-1.2405758099999997,0.44808236094429077,1.0650175958815788,-1.094501465283304,0.03282514053897234,False
A,PV060,2011-11-01,-4.5723794799999995,-0.5339437683961501,-0.3238644321946538,-2.7620868236192586,1.1794416008519715,False
A,PV060,2012-05-01,-2.6172818900000006,-0.9316667351712882,0.19668373029091413,-0.3910765710685826,-0.47610638305283226,False
A,PV060,2012-11-01,-4.3722914,1.6369638668880748,2.3564868680667983,0.32441155209597117,-0.21546513098473774,False
A,PV060,2013-05-01,1.5564546400000046,1.4821437547821947,1.5798242142032848,-0.014267850293347983,-0.014267850293347983,False
A,PV060,2013-11-01,-3.7688567600000056,-0.23055948602273002,-2.562560015203985,-0.871562205999088,-0.871562205999088,False
A,PV060,2014-05-01,-1.787258590000007,0.9967869057956991,0.4662008028187392,-0.15668411709892638,-0.15668411709892638,False
A,PV060,2014-11-01,-6.847497869999996,-1.4767081010783834,-5.4685191366122154,0.0,0.0,False
A,PV060,2015-05-01,1.529577839999996,2.4755720907056356,1.563680335248585,0.006430325803652437,0.006430325803652437,False
A,PV060,2015-11-01,2.350961060000001,1.6550441713866215,1.346566803098903,-3.0327547628772322e-05,0.0007488238080721743,False
A,PV060,2016-05-01,1.6005601599999975,2.9205120677191942,0.003225551452401554,-0.31348324362709956,0.0,False
A,PV065,2009-11-01,2.6376524499999943,4.7025911826329425,1.376618418880149,-0.9489378717050467,-1.4248076991789094,False
A,PV065,2010-05-01,2.8882147487,4.899166924897935,1.4701151682000813,-0.9489378717050467,-1.4248076991789094,False
A,PV065,2010-11-01,1.5769603899999984,1.7201246046840701,2.9189614158546595,-1.3571619132771384,-0.010047183045069907,False
A,PV065,2011-05-01,4.672699629999993,5.298652297322071,5.861195260879715,-0.7403571778758167,0.26541394264751883,False
A,PV065,2011-11-01,4.539647049999996,3.1380749799043928,-0.21335116299046053,2.489658825361629,1.1813600276939562,False
A,PV065,2012-05-01,-4.755273840000002,-2.057678395629381,0.8155829052060914,-0.3332299973215824,-0.41926864374368655,False
A,PV065,2012-11-01,2.799621429999999,5.100433920390279,7.8640905504577585,-0.3096235138680514,-0.4894067468868335,False
A,PV065,2013-05-01,3.356487490000004,2.4055650441577425,0.6150988981741934,-0.005623652432806825,-0.005623652432806825,False
A,PV065,2013-11-01,3.1369402000000046,2.753693382168665,-0.031322834484304174,-0.9686609517205236,-0.46251166843699343,False
A,PV065,2014-05-01,3.195621609999999,4.139156519593312,5.055047838758098,0.12806166255989737,0.6169376049928288,False
A,PV065,2014-11-01,4.176563470000005,3.9116153425475364,4.095765773538829,0.0,0.0,False
A,PV065,2015-05-01,4.115776339999999,2.411953910691178,4.139967180201354,0.00021949811681576392,0.8662994880635599,False
A,PV065,2015-11-01,3.977249710000008,2.6654493103932975,4.219753178732488,0.00013185234167822912,0.002817058691928498,False
A,PV065,2016-05-01,2.684647819999997,2.431465369409791,0.9661376521493459,-0.4284699892091237,0.0,False
