group,arm,start,年化,最大回撤,互不重叠5年块中位,末次净值日
full,BASE,2009-11-01,0.3589908714529333,0.4674187401266443,0.46095302040985286,2026-08-28
full,BASE,2011-11-01,0.4324386073812503,0.4710105263689186,0.6325111966879919,2026-08-28
full,PV055,2009-11-01,0.34440783420246635,0.47990573176027207,0.4879226675115753,2026-08-28
full,PV055,2011-11-01,0.360309853554611,0.4973957037642577,0.5186927347391286,2026-08-28
full,PV060,2009-11-01,0.34421923720880687,0.5394064971598109,0.4752534337435186,2026-08-28
full,PV060,2011-11-01,0.3457437205923968,0.513184606647217,0.4789050351478914,2026-08-28
full,PV065,2009-11-01,0.3331448794101268,0.5373138132823128,0.3985025555547437,2026-08-28
full,PV065,2011-11-01,0.37599271657038824,0.5030372384933655,0.4796919796712318,2026-08-28
A,BASE,2009-11-01,0.3938678965318174,0.5083625586402785,0.6213160662027646,2026-08-28
A,BASE,2011-11-01,0.4753141692632328,0.49011164841775656,0.6897827252427308,2026-08-28
A,PV055,2009-11-01,0.4062410268295029,0.5083625586402785,0.6090006305617826,2026-08-28
A,PV055,2011-11-01,0.4728480166436728,0.4901386896794724,0.6865367567855087,2026-08-28
A,PV060,2009-11-01,0.42863428880943677,0.49050954867357743,0.6458753759432387,2026-08-28
A,PV060,2011-11-01,0.4699747315792713,0.5019060644262763,0.6547751608459349,2026-08-28
A,PV065,2009-11-01,0.44089380835814684,0.49411448164848937,0.7155404928692066,2026-08-28
A,PV065,2011-11-01,0.5066949190622767,0.5019252486946961,0.7648697604764118,2026-08-28
