group,arm,min_margin,min_stock_buffer,min_cash,negative_cash_days,forced_count,forced_paths,worst_mdd,worst_mdd_start,worst_5y,worst_5y_start,max_single_weight
full,BASE,1.8220795337496878,0.28652949779601095,-2.9103830456733704e-11,0.0,0.0,0,0.5032706078350591,2012-05-01,0.02480812841261515,2010-11-01,1.14548278759364
full,PV055,1.7002014836642487,0.23538473969669785,-4.656612873077393e-10,0.0,0.0,0,0.5413749669472325,2011-05-01,0.04003667896473195,2011-05-01,1.7607714406704167
full,PV060,1.683983812491805,0.22802108288892678,-4.656612873077393e-10,0.0,0.0,0,0.5505829992872113,2012-05-01,0.04361078437863064,2010-11-01,1.7609003345844039
full,PV065,1.7410034296211925,0.25330417052489435,-1.1641532182693481e-10,0.0,0.0,0,0.5373138132823128,2009-11-01,0.11235934124247238,2010-11-01,1.847085219560171
A,BASE,1.8823100216466182,0.3093592527001591,-9.313225746154785e-10,0.0,0.0,0,0.5083625586402785,2009-11-01,0.006904970573179847,2009-11-01,0.9670328350146357
A,PV055,1.8823100216466182,0.3093592527001591,-4.656612873077393e-10,0.0,0.0,0,0.5083625586402785,2009-11-01,0.006904970573179847,2009-11-01,1.0419547641572438
A,PV060,1.8684573817039785,0.3042388803032595,-2.3283064365386963e-10,0.0,0.0,0,0.503240154208727,2012-11-01,0.034559700635520496,2009-11-01,1.0809883023663955
A,PV065,1.8894579661006998,0.3119719923260173,-4.656612873077393e-10,0.0,0.0,0,0.5085478830460898,2015-05-01,0.020332872804918356,2009-11-01,1.4080595149723638
