group,arm,start,year,return_
full,BASE,2009-11-01,2010,0.5292656372704345
full,BASE,2009-11-01,2011,-0.26943626483380334
full,BASE,2009-11-01,2012,0.16981603834066772
full,BASE,2009-11-01,2013,0.05436697347933661
full,BASE,2009-11-01,2014,0.5570665084631319
full,BASE,2009-11-01,2015,0.4185470619879219
full,BASE,2009-11-01,2016,-0.16966395076663776
full,BASE,2009-11-01,2017,1.1994314246237807
full,BASE,2009-11-01,2018,-0.0948154770394466
full,BASE,2009-11-01,2019,1.8905717922218064
full,BASE,2009-11-01,2020,0.06551272399256747
full,BASE,2009-11-01,2021,0.5397851718880873
full,BASE,2009-11-01,2022,0.22679137185565956
full,BASE,2009-11-01,2023,0.3825931340821509
full,BASE,2009-11-01,2024,0.5753021060325969
full,BASE,2009-11-01,2025,0.9520490815449179
full,BASE,2011-11-01,2012,-0.01185047958795038
full,BASE,2011-11-01,2013,-0.026854480906276623
full,BASE,2011-11-01,2014,0.6652464444291146
full,BASE,2011-11-01,2015,0.2849038707587652
full,BASE,2011-11-01,2016,-0.029692846996888567
full,BASE,2011-11-01,2017,2.3574321117358656
full,BASE,2011-11-01,2018,-0.10376178306422945
full,BASE,2011-11-01,2019,1.8370409079194898
full,BASE,2011-11-01,2020,0.0648388218140008
full,BASE,2011-11-01,2021,0.530541800002782
full,BASE,2011-11-01,2022,0.21648942508988545
full,BASE,2011-11-01,2023,0.366698908106168
full,BASE,2011-11-01,2024,0.5508814749818818
full,BASE,2011-11-01,2025,1.0300397971329542
full,PV055,2009-11-01,2010,0.5292656372704345
full,PV055,2009-11-01,2011,-0.26943626483380334
full,PV055,2009-11-01,2012,0.16981603834066772
full,PV055,2009-11-01,2013,0.05436697347933661
full,PV055,2009-11-01,2014,0.5570665084631319
full,PV055,2009-11-01,2015,0.44708788345107986
full,PV055,2009-11-01,2016,-0.1737832935011756
full,PV055,2009-11-01,2017,1.134184797917524
full,PV055,2009-11-01,2018,-0.08497634267806642
