SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,ACCEPT_DEPOSIT_INTERBANK,ACCOUNTS_PAYABLE,ACCOUNTS_RECE,ACCRUED_EXPENSE,ADVANCE_RECEIVABLES,AGENT_TRADE_SECURITY,AGENT_UNDERWRITE_SECURITY,AMORTIZE_COST_FINASSET,AMORTIZE_COST_FINLIAB,AMORTIZE_COST_NCFINASSET,AMORTIZE_COST_NCFINLIAB,APPOINT_FVTPL_FINASSET,APPOINT_FVTPL_FINLIAB,ASSET_BALANCE,ASSET_OTHER,ASSIGN_CASH_DIVIDEND,AVAILABLE_SALE_FINASSET,BOND_PAYABLE,BORROW_FUND,BUY_RESALE_FINASSET,CAPITAL_RESERVE,CIP,CONSUMPTIVE_BIOLOGICAL_ASSET,CONTRACT_ASSET,CONTRACT_LIAB,CONVERT_DIFF,CREDITOR_INVEST,CURRENT_ASSET_BALANCE,CURRENT_ASSET_OTHER,CURRENT_LIAB_BALANCE,CURRENT_LIAB_OTHER,DEFER_INCOME,DEFER_INCOME_1YEAR,DEFER_TAX_ASSET,DEFER_TAX_LIAB,DERIVE_FINASSET,DERIVE_FINLIAB,DEVELOP_EXPENSE,DIV_HOLDSALE_ASSET,DIV_HOLDSALE_LIAB,DIVIDEND_PAYABLE,DIVIDEND_RECE,EQUITY_BALANCE,EQUITY_OTHER,EXPORT_REFUND_RECE,FEE_COMMISSION_PAYABLE,FIN_FUND,FINANCE_RECE,FIXED_ASSET,FIXED_ASSET_DISPOSAL,FVTOCI_FINASSET,FVTOCI_NCFINASSET,FVTPL_FINASSET,FVTPL_FINLIAB,GENERAL_RISK_RESERVE,GOODWILL,HOLD_MATURITY_INVEST,HOLDSALE_ASSET,HOLDSALE_LIAB,INSURANCE_CONTRACT_RESERVE,INTANGIBLE_ASSET,INTEREST_PAYABLE,INTEREST_RECE,INTERNAL_PAYABLE,INTERNAL_RECE,INVENTORY,INVEST_REALESTATE,LEASE_LIAB,LEND_FUND,LIAB_BALANCE,LIAB_EQUITY_BALANCE,LIAB_EQUITY_OTHER,LIAB_OTHER,LOAN_ADVANCE,LOAN_PBC,LONG_EQUITY_INVEST,LONG_LOAN,LONG_PAYABLE,LONG_PREPAID_EXPENSE,LONG_RECE,LONG_STAFFSALARY_PAYABLE,MINORITY_EQUITY,MONETARYFUNDS,NONCURRENT_ASSET_1YEAR,NONCURRENT_ASSET_BALANCE,NONCURRENT_ASSET_OTHER,NONCURRENT_LIAB_1YEAR,NONCURRENT_LIAB_BALANCE,NONCURRENT_LIAB_OTHER,NOTE_ACCOUNTS_PAYABLE,NOTE_ACCOUNTS_RECE,NOTE_PAYABLE,NOTE_RECE,OIL_GAS_ASSET,OTHER_COMPRE_INCOME,OTHER_CREDITOR_INVEST,OTHER_CURRENT_ASSET,OTHER_CURRENT_LIAB,OTHER_EQUITY_INVEST,OTHER_EQUITY_OTHER,OTHER_EQUITY_TOOL,OTHER_NONCURRENT_ASSET,OTHER_NONCURRENT_FINASSET,OTHER_NONCURRENT_LIAB,OTHER_PAYABLE,OTHER_RECE,PARENT_EQUITY_BALANCE,PARENT_EQUITY_OTHER,PERPETUAL_BOND,PERPETUAL_BOND_PAYBALE,PREDICT_CURRENT_LIAB,PREDICT_LIAB,PREFERRED_SHARES,PREFERRED_SHARES_PAYBALE,PREMIUM_RECE,PREPAYMENT,PRODUCTIVE_BIOLOGY_ASSET,PROJECT_MATERIAL,RC_RESERVE_RECE,REINSURE_PAYABLE,REINSURE_RECE,SELL_REPO_FINASSET,SETTLE_EXCESS_RESERVE,SHARE_CAPITAL,SHORT_BOND_PAYABLE,SHORT_FIN_PAYABLE,SHORT_LOAN,SPECIAL_PAYABLE,SPECIAL_RESERVE,STAFF_SALARY_PAYABLE,SUBSIDY_RECE,SURPLUS_RESERVE,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIAB_EQUITY,TOTAL_LIABILITIES,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_OTHER_PAYABLE,TOTAL_OTHER_RECE,TOTAL_PARENT_EQUITY,TRADE_FINASSET,TRADE_FINASSET_NOTFVTPL,TRADE_FINLIAB,TRADE_FINLIAB_NOTFVTPL,TREASURY_SHARES,UNASSIGN_RPOFIT,UNCONFIRM_INVEST_LOSS,USERIGHT_ASSET,OPINION_TYPE,OSOPINION_TYPE,LISTING_STATE,security_code,org_table,source,retrieved_at_utc
000938.SZ,000938,紫光股份,10005803,通用,2025-12-31,年报,2025年报,058001001,2026-04-15,2026-08-29,CNY,,16422705366.22,12662554704.99,,1452235.92,,,,,,,,,0,,,,,,,15683120.56,573184168.51,,620202632.78,16882302374.34,,,0,,0,,485976224.25,,2167573149.37,810362185.42,,91199574.92,,,,,,0,,,,,650271039.78,982152698.9,,,,,,3536642.15,13991592697.1,,,,,3923639165.97,,,,,43568469509.65,141911151.52,725671416.43,,0,,,,,,268162885.4,10218169872.92,1013017.64,180870455.95,509338.07,20309114.85,2736921361.41,8944500146.7,127355901.59,0,,12687012050.58,0,,22799442842.24,13442419815.78,6376737476.02,779865110.79,,-6436007.58,,2002209601.03,2859397678.13,,,,136750720.32,263796470.74,79313800.66,,,0,,,,,312027064.45,,,,2418306779.15,,,,,,,,2860079874,,,7933555080.86,,,1622985399.22,,22232017.09,541417968.4,96323416301.66,72199379777.22,66187093506.43,17483480098.61,96323416301.66,78839936203.05,24124036524.44,12652842696.62,768328301.82,288583072.98,14746558737.2,,137061277.78,,,,11851463090.98,,1493893622.59,标准无保留意见,,0,000938,RPT_F10_FINANCE_GBALANCE,eastmoney RPT_F10_FINANCE_GBALANCE,2026-09-10T08:40:29+00:00
000938.SZ,000938,紫光股份,10005803,通用,2024-12-31,年报,2024年报,058001001,2025-04-29,2026-04-15,CNY,,16120623078.8,13832025229.18,,1145542.44,,,,,,,,,0,,,,,,,15683120.56,239607050.2,,1281850677.32,14502127196.51,,,0,,0,,441386563.28,,1932706171,858329768.56,70978435.24,,,,,108.32,,0,,,,,960864595.04,1085712130,,,,,,2915529.86,13991754133.34,,,,,4022465753.74,,8640798.61,,,36846684521.56,217418739.97,1007886077.11,,0,,,,,,176955043.91,11008719457.17,5045946.6,143869800.59,9123747.73,17556513.3,2782333655.73,7534450105.88,119226419.01,0,,13618227999.82,0,,19664438892.82,14250532483.86,3543815814.02,418507254.68,,-3386301.15,,1523226683.66,2583572996.65,,,,375711484.83,234335134.41,13977528.5,,,0,,,,,331558957.26,,,,1682670300.19,,,,,,,,2860079874,,,5064438612.92,,,1760951254.81,,25570446.44,669818917.87,88814023840.88,65130451423.91,59015035264.35,16114527764.75,88814023840.88,72699496076.13,23683572416.97,13684460811.78,1150313850.51,659038597.65,13332194109.02,,200928604.5,,,,10431331439.31,,1253913227.25,标准无保留意见,,0,000938,RPT_F10_FINANCE_GBALANCE,eastmoney RPT_F10_FINANCE_GBALANCE,2026-09-10T08:40:29+00:00
000938.SZ,000938,紫光股份,10005803,通用,2023-12-31,年报,2023年报,058001001,2024-04-30,2025-04-29,CNY,,12062694627.13,14091938142.69,,4455368.66,,,,,,,,,0,,,,,,,17834514329.37,110715289.25,,1135104042.79,12038542371.11,,,0,,0,,426654033.84,,1740930173.29,789239257.66,,21490219.86,,,,,363765.11,0,,,,,1179346163.88,1054561652.19,,,,,,2915529.86,13991754133.34,,,,,4118613745.37,,5049441.26,,,27934500460.28,201484239.25,1068804399.81,,0,,,,,,109361795.91,5086117495.61,,79930878.81,24141426.07,201015039.59,6096208843.75,14710814862.2,181656426.66,0,,868627780.7,0,,14357807106.98,14355843772.48,2295112479.85,263905629.79,,-1665401.98,,1436196810.15,2196918963.39,,,,583174497.96,236158872.42,45321229.11,,,0,,,,,274140381.71,,,,1668636919.44,,,,,,,,2860079874,,,6282709107.4,,,2212901274.77,,262904816.64,518304899.44,87264490585.74,63645414605.09,39330534955.28,40042663793.13,87264490585.74,47221826792.61,23619075980.65,7891291837.33,828777862.97,729092724.84,33946454949.38,,314222422.37,,21490219.86,,12987705801.49,,1368249276.79,标准无保留意见,,0,000938,RPT_F10_FINANCE_GBALANCE,eastmoney RPT_F10_FINANCE_GBALANCE,2026-09-10T08:40:29+00:00
000938.SZ,000938,紫光股份,10005803,通用,2022-12-31,年报,2022年报,058001001,2023-03-31,2024-04-30,CNY,,10102949462.14,13012900389.23,,1049947.78,,,,,,,,,0,,,,,,,17834476764.95,150051811.78,,1183558364.57,8334907799.39,,,0,,0,,451117089.26,,1551108715.27,780902762.6,,,,,,,,0,,,,,690391542.02,1042020999.37,,,,,,2915529.86,13991754133.34,,,,,3696902502.58,,508819.06,,,20274642985.61,209846839.53,1027080716.32,,0,,,,,,111976626.49,200194444.45,56222130.95,121755067.35,77409730.53,114916202.41,5986701928.78,10669303687.13,464026753.36,0,,680686780.7,0,,13245025241.06,13137634815.72,3142075778.92,124734426.49,,-3962924.58,,1486664117.31,2559579010.59,,,,842003478.08,311386662.43,44934370.42,,,0,,,,,237591210.4,,,,971861747.47,,,,,,,,2860079874,,,4175395004.55,,,2782367822.63,,246941189.07,956937402.13,74063005959.15,50712206186.74,33322242530.22,37827804502.12,74063005959.15,36235201457.03,23350799772.41,2912958926.81,585994016.39,405475148.96,31841102573.34,,1428647024.59,,299505,,10900652140.04,,1244583205.66,标准无保留意见,,0,000938,RPT_F10_FINANCE_GBALANCE,eastmoney RPT_F10_FINANCE_GBALANCE,2026-09-10T08:40:29+00:00
000938.SZ,000938,紫光股份,10005803,通用,2021-12-31,年报,2021年报,058001001,2022-03-26,2023-03-31,CNY,,9682131307.71,11081329909.18,,1131663.22,,,,,,,,,0,,,,,,,17834459474.72,188583338.33,,774562063.47,5701195163.82,,,0,,0,,459464837.82,,1311570907.26,797092605.74,,,72182335.2,,,,,0,,,,,294002684.42,922622945.57,,,,,,2915529.86,13991592697.1,,,,,3882318084.33,3821034.34,615744.35,,,18423614690.62,224396612.83,445938402.66,,0,,,,,,134469577.19,100061111.11,172686650.35,176531208.43,386397486.89,132128611.45,5707099231.75,8959650111.35,881879838.08,0,,423482275.96,0,,11818179388.32,11148118891.89,2136048080.61,66788982.71,,-12454643.47,,909125433.94,2203086957.56,,,,523717725.14,310577845.79,51142715.4,,,0,,,,,194102714.23,,,,839256912.83,,,,,,,,2860079874,,,4289845517.87,,,2553161846.83,,218428116.21,983231994.17,66449801303.19,43578946550.19,28429404704.13,35667778950.3,66449801303.19,30782022352.89,22870854753,2352617648.76,455380424.4,207046019.93,29960679718.55,,1141689903.66,,709471.98,,9057251367.23,,745893988.94,标准无保留意见,,0,000938,RPT_F10_FINANCE_GBALANCE,eastmoney RPT_F10_FINANCE_GBALANCE,2026-09-10T08:40:29+00:00
000938.SZ,000938,紫光股份,10005803,通用,2020-12-31,年报,2020年报,058001001,2021-04-24,2022-03-26,CNY,,7357095037.95,9167947213.1,,5759672.39,,,,,,,,,0,,,,,,,17996823582.27,52051574.06,,609228877.77,4495374143.05,,,0,,0,,438411118.32,,1054120471.55,743911534.01,,,,,,,,0,,,,,906734253.49,937151835.28,,,,,,2134080,13991592697.1,,,,,3984011152.79,1622391.03,811054.03,,,9644060271,245270013.37,,,0,,,,,,134490861.73,,333977004.33,264973009.96,1354030696.84,,4801588983.45,9351038902.87,1183190497.44,0,,104133769.56,0,,10393502825.9,9212086944.59,3036407787.95,44139731.49,,-9889504.4,,1343400162.39,2019217904.82,94150073,,,325575235.1,311587106.05,95365138.1,,,0,,,,,117139551.14,,,,819072357.49,,,,,,,,2860079874,,,2965396319.62,,,2243486879.98,,210230375.38,731690604.13,58166971409.45,35417966682.62,23371757478.56,33066409584.99,58166971409.45,25100561824.46,22749004726.83,1728804345.9,406211640.61,223383180.53,28264820601.54,,2125771235.05,,6983718.5,,7205442194.29,,,标准无保留意见,,0,000938,RPT_F10_FINANCE_GBALANCE,eastmoney RPT_F10_FINANCE_GBALANCE,2026-09-10T08:40:29+00:00
000938.SZ,000938,紫光股份,10005803,通用,2019-12-31,年报,2019年报,058001001,2020-04-25,2021-04-24,CNY,,4965386712.95,8420368522.3,,1547470846.2,,,,,,,,,0,,,,,,,20057272575.2,2738224.64,,,,,,0,,0,,312729951.15,,790175979.38,711257278.49,,,,,,,,0,,,,,878721918.48,588425810.11,,,,,,2134080,13991592697.1,,,,,3595001280.36,14503337.81,10432727.08,,,7904511389.67,254407027.77,,,0,,,,,,126031161.54,,323579831.15,517858024.63,1747988071.42,,4176303694.09,9847130364.68,1033481271.91,0,,764877471.33,0,,7542572829.08,8439571595.37,2577186116.13,19203073.07,,16841936.26,,1295373580.22,4096714850.44,,,,1408100199.52,111994721.94,23016190.18,,,0,,,,,91337731.17,,,,1100646311.88,,,,,,,,2042914196,,,4262728840,,,1732191327.38,,164211484.22,468265663.44,54702264299.36,31567951100.95,20880989716.1,32359353601.12,54702264299.36,22342910698.24,23134313198.41,1461920982.14,459700635.49,289987374.55,28183049907.03,,778527294.19,,6467252.74,,5899675635.35,,,标准无保留意见,,0,000938,RPT_F10_FINANCE_GBALANCE,eastmoney RPT_F10_FINANCE_GBALANCE,2026-09-10T08:40:29+00:00
000938.SZ,000938,紫光股份,10005803,通用,2018-12-31,年报,2018年报,058001001,2019-04-12,2020-04-25,CNY,,3913137641.16,7142266376.32,,1402652191.35,,,,,,,,,0,,,287036372.8,,,,20659271959.27,15726701.28,,,,,,0,,0,,213375981.58,,812875619.91,720198661.9,,,,,,,,0,,,,,,573591458.48,,,,41477929.43,5552974.38,1975480,13991592697.1,,76871030.38,56856081.14,,3665108627.32,11502362.46,34085923.79,,,5845241828.28,263544042.17,,,0,,,,,,114470225.84,734456313.84,224019422.68,691799761.66,1699732775.29,,3943398336.64,5853612494.89,842630680.94,0,,143262467.47,0,,5848259849.27,7794957438.19,1935122208.11,652691061.87,,151521361.51,,5114113982.3,3693126119.24,,,,89973278.99,,14798184.69,,,0,,,,,92565904.68,,,,638520404.46,,,,,,,,1459224426,,,2445561228,,,1603637730.97,,137451399.3,543829893.09,48600910041.36,26395458480.52,16083945455.71,30517550116.28,48600910041.36,18083359925.08,22205451560.84,1999414469.37,341206920.8,188032691.65,26574151779.64,,,,,,4164707153.56,,,标准无保留意见,,0,000938,RPT_F10_FINANCE_GBALANCE,eastmoney RPT_F10_FINANCE_GBALANCE,2026-09-10T08:40:29+00:00
000938.SZ,000938,紫光股份,10005803,通用,2017-12-31,年报,2017年报,058001001,2018-04-26,2019-04-12,CNY,0,2650970887.03,5504290907.59,,1259415642.8,,,,,,,,,0,0,,381918145.94,,,,21113002938.24,42893102.96,,,,,,0,0,0,0,171869956.64,,523490264.12,714275917.88,,,,,,,,0,,,,,,441813945.1,,,,2111128.91,,1401780,13991592697.1,,,,,3736374721.16,5584187.94,31152600.04,,,5046873772.23,272681056.57,,,0,,,0,,,113705119.01,255579787.86,103733006.89,980283538.25,1278699589.37,,3745811761.76,4136061826.98,425473467,0,0,8850798.36,0,0,2869816408.03,6498413322.83,218845521,994122415.24,,222555461.8,,4104515649.49,3138260188.34,,,,79378869.99,,14431054.13,236412670.12,158230595.32,0,0,,,,74799253.23,,,,380434007.78,,,,,,,,1042303162,,,3328029162.93,,,1175952210.15,,126205366.58,343495214.79,42629721251.31,20786890201.74,12365836969.19,28929195305.49,42629721251.31,13700525945.82,21842831049.57,1334688976.63,242017343.79,193007026.52,25183383543.73,,,,,,2677914835.11,,,标准无保留意见,,0,000938,RPT_F10_FINANCE_GBALANCE,eastmoney RPT_F10_FINANCE_GBALANCE,2026-09-10T08:40:29+00:00
000938.SZ,000938,紫光股份,10005803,通用,2016-12-31,年报,2016年报,058001001,2017-04-28,2018-04-26,CNY,0,2578786468.48,4097904450.22,,732983111.05,,,,,,,,,0,0,,570499666.37,,,,21064002938.24,71623073.84,,,,,,0,0,0,0,6533797.64,,324712835.85,727933821.92,,,8438683.48,,,173789736.27,,0,,,,,,353756675.65,,,,,,508800,13992910310.61,,,,,3756334768.33,231995.48,20789256.33,,,3019670765.82,281818070.97,,,0,,,0,,,180427900.73,,23401085.55,1208283107.83,3795225.24,,3284983375.68,4015614691.08,,0,0,7733199.21,0,0,3707657008.48,5330015172.84,1128870540,1232110722.62,,351217564.8,,3470758989.45,2947507358.72,,,,48022055.22,,10375878.41,231866890.94,131369448.03,0,0,,,,54785435.53,,,,314884049.16,,,,,,,,1042303162,,,100143163.41,,,961035526.55,,110992210.38,328121073.55,37103724746.83,16303102372.71,9191069063.66,27089625664.12,37103724746.83,10014099082.71,20800622374.12,823030019.05,405888622.69,152158704.36,23804642288.44,,,,,,1235617613.02,,,标准无保留意见,,0,000938,RPT_F10_FINANCE_GBALANCE,eastmoney RPT_F10_FINANCE_GBALANCE,2026-09-10T08:40:29+00:00
