SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,USERIGHT_ASSET_AMORTIZE,security_code,org_table,source,retrieved_at_utc
000938.SZ,000938,紫光股份,10005803,通用,2025-12-31,年报,2025年报,058001001,2026-04-15,2026-04-15,CNY,146993814311.47,,,,,,,,,,,,2105214515.64,1096697822.61,,0,150195726649.72,132326009648.86,46491827.85,,,,,8450047885.76,2833553240.12,3052872554.29,,0,146708975156.88,,0,3486751492.84,2250564393.73,89206667.82,101903335.31,,,,,0,2441674396.86,613134434.68,2312021553.33,,,,46156986.32,,0,2971312974.33,,0,-529638577.47,5000000,5000000,9240087583.22,,4867282977.93,,0,14112370561.15,10535004460.58,1510719776.74,569733095.64,,3715587551.65,,,0,15761311788.97,,0,-1648941227.82,-50382499.28,,0,1257789188.27,7316512142.72,,0,8574301330.99,2171084501.45,647582095,398134496.63,388678807.24,9455689.39,112618699.37,39261960.69,,,,-63895500.42,2478552.26,158759535.49,1207064967.39,-16462905.75,-283817846.67,-235850263.53,-47967583.14,,-7092931018.92,259200441.23,5455320630.4,-88327633.06,,0,3486751492.84,,,,,8574301330.99,7316512142.72,,,,,1257789188.27,标准无保留意见,,,353699008.41,000938,RPT_F10_FINANCE_GCASHFLOW,eastmoney RPT_F10_FINANCE_GCASHFLOW,2026-09-10T08:40:32+00:00
000938.SZ,000938,紫光股份,10005803,通用,2024-12-31,年报,2024年报,058001001,2025-04-29,2026-04-15,CNY,107712233817.22,,,,,,,,,,,,1792117692.96,1160050413.36,,0,110664401923.54,94105887690.79,19078435.82,,,,,9012067966.2,2355916849.86,2730695156.02,,0,108223646098.69,,0,2440755824.85,2275062650.97,129487841.26,993854.44,,,,,0,2405544346.67,533513650.48,2200068037.76,,,,30269500,,0,2763851188.24,,0,-358306841.57,7760000,7760000,17703099173.03,,3851063890.64,,0,21561923063.67,7457676667.81,1250646423.49,348129360.99,,22139805920.68,,,0,30848129011.98,,0,-9286205948.31,863768.36,,0,-7202893196.67,14519405339.39,,0,7316512142.72,1982277033.02,866346477.89,401922425.01,393559824.73,8362600.28,111190964.84,36357424.76,,,,-2944443.06,317305.85,-101428335.7,699611231.26,-69245470.99,-122685486.81,-191775997.71,69090510.9,,-9690721876.74,252819065.72,7586348611.4,-31766256.6,1024796858.39,0,2440755824.85,,,,,7316512142.72,14519405339.39,,,,,-7202893196.67,标准无保留意见,,,363906774.5,000938,RPT_F10_FINANCE_GCASHFLOW,eastmoney RPT_F10_FINANCE_GCASHFLOW,2026-09-10T08:40:32+00:00
000938.SZ,000938,紫光股份,10005803,通用,2023-12-31,年报,2023年报,058001001,2024-04-30,2025-04-29,CNY,99398874607.81,,,,,,,,,,,,1644108953.88,1704647669.16,,0,102747631230.85,88657605669.58,-11008746.71,,,,,9834676875.82,2593348777.01,3530236720.95,,0,104604859296.65,,0,-1857228065.8,7233977182.49,160450472.98,1535740.66,6148380,,,,0,7402111776.13,940567762.72,5806930000,,,,109800,,0,6747607562.72,,0,654504213.41,500000,500000,10914657309.4,,4656509401.5,,0,15571666710.9,4480734732.76,1647011521.09,1475204448.47,,4099402025.92,,,0,10227148279.77,,0,5344518431.13,-5043499.86,,0,4136751078.88,10382654260.51,,0,14519405339.39,3684522189.45,,441617442.52,,,130109660.87,91445394.88,,,,-1547156.03,10780.95,75143202.31,268458085.75,-138891888.8,-181484962.96,-189821458.02,8336495.06,,-7957537108.92,-2734958859.67,3248677726.12,105857832.21,730738032.76,0,-1857228065.8,,,,,14519405339.39,10382654260.51,,,,,4136751078.88,标准无保留意见,,,380611562.76,000938,RPT_F10_FINANCE_GCASHFLOW,eastmoney RPT_F10_FINANCE_GCASHFLOW,2026-09-10T08:40:32+00:00
000938.SZ,000938,紫光股份,10005803,通用,2022-12-31,年报,2022年报,058001001,2023-03-31,2024-04-30,CNY,88367618321.06,,,,,,,,,,,,1159118302.39,1605778173.41,,0,91132514796.86,72635302967.06,3069221.84,,,,,8260018686.6,3617781405.65,2597826478.35,,0,87113998759.5,,0,4018516037.36,8505756869.39,79881888.29,857408.68,8300000,,16967279.62,,0,8611763445.98,482798694.33,8076460000,,,,14281800,,0,8573540494.33,,0,38222951.65,65300000,65300000,3224754844.16,,2258127904.73,,0,5548182748.89,4299937221.02,1849144929.28,1386700000,,1508391468.1,,,0,7657473618.4,,0,-2109290869.51,45070033.51,,0,1992518153.01,8390136107.5,,0,10382654260.51,3741614973.08,846196422.49,444301792.45,,,147250016.44,101980506.68,,,,854438.59,28531.57,-27231825.11,269863688.64,-20517330.58,-255727651.15,-239537808.01,-16189843.14,,-1991579556.17,-3839218798.37,3947909585.49,285235399.55,846196422.49,0,4018516037.36,,,,,10382654260.51,8390136107.5,,,,,1992518153.01,标准无保留意见,,,367555843.76,000938,RPT_F10_FINANCE_GCASHFLOW,eastmoney RPT_F10_FINANCE_GCASHFLOW,2026-09-10T08:40:32+00:00
000938.SZ,000938,紫光股份,10005803,通用,2021-12-31,年报,2021年报,058001001,2022-03-26,2023-03-31,CNY,78269185016.36,,,,,,,,,,,,864548922.83,2232928934.84,,0,81366662874.03,71484228177.02,-11636800,,,,,7312239064.98,1231603894.86,3530388207.94,,0,83546822544.8,,0,-2180159670.77,17973527897.58,55257610.9,1635531.8,5696791,,,,0,18036117831.28,526827163.77,15697340000,,,,35658000,,0,16259825163.77,,0,1776292667.51,455100000,455100000,3881216201.01,,1279078053.42,,0,5615394254.43,3336870203.48,1608030512.87,1191060000,,537564625.3,,,0,5482465341.65,,0,132928912.78,-17566696.34,,0,-288504786.82,8678640894.32,,0,8390136107.5,3792391852.96,702668785.78,399038321.66,,,156657895.07,166882097.92,,,,-1329346.09,16484.97,-45247066.47,260580977.08,24307237.14,-204056882.23,-257237953.96,53181071.73,,-9090811608.61,-2554342276.06,3475438041.3,398991421.33,,0,-2180159670.77,,,,,8390136107.5,8678640894.32,,,,,-288504786.82,标准无保留意见,,,338654393.48,000938,RPT_F10_FINANCE_GCASHFLOW,eastmoney RPT_F10_FINANCE_GCASHFLOW,2026-09-10T08:40:32+00:00
000938.SZ,000938,紫光股份,10005803,通用,2020-12-31,年报,2020年报,058001001,2021-04-24,2022-03-26,CNY,67436462925.2,,,,,,,,,,,,690358580.46,1637655725.63,,0,69764477231.29,54315918490.21,-123060000,,,,,5918794493.81,2190612436.67,2451957468.36,,0,64754222889.05,,0,5010254342.24,7450657289.63,39000153.4,937091.61,40000000,,1255710000,,0,8786304534.64,1493324353.96,7909100000,,,,208129500,,0,9610553853.96,,0,-824249319.32,78400000,78400000,5240697399.78,,2000000,,0,5321097399.78,7240258125,1678022902.54,1134340000,,2066378343.68,,,0,10984659371.22,,0,-5663561971.44,-8135133.1,,0,-1485692081.62,10164332975.94,,0,8678640894.32,3064460359.72,584274009.1,388730365.15,286815311.13,,128269532.87,323462359.43,,,,-946451.63,87899.98,43504781.92,311246825.87,53155233.18,-215271954.32,-233398281.98,18126327.66,,-2102278531.52,-671120761.33,3300133455.63,-197452781.81,,0,5010254342.24,,,,,8678640894.32,10164332975.94,,,,,-1485692081.62,标准无保留意见,,,,000938,RPT_F10_FINANCE_GCASHFLOW,eastmoney RPT_F10_FINANCE_GCASHFLOW,2026-09-10T08:40:32+00:00
000938.SZ,000938,紫光股份,10005803,通用,2019-12-31,年报,2019年报,058001001,2020-04-25,2021-04-24,CNY,62402211433.58,,,,,,,,,,,,556741106.59,1765429498.49,,0,64724382038.66,52508703037.55,24400000,,,,,5727335437.98,2442073872.62,2322765064.05,,0,63025277412.2,,0,1699104626.46,16096091648.17,125127623.62,1496211.07,21154190.57,,,,0,16243869673.43,1888412842.14,11080582651.3,,,,1110000000,,0,14078995493.44,,0,2164874179.99,75000000,75000000,7161157686.09,,500000,,0,7236657686.09,5433141056.09,1633245964.06,1090740000,,39072194.62,,,0,7105459214.77,,0,131198471.32,-11531790.36,,0,3983645487.41,5722665697.98,,0,9706311185.39,3074634618.82,390129906.82,255785877.73,255785877.73,,62151370.76,326158542.94,,,,-666280.12,53222.42,-150708174.93,257955413.12,-9149371.38,16858554.75,25799938.16,-8941383.41,,-2121961838.74,-2948182764.42,2555429618.47,-9384069.78,,0,1699104626.46,,,,,9706311185.39,5722665697.98,,,,,3983645487.41,标准无保留意见,,,,000938,RPT_F10_FINANCE_GCASHFLOW,eastmoney RPT_F10_FINANCE_GCASHFLOW,2026-09-10T08:40:32+00:00
000938.SZ,000938,紫光股份,10005803,通用,2018-12-31,年报,2018年报,058001001,2019-04-12,2020-04-25,CNY,58038383014.76,,,,,,,,,,,,541834315.32,981468176.55,,0,59561685506.63,45401480702.46,70090000,,,,,4845625971.2,2043657124.99,2327571015.38,,0,54688424814.03,,0,4873260692.6,20764132504.84,186763902.25,555499.05,18010745.64,,,,0,20969462651.78,1769943446.24,20739351123.9,,49000000,,,,0,22558294570.14,,0,-1588831918.36,73283506.8,73283506.8,5859113812.84,,,,0,5932397319.64,6055986865.09,1492136309.32,1101030000,,14367094.61,,,0,7562490269.02,,0,-1630092949.38,20061211.92,,0,1674397036.78,4048268661.2,,0,5722665697.98,2936746562,491051555.7,234480394.34,234480394.34,,61409706.25,318955363.32,,,,-372451.21,17809.11,-35924955.05,137934399.74,-173077146.1,-270339112.93,-289605275.91,19266162.98,,-1066534424.16,-2264129342.09,4541271416.26,-38229082.58,,0,4873260692.6,,,,,5722665697.98,4048268661.2,,,,,1674397036.78,标准无保留意见,,,,000938,RPT_F10_FINANCE_GCASHFLOW,eastmoney RPT_F10_FINANCE_GCASHFLOW,2026-09-10T08:40:32+00:00
000938.SZ,000938,紫光股份,10005803,通用,2017-12-31,年报,2017年报,058001001,2018-04-26,2019-04-12,CNY,45604811970.31,,,,,,,,,,,,570923880.64,1090872042.53,0,0,47266607893.48,38651971320.73,169030000,,,,,4433740338.07,1794764413.61,1947339434.66,0,0,46996845507.07,,0,269762386.41,20468413262.53,96198075.46,901399.9,,,58000000,0,0,20623512737.89,2194227607.97,20453224243.56,,,,,0,0,22647451851.53,,0,-2023939113.64,54884954,54884954,7124143265.95,,,,0,7179028219.95,4360244968.8,1029728582.87,820687736.27,,10337028.34,,0,0,5400310580.01,,0,1778717639.94,-42088893.59,,0,-17547980.88,4060628180.93,,0,4043080200.05,2620183799.91,429790145.77,173250395.03,173250395.03,,58646372.94,301489956.35,,,,-187773.24,194087.27,,147385538.5,-269700717.89,-190127651.41,-198777428.27,8649776.86,,-2191865253.73,-1884284419.27,1104695234.29,-29707328.11,0,0,269762386.41,,,,,4043080200.05,4060628180.93,,,,,-17547980.88,标准无保留意见,,,,000938,RPT_F10_FINANCE_GCASHFLOW,eastmoney RPT_F10_FINANCE_GCASHFLOW,2026-09-10T08:40:32+00:00
000938.SZ,000938,紫光股份,10005803,通用,2016-12-31,年报,2016年报,058001001,2017-04-28,2018-04-26,CNY,33283739010.84,,,,,,,,,,0,,527583917.74,253227499.96,0,0,34064550428.54,27699686778.84,64800000,,,,,2340366490.39,1390568311.71,1260846956.46,0,0,32756268537.4,0,0,1308281891.14,15607740958.15,50894517.56,713204.58,12598248.27,,,0,0,15671946928.56,196705626.09,19270578351,,13287191015.57,,242814947.47,0,0,32997289940.13,0,0,-17325343011.57,22371719897.2,307066134.66,992826211.85,,,0,0,23364546109.05,1120441188.29,2813439229.92,2748134711.3,,223637514.75,0,0,0,4157517932.96,0,0,19207028176.09,27201400.97,0,0,3217168456.63,735171935.63,,0,3952340392.26,1193527377.35,225064533.99,112644455.27,112644455.27,,38733836.27,199243359.53,,,,-165584.35,,,19187813.8,-558217842.58,-241150737,-140304726.82,-100846010.18,,-539718654.7,322372137.14,552867249.59,-16106053.17,0,0,1308281891.14,,,,,3952340392.26,735171935.63,,,,,3217168456.63,标准无保留意见,,,,000938,RPT_F10_FINANCE_GCASHFLOW,eastmoney RPT_F10_FINANCE_GCASHFLOW,2026-09-10T08:40:32+00:00
