# 谷底对称守卫 × 走势闸门（宇宙 v6b，买入线 1.0454，2009-11-01 起，前向 1 年，只计送转不含分红）

## 逐日观测（在线内行 × 是否过 `收 > MA20 > MA60`）

| 带被谷守卫触发 | 过闸门 | 行数 | 其后收益 |
| --- | --- | ---: | --- |
| 是 | 是 | 4496 | 中位 +18.5%／均值 +25.8%（n=4240） |
| 是 | 否 | 12499 | 中位 +17.5%／均值 +28.5%（n=11414） |
| 否 | 是 | 19847 | 中位 +10.7%／均值 +15.0%（n=18014） |
| 否 | 否 | 50285 | 中位 +8.2%／均值 +14.5%（n=44608） |

## episode（(代码, 带报告期)；首个在线内日 = 估值侧放行日，首个在线内且过闸门日 = 策略可买日）

| 带被谷守卫触发 | episode 数 | 有可买日的占比 | 从放行日起其后收益（全部） | 从可买日起其后收益（有可买日者） | 从放行日起其后收益（无可买日者） | 利润率 H 年内脱离谷区：有可买日 vs 无可买日 |
| --- | ---: | ---: | --- | --- | --- | --- |
| 是 | 308 | 59% | 中位 +14.1%／均值 +21.0%（n=281） | 中位 +17.3%／均值 +24.1%（n=172） | 中位 +7.2%／均值 +11.2%（n=109） | 45/161（28%） vs 20/107（19%） |
| 否 | 1386 | 65% | 中位 +8.3%／均值 +14.6%（n=1263） | 中位 +10.1%／均值 +15.2%（n=819） | 中位 +2.7%／均值 +10.6%（n=440） | 471/743（63%） vs 231/414（56%）（非触发带，脱离判据不适用，只列参考） |

## 谷守卫触发的 episode 逐票（按 episode 数排序，前 30）

| 代码 | 名称 | episode | 有可买日 | 可买日起其后收益中位 | 利润率脱离谷区 |
| --- | --- | ---: | ---: | ---: | --- |
| 000338 | 潍柴动力 | 24 | 21 | +14.4% | 7/24 |
| 000792 | 盐湖股份 | 20 | 15 | +6.0% | 5/17 |
| 600066 | 宇通客车 | 18 | 9 | -1.7% | 0/18 |
| 601088 | 中国神华 | 18 | 16 | +21.2% | 10/18 |
| 002128 | 电投能源 | 16 | 10 | +10.3% | 0/16 |
| 600309 | 万华化学 | 16 | 12 | +21.4% | 8/12 |
| 600031 | 三一重工 | 13 | 8 | +3.4% | 2/13 |
| 002024 | ST易购 | 11 | 6 | +55.3% | 0/11 |
| 600585 | 海螺水泥 | 10 | 9 | +36.4% | 9/10 |
| 601857 | 中国石油 | 10 | 5 | +7.1% | 0/10 |
| 000022 | 深赤湾A | 9 | 4 | +18.0% | 1/9 |
| 002466 | 天齐锂业 | 9 | 7 | +14.0% | 0/6 |
| 600897 | 厦门空港 | 9 | 7 | -8.6% | 0/9 |
| 603156 | 养元饮品 | 9 | 4 | +13.9% | 0/9 |
| 000568 | 泸州老窖 | 8 | 5 | +37.3% | 0/6 |
| 002304 | 洋河股份 | 8 | 3 | +36.7% | 0/5 |
| 600176 | 中国巨石 | 8 | 8 | +49.3% | 1/7 |
| 600188 | 兖矿能源 | 8 | 3 | +27.2% | 0/8 |
| 000333 | 美的集团 | 7 | 4 | +41.6% | 7/7 |
| 002236 | 大华股份 | 7 | 4 | +12.8% | 3/5 |
| 001872 | 招商港口 | 6 | 2 | +56.2% | 0/6 |
| 002841 | 视源股份 | 6 | 1 | +34.2% | 0/4 |
| 000651 | 格力电器 | 5 | 2 | +1.4% | 3/5 |
| 002152 | 广电运通 | 5 | 2 | +40.1% | 2/5 |
| 000933 | 神火股份 | 4 | 2 | -24.2% | 0/4 |
| 000423 | 东阿阿胶 | 3 | 2 | +14.5% | 0/3 |
| 000661 | 长春高新 | 3 | 2 | +17.6% | 0/2 |
| 000786 | 北新建材 | 3 | 0 | — | 0/0 |
| 002001 | 新和成 | 3 | 0 | — | 3/3 |
| 601225 | 陕西煤业 | 3 | 2 | +20.0% | 0/1 |
