L090|2016-05-01|0.569504|0.513492|1.196998|1.109081|1.598502|7.550851|6.000000|0.648523|0.735976|0.797133|1.443495|0.820184|0.539232|0.458583|1.165789|1.016116|0.000000|0.528775|0.478876|0.360587|0.513492|1.068202|1.010495|0.000000|63.000000|0.577368|0.574136|3.000000|0.418263|0.888889|-0.054338|9.000000
L092|2009-11-01|0.244734|0.845709|0.423198|0.289383|1.494469|7.329722|5.000000|0.666236|1.365809|2.103473|1.473322|0.856206|0.274451|0.461151|0.595143|0.558174|0.224242|0.270215|0.112695|-0.103673|0.480670|0.490119|0.434488|0.099291|141.000000|0.466274|0.247931|81.000000|0.129816|0.687500|-0.534254|16.000000
L092|2010-05-01|0.254367|0.847830|0.433921|0.300021|1.523205|7.623709|5.000000|0.671630|1.395232|2.132025|1.483051|0.865854|0.282445|0.458893|0.653125|0.570750|0.194969|0.314152|0.119718|-0.104695|0.480711|0.653515|0.545883|0.096296|135.000000|0.470800|0.260275|75.000000|0.161626|0.733333|-0.531251|15.000000
L092|2010-11-01|0.263115|0.847830|0.444173|0.310339|1.569914|7.661245|5.000000|0.671630|1.395232|2.132025|1.483051|0.865854|0.308825|0.458893|0.681891|0.602370|0.163399|0.336011|0.143427|-0.104695|0.480711|0.707113|0.571222|0.085271|129.000000|0.470800|0.262512|69.000000|0.161626|0.733333|-0.531251|15.000000
L092|2011-05-01|0.288203|0.847922|0.484506|0.339894|1.610220|6.433585|5.000000|0.674401|1.409223|2.133548|1.499262|0.865031|0.335672|0.479876|0.767649|0.644507|0.129252|0.356407|0.145345|-0.072505|0.479876|0.742706|0.635556|0.040650|123.000000|0.486113|0.270538|63.000000|0.258345|0.785714|-0.531210|14.000000
L092|2011-11-01|0.317019|0.793676|0.558587|0.399431|1.626204|7.854025|5.000000|0.685888|1.206980|1.577340|1.486923|0.898028|0.361975|0.482662|0.805600|0.703721|0.113475|0.416665|0.173989|0.002055|0.482662|0.863265|0.751700|0.000000|117.000000|0.527903|0.298707|57.000000|0.262806|0.785714|-0.475566|14.000000
L092|2012-05-01|0.305162|0.844670|0.505179|0.361279|1.679031|7.633996|5.000000|0.668356|1.421923|2.088988|1.492922|0.870178|0.365046|0.479930|0.808689|0.695158|0.140741|0.394340|0.161405|0.011083|0.479930|0.821662|0.693069|0.000000|111.000000|0.504406|0.283814|51.000000|0.367841|0.692308|-0.534077|13.000000
L092|2012-11-01|0.348423|0.799286|0.597248|0.435918|1.690903|7.802663|5.000000|0.701561|1.235029|1.617284|1.511836|0.905003|0.388549|0.481234|0.879225|0.784051|0.124031|0.457204|0.199310|0.043014|0.481234|0.952328|0.804829|0.000000|105.000000|0.523948|0.318097|45.000000|0.367655|0.692308|-0.479683|13.000000
L092|2013-05-01|0.314192|0.796056|0.539036|0.394686|1.675663|7.309099|5.000000|0.717717|1.234464|1.605430|1.512005|0.911756|0.339952|0.464435|0.756109|0.641006|0.097561|0.399093|0.233209|0.040313|0.464435|0.859308|0.722307|0.000000|99.000000|0.480314|0.294554|39.000000|0.409823|0.666667|-0.482800|12.000000
L092|2013-11-01|0.355635|0.792163|0.609820|0.448942|1.670883|7.646974|5.000000|0.671965|1.227382|1.581143|1.476332|0.879167|0.449442|0.450048|0.983100|0.852297|0.068376|0.481118|0.296041|0.035603|0.480612|1.002150|0.859550|0.000000|93.000000|0.528162|0.349932|33.000000|0.408513|0.750000|-0.490409|12.000000
L092|2014-05-01|0.360899|0.841497|0.589395|0.428878|1.710918|7.458579|5.000000|0.665087|1.477221|2.047375|1.487292|0.867578|0.394830|0.455349|0.875012|0.743101|0.045045|0.409305|0.327153|0.020342|0.483788|0.846041|0.739863|0.000000|87.000000|0.488299|0.333322|27.000000|0.368492|0.727273|-0.529349|11.000000
L092|2014-11-01|0.427796|0.796390|0.785659|0.537169|1.584384|6.637052|5.000000|0.652689|0.723128|1.032380|1.467817|0.837913|0.558019|0.476527|1.164313|1.075612|0.009524|0.583816|0.524386|0.089916|0.486046|1.202135|1.067416|0.000000|81.000000|0.610968|0.489424|21.000000|0.325635|0.727273|-0.466010|11.000000
L092|2015-05-01|0.440299|0.531650|0.885342|0.828175|1.529579|6.680331|5.000000|0.661297|0.735173|0.839079|1.482425|0.901053|0.592723|0.478347|1.239107|1.081560|0.000000|0.590477|0.532353|0.250339|0.478347|1.222462|1.067344|0.000000|75.000000|0.611528|0.520697|15.000000|0.316760|0.800000|-0.121374|10.000000
L092|2015-11-01|0.502297|0.506918|1.002530|0.990883|1.594588|6.691570|5.000000|0.658825|0.735323|0.827827|1.483397|0.893496|0.612711|0.478307|1.329246|1.155705|0.000000|0.608111|0.569183|0.439717|0.478307|1.250988|1.126968|0.000000|69.000000|0.614354|0.629758|9.000000|0.317124|0.800000|-0.120734|10.000000
L092|2016-05-01|0.518011|0.464501|1.086265|1.115199|1.627958|7.635557|6.000000|0.657841|0.755432|0.941928|1.434602|0.838581|0.471276|0.447315|1.075452|0.870024|0.000000|0.467052|0.418074|0.318743|0.464501|1.005491|0.889858|0.000000|63.000000|0.515679|0.522318|3.000000|0.455255|0.777778|-0.111868|9.000000
