group,arm,metric,paired_delta_median
full,BASE,年化,0.10601603742319099
full,BASE,最大回撤,0.014088388381414796
full,BASE,Sharpe,0.12866190220812668
full,BASE,Calmar,0.1235624843004765
full,BASE,平均仓位,0.11063778257452528
full,BASE,年均换手,-0.9789655530733019
full,BASE,持仓数中位,1.0
full,BASE,单票权重中位,0.04406950954998723
full,BASE,单票权重P90,0.21587721482097255
full,BASE,单票权重最大,0.3029061104655589
full,BASE,前三权重中位,0.1252171834806799
full,BASE,单票超60%天数占比,0.2529512025294782
full,BASE,滚动3年年化中位,0.10801173162977196
full,BASE,滚动3年回撤中位,0.02320329980961694
full,BASE,滚动3年Calmar中位,0.2132778478917074
full,BASE,滚动3年Sharpe中位,0.13303118210086146
full,BASE,滚动3年为负的窗口占比,-0.007466401194624188
full,BASE,滚动5年年化中位,0.14383856839833142
full,BASE,滚动5年年化P25,0.09661780772218576
full,BASE,滚动5年年化最差,0.041387107346063434
full,BASE,滚动5年回撤中位,0.008142413283484362
full,BASE,滚动5年Calmar中位,0.16930573600387344
full,BASE,滚动5年Sharpe中位,0.14287927463526212
full,BASE,滚动5年为负的窗口占比,0.0
full,BASE,滚动5年窗口数,0.0
full,BASE,互不重叠5年块中位,0.14362703667338522
full,BASE,滚动10年年化中位,0.10559083779435419
full,BASE,滚动10年窗口数,0.0
full,BASE,逐年收益中位,0.07524769438930673
full,BASE,逐年为正比例,0.0
full,BASE,逐年最差,-0.007602090192861566
full,BASE,完整自然年数,0.0
full,BASE,强平次数,0.0
full,BASE,最低担保比例,-0.6272681404014693
full,BASE,最低股票同跌缓冲,-0.1891689825859233
full,BASE,最低总资产冲击缓冲,-0.18916896579622566
full,BASE,rf覆盖率,0.0
full,BASE,年化_交易日口径,0.10639965186598588
full,BASE,最低担保比例日,0.5
full,BASE,最低股票同跌缓冲日,0.5
full,BASE,滚动5年年化最差窗口末日,0.0
full,BASE,最大回撤起日,0.0
full,BASE,最大回撤止日,-410.0
full,BASE,末次净值日,0.0
A,BASE,年化,0.08148345597934548
A,BASE,最大回撤,-0.0005574539463000239
A,BASE,Sharpe,0.07318400701785843
A,BASE,Calmar,0.11573600691225994
A,BASE,平均仓位,0.1102298777262034
A,BASE,年均换手,-1.2227392723069945
A,BASE,持仓数中位,1.0
A,BASE,单票权重中位,0.017779970955053293
A,BASE,单票权重P90,0.08593096640876086
A,BASE,单票权重最大,0.1998395515912122
A,BASE,前三权重中位,0.09499959909049949
A,BASE,单票超60%天数占比,0.17309309211307053
A,BASE,滚动3年年化中位,0.07128571269219508
A,BASE,滚动3年回撤中位,0.020481339304866286
A,BASE,滚动3年Calmar中位,0.15399782116547367
A,BASE,滚动3年Sharpe中位,0.0884702852075383
A,BASE,滚动3年为负的窗口占比,0.0
A,BASE,滚动5年年化中位,0.08368441072776556
A,BASE,滚动5年年化P25,0.0690913811387075
A,BASE,滚动5年年化最差,0.0022824819883623393
A,BASE,滚动5年回撤中位,0.04201403478059901
A,BASE,滚动5年Calmar中位,0.15209110448551183
A,BASE,滚动5年Sharpe中位,0.0987560321779326
A,BASE,滚动5年为负的窗口占比,0.0
A,BASE,滚动5年窗口数,0.0
A,BASE,互不重叠5年块中位,0.07421934923045137
A,BASE,滚动10年年化中位,0.08121315173887655
A,BASE,滚动10年窗口数,0.0
A,BASE,逐年收益中位,0.017719828530053272
A,BASE,逐年为正比例,0.0
A,BASE,逐年最差,0.033047509660548924
A,BASE,完整自然年数,0.0
A,BASE,强平次数,0.0
A,BASE,最低担保比例,-0.8272289821337342
A,BASE,最低股票同跌缓冲,-0.269457510512194
A,BASE,最低总资产冲击缓冲,-0.26945719411860086
A,BASE,rf覆盖率,0.0
A,BASE,年化_交易日口径,0.08191295441852986
A,BASE,最低担保比例日,-4581.0
A,BASE,最低股票同跌缓冲日,-4581.0
A,BASE,滚动5年年化最差窗口末日,0.0
A,BASE,最大回撤起日,0.0
A,BASE,最大回撤止日,-284.0
A,BASE,末次净值日,0.0
full,EBFIX160,年化,0.0
full,EBFIX160,最大回撤,0.0
full,EBFIX160,Sharpe,0.0
full,EBFIX160,Calmar,0.0
full,EBFIX160,平均仓位,0.0
full,EBFIX160,年均换手,0.0
full,EBFIX160,持仓数中位,0.0
full,EBFIX160,单票权重中位,0.0
full,EBFIX160,单票权重P90,0.0
full,EBFIX160,单票权重最大,0.0
full,EBFIX160,前三权重中位,0.0
full,EBFIX160,单票超60%天数占比,0.0
full,EBFIX160,滚动3年年化中位,0.0
full,EBFIX160,滚动3年回撤中位,0.0
full,EBFIX160,滚动3年Calmar中位,0.0
full,EBFIX160,滚动3年Sharpe中位,0.0
full,EBFIX160,滚动3年为负的窗口占比,0.0
full,EBFIX160,滚动5年年化中位,0.0
full,EBFIX160,滚动5年年化P25,0.0
full,EBFIX160,滚动5年年化最差,0.0
full,EBFIX160,滚动5年回撤中位,0.0
full,EBFIX160,滚动5年Calmar中位,0.0
full,EBFIX160,滚动5年Sharpe中位,0.0
full,EBFIX160,滚动5年为负的窗口占比,0.0
full,EBFIX160,滚动5年窗口数,0.0
full,EBFIX160,互不重叠5年块中位,0.0
full,EBFIX160,滚动10年年化中位,0.0
full,EBFIX160,滚动10年窗口数,0.0
full,EBFIX160,逐年收益中位,0.0
full,EBFIX160,逐年为正比例,0.0
full,EBFIX160,逐年最差,0.0
full,EBFIX160,完整自然年数,0.0
full,EBFIX160,强平次数,0.0
full,EBFIX160,最低担保比例,0.0
full,EBFIX160,最低股票同跌缓冲,0.0
full,EBFIX160,最低总资产冲击缓冲,0.0
full,EBFIX160,rf覆盖率,0.0
full,EBFIX160,年化_交易日口径,0.0
full,EBFIX160,最低担保比例日,0.0
full,EBFIX160,最低股票同跌缓冲日,0.0
full,EBFIX160,滚动5年年化最差窗口末日,0.0
full,EBFIX160,最大回撤起日,0.0
full,EBFIX160,最大回撤止日,0.0
full,EBFIX160,末次净值日,0.0
A,EBFIX160,年化,0.0
