group,arm,worst_roll5,worst_roll5_start,worst_roll5_window_end,worst_mdd,worst_mdd_start,worst_mdd_from,worst_mdd_to,lowest_margin_ratio,lowest_margin_ratio_start,lowest_margin_ratio_date,lowest_equity_buffer,lowest_equity_buffer_start,lowest_equity_buffer_date,forced_liquidations,forced_liquidation_starts,negative_window_starts,rf_coverage_min,end
A,EBS03,-0.05361864048650444,2009-11-01,2016-02-29,0.6171362304139131,2011-11-01,2015-06-15,2016-05-13,2.4222870782212964,2014-11-01,2015-01-19,0.46331712219899224,2014-11-01,2015-01-19,0.0,0,2,0.9845890410958904,2026-08-28
A,EBS04,-0.0441973145294291,2010-05-01,2016-02-29,0.6246282470264567,2010-11-01,2015-06-15,2016-05-13,2.4222870782212964,2014-11-01,2015-01-19,0.46331712219899224,2014-11-01,2015-01-19,0.0,0,2,0.9845890410958904,2026-08-28
A,EBCR30,-0.11240572791575143,2010-05-01,2016-02-29,0.7179442940294407,2010-05-01,2011-03-25,2014-03-20,1.950561325255354,2014-11-01,2020-03-23,0.3335251841775274,2014-11-01,2020-03-23,0.0,0,4,0.9845890410958904,2026-08-28
A,EBR10,-0.02599113716662138,2009-11-01,2014-11-28,0.6061883682516345,2010-05-01,2011-03-25,2012-11-15,2.5425819314096585,2013-11-01,2014-04-25,0.48870931712481624,2013-11-01,2014-04-25,0.0,0,12,0.9845890410958904,2026-08-28
A,EBR20,-0.03637865055671374,2009-11-01,2016-02-29,0.6375870474827551,2009-11-01,2011-03-28,2012-11-15,2.4553750129582492,2014-11-01,2025-04-07,0.47054930789014054,2014-11-01,2025-04-07,0.0,0,11,0.9845890410958904,2026-08-28
A,EBR30,-0.04541255474766237,2009-11-01,2014-11-28,0.6681741625867288,2009-11-01,2011-03-28,2012-11-15,2.450101101657581,2016-05-01,2025-04-07,0.46940965043421945,2016-05-01,2025-04-07,0.0,0,2,0.9845890410958904,2026-08-28
U1,BASE,-0.11654896992701314,2009-11-01,2016-02-29,0.7594177080482214,2014-05-01,2015-06-12,2015-08-25,1.3910504250512719,2014-05-01,2015-08-25,0.06545443889851502,2014-05-01,2015-08-25,0.0,0,2,0.9845890410958904,2026-08-28
U1,EBFIX160,-0.07334486560994957,2009-11-01,2016-02-29,0.6696308487327675,2010-05-01,2011-03-28,2012-11-29,2.4236584097869276,2014-05-01,2015-07-02,0.46362133786325654,2014-05-01,2015-07-02,0.0,0,2,0.9845890410958904,2026-08-28
U1,EBQ30,-0.03208359846122777,2010-05-01,2016-02-29,0.6696308487327675,2010-05-01,2011-03-28,2012-11-29,2.4382754974978926,2014-11-01,2015-01-19,0.46683629420300005,2014-11-01,2015-01-19,0.0,0,2,0.9845890410958904,2026-08-28
U1,EBS02,-0.07334486560994957,2009-11-01,2016-02-29,0.6696308487327675,2010-05-01,2011-03-28,2012-11-29,2.4236584097869276,2014-05-01,2015-07-02,0.46362133786325654,2014-05-01,2015-07-02,0.0,0,2,0.9845890410958904,2026-08-28
U1,EBS03,-0.010149325750224869,2010-05-01,2016-02-29,0.5920272766161373,2010-05-01,2011-03-28,2012-11-29,2.4382754974978926,2014-11-01,2015-01-19,0.46683629420300005,2014-11-01,2015-01-19,0.0,0,2,0.9845890410958904,2026-08-28
U2,BASE,-0.05428339902762269,2009-11-01,2016-02-29,0.7145853126246429,2014-11-01,2015-06-15,2016-01-28,1.5076221189028016,2014-11-01,2015-08-25,0.13771495940501463,2014-11-01,2015-08-25,0.0,0,2,0.9845890410958904,2026-08-28
U2,EBFIX100,-0.0603812997104064,2010-05-01,2016-02-29,0.5246094240660586,2010-05-01,2011-03-07,2014-01-20,38.08280004883247,2016-05-01,2019-12-26,0.9658638545922819,2016-05-01,2019-12-26,0.0,0,4,0.9845890410958904,2026-08-28
U3,BASE,-0.15428167240463875,2009-11-01,2016-02-29,0.734892282283886,2010-05-01,2011-03-28,2014-03-20,1.515364214234868,2014-11-01,2015-08-25,0.1421204303307432,2014-11-01,2015-08-25,0.0,0,3,0.9845890410958904,2026-08-28
U3,EBQ20,-0.10056937323614301,2010-05-01,2016-02-29,0.6698666474141952,2010-05-01,2011-03-28,2012-11-15,2.4222870782212964,2014-11-01,2015-01-19,0.46331712219899224,2014-11-01,2015-01-19,0.0,0,2,0.9845890410958904,2026-08-28
U3,EBQ40,-0.08078239731656245,2010-05-01,2016-02-29,0.6698666474141952,2010-05-01,2011-03-28,2012-11-15,2.4482044198733477,2012-05-01,2025-04-07,0.4689985895592605,2012-05-01,2025-04-07,0.0,0,2,0.9845890410958904,2026-08-28
U3,EBS04,-0.0441973145294291,2010-05-01,2016-02-29,0.6246282470264567,2010-11-01,2015-06-15,2016-05-13,2.4222870782212964,2014-11-01,2015-01-19,0.46331712219899224,2014-11-01,2015-01-19,0.0,0,2,0.9845890410958904,2026-08-28
U4,BASE,-0.15428167240463875,2009-11-01,2016-02-29,0.734892282283886,2010-05-01,2011-03-28,2014-03-20,1.515364214234868,2014-11-01,2015-08-25,0.1421204303307432,2014-11-01,2015-08-25,0.0,0,3,0.9845890410958904,2026-08-28
U4,EBCR30,-0.11240572791575143,2010-05-01,2016-02-29,0.7179442940294407,2010-05-01,2011-03-25,2014-03-20,1.950561325255354,2014-11-01,2020-03-23,0.3335251841775274,2014-11-01,2020-03-23,0.0,0,4,0.9845890410958904,2026-08-28
U4,EBR10,-0.02599113716662138,2009-11-01,2014-11-28,0.6061883682516345,2010-05-01,2011-03-25,2012-11-15,2.5425819314096585,2013-11-01,2014-04-25,0.48870931712481624,2013-11-01,2014-04-25,0.0,0,14,0.9845890410958904,2026-08-28
U5,BASE,-0.05428339902762269,2009-11-01,2016-02-29,0.7145853126246429,2014-11-01,2015-06-15,2016-01-28,1.5076221189028016,2014-11-01,2015-08-25,0.13771495940501463,2014-11-01,2015-08-25,0.0,0,2,0.9845890410958904,2026-08-28
U5,EBR20,-0.03151996896358389,2015-11-01,2021-11-30,0.5476191785655955,2009-11-01,2011-03-07,2012-11-29,2.460764052888911,2015-05-01,2025-04-07,0.4717091885239242,2015-05-01,2025-04-07,0.0,0,14,0.9845890410958904,2026-08-28
U5,EBR30,-0.01866728897040093,2016-05-01,2021-11-30,0.547543816189893,2009-11-01,2011-03-07,2012-11-29,2.4494423776254752,2014-05-01,2025-04-07,0.46926695974769617,2014-05-01,2025-04-07,0.0,0,14,0.9845890410958904,2026-08-28
