arm,name,kind,verdict,U_excellent,U_group,full_cagr_level,full_cagr_delta_pp,full_roll5_level,full_roll5_delta_pp,full_p25_level,full_p25_delta_pp,full_roll5dd_level,full_roll5dd_delta_pp,full_mdd_level,full_mdd_delta_pp,full_exposure_level,full_exposure_delta_pp,full_block5_level,full_block5_delta_pp,full_turnover_level,full_turnover_delta_pp,A_cagr_level,A_cagr_delta_pp,A_roll5_level,A_roll5_delta_pp,A_p25_level,A_p25_delta_pp,A_roll5dd_level,A_roll5dd_delta_pp,A_mdd_level,A_mdd_delta_pp,A_exposure_level,A_exposure_delta_pp,A_block5_level,A_block5_delta_pp,A_turnover_level,A_turnover_delta_pp,U_cagr_level,U_cagr_delta_pp,U_roll5_level,U_roll5_delta_pp,U_p25_level,U_p25_delta_pp,U_roll5dd_level,U_roll5dd_delta_pp,U_mdd_level,U_mdd_delta_pp,U_exposure_level,U_exposure_delta_pp,U_block5_level,U_block5_delta_pp,U_turnover_level,U_turnover_delta_pp,full_cagr_vs_fixed160_pp,A_cagr_vs_fixed160_pp
BASE,现行BASE,baseline,pass,True,A,0.4572364093852366,0.0,0.5199538620061581,0.0,0.40994352866334094,0.0,0.4697761783723764,0.0,0.6689672533939561,0.0,1.660779467976345,0.0,0.6611546440962315,0.0,6.627633597933826,0.0,0.4891437005216345,0.0,0.526649672725389,0.0,0.3827618687625576,0.0,0.5011818936111451,0.0,0.6525676472556761,0.0,1.6029486154089823,0.0,0.6256808214112366,0.0,6.094836343958129,0.0,0.4891437005216345,0.0,0.526649672725389,0.0,0.3827618687625576,0.0,0.5011818936111451,0.0,0.6525676472556761,0.0,1.6029486154089823,0.0,0.6256808214112366,0.0,6.094836343958129,0.0,10.6016037423191,8.148345597934547
EBFIX160,固定160%上限,fixed,fail,False,U1,0.3472697906742491,-10.6016037423191,0.36711548860793985,-14.383856839833143,0.30144669216256204,-9.661780772218576,0.45836884015723217,-0.8142413283484362,0.6818768200258435,-1.4088388381414796,1.5474778222471237,-11.063778257452528,0.49530221332755103,-14.362703667338522,7.188901759677299,97.89655530733019,0.4081926927630408,-8.148345597934547,0.4054980760222946,-8.368441072776555,0.3195042495778312,-6.90913811387075,0.4576276126418599,-4.201403478059901,0.6598857091378345,0.05574539463000239,1.4987089405504614,-11.02298777262034,0.5432203374094965,-7.4219349230451375,7.346697070758214,122.27392723069946,0.41555182851652783,-5.4770648267162265,0.4417326666453206,-4.000670004026674,0.32759409246232063,-3.7152120885898365,0.4616814920592668,-3.764797613980808,0.6334217257692071,-3.98292163456454,1.487627712591093,-11.548338187399132,0.5352295444678201,-5.933240537623452,7.504823301030479,158.2455081553568,0.0,0.0
EBFIX100,固定100%上限,fixed,fail,False,U2,0.22589196554546165,-21.208631281876965,0.26259903711882826,-24.547228685303235,0.1997719408816151,-20.9941506992917,0.36759295344812287,-10.246474281714512,0.47036787344101333,-21.127516282559196,0.9702137772651251,-69.34012544943786,0.30775823897623406,-34.81686173016517,3.568010759563058,-312.07360410331535,0.3000677990345315,-18.0994183772741,0.3106379677158736,-20.945780517221902,0.18458934841966623,-18.939014195641,0.38605959667680395,-11.507168358324964,0.5080980011440468,-14.38454459520665,0.9538337166026081,-64.47135240806774,0.3972077476845012,-26.557365736806883,3.8009315620402586,-224.250621788803,0.20821417810420695,-19.55838958649633,0.15407842091089097,-22.450652098224356,0.12700418259431667,-17.173674580317744,0.3172275302819517,-18.839189286441815,0.502369005307259,-15.158061327374561,0.9446542595935865,-64.18665834740457,0.2702272103146202,-25.91715682631787,3.2660956133872148,-260.96317141724353,-10.30669186405352,-10.861079613281287
EBQ20,低于20%分位去融资,percentile,fail,False,U3,0.29554301162727914,-13.586402951703914,0.30146959698983056,-19.93281345532897,0.2479139713292352,-17.464190076453367,0.4662322091330499,-1.4629092833134627,0.5869798573732488,-9.298795266760711,1.4407848175086833,-22.076329978594657,0.42305088091699744,-20.736842061190856,8.25848836451381,158.77358379068934,0.32789572902146036,-15.958290134675334,0.30455641027290437,-19.952754278833098,0.2400417204679961,-16.048447033582537,0.451837501170564,-4.8648530785300075,0.5889566315062618,-4.224454653479509,1.393033820366131,-20.861531722126404,0.4244191073000546,-22.697223690526258,7.488398033522113,146.57456343408518,0.32789572902146036,-15.958290134675334,0.30455641027290437,-19.952754278833098,0.2400417204679961,-16.048447033582537,0.451837501170564,-4.8648530785300075,0.5889566315062618,-4.224454653479509,1.393033820366131,-20.861531722126404,0.4244191073000546,-22.697223690526258,7.488398033522113,146.57456343408518,-3.7372002695219786,-6.758900170247594
EBQ30,低于30%分位去融资,percentile,fail,False,U1,0.2869143653307884,-16.896209351276813,0.2751045509020522,-24.857226205449734,0.23997793683310797,-18.033752234294997,0.4605923306646961,-2.635473939338895,0.5601196531353677,-11.935843909509414,1.3745551599963926,-28.379291137412345,0.383951713596503,-25.980547847542297,6.357805649951985,-40.25144242479364,0.3210614479047049,-17.282882441113234,0.3078363665983419,-18.5517295401181,0.24109523311754977,-14.505869191586129,0.4558152748061393,-5.3412886774261645,0.5483697698464829,-7.212345181854518,1.336541844808505,-25.999423044238934,0.40288390616514375,-23.93256673083081,6.0013494855722875,-11.381284932582059,0.3335444335923198,-14.101353592881317,0.28672192635874305,-17.055290579853953,0.2414159885579552,-12.04511323445898,0.46159458428635086,-3.771222329920887,0.46203653752247464,-16.51993617130213,1.3193735138239266,-26.149604743083966,0.38783645787345555,-21.186541338262117,6.272406330016489,38.13632327853092,-5.739039711565641,-8.46679531752753
EBQ40,低于40%分位去融资,percentile,fail,False,U3,0.2819285262413679,-17.7727608600472,0.28496241260064614,-24.256862576343895,0.23540590820993168,-17.987230966446997,0.4449391020451114,-1.1691363176099479,0.5378638953877539,-13.97301370282435,1.326717098165887,-33.558172892717195,0.3522083509733196,-30.648512557258613,5.275961121575374,-129.1115949121941,0.3305006456838294,-15.131634952442418,0.32450139542546175,-16.337393940554268,0.2628651148841987,-12.449061485477731,0.45839950156216147,-5.519139946912954,0.5100423444133407,-11.94246111660534,1.2968749696844242,-29.80902403552631,0.4129805660259012,-23.85890748842332,5.638880802083429,-32.641899848809565,0.3305006456838294,-15.131634952442418,0.32450139542546175,-16.337393940554268,0.2628651148841987,-12.449061485477731,0.45839950156216147,-5.519139946912954,0.5100423444133407,-11.94246111660534,1.2968749696844242,-29.80902403552631,0.4129805660259012,-23.85890748842332,5.638880802083429,-32.641899848809565,-6.045804164129676,-6.1334926193382655
EBS02,利差低于2pp去融资,spread,fail,False,U1,0.3472697906742491,-10.6016037423191,0.36711548860793985,-14.383856839833143,0.30144669216256204,-9.661780772218576,0.45836884015723217,-0.8142413283484362,0.6818768200258435,-1.4088388381414796,1.5474778222471237,-11.063778257452528,0.49530221332755103,-14.362703667338522,7.188901759677299,97.89655530733019,0.4081926927630408,-8.148345597934547,0.4054980760222946,-8.368441072776555,0.3195042495778312,-6.90913811387075,0.4576276126418599,-4.201403478059901,0.6598857091378345,0.05574539463000239,1.4987089405504614,-11.02298777262034,0.5432203374094965,-7.4219349230451375,7.346697070758214,122.27392723069946,0.41555182851652783,-5.4770648267162265,0.4417326666453206,-4.000670004026674,0.32759409246232063,-3.7152120885898365,0.4616814920592668,-3.764797613980808,0.6334217257692071,-3.98292163456454,1.487627712591093,-11.548338187399132,0.5352295444678201,-5.933240537623452,7.504823301030479,158.2455081553568,0.0,0.0
EBS03,利差低于3pp去融资,spread,fail,False,U1,0.36346264908704495,-8.13861990739857,0.37603271721469667,-14.06264768585983,0.33227639096440964,-9.330789553843966,0.4658504140314482,-1.290397511515512,0.5731402955444185,-10.19276781841798,1.5232794470376207,-13.594124278678132,0.5100052848570107,-14.246117703779287,7.591450589343554,140.18626320325117,0.4144354382133909,-6.832395096768595,0.4193105516459834,-7.336423673494396,0.3238124199222737,-6.387637130544466,0.45757623658976493,-4.036042245058747,0.5823090180348715,-5.934899864368309,1.484157115012409,-13.000031111460808,0.5433241460605396,-7.871731800512033,7.5848660497870615,132.63959290227572,0.42374412680135065,-4.1966615900421385,0.4568168702523461,-1.3742107063084763,0.3360332812488829,-2.5156148179598548,0.4620115540477511,-3.746815947116783,0.532694925116849,-13.01055554290565,1.4738201659824595,-13.70370880950188,0.5292558937558802,-5.833945684035541,7.128239652850922,136.37594243424883,2.3341485534645434,1.1107846003026611
EBS04,利差低于4pp去融资,spread,fail,False,U3,0.3038054554554851,-13.940917410864017,0.31069471684245453,-21.544267223873604,0.24194093673462935,-18.03577987214384,0.4685454824135094,-1.4253429686424735,0.5887570244728778,-9.211896395112145,1.4579118675518594,-20.04093867737159,0.4294803760252029,-20.848638098818974,7.739424459927914,130.67966655974587,0.35144003229992493,-13.811556404178237,0.3318872106223666,-17.672298184559754,0.2511192656679776,-13.348667004836257,0.4500420745700596,-6.645183426361257,0.5889566315062618,-4.224454653479509,1.422640514077996,-19.580912647153436,0.4557936306031265,-19.040720038715385,7.139434159585874,98.63771864463429,0.35144003229992493,-13.811556404178237,0.3318872106223666,-17.672298184559754,0.2511192656679776,-13.348667004836257,0.4500420745700596,-6.645183426361257,0.5889566315062618,-4.224454653479509,1.422640514077996,-19.580912647153436,0.4557936306031265,-19.040720038715385,7.139434159585874,98.63771864463429,-3.6526219970992813,-4.756157449754895
EBCR30,低于30%分位仅停新增融资,credit,fail,False,U4,0.34335403466814185,-11.756044292308843,0.30323355861706436,-19.08127487681859,0.24004843244553253,-15.533563310466636,0.5110417944198853,4.924371242974352,0.566706866291735,-12.156744134662784,1.441296936851279,-20.027512097665323,0.44707275924129436,-20.101254295228294,5.054034968637152,-163.55804528927408,0.3798729452421993,-10.409287513659082,0.3734554761084439,-13.204533137458252,0.24510138901949308,-13.048024028080807,0.42975431152087196,-9.04151682395159,0.5270826744550715,-8.041131335946172,1.401272483484627,-20.47101845071908,0.47082958762715227,-16.96956331415695,4.698346773914989,-135.8677889480941,0.3702376982384026,-10.509878399858719,0.35417732288424875,-12.079964292058708,0.24489641621213076,-10.947095516901062,0.42975431152087196,-9.04151682395159,0.5270826744550715,-8.041131335946172,1.394840500913876,-19.85376701859778,0.45904418256537444,-17.538938279687084,5.286228112852585,-133.36388757944505,-1.7792424985466404,-3.2157056929074668
