
### 分档条件校准（面板 panel_moat_bank_v6b.csv，自 2005-01-01，月末观测；分档 = 2026 年人工分档，含后视）


**前向 3 年 含分红再投年化**

| 分档 | 只数 | n | Spearman | 公允 P/V(前向=10%) | [0,0.8) | [0.8,0.9407) | [0.9407,1.2) | [1.2,1.6) | [1.6,2) | [2,2.5236) | [2.5236,4) | [4,99) |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| L1 | 18 | 1626 | -0.35 | 3.89 | +22% (139) | +20% (64) | +22% (111) | +17% (240) | +14% (185) | +12% (148) | +10% (330) | -2% (409) |
| L2 | 141 | 7601 | -0.27 | 3.46 | +23% (603) | +14% (257) | +14% (515) | +18% (829) | +13% (960) | +13% (1101) | +6% (1824) | +0% (1512) |
| L3 | 8 | 197 | -0.10 | — | — | +11% (8) | +6% (31) | -1% (15) | +21% (6) | +3% (11) | +1% (41) | +1% (85) |
| NA | 115 | 7225 | -0.32 | 1.13 | +17% (461) | +13% (397) | +7% (854) | +3% (1185) | +1% (1049) | +1% (912) | +1% (1366) | -9% (1001) |

**前向 5 年 含分红再投年化**

| 分档 | 只数 | n | Spearman | 公允 P/V(前向=10%) | [0,0.8) | [0.8,0.9407) | [0.9407,1.2) | [1.2,1.6) | [1.6,2) | [2,2.5236) | [2.5236,4) | [4,99) |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| L1 | 18 | 1275 | -0.26 | 5.7 | +20% (128) | +18% (55) | +25% (102) | +13% (217) | +16% (146) | +15% (130) | +12% (254) | +2% (243) |
| L2 | 141 | 5493 | -0.23 | 4.3 | +19% (483) | +15% (184) | +17% (366) | +14% (589) | +13% (704) | +12% (789) | +8% (1295) | +5% (1083) |
| L3 | 8 | 59 | -0.51 | 1.18 | — | — | +6% (20) | — | — | — | — | -3% (24) |
| NA | 115 | 5819 | -0.25 | 0.85 | +14% (261) | +11% (254) | +9% (638) | +5% (943) | +2% (885) | +0% (783) | +4% (1249) | -3% (806) |

逐票统计已写入 data/experiments/exp_oi168_land_20260909/tier_forward_percode_legacy.csv

**L1 逐票：样本数、Spearman(P/V, 前向3年)、公允 P/V（前向 3 年 = 要求回报）、P/V 中位**

| 代码 | 名称 | n | Spearman | 公允 P/V | P/V 中位 | P/V<0.9407 占比 |
| --- | --- | ---: | ---: | ---: | ---: | ---: |
| 601088 | 中国神华 | 155 | -0.47 | 0.69 | 0.83 | 62% |
| 600862 | 中航高科 | 41 | -0.20 | — | 3.12 | 0% |
| 000538 | 云南白药 | 137 | +0.06 | — | 2.17 | 0% |
| 002371 | 北方华创 | 29 | -0.96 | 18.58 | 5.48 | 0% |
| 688120 | 华海清科 | 0 | — | — | 2.84 | 0% |
| 600406 | 国电南瑞 | 161 | -0.36 | 3.87 | 2.25 | 0% |
| 300750 | 宁德时代 | 53 | -0.89 | 6.16 | 2.73 | 0% |
| 600415 | 小商品城 | 173 | -0.80 | 2.23 | 1.84 | 1% |
| 600809 | 山西汾酒 | 126 | -0.60 | 3.5 | 3.21 | 0% |
| 600160 | 巨化股份 | 4 | — | — | 4.14 | 0% |
| 688008 | 澜起科技 | 28 | -0.74 | 4.67 | 4.29 | 0% |
| 600436 | 片仔癀 | 151 | -0.42 | 6.36 | 4.27 | 0% |
| 600660 | 福耀玻璃 | 223 | -0.58 | 1.76 | 1.15 | 29% |
| 688122 | 西部超导 | 3 | — | — | 2.32 | 0% |
| 600519 | 贵州茅台 | 223 | -0.70 | 4.45 | 2.74 | 5% |
| 688111 | 金山办公 | 15 | -0.96 | — | 7.23 | 0% |
| 603505 | 金石资源 | 28 | -0.94 | 4.05 | 4.25 | 0% |
| 600900 | 长江电力 | 76 | -0.11 | 3.41 | 1.59 | 0% |
