security_code,security_name,notes_2018,financing_2019,delta_legacy,delta_reported,delta_operating
000022,深赤湾A,11608669.43,260760537.45,70730965.96000028,35365482.98000014,296126020.43000007
000063,中兴通讯,0,2430389000.0,-4198982000.0,-2099491000.0,-2399453000.0
000333,美的集团,12556294000.0,7565776000.0,-29429530000.0,-14714765000.0,-7148989000.0
000338,潍柴动力,18056440277.52,10537909983.71,-26813873011.64,-13406936505.82,-9805250920.210001
000408,藏格矿业,62600000.0,86637391.47,-1493346497.66,-746673248.83,-690442072.28
000423,东阿阿胶,1504559391.63,638872410.57,-2100634698.1999996,-1050317349.0999998,-411444938.52999973
000425,徐工机械,3976606228.7,1733124109.69,-2191028294.9800034,-1095514147.4900017,637609962.1999989
000426,兴业银锡,58724910.45,0,122554501.73999977,61277250.869999886,61277250.869999886
000538,云南白药,3173744286.36,1756339025.42,-3494480469.8600006,-1747240234.9300003,9098790.489999771
000568,泸州老窖,2388326476.15,2393797259.8,-5913878589.5,-2956939294.75,-563142034.9499998
000596,古井贡酒,1347427811.34,0,-1530399421.02,-765199710.51,-765199710.51
000651,格力电器,35911567876.04,28226248997.12,-104434232328.26,-52217116164.13,-23990867167.01
000661,长春高新,88698832.84,0,222602619.12000012,111301309.56000006,111301309.56000006
000708,中信特钢,6436278428.72,8886173431.59,-27435304531.260002,-13717652265.630001,-4831478834.040001
000725,京东方A,656781577.0,0,-4956096884.0,-2478048442.0,-2478048442.0
000733,振华科技,2557371500.38,287655398.82,-521747583.72000027,-260873791.86000013,26781606.96000004
000778,新兴铸管,4125499300.28,600533533.74,-1075322312.9799995,-537661156.4900007,62872377.249999285
000786,北新建材,137947880.91,129878742.22,549969367.3999999,274984683.70000005,404863425.9200001
000792,盐湖股份,535235579.94,995612506.31,8548629289.640001,4274314644.82,5269927151.13
000858,五粮液,16134641950.86,3450166659.06,-3190478440.84,-1595239220.42,1854927438.6399994
000869,张裕A,288667988.0,317270229.0,-244735626.0,-122367813.0,194902416.0
000893,亚钾国际,0,0,267986754.43999994,133993377.21999997,133993377.21999997
000895,双汇发展,61994944.86,0,-2163371673.26,-1081685836.63,-1081685836.63
000933,神火股份,709618343.65,932065095.53,1145578661.4799995,572789330.7399998,1504854426.2700005
000951,中国重汽,0,10276708643.0,-1653800700.7199993,-826900350.3599997,245799607.64000034
000975,山金国际,16500000.0,0,-693494305.1200001,-346747152.56000006,-346747152.56000006
000999,华润三九,1820147181.78,2139653853.49,-946322353.46,436912414.15999985,756419085.8699999
001872,招商港口,11608669.43,260760537.45,70730965.96000028,35365482.98000014,296126020.43000007
002001,新和成,393872188.95,139015807.28,-2445520257.04,-1222760128.5200002,-1083744321.2400002
002003,伟星股份,141944571.99,118599773.74,-392571913.53999984,-196285956.76999992,-77686183.02999991
002007,华兰生物,169529318.82,0,84883731.22000027,42441865.61000013,42441865.61000013
002022,科华生物,2258848.9,4890125.59,148534017.56000006,74267008.78000003,79157134.37
002024,ST易购,1265543000.0,497858000.0,-36588334000.0,-18294167000.0,-17796309000.0
002027,分众传媒,196539343.76,141291042.36,-2003242606.0599985,-1001621303.0299993,-860330260.6699991
002032,苏泊尔,701179379.24,896394337.71,-797912633.9799995,-398956316.9899998,497438020.72000027
002049,紫光国微,332281936.47,0,484948708.8400006,242474354.42000008,242474354.42000008
002050,三花智控,2229031648.98,0,-199319785.63999748,-99659892.82000017,-99659892.82000017
002063,远光软件,39369774.83,0,156454531.3400004,78227265.67000008,78227265.67000008
002128,电投能源,1440926659.49,0,512931625.10000086,256465812.54999995,256465812.54999995
002130,沃尔核材,170296286.25,139965013.61,-231561808.92000008,-115780904.46000004,24184109.149999976
002138,顺络电子,186313646.53,202314283.23,-276086724.5799998,-138043362.2899999,64270920.94000006
002152,广电运通,41882197.77,84575000.0,-123086428.07999969,-61543214.03999984,23031785.960000157
002153,石基信息,1467000.0,3352860.49,41627715.08000004,20813857.54000002,24166718.03000003
002158,汉钟精机,140738992.01,145739976.04,-371498973.2800001,-185749486.64,-40009510.599999994
002179,中航光电,2321483775.79,13634063.83,730522105.1999989,365261052.59999895,378895116.4299989
002222,福晶科技,24403297.92,0,77341227.05999997,38670613.530000016,38670613.530000016
002223,鱼跃医疗,398194060.66,271133747.5,-1389131361.22,-694565680.61,-423431933.11
002236,大华股份,2385693417.06,1086017357.9,55799176.63999748,27899588.31999874,1113916946.2199993
002252,上海莱士,117963377.32,182073383.26,-560241318.0,-280120659.0,-98047275.74000001
002262,恩华药业,52148462.08,56412660.03,-262770909.0,-131385454.50000012,-74972794.47000015
002270,华明装备,605534640.0,280784703.25,-964860573.1399999,-482430286.56999993,-201645583.31999993
002273,水晶光电,152334466.22,211344354.8,-359126164.18000007,-179563082.08999997,31781272.71000004
002275,桂林三金,511667417.12,350154966.41,-873625514.8800001,-436812757.44000006,-86657791.03000003
002287,奇正藏药,536256375.71,627682767.47,-1045305758.08,-522652879.04,105029888.42999995
002294,信立泰,674223555.75,0,-667339745.5199997,-333669872.7599999,-333669872.7599999
002304,洋河股份,242542097.76,0,716038536.3400004,358019268.1700002,358019268.1700002
002311,海大集团,10509311.36,0,-956739996.1800001,-478369998.0899998,-478369998.0899998
002352,顺丰控股,20958746.36,0,1165683182.8000011,582841591.4000006,582841591.4000006
002371,北方华创,490389017.16,66976850.82,-62227708.63999939,-31113854.319999933,35862996.50000006
002372,伟星新材,54775789.78,75190838.63,-238193980.85999984,-119096990.42999998,-43906151.79999998
002379,宏桥控股,26646304.23,0,-396626982.44000006,-198313491.21999997,-198313491.21999997
002409,雅克科技,112084562.61,123660837.84,-230355345.72000003,-115177672.86000001,8483164.98000002
002410,广联达,1394196.0,36100000.0,409729690.8799998,204864845.4399999,240964845.4399999
002414,高德红外,159286462.93,0,-131964143.48000026,-65982071.73999989,-65982071.73999989
002415,海康威视,2569445189.92,1257385053.02,-164472640.91999435,-82236320.45999908,1175148732.5600014
002460,赣锋锂业,403462509.22,218362450.6,-28972500.400000334,187245004.40999997,2144945.789999932
002463,沪电股份,51950853.0,0,200227752.0,100113876.0,100113876.0
002466,天齐锂业,592140378.26,444903458.45,-2923792235.1600003,-1461896117.5800002,-1016992659.1300001
002475,立讯精密,84506017.89,0,-10284420802.080002,-5142210401.040001,-5142210401.040001
002484,江海股份,95638148.2,0,379050281.74000025,189525140.87000006,189525140.87000006
002507,涪陵榨菜,0,0,-18978309.140000015,-9489154.570000008,-9489154.570000008
002508,老板电器,1268146296.01,408972104.07,-787974361.3199997,-393987180.65999985,14984923.410000145
002532,天山铝业,18318689.28,32154267.81,-21772768163.82,-10886384081.91,-10854229814.1
002568,百润股份,66854.6,0,-181284725.4199999,-90642362.71000001,-90642362.71000001
002594,比亚迪,0,7009379000.0,9529960000.0,4764980000.0,4001334000.0
002595,豪迈科技,420677087.99,523162640.11,-362314369.559999,-181157184.77999973,342005455.33000016
002607,中公教育,0,0,-191999955.88,-95999977.94,-95999977.94
002648,卫星化学,2026348044.86,500983524.77,-5337044287.040001,-2668522143.5200005,-2167538618.75
002677,浙江美大,2630000.0,5815852.74,-158574075.12000006,-79287037.56,-73471184.82
002683,广东宏大,314028630.15,204355758.41,-921300718.7799995,-460650359.38999975,-256294600.97999978
002690,美亚光电,16258391.24,1131000.0,-10307219.340000033,-5153609.669999987,-4022609.669999987
002714,牧原股份,0,0,-9960222514.84,-4980111257.42,-4980111257.42
002812,恩捷股份,339840997.52,182535597.54,-718691130.4400003,-359345565.22000015,-176809967.6800002
002833,弘亚数控,7611406.08,26245858.99,-69191851.11999999,-34595925.559999995,-8350066.57
002837,英维克,109200420.94,38420999.14,-313235056.50000024,-156617528.25000006,-118196529.11000007
002841,视源股份,204006775.55,317995299.2,-695791222.0199995,-347895611.00999975,-29900311.809999704
002901,大博医疗,1000000.0,0,-28009747.599999994,-14004873.799999997,-14004873.799999997
002906,华阳集团,422901854.74,459554174.83,-811126008.0799997,-405563004.0400001,53991170.78999996
002916,深南电路,228728279.72,619024397.56,376236078.47999954,188118039.23999977,807142436.7999997
002920,德赛西威,499320628.18,479888048.41,-1167787559.1,-583893779.55,-104005731.13999987
002938,鹏鼎控股,17124308.29,0,3195808026.04,1597904013.020001,1597904013.020001
300015,爱尔眼科,0,0,296626108.0399997,148313054.01999986,148313054.01999986
300033,同花顺,0,0,3664812.859999992,1832406.429999996,1832406.429999996
300034,钢研高纳,415607093.96,0,332373883.3000002,166186941.6500001,166186941.6500001
300054,鼎龙股份,32530069.0,5958740.94,-102220829.07999998,-51110414.53999999,-45151673.599999994
300059,东方财富,0,0,92316885.68,46158442.84,46158442.84
300124,汇川技术,1445205809.61,1306195168.63,-3051675302.4600005,-1525837651.2300003,-219642482.60000014
300144,宋城演艺,0,0,-89038945.24000007,-44519472.620000035,-44519472.620000035
300146,汤臣倍健,27064209.7,44318539.03,-268772426.65999997,-134386213.32999998,-90067674.29999998
300274,阳光电源,920007481.71,791550789.88,-4303713026.020002,-2151856513.010001,-1360305723.130001
300308,中际旭创,40372600.79,360436825.96,-474935648.00000024,-237467824.00000012,122969001.95999986
300316,晶盛机电,672616096.31,1743261739.47,-2200618140.7200003,-1100309070.3600001,642952669.1099999
300346,南大光电,56715990.64,2095300.0,-34124932.140000015,-17062466.070000023,-14967166.070000023
300357,我武生物,53229929.05,0,62000353.399999976,31000176.699999988,31000176.699999988
300360,炬华科技,63154100.52,20022402.66,-235176193.91999984,-117588096.95999992,-97565694.29999992
300394,天孚通信,73003094.15,0,-48476308.66,-24238154.33,-24238154.33
300395,菲利华,176644345.14,0,75431652.91999996,37715826.46000001,37715826.46000001
300408,三环集团,749026410.85,118411926.2,-1155521576.8000002,-577760788.4000001,-459348862.20000005
300415,伊之密,68442102.87,82951517.11,-79976217.03999984,-39988108.51999998,42963408.59000002
300435,中泰股份,56217323.86,59691032.8,174801017.20000017,87400508.60000005,147091541.40000007
300470,中密控股,153793184.81,189861495.16,-81910304.18000007,-40955152.089999974,148906343.07000005
300476,胜宏科技,221149700.16,159894021.56,-721477554.2200003,-360738777.11000013,-200844755.5500002
300487,蓝晓科技,69755230.24,66872968.99,-143797415.76,-71898707.87999997,-5025738.889999963
300502,新易盛,141802943.05,216873992.87,-139810995.06000006,-69905497.53000003,146968495.33999997
300529,健帆生物,10508038.69,0,40042192.01999998,20021096.00999999,20021096.00999999
300573,兴齐眼药,33597664.77,37385376.4,-59314084.34000003,-29657042.17,7728334.229999989
300595,欧普康视,0,0,41937109.93999997,20968554.969999984,20968554.969999984
300604,长川科技,50807907.39,42843234.28,39328501.51999998,19664250.75999999,62507485.03999999
300627,华测导航,11425781.44,28784193.89,110001802.16000009,55000901.08000004,83785094.97000003
300628,亿联网络,0,0,66500977.400000036,33250488.700000018,33250488.700000018
300661,圣邦股份,0,0,-55630157.940000005,-27815078.970000003,-27815078.970000003
300685,艾德生物,149600.0,0,83490182.47999996,41745091.23999998,41745091.23999998
