security_code,report_date,eps_diluted,eps_weighted,eps_deducted,bps_before_adj,bps_after_adj,roe,roe_weighted,gross_margin,total_assets,op_cashflow_ps,revenue_yoy,netprofit_yoy,source,retrieved_at_utc
002417,2022-09-30,-0.0442,-0.04,,0.54,0.478,-8.43,-8.15,,198820678.5,-0.029,-61.6464,,sina vFD_FinancialGuideLine,2026-08-11T17:28:19+00:00
002420,2022-09-30,0.1201,0.1055,,1.8241,1.723,6.12,6.33,,2027100491.29,0.2784,-26.5404,-24.1258,sina vFD_FinancialGuideLine,2026-08-11T17:28:20+00:00
002427,2022-09-30,-1.3104,-1.3117,,-4.4036,-4.4032,,0,,4160338186.13,-0.0671,-16.5863,,sina vFD_FinancialGuideLine,2026-08-11T17:28:39+00:00
002433,2022-09-30,-0.2138,-0.19,,5.7733,5.601,-3.38,-3.33,,7467016300.66,0.0708,-51.7188,-130.0307,sina vFD_FinancialGuideLine,2026-08-11T17:28:43+00:00
002485,2022-09-30,-0.0389,-0.0374,,3.1816,3.1575,-1.19,-1.18,,3207330432.9,0.1066,-4.5352,,sina vFD_FinancialGuideLine,2026-08-11T17:29:27+00:00
002512,2022-09-30,-0.1229,-0.1261,,1.4165,0.8477,-14.2,-15.57,,4414887638.11,0.1861,-37.0989,,sina vFD_FinancialGuideLine,2026-08-11T17:29:56+00:00
002529,2022-09-30,-0.244,-0.244,,2.6362,2.6362,-9.26,-8.85,,1228489348.05,0.0401,46.6774,,sina vFD_FinancialGuideLine,2026-08-11T17:30:10+00:00
002665,2022-09-30,-0.0492,-0.0492,,2.1289,2.1191,-2.26,-2.24,,7829439636.51,0.1086,-32.8291,,sina vFD_FinancialGuideLine,2026-08-11T17:30:58+00:00
002668,2022-09-30,0.6799,0.3027,,2.0133,0.6756,44.8,54.64,,8456813506.36,0.2553,-22.9898,17.8612,sina vFD_FinancialGuideLine,2026-08-11T17:31:03+00:00
002721,2022-09-30,-0.4861,-0.48,,0.4621,0.7016,-67.34,-50.51,,8620430218.43,0.0178,-47.4948,,sina vFD_FinancialGuideLine,2026-08-11T17:31:36+00:00
002793,2022-09-30,-0.3315,-0.34,,2.9407,2.6771,-12.73,-12.08,,9673154997.19,-0.7809,-25.9792,-206.3385,sina vFD_FinancialGuideLine,2026-08-11T17:32:28+00:00
300010,2022-09-30,-0.2343,-0.2232,,-0.169,-0.11,,0,,3363450595.42,-0.0324,-9.0122,,sina vFD_FinancialGuideLine,2026-08-11T17:33:59+00:00
300020,2022-09-30,0.1182,0.12,,5.3982,5.3573,2.28,2.3,,6471116615.88,0.1212,-14.0381,-25.3906,sina vFD_FinancialGuideLine,2026-08-11T17:34:03+00:00
300050,2022-09-30,-0.0376,-0.0363,,1.7732,1.7733,-2.04,-2.03,,1412882540.22,-0.0341,-5.8665,,sina vFD_FinancialGuideLine,2026-08-11T17:34:27+00:00
300139,2022-09-30,0.009,-0.0531,,3.8666,3.6938,-1.44,-1.42,,1185008519.62,-0.2014,6.9885,-97.4212,sina vFD_FinancialGuideLine,2026-08-11T17:35:08+00:00
300140,2022-09-30,-0.0132,-0.009,,3.7467,3.44,-0.26,-0.26,,2963680066.64,0.2225,-15.7517,,sina vFD_FinancialGuideLine,2026-08-11T17:35:15+00:00
300159,2022-09-30,0.0058,0.0112,,0.1399,0.1669,6.69,7,,3610232936.94,0.1604,43.8092,,sina vFD_FinancialGuideLine,2026-08-11T17:35:40+00:00
300197,2022-09-30,-0.142,-0.1421,,2.6794,2.4503,-5.8,-5.65,,31538303209.81,-0.1036,-8.7125,,sina vFD_FinancialGuideLine,2026-08-11T17:35:54+00:00
300262,2022-09-30,-0.2552,-0.2467,,0.537,0.6123,-40.28,-35.13,,3793059683.63,0.0287,-38.0493,,sina vFD_FinancialGuideLine,2026-08-11T17:36:35+00:00
300280,2022-09-30,0.5723,0.5697,,14.5577,14.5551,3.91,4,,4356097390.66,0.6005,-26.8683,-70.5285,sina vFD_FinancialGuideLine,2026-08-11T17:36:51+00:00
300297,2022-09-30,-0.7183,-0.69,,0.2986,0.2624,-262.66,-110.92,,5689860662.83,-0.0166,-55.7025,,sina vFD_FinancialGuideLine,2026-08-11T17:37:13+00:00
300344,2022-09-30,-0.1332,-0.1325,,0.8742,0.8733,-15.17,-14.22,,771119240.7,-0.0302,11.3175,-214.1101,sina vFD_FinancialGuideLine,2026-08-11T17:37:47+00:00
300460,2022-09-30,0.0362,0.0362,,4.3114,4.3114,0.84,0.84,,1991211142.09,0.4205,-35.3584,-92.684,sina vFD_FinancialGuideLine,2026-08-11T17:38:33+00:00
300472,2022-09-30,0.1106,0.13,,3.462,3.4658,3.87,3.97,,1843515548.34,-0.1136,-13.6904,-39.4508,sina vFD_FinancialGuideLine,2026-08-11T17:38:38+00:00
