security_code,report_date,eps_diluted,eps_weighted,eps_deducted,bps_before_adj,bps_after_adj,roe,roe_weighted,gross_margin,total_assets,op_cashflow_ps,revenue_yoy,netprofit_yoy,source,retrieved_at_utc
000005,2020-06-30,-0.0316,-0.0304,-0.0393,1.6143,1.5287,-1.99,-1.86,,2968127157.42,0.0382,-68.5864,-152.3132,sina vFD_FinancialGuideLine,2026-08-11T16:54:22+00:00
000018,2020-06-30,-0.117,-0.1172,-0.1172,-3.6197,-3.6171,,0,,3252493823.4,-0.0059,-95.8032,,sina vFD_FinancialGuideLine,2026-08-11T16:55:10+00:00
000040,2020-06-30,-0.19,-0.189,-0.182,8.9028,8.8308,-2.14,-2.12,,30276780245.82,0.1996,-74.6416,-406.3164,sina vFD_FinancialGuideLine,2026-08-11T16:56:22+00:00
000050,2020-06-30,0.3635,0.3635,0.2079,13.33,13.33,2.73,2.75,,69685496735.39,0.2082,-3.6855,15.6668,sina vFD_FinancialGuideLine,2026-08-11T16:57:13+00:00
000422,2020-06-30,-0.2923,-0.302,-0.484,0.9518,-0.0626,,0,,21822058701.17,0.7991,-14.8999,-447.9577,sina vFD_FinancialGuideLine,2026-08-11T16:59:03+00:00
000504,2020-06-30,0.0007,-0.007,-0.013,0.3838,0.0524,-12.8,-12.03,,236257904.87,-0.0037,-30.1285,,sina vFD_FinancialGuideLine,2026-08-11T16:59:32+00:00
000511,2020-06-30,-0.0124,-0.01,-0.01,0.3263,0.35,-3.53,-2.96,,3172481181.09,0.0629,-19.1578,,sina vFD_FinancialGuideLine,2026-08-11T16:59:44+00:00
000523,2020-06-30,-0.1971,-0.18,-0.09,2.8175,2.8387,-6.44,-6.2,,8641969564.87,-1.0539,-38.5552,-817.6782,sina vFD_FinancialGuideLine,2026-08-11T17:00:09+00:00
000540,2020-06-30,0.0719,0.0935,0.1042,3.0482,2.6248,3.54,3.61,,125104981272.51,0.5324,-33.3258,-57.329,sina vFD_FinancialGuideLine,2026-08-11T17:00:28+00:00
000585,2020-06-30,-0.0136,-0.0135,-0.0144,-0.0714,-0.0776,,0,,474674913.01,0.0706,-16.2188,,sina vFD_FinancialGuideLine,2026-08-11T17:01:58+00:00
000587,2020-06-30,-0.6851,-0.63,-0.64,-0.6232,-0.5006,,0,,21330425649.13,-0.4567,-11.2738,,sina vFD_FinancialGuideLine,2026-08-11T17:02:08+00:00
000606,2020-06-30,0.0683,0.0688,0.0557,2.2734,2.2408,3.07,3.13,,2858760806.47,0.0071,210.5988,-47.5321,sina vFD_FinancialGuideLine,2026-08-11T17:03:39+00:00
000660,2020-06-30,0.0025,,,1.5855,1.3,0.95,,,722359934.32,-0.0058,-89.6925,-96.6452,sina vFD_FinancialGuideLine,2026-08-11T17:05:49+00:00
000662,2020-06-30,-0.0146,-0.0146,-0.0146,0.5996,0.5996,-2.43,-2.4,,3207593326.27,0.001,-98.1358,-124.4645,sina vFD_FinancialGuideLine,2026-08-11T17:06:28+00:00
000665,2020-06-30,-0.0114,-0.01,-0.02,7.0835,6.9822,-0.25,-0.26,,12221877856.61,0.2041,-14.6043,-108.3188,sina vFD_FinancialGuideLine,2026-08-11T17:06:32+00:00
000670,2020-06-30,-0.0091,-0.009,-0.0092,-0.0232,-0.0378,,0,,62491949.98,-0.0109,-77.4522,,sina vFD_FinancialGuideLine,2026-08-11T17:07:20+00:00
000673,2020-06-30,-0.0724,-0.0759,-0.0607,-0.1948,-0.278,,0,,1420730861.55,0.0058,-77.5747,,sina vFD_FinancialGuideLine,2026-08-11T17:07:39+00:00
000687,2020-06-30,-0.1042,-0.1031,-0.1064,-0.6949,-0.7295,,0,,1580585339.01,0.0571,-95.0162,,sina vFD_FinancialGuideLine,2026-08-11T17:08:29+00:00
000688,2020-06-30,0.043,0.0447,0.0273,1.9246,1.9246,2.24,2.27,,2669180673.98,0.0684,-14.5836,-68.394,sina vFD_FinancialGuideLine,2026-08-11T17:08:54+00:00
000701,2020-06-30,0.0517,-0.1475,-0.4955,7.5354,5.5542,0.29,-33.38,,23114103760.98,-2.428,-24.4494,-6.2372,sina vFD_FinancialGuideLine,2026-08-11T17:09:36+00:00
000712,2020-06-30,0.2906,0.18,0.16,6.1431,3.9236,4.63,4.76,,25273933310.07,1.7968,,94.7797,sina vFD_FinancialGuideLine,2026-08-11T17:10:08+00:00
000737,2020-06-30,0.1714,0.171,-0.0329,0.8968,0.8777,19.48,21.08,,1142951955.62,-0.0158,-6.5463,1132.0835,sina vFD_FinancialGuideLine,2026-08-11T17:11:04+00:00
000760,2020-06-30,0.036,0.04,-0.03,0.412,0.412,8.73,9.13,,640392295.52,-0.002,-80.7502,,sina vFD_FinancialGuideLine,2026-08-11T17:11:47+00:00
000767,2020-06-30,0.0395,0.0375,0.0279,2.6354,2.5121,1.49,1.5,,54891398544.82,0.0109,-8.0629,394.7046,sina vFD_FinancialGuideLine,2026-08-11T17:12:20+00:00
000792,2020-06-30,0.264,0.3364,0.354,-1.331,-1.5622,,0,,21009980631.55,-0.2887,-3.045,,sina vFD_FinancialGuideLine,2026-08-11T17:13:07+00:00
000796,2020-06-30,-0.1571,-0.1468,-0.1568,3.2012,2.8433,-5.16,-5.05,,5858296724.78,-0.1587,-74.2072,-270.8864,sina vFD_FinancialGuideLine,2026-08-11T17:13:36+00:00
000803,2020-06-30,0.0238,0.02,-0.1,2.4703,1.4867,1.09,-2.57,,996546506.55,-0.3053,194.4299,,sina vFD_FinancialGuideLine,2026-08-11T17:14:46+00:00
000809,2020-06-30,-0.0576,-0.058,-0.06,3.7208,3.7208,-1.55,-1.54,,5620043123.6,0.0818,-30.883,,sina vFD_FinancialGuideLine,2026-08-11T17:15:35+00:00
000820,2020-06-30,-0.2021,-0.2,-0.14,-3.3675,-23.5324,,0,,68877600.73,-0.0069,-57.0169,,sina vFD_FinancialGuideLine,2026-08-11T17:16:03+00:00
000835,2020-06-30,-0.1259,-0.0474,-0.0474,-1.2248,-1.2235,,0,,491912306.31,0.002,-78.3884,-1737.3176,sina vFD_FinancialGuideLine,2026-08-11T17:16:31+00:00
000851,2020-06-30,-0.0981,-0.0912,-0.106,4.1567,3.5747,-2.55,-2.52,,9696308008.5,-0.4392,-47.8731,-776.703,sina vFD_FinancialGuideLine,2026-08-11T17:16:50+00:00
