security_code,report_date,eps_diluted,eps_weighted,eps_deducted,bps_before_adj,bps_after_adj,roe,roe_weighted,gross_margin,total_assets,op_cashflow_ps,revenue_yoy,netprofit_yoy,source,retrieved_at_utc
000005,2017-03-31,-0.0092,-0.0096,,1.2712,1.202,-0.8,-0.79,34.0668,2611314142.08,-0.1724,64.5492,,sina vFD_FinancialGuideLine,2026-08-11T16:54:17+00:00
000018,2017-03-31,0.0584,0.0583,,1.13,1.0989,5.31,5.44,25.2075,8342651308.7,-0.2633,14.6213,30.6199,sina vFD_FinancialGuideLine,2026-08-11T16:55:06+00:00
000019,2017-03-31,-0.0245,-0.022,,2.2999,2.2626,-0.97,-0.97,23.0482,1177683383.82,-0.0261,-17.6538,,sina vFD_FinancialGuideLine,2026-08-11T16:55:16+00:00
000040,2017-03-31,0.0269,0.027,,8.2117,8.2117,0.33,0.33,17.14,17497842734.8,0.1796,36.637,20.5709,sina vFD_FinancialGuideLine,2026-08-11T16:56:17+00:00
000048,2017-03-31,-0.0497,-0.0473,,2.0391,1.8225,-2.59,-2.56,13.4243,2182158177.11,-0.3525,-4.6871,-321.6685,sina vFD_FinancialGuideLine,2026-08-11T16:56:55+00:00
000050,2017-03-31,0.1607,0.1607,,9.9919,9.9919,1.61,1.62,23.0537,22753654761.26,-0.6651,18.402,147.7174,sina vFD_FinancialGuideLine,2026-08-11T16:57:09+00:00
000155,2017-03-31,0.0201,0.02,,2.2673,2.2673,0.88,0.89,10.3365,3017941378.57,-0.0493,1082.6936,,sina vFD_FinancialGuideLine,2026-08-11T16:57:43+00:00
000504,2017-03-31,-0.0189,-0.0157,,0.2371,0.0012,-1304.82,-173.42,21.373,299955634.9,-0.0128,106.6956,,sina vFD_FinancialGuideLine,2026-08-11T16:59:26+00:00
000523,2017-03-31,0.013,0.01,,3.4266,3.4258,0.42,0.42,2.6037,4377660448.38,0.0401,26.25,47.9185,sina vFD_FinancialGuideLine,2026-08-11T17:00:05+00:00
000595,2017-03-31,0.0069,0.007,,0.8964,0.8964,0.77,0.78,13.87,1273459063.47,0.0063,114.1357,,sina vFD_FinancialGuideLine,2026-08-11T17:02:42+00:00
000606,2017-03-31,-0.0387,-0.0365,,3.6647,3.5937,-1.02,-1.01,33.0543,3081820914.29,-0.0961,61.6983,,sina vFD_FinancialGuideLine,2026-08-11T17:03:35+00:00
000616,2017-03-31,0.0326,0.03,,3.0716,2.8078,1.18,1.19,47.2083,9880891788.12,-0.0956,-92.0465,,sina vFD_FinancialGuideLine,2026-08-11T17:04:10+00:00
000617,2017-03-31,0.3143,0.16,,13.872,7.4274,2.15,2.1,42.2068,779129286491.07,-2.5415,-63.3825,,sina vFD_FinancialGuideLine,2026-08-11T17:04:19+00:00
000662,2017-03-31,0.0967,0.1014,,6.0449,6.0561,1.67,1.69,51.7777,5664450421.11,-0.2116,102.003,,sina vFD_FinancialGuideLine,2026-08-11T17:06:24+00:00
000670,2017-03-31,0.0058,0.0062,,0.8713,2.4623,0.71,0.71,43.0624,793497536.91,0.0879,-50.8152,-73.3262,sina vFD_FinancialGuideLine,2026-08-11T17:07:13+00:00
000675,2017-03-31,-0.1042,,,-10.8847,-12.32,,0,100,46937625.63,-0.0003,,,sina vFD_FinancialGuideLine,2026-08-11T17:07:57+00:00
000688,2017-03-31,0.0761,0.0764,,1.6388,1.6193,4.72,4.85,60.3144,2019765827.27,0.0289,38.671,792.1426,sina vFD_FinancialGuideLine,2026-08-11T17:08:50+00:00
000701,2017-03-31,0.1465,0.0382,,13.6367,12.4496,0.81,0.48,3.2488,24374549770.98,-14.5439,43.653,61.7405,sina vFD_FinancialGuideLine,2026-08-11T17:09:32+00:00
000710,2017-03-31,-0.0264,-0.0264,,0.7281,0.7281,-3.62,-4.76,6.0848,493468210.44,-0.3193,11.7882,,sina vFD_FinancialGuideLine,2026-08-11T17:10:02+00:00
000736,2017-03-31,-0.0998,-0.082,,8.2363,4.8227,-1.71,-1.69,12.4996,21640142701.31,2.9943,24.62,,sina vFD_FinancialGuideLine,2026-08-11T17:10:57+00:00
000767,2017-03-31,-0.0855,-0.0768,,3.3396,2.7891,-2.75,-2.72,0.5872,46104984348.99,0.0028,32.9963,,sina vFD_FinancialGuideLine,2026-08-11T17:12:14+00:00
000779,2017-03-31,-0.069,-0.07,,1.1047,1.1047,-6.25,-6.06,7.2195,727374239.68,0.0881,22.0305,,sina vFD_FinancialGuideLine,2026-08-11T17:12:39+00:00
000796,2017-03-31,0.0433,0.0289,,2.6154,2.3632,1.22,1.23,16.9922,5192439720.91,-0.2076,31.7844,36.4766,sina vFD_FinancialGuideLine,2026-08-11T17:13:32+00:00
000803,2017-03-31,-0.1068,-0.11,,0.374,0.374,-28.56,-24.99,-0.965,535117894.88,-0.0407,-59.5757,,sina vFD_FinancialGuideLine,2026-08-11T17:14:40+00:00
000809,2017-03-31,-0.0416,-0.042,,3.6004,3.6004,-1.15,-1.15,-44.0273,6402524125.77,-0.0597,24.563,,sina vFD_FinancialGuideLine,2026-08-11T17:15:30+00:00
000820,2017-03-31,0.1148,0.11,,1.2635,8.8296,9.08,9.52,65.2993,1341792404.16,0.5033,1065.8556,,sina vFD_FinancialGuideLine,2026-08-11T17:15:58+00:00
000833,2017-03-31,0.0164,0.0164,,3.9607,3.9607,0.41,0.42,18.7211,3505893204.72,-0.3823,-5.7514,,sina vFD_FinancialGuideLine,2026-08-11T17:16:22+00:00
000835,2017-03-31,0.0672,0.0672,,1.152,1.1532,5.83,2.69,55.7586,1359462764.76,-0.0214,-1.5564,,sina vFD_FinancialGuideLine,2026-08-11T17:16:27+00:00
000851,2017-03-31,-0.0177,-0.0068,,5.1155,4.8572,-0.14,-0.14,6.0893,7604388139.56,-1.0964,19.9029,,sina vFD_FinancialGuideLine,2026-08-11T17:16:45+00:00
000892,2017-03-31,-0.0295,-0.0295,,2.7211,2.7211,-1.08,-1.08,25.5126,3202840809.38,-0.675,2055.6891,-13981.9894,sina vFD_FinancialGuideLine,2026-08-11T17:17:36+00:00
000908,2017-03-31,0.0509,0.0377,,3.0202,5.8205,1.37,1.38,75.3207,5060660404.4,-0.3392,-11.6855,-0.9708,sina vFD_FinancialGuideLine,2026-08-11T17:18:20+00:00
000911,2017-03-31,0.0007,0.01,,4.9577,4.9335,0.18,0.14,15.0626,7868784735.73,-3.6773,68.8337,,sina vFD_FinancialGuideLine,2026-08-11T17:18:39+00:00
000912,2017-03-31,0.0028,0.0031,,0.2055,0.2062,1.49,0.74,14.9169,7720730612.39,-0.0897,-2.1305,,sina vFD_FinancialGuideLine,2026-08-11T17:18:45+00:00
000923,2017-03-31,-0.0237,-0.0237,,2.0565,2.0565,-1.15,-1.15,22.8294,1356970331.37,-0.4602,1.0477,-476.1381,sina vFD_FinancialGuideLine,2026-08-11T17:19:06+00:00
000927,2017-03-31,-0.1667,-0.1666,,0.9165,0.8979,-18.56,-16.98,-43.8172,4799551284.12,-0.3063,-37.4586,,sina vFD_FinancialGuideLine,2026-08-11T17:19:18+00:00
000939,2017-03-31,0.0688,0.05,,6.6659,6.0928,0.88,0.89,34.6341,39367429692,-0.0287,12.259,46.7363,sina vFD_FinancialGuideLine,2026-08-11T17:19:34+00:00
000950,2017-03-31,-0.0367,-0.037,,1.707,1.6975,-2.18,-2.16,14.2565,5441106731.95,0.0443,-12.6576,,sina vFD_FinancialGuideLine,2026-08-11T17:19:52+00:00
000972,2017-03-31,-0.0277,-0.0269,,0.9605,1.0541,-2.55,-2.52,6.9287,2239574886.38,0.0215,-38.5285,,sina vFD_FinancialGuideLine,2026-08-11T17:20:30+00:00
000979,2017-03-31,0.0004,0.0015,,1.7236,1.64,0.09,0.09,19.7217,33913178716.36,-0.1645,230.0385,-88.9369,sina vFD_FinancialGuideLine,2026-08-11T17:20:43+00:00
000980,2017-03-31,0.0593,0.06,,4.156,4.1388,1.43,1.44,18.2088,4052481704.34,-0.1357,41.1273,12.4743,sina vFD_FinancialGuideLine,2026-08-11T17:21:16+00:00
000981,2017-03-31,0.0251,0.0169,,3.0516,8.9907,0.6,0.77,25.3514,29995862271.36,-0.1141,-27.9075,80.7208,sina vFD_FinancialGuideLine,2026-08-11T17:21:39+00:00
002018,2017-03-31,0.0541,0.05,,1.5172,1.437,3.54,3.6,4.3866,8174851462.45,-0.2524,75.0369,97.3882,sina vFD_FinancialGuideLine,2026-08-11T17:22:52+00:00
