security_code,report_date,eps_diluted,eps_weighted,eps_deducted,bps_before_adj,bps_after_adj,roe,roe_weighted,gross_margin,total_assets,op_cashflow_ps,revenue_yoy,netprofit_yoy,source,retrieved_at_utc
000005,2009-09-30,-0.0128,-0.013,0,0.8096,0.81,-1.58,0,31.0186,1329657221.3,-0.0207,-60.4643,-213.7804,sina vFD_FinancialGuideLine,2026-08-11T16:54:04+00:00
000018,2009-09-30,-0.0026,-0.003,0,0.7731,0.77,-0.2,0,-0.309,193563332,-0.0252,-48.8716,,sina vFD_FinancialGuideLine,2026-08-11T16:54:52+00:00
000030,2009-09-30,0.0604,0.06,,-5.9154,-5.92,,,100,43628768.66,0,12.5,,sina vFD_FinancialGuideLine,2026-08-11T16:55:34+00:00
000040,2009-09-30,-0.0649,-0.042,,1.9372,1.68,-2.48,,33.7488,2710513700.91,0.1491,52.9243,,sina vFD_FinancialGuideLine,2026-08-11T16:56:04+00:00
000048,2009-09-30,-0.0156,-0.0242,0,-0.2603,-0.429,,0,11.6908,1332977122.18,0.5654,-4.5469,-121.5286,sina vFD_FinancialGuideLine,2026-08-11T16:56:41+00:00
000062,2009-09-30,-0.039,-0.04,,4.5159,4.39,-0.85,,9.5611,2255513400.63,0.4081,-21.7619,,sina vFD_FinancialGuideLine,2026-08-11T16:57:27+00:00
000403,2009-09-30,-0.0006,0.0723,,0.8368,0.08,92.38,,41.2925,1291620830.19,0.1877,-34.2011,-100.0364,sina vFD_FinancialGuideLine,2026-08-11T16:58:05+00:00
000409,2009-09-30,-0.031,-0.031,0,0.2909,0.291,-10.66,0,2.3725,60377601.26,-0.0327,,,sina vFD_FinancialGuideLine,2026-08-11T16:58:26+00:00
000415,2009-09-30,-0.053,-0.0436,,1.202,1.0803,-4.03,,31.7547,1122119855.69,0.374,1.9356,-211.4241,sina vFD_FinancialGuideLine,2026-08-11T16:58:41+00:00
000420,2009-09-30,-0.137,-0.12,,2.4436,2.225,-5.22,,11.0677,2662175909.97,0.0655,-6.4931,,sina vFD_FinancialGuideLine,2026-08-11T16:58:53+00:00
000555,2009-09-30,-0.0727,-0.073,,-1.4583,-1.458,,,15.1173,23834623.22,0.0006,-80.7678,-3850.2728,sina vFD_FinancialGuideLine,2026-08-11T17:01:10+00:00
000563,2009-09-30,0.1108,0.111,0,1.5534,1.55,7.13,0,15.8845,1040293619.54,-0.0497,,-11.9133,sina vFD_FinancialGuideLine,2026-08-11T17:01:29+00:00
000576,2009-09-30,-0.0443,-0.04,,1.1511,1.15,-3.82,,6.8442,851824011.37,0.2269,-29.6549,,sina vFD_FinancialGuideLine,2026-08-11T17:01:48+00:00
000595,2009-09-30,-0.2084,-0.2,,2.038,2.01,-10.12,,16.6698,892313162.18,0.0287,-57.3784,-210.1262,sina vFD_FinancialGuideLine,2026-08-11T17:02:26+00:00
000598,2009-09-30,-0.372,-0.3485,,2.1401,1.8374,-18.97,,8.8705,2229189289.76,0.3113,-21.7881,-358.0256,sina vFD_FinancialGuideLine,2026-08-11T17:02:50+00:00
000602,2009-09-30,-0.4653,-0.1,,4.074,2.58,-3.96,,63.7469,2229943684.53,-0.3385,-88.9741,-638.2429,sina vFD_FinancialGuideLine,2026-08-11T17:02:52+00:00
000603,2009-09-30,-0.015,-0.015,,0.5298,0.53,-2.83,,56.5136,156872447.88,0.0666,-57.5108,-146.5434,sina vFD_FinancialGuideLine,2026-08-11T17:03:06+00:00
