security_code,report_date,eps_diluted,eps_weighted,eps_deducted,bps_before_adj,bps_after_adj,roe,roe_weighted,gross_margin,total_assets,op_cashflow_ps,revenue_yoy,netprofit_yoy,source,retrieved_at_utc
000003,2001-09-30,-0.1399,,,-1.6361,-1.77,,,,2398233800,,,,sina vFD_FinancialGuideLine,2026-08-11T16:53:24+00:00
000014,2001-09-30,0.0801,,,2.2997,2.3,3.483,,,834900000,,,,sina vFD_FinancialGuideLine,2026-08-11T16:54:50+00:00
000030,2001-09-30,-0.0338,,,0.4177,0.24,-27.846,,13.6812,1429875700,,,,sina vFD_FinancialGuideLine,2026-08-11T16:55:21+00:00
000430,2001-09-30,-0.029,,,0.5004,0.45,-2.472,,41.0612,319699200,,,,sina vFD_FinancialGuideLine,2026-08-11T16:59:05+00:00
000515,2001-09-30,0.0742,,,1.7699,1.47,4.191,,27.2742,711748900,,,,sina vFD_FinancialGuideLine,2026-08-11T16:59:53+00:00
000553,2001-09-30,0.0488,,,3.3472,3.35,1.382,,13.5218,1799608555.77,,,,sina vFD_FinancialGuideLine,2026-08-11T17:00:53+00:00
000653,2001-09-30,-0.1356,,,-0.2612,-0.26,,,,543806900,,,,sina vFD_FinancialGuideLine,2026-08-11T17:05:05+00:00
000658,2001-09-30,0.1317,,,0.9892,0.86,14.986,,1.7201,480724266.22,,,,sina vFD_FinancialGuideLine,2026-08-11T17:05:26+00:00
000662,2001-09-30,-0.0918,,,0.552,0.29,-31.854,,,286471500,,,,sina vFD_FinancialGuideLine,2026-08-11T17:05:57+00:00
000739,2001-09-30,-0.0656,,,1.8843,1.88,-3.456,,8.729,444405239.33,,,,sina vFD_FinancialGuideLine,2026-08-11T17:11:14+00:00
200030,2001-09-30,-0.0338,,,0.4177,0.24,-27.846,,13.6812,1429875700,,,,sina vFD_FinancialGuideLine,2026-08-11T17:32:55+00:00
200553,2001-09-30,0.0488,,,3.3472,3.35,1.382,,13.5218,1799608555.77,,,,sina vFD_FinancialGuideLine,2026-08-11T17:33:50+00:00
600083,2001-09-30,0.0491,,,-0.0745,-0.07,,,25.3053,322222200,,,,sina vFD_FinancialGuideLine,2026-08-11T18:01:15+00:00
600097,2001-09-30,-0.0019,,,1.015,0.98,-0.711,,30.8986,336936760.84,,,,sina vFD_FinancialGuideLine,2026-08-11T18:02:25+00:00
600647,2001-09-30,-0.0556,,,0.1142,0.12,-47.235,,26.5578,111227466.89,,,,sina vFD_FinancialGuideLine,2026-08-11T18:14:39+00:00
600703,2001-09-30,0.1969,,,1.4182,1.39,14.315,,10.4197,460587053.84,,,,sina vFD_FinancialGuideLine,2026-08-11T18:17:55+00:00
600721,2001-09-30,0.0417,,,1.5629,1.5,2.912,,38.3279,345983055.91,,,,sina vFD_FinancialGuideLine,2026-08-11T18:18:50+00:00
600745,2001-09-30,-0.1026,,,0.5174,0.59,-15.993,,-33.5281,384110020.75,,,,sina vFD_FinancialGuideLine,2026-08-11T18:19:57+00:00
600762,2001-09-30,0.1653,,,2.0337,2.03,8.129,,52.9522,579637843.68,,,,sina vFD_FinancialGuideLine,2026-08-11T18:20:55+00:00
600816,2001-09-30,0.012,,,,,,,,,,,,sina vFD_FinancialGuideLine,2026-08-11T18:22:56+00:00
600818,2001-09-30,0.0455,,0,-0.2153,-0.36,,0,6.8746,515245032.8,0,,,sina vFD_FinancialGuideLine,2026-08-11T18:23:28+00:00
900915,2001-09-30,0.0455,,0,-0.2153,-0.36,,0,6.8746,515245032.8,0,,,sina vFD_FinancialGuideLine,2026-08-11T18:42:11+00:00
